"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1979 - Stemmeberettigede";"EV1979 - Afgivne stemmer";"EV1979 - Blanke stemmer";"EV1979 - Andre ugyldige stemmer";"EV1979 - Gyldige stemmer";"EV1979 - A. Socialdemokratiet";"EV1979 - B. Det Radikale Venstre";"EV1979 - C. Det Konservative Folkeparti";"EV1979 - E. Danmarks Retsforbund";"EV1979 - F. Socialistisk Folkeparti";"EV1979 - M. Centrum-Demokraterne";"EV1979 - N. Folkebevægelsen mod EF";"EV1979 - Q. Kristeligt Folkeparti";"EV1979 - V. Venstre, Danmarks Liberale Parti";"EV1979 - Y. Venstresocialisterne";"EV1979 - Z. Fremskridtspartiet"
"147008";"147008";"19";"3";"1";"13197";"7000";"79";"35";"6886";"1296";"192";"1568";"243";"431";"387";"1793";"48";"263";"370";"295"
"151002";"151002";"22";"4";"2";"7366";"3722";"79";"18";"3625";"967";"74";"351";"154";"265";"167";"1179";"27";"128";"167";"146"
"151003";"151003";"22";"4";"2";"4598";"2541";"42";"11";"2488";"451";"71";"410";"114";"177";"193";"688";"12";"118";"137";"117"
"151004";"151004";"22";"4";"2";"2934";"1292";"28";"3";"1261";"292";"22";"79";"59";"113";"40";"488";"9";"43";"77";"39"
"151005";"151005";"22";"4";"2";"3583";"2019";"36";"6";"1977";"441";"67";"274";"78";"142";"140";"549";"6";"112";"76";"92"
"151006";"151006";"22";"4";"2";"4871";"2331";"46";"15";"2270";"588";"35";"117";"127";"237";"70";"875";"6";"37";"127";"51"
"151007";"151007";"22";"4";"2";"1571";"893";"21";"1";"871";"194";"12";"146";"34";"45";"61";"252";"13";"40";"27";"47"
"151101";"151101";"22";"4";"2";"4682";"2303";"47";"5";"2251";"567";"33";"160";"147";"215";"82";"821";"9";"41";"101";"75"
"151109";"151109";"22";"4";"2";"3317";"1702";"36";"5";"1661";"308";"40";"205";"70";"121";"100";"549";"19";"61";"104";"84"
"153001";"153001";"26";"4";"2";"4083";"2124";"50";"8";"2066";"503";"62";"261";"96";"126";"126";"626";"16";"78";"80";"92"
"153004";"153004";"26";"4";"2";"2005";"1016";"11";"2";"1003";"266";"20";"86";"38";"85";"29";"370";"4";"30";"46";"29"
