"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2014 - Personlige stemmer i alt";"EV2014 - A - personlige stemmer i alt";"EV2014 - B - personlige stemmer i alt";"EV2014 - C - personlige stemmer i alt";"EV2014 - F - personlige stemmer i alt";"EV2014 - I - personlige stemmer i alt";"EV2014 - N - personlige stemmer i alt";"EV2014 - O - personlige stemmer i alt";"EV2014 - V - personlige stemmer i alt";"EV2014 - A-01";"EV2014 - A-02";"EV2014 - A-03";"EV2014 - A-04";"EV2014 - A-05";"EV2014 - A-06";"EV2014 - A-07";"EV2014 - A-08";"EV2014 - B-01";"EV2014 - B-02";"EV2014 - B-03";"EV2014 - B-04";"EV2014 - B-05";"EV2014 - B-06";"EV2014 - B-07";"EV2014 - C-01";"EV2014 - C-02";"EV2014 - C-03";"EV2014 - C-04";"EV2014 - C-05";"EV2014 - C-06";"EV2014 - C-07";"EV2014 - C-08";"EV2014 - C-09";"EV2014 - C-10";"EV2014 - F-01";"EV2014 - F-02";"EV2014 - F-03";"EV2014 - F-04";"EV2014 - F-05";"EV2014 - F-06";"EV2014 - F-07";"EV2014 - F-08";"EV2014 - F-09";"EV2014 - F-10";"EV2014 - F-11";"EV2014 - F-12";"EV2014 - F-13";"EV2014 - F-14";"EV2014 - F-15";"EV2014 - F-16";"EV2014 - F-17";"EV2014 - F-18";"EV2014 - F-19";"EV2014 - F-20";"EV2014 - I-01";"EV2014 - I-02";"EV2014 - I-03";"EV2014 - I-04";"EV2014 - I-05";"EV2014 - I-06";"EV2014 - I-07";"EV2014 - I-08";"EV2014 - I-09";"EV2014 - N-01";"EV2014 - N-02";"EV2014 - N-03";"EV2014 - N-04";"EV2014 - N-05";"EV2014 - N-06";"EV2014 - N-07";"EV2014 - N-08";"EV2014 - N-09";"EV2014 - N-10";"EV2014 - N-11";"EV2014 - N-12";"EV2014 - N-13";"EV2014 - N-14";"EV2014 - N-15";"EV2014 - N-16";"EV2014 - N-17";"EV2014 - N-18";"EV2014 - N-19";"EV2014 - N-20";"EV2014 - O-01";"EV2014 - O-02";"EV2014 - O-03";"EV2014 - O-04";"EV2014 - O-05";"EV2014 - O-06";"EV2014 - O-07";"EV2014 - O-08";"EV2014 - O-09";"EV2014 - O-10";"EV2014 - V-01";"EV2014 - V-02";"EV2014 - V-03";"EV2014 - V-04";"EV2014 - V-05";"EV2014 - V-06";"EV2014 - V-07";"EV2014 - V-08";"EV2014 - V-09";"EV2014 - V-10";"EV2014 - V-11";"EV2014 - V-12";"EV2014 - V-13";"EV2014 - V-14";"EV2014 - V-15";"EV2014 - V-16"
"217004";"217004";"21";"3";"1";"2138";"341";"179";"270";"234";"84";"89";"608";"333";"245";"6";"44";"5";"14";"5";"21";"1";"155";"5";"1";"2";"10";"5";"1";"238";"15";"3";"6";"1";"3";"1";"0";"2";"1";"212";"5";"3";"4";"2";"0";"1";"1";"2";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"77";"0";"1";"0";"2";"3";"0";"1";"0";"68";"9";"1";"3";"4";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"581";"5";"8";"3";"3";"2";"1";"3";"0";"2";"168";"0";"1";"1";"1";"62";"0";"0";"56";"7";"0";"1";"34";"0";"0";"2"
"217005";"217005";"21";"3";"1";"1822";"289";"137";"219";"191";"58";"79";"544";"305";"190";"7";"39";"4";"8";"12";"26";"3";"112";"5";"3";"5";"8";"3";"1";"200";"8";"1";"1";"3";"1";"0";"0";"4";"1";"168";"0";"1";"4";"2";"1";"2";"0";"0";"1";"0";"1";"0";"1";"0";"1";"5";"3";"0";"1";"53";"0";"1";"1";"0";"1";"0";"0";"2";"51";"8";"1";"3";"5";"0";"2";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"3";"2";"0";"523";"4";"7";"1";"1";"2";"3";"1";"1";"1";"152";"1";"0";"1";"0";"47";"0";"1";"54";"10";"0";"0";"34";"2";"0";"3"
"217006";"217006";"21";"3";"1";"506";"65";"36";"58";"54";"23";"29";"175";"66";"50";"0";"5";"0";"5";"2";"3";"0";"31";"2";"1";"1";"1";"0";"0";"52";"2";"2";"0";"0";"1";"0";"0";"1";"0";"43";"3";"1";"0";"0";"1";"1";"0";"2";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"21";"0";"0";"0";"0";"1";"0";"0";"1";"23";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"168";"1";"2";"1";"0";"0";"2";"0";"0";"1";"33";"0";"0";"0";"0";"12";"0";"0";"16";"0";"0";"0";"5";"0";"0";"0"
"217007";"217007";"21";"3";"1";"580";"80";"42";"90";"47";"23";"17";"186";"95";"54";"1";"11";"2";"8";"1";"3";"0";"33";"1";"2";"1";"4";"1";"0";"81";"3";"1";"1";"2";"0";"2";"0";"0";"0";"44";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"20";"1";"0";"0";"1";"0";"1";"0";"0";"13";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"179";"1";"2";"0";"0";"2";"0";"0";"1";"1";"63";"2";"1";"1";"1";"6";"0";"0";"12";"1";"0";"0";"8";"0";"0";"0"
"217008";"217008";"21";"3";"1";"354";"53";"17";"32";"39";"7";"21";"148";"37";"34";"3";"8";"1";"3";"0";"4";"0";"12";"0";"1";"0";"4";"0";"0";"30";"0";"0";"1";"0";"0";"0";"1";"0";"0";"35";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5";"1";"1";"0";"0";"0";"0";"0";"0";"13";"3";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"140";"0";"4";"1";"0";"1";"0";"1";"0";"1";"18";"0";"0";"0";"1";"4";"0";"0";"7";"3";"0";"0";"4";"0";"0";"0"
"217009";"217009";"21";"3";"1";"1845";"278";"158";"270";"202";"63";"87";"494";"293";"174";"4";"42";"7";"25";"3";"21";"2";"134";"3";"0";"8";"10";"3";"0";"229";"26";"3";"4";"1";"2";"1";"0";"2";"2";"163";"1";"5";"6";"6";"1";"5";"1";"0";"0";"0";"3";"0";"2";"1";"0";"2";"3";"2";"1";"58";"2";"0";"0";"0";"0";"1";"1";"1";"64";"7";"1";"5";"0";"0";"0";"0";"0";"0";"3";"0";"2";"1";"1";"0";"0";"1";"1";"1";"480";"4";"4";"1";"1";"1";"1";"1";"1";"0";"162";"2";"0";"1";"2";"47";"1";"2";"51";"9";"0";"1";"13";"1";"0";"1"
"217010";"217010";"21";"3";"1";"1693";"253";"169";"263";"221";"87";"63";"355";"282";"159";"4";"46";"6";"12";"8";"18";"0";"146";"4";"1";"4";"8";"4";"2";"226";"23";"2";"5";"1";"1";"1";"0";"1";"3";"187";"6";"2";"7";"3";"1";"1";"1";"1";"0";"0";"0";"1";"2";"2";"0";"2";"2";"3";"0";"80";"2";"0";"1";"0";"1";"1";"0";"2";"48";"4";"0";"1";"2";"0";"1";"2";"0";"0";"1";"0";"2";"0";"0";"0";"0";"1";"1";"0";"347";"0";"4";"1";"0";"0";"1";"1";"0";"1";"133";"1";"0";"4";"0";"39";"0";"2";"63";"10";"1";"0";"23";"3";"0";"3"
"217011";"217011";"21";"3";"1";"2483";"417";"238";"349";"265";"70";"100";"704";"340";"287";"4";"63";"4";"19";"6";"31";"3";"195";"1";"8";"10";"20";"1";"3";"302";"26";"2";"7";"2";"3";"2";"0";"2";"3";"222";"4";"8";"4";"4";"1";"3";"2";"1";"0";"1";"1";"0";"3";"1";"0";"0";"6";"4";"0";"58";"5";"1";"1";"0";"3";"1";"0";"1";"78";"7";"0";"3";"1";"2";"1";"0";"0";"0";"1";"1";"1";"2";"0";"1";"0";"1";"0";"1";"666";"11";"11";"1";"3";"3";"3";"3";"1";"2";"171";"1";"1";"5";"2";"41";"0";"0";"77";"9";"0";"0";"26";"2";"2";"3"
"219001";"219001";"23";"3";"1";"2666";"461";"228";"259";"425";"102";"157";"596";"438";"277";"4";"102";"8";"30";"12";"27";"1";"162";"6";"15";"14";"19";"8";"4";"220";"12";"19";"3";"3";"0";"0";"0";"1";"1";"345";"11";"6";"8";"17";"3";"4";"4";"3";"0";"0";"3";"2";"3";"1";"0";"6";"3";"3";"3";"80";"10";"3";"2";"2";"1";"2";"0";"2";"111";"12";"3";"7";"6";"3";"4";"2";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"2";"565";"4";"3";"2";"6";"4";"0";"8";"0";"4";"181";"1";"0";"3";"4";"90";"0";"3";"84";"11";"2";"0";"50";"3";"0";"6"
"219002";"219002";"23";"3";"1";"2114";"420";"177";"233";"302";"46";"102";"475";"359";"243";"10";"51";"7";"26";"8";"73";"2";"141";"4";"7";"11";"12";"2";"0";"192";"11";"23";"4";"0";"0";"0";"0";"3";"0";"261";"4";"2";"7";"7";"1";"5";"1";"2";"0";"2";"0";"1";"1";"1";"0";"3";"0";"4";"0";"36";"2";"0";"3";"0";"3";"1";"0";"1";"79";"3";"2";"3";"2";"0";"0";"2";"0";"2";"1";"1";"1";"1";"1";"2";"0";"1";"1";"0";"453";"6";"7";"3";"0";"1";"0";"2";"1";"2";"170";"1";"0";"4";"3";"60";"0";"5";"60";"6";"2";"0";"42";"0";"4";"2"
"219003";"219003";"23";"3";"1";"334";"60";"27";"34";"44";"12";"13";"75";"69";"44";"1";"11";"0";"1";"0";"3";"0";"23";"0";"1";"1";"0";"2";"0";"27";"3";"0";"1";"2";"0";"0";"0";"1";"0";"40";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"9";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"73";"0";"1";"0";"0";"0";"0";"0";"0";"1";"29";"0";"0";"0";"2";"10";"0";"1";"9";"5";"0";"1";"12";"0";"0";"0"
"219004";"219004";"23";"3";"1";"661";"142";"52";"70";"131";"10";"42";"111";"103";"91";"0";"20";"3";"16";"4";"8";"0";"40";"2";"0";"0";"6";"2";"2";"57";"4";"3";"0";"0";"3";"0";"0";"2";"1";"114";"0";"1";"1";"5";"0";"2";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"1";"8";"1";"1";"0";"0";"0";"0";"0";"0";"36";"1";"2";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"107";"3";"1";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"2";"0";"22";"0";"0";"16";"5";"0";"0";"9";"1";"1";"1"
"219005";"219005";"23";"3";"1";"833";"100";"54";"83";"81";"28";"32";"261";"194";"73";"1";"11";"0";"2";"3";"8";"2";"40";"3";"1";"2";"4";"3";"1";"72";"4";"2";"3";"0";"0";"0";"0";"2";"0";"70";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"2";"1";"1";"1";"0";"1";"1";"0";"0";"26";"0";"0";"0";"0";"0";"0";"1";"1";"20";"6";"2";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"255";"0";"2";"1";"0";"1";"0";"0";"1";"1";"106";"1";"1";"1";"1";"39";"1";"2";"14";"4";"0";"0";"21";"1";"2";"0"
"219006";"219006";"23";"3";"1";"1658";"301";"123";"190";"192";"32";"75";"420";"325";"187";"10";"32";"8";"15";"6";"37";"6";"98";"4";"3";"5";"9";"3";"1";"155";"10";"14";"3";"2";"2";"0";"0";"3";"1";"158";"2";"5";"0";"3";"5";"3";"1";"1";"2";"0";"4";"0";"0";"1";"0";"1";"3";"1";"2";"24";"5";"1";"1";"0";"1";"0";"0";"0";"59";"1";"1";"3";"0";"1";"2";"0";"2";"0";"0";"0";"2";"1";"3";"0";"0";"0";"0";"0";"402";"5";"4";"0";"0";"3";"0";"3";"1";"2";"127";"2";"1";"5";"3";"74";"0";"1";"65";"3";"1";"0";"41";"1";"0";"1"
"219007";"219007";"23";"3";"1";"773";"125";"63";"109";"125";"27";"28";"168";"128";"74";"3";"23";"1";"12";"5";"6";"1";"51";"4";"2";"2";"3";"1";"0";"95";"6";"3";"1";"0";"4";"0";"0";"0";"0";"113";"2";"2";"3";"1";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"25";"1";"0";"1";"0";"0";"0";"0";"0";"22";"3";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"157";"3";"1";"1";"0";"4";"1";"1";"0";"0";"59";"2";"0";"0";"0";"19";"0";"0";"24";"6";"0";"1";"17";"0";"0";"0"
"219008";"219008";"23";"3";"1";"435";"70";"51";"71";"59";"25";"18";"50";"91";"42";"2";"18";"1";"3";"1";"1";"2";"45";"0";"0";"3";"2";"1";"0";"64";"4";"1";"0";"1";"0";"0";"0";"0";"1";"48";"2";"1";"2";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"25";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"47";"2";"0";"0";"0";"0";"1";"0";"0";"0";"46";"0";"0";"1";"0";"11";"0";"0";"17";"5";"1";"0";"9";"1";"0";"0"
"219009";"219009";"23";"3";"1";"1532";"313";"112";"162";"242";"37";"70";"333";"263";"199";"7";"52";"5";"14";"13";"20";"3";"88";"2";"1";"5";"11";"3";"2";"125";"16";"17";"1";"0";"1";"0";"0";"1";"1";"218";"2";"0";"5";"1";"0";"0";"3";"3";"1";"2";"2";"0";"2";"0";"0";"1";"1";"1";"0";"30";"3";"0";"0";"0";"2";"0";"1";"1";"41";"8";"4";"1";"3";"1";"1";"0";"0";"2";"1";"2";"0";"3";"0";"2";"1";"0";"0";"0";"320";"4";"3";"1";"1";"1";"0";"1";"2";"0";"126";"0";"2";"8";"2";"48";"0";"0";"46";"7";"0";"0";"21";"2";"0";"1"
"219010";"219010";"23";"3";"1";"2169";"371";"159";"220";"300";"51";"142";"566";"360";"242";"5";"58";"11";"22";"10";"20";"3";"118";"1";"5";"14";"13";"3";"5";"175";"15";"24";"1";"2";"0";"0";"0";"3";"0";"252";"3";"5";"5";"11";"2";"7";"2";"0";"0";"2";"2";"0";"2";"1";"0";"1";"3";"1";"1";"45";"2";"0";"0";"3";"1";"0";"0";"0";"99";"10";"9";"4";"0";"0";"1";"3";"3";"1";"0";"1";"2";"1";"1";"1";"0";"2";"2";"2";"545";"2";"7";"0";"2";"4";"3";"0";"1";"2";"169";"1";"2";"2";"1";"71";"0";"3";"58";"9";"0";"2";"38";"0";"1";"3"
"219011";"219011";"23";"3";"1";"660";"76";"31";"68";"37";"17";"30";"251";"150";"58";"0";"10";"0";"2";"0";"6";"0";"27";"0";"0";"1";"1";"0";"2";"55";"6";"4";"2";"1";"0";"0";"0";"0";"0";"32";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"12";"0";"0";"1";"0";"2";"1";"0";"1";"25";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"239";"5";"2";"1";"1";"0";"1";"1";"1";"0";"69";"0";"0";"2";"2";"30";"1";"0";"21";"5";"1";"0";"18";"1";"0";"0"
"219012";"219012";"23";"3";"1";"1169";"155";"43";"134";"85";"37";"42";"381";"292";"107";"0";"22";"1";"7";"5";"12";"1";"34";"0";"3";"0";"3";"1";"2";"118";"8";"4";"2";"0";"0";"0";"1";"1";"0";"69";"0";"1";"3";"0";"1";"1";"1";"1";"1";"0";"3";"0";"1";"0";"0";"0";"0";"3";"0";"27";"6";"0";"0";"0";"2";"0";"0";"2";"34";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"370";"1";"3";"0";"1";"1";"0";"3";"0";"2";"140";"2";"1";"3";"1";"59";"0";"5";"51";"4";"0";"1";"21";"2";"1";"1"
"219013";"219013";"23";"3";"1";"453";"59";"26";"31";"54";"13";"22";"145";"103";"42";"2";"8";"1";"0";"3";"3";"0";"16";"0";"0";"1";"5";"4";"0";"29";"1";"0";"0";"0";"1";"0";"0";"0";"0";"43";"1";"1";"2";"1";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"13";"0";"0";"0";"0";"0";"0";"0";"0";"10";"1";"0";"0";"1";"0";"0";"0";"0";"3";"1";"1";"0";"0";"1";"4";"0";"0";"0";"0";"138";"1";"1";"1";"1";"2";"0";"1";"0";"0";"32";"0";"0";"1";"1";"25";"0";"2";"23";"1";"0";"1";"16";"0";"1";"0"
"219014";"219014";"23";"3";"1";"519";"74";"30";"31";"49";"18";"22";"176";"119";"43";"4";"15";"1";"2";"2";"5";"2";"25";"0";"3";"2";"0";"0";"0";"28";"2";"1";"0";"0";"0";"0";"0";"0";"0";"40";"1";"1";"1";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"18";"0";"0";"0";"0";"0";"0";"0";"0";"16";"1";"1";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"165";"5";"2";"0";"0";"0";"2";"1";"0";"1";"57";"0";"1";"1";"0";"15";"0";"2";"11";"6";"0";"4";"21";"1";"0";"0"
"223001";"223001";"22";"3";"1";"2450";"242";"226";"510";"182";"105";"52";"599";"534";"166";"3";"46";"1";"11";"8";"6";"1";"178";"5";"9";"7";"15";"9";"3";"444";"41";"6";"5";"3";"2";"4";"0";"2";"3";"167";"1";"3";"2";"3";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"89";"5";"0";"3";"1";"2";"1";"0";"4";"35";"6";"0";"1";"2";"0";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"2";"0";"0";"1";"582";"9";"2";"2";"0";"1";"1";"1";"0";"1";"243";"6";"2";"7";"3";"52";"2";"4";"137";"20";"3";"0";"52";"1";"0";"2"
"223002";"223002";"22";"3";"1";"2483";"307";"203";"480";"192";"91";"66";"595";"549";"217";"5";"50";"3";"11";"11";"9";"1";"182";"8";"2";"3";"4";"3";"1";"419";"27";"8";"12";"2";"2";"2";"1";"5";"2";"173";"2";"3";"0";"5";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"2";"78";"2";"2";"0";"1";"2";"0";"1";"5";"45";"8";"0";"1";"0";"2";"2";"1";"0";"0";"3";"2";"0";"0";"1";"0";"0";"1";"0";"0";"573";"6";"5";"1";"0";"4";"1";"3";"1";"1";"244";"7";"0";"4";"5";"76";"0";"8";"132";"15";"1";"0";"53";"2";"1";"1"
"223003";"223003";"22";"3";"1";"1863";"116";"158";"481";"84";"122";"25";"294";"583";"71";"4";"28";"4";"7";"1";"1";"0";"134";"4";"10";"7";"2";"1";"0";"406";"36";"5";"8";"10";"1";"1";"1";"2";"11";"75";"1";"3";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"99";"9";"4";"0";"0";"1";"1";"2";"6";"19";"2";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"285";"3";"3";"0";"0";"1";"0";"2";"0";"0";"272";"5";"1";"3";"4";"90";"0";"3";"131";"29";"2";"0";"35";"2";"0";"6"
"223004";"223004";"22";"3";"1";"192";"10";"17";"46";"6";"9";"5";"60";"39";"5";"0";"4";"0";"1";"0";"0";"0";"14";"0";"0";"0";"1";"2";"0";"42";"3";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"7";"0";"0";"0";"0";"0";"0";"0";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"1";"0";"0";"0";"0";"0";"10";"0";"0";"0";"10";"0";"0";"0"
"223005";"223005";"22";"3";"1";"2457";"244";"194";"532";"148";"120";"46";"535";"638";"162";"9";"48";"2";"10";"10";"2";"1";"159";"6";"1";"7";"13";"7";"1";"459";"37";"4";"17";"5";"6";"2";"1";"1";"0";"128";"0";"3";"1";"2";"2";"1";"0";"1";"1";"0";"0";"2";"1";"1";"0";"3";"0";"1";"1";"110";"4";"1";"1";"0";"0";"1";"1";"2";"33";"7";"2";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"511";"6";"7";"1";"0";"2";"3";"1";"2";"2";"276";"5";"2";"6";"4";"94";"2";"3";"162";"26";"0";"0";"54";"2";"0";"2"
"230001";"230001";"26";"3";"1";"2433";"396";"269";"344";"321";"98";"103";"466";"436";"241";"10";"89";"5";"26";"15";"9";"1";"198";"6";"20";"10";"29";"6";"0";"277";"47";"4";"9";"0";"0";"3";"0";"2";"2";"269";"3";"10";"5";"6";"2";"3";"6";"2";"0";"1";"3";"0";"4";"0";"0";"0";"4";"2";"1";"88";"4";"1";"0";"1";"2";"0";"0";"2";"84";"7";"1";"1";"0";"1";"1";"0";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"451";"1";"4";"0";"0";"0";"2";"6";"1";"1";"206";"5";"2";"3";"3";"56";"0";"3";"88";"12";"1";"3";"51";"1";"0";"2"
"230002";"230002";"26";"3";"1";"859";"71";"91";"178";"79";"45";"29";"155";"211";"41";"2";"19";"4";"3";"2";"0";"0";"71";"2";"0";"4";"13";"0";"1";"147";"23";"0";"1";"5";"0";"1";"0";"1";"0";"66";"1";"0";"1";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"38";"0";"0";"0";"1";"2";"1";"1";"2";"23";"1";"1";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"152";"1";"0";"0";"0";"0";"0";"1";"1";"0";"89";"4";"0";"2";"0";"32";"0";"1";"47";"10";"0";"0";"20";"1";"0";"5"
"230003";"230003";"26";"3";"1";"2477";"290";"319";"404";"253";"139";"50";"394";"628";"166";"2";"80";"5";"24";"8";"3";"2";"257";"7";"9";"13";"26";"5";"2";"314";"48";"2";"12";"11";"4";"2";"2";"4";"5";"221";"3";"3";"7";"1";"2";"2";"1";"2";"0";"0";"3";"1";"3";"1";"0";"1";"0";"1";"1";"115";"4";"2";"0";"4";"5";"1";"1";"7";"31";"9";"0";"2";"0";"0";"1";"0";"0";"3";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"378";"4";"4";"1";"1";"0";"2";"2";"0";"2";"270";"6";"4";"5";"2";"66";"0";"7";"138";"36";"1";"0";"84";"2";"1";"6"
"230004";"230004";"26";"3";"1";"1792";"276";"161";"245";"183";"66";"73";"445";"343";"198";"2";"38";"2";"21";"6";"5";"4";"126";"2";"3";"9";"13";"4";"4";"179";"40";"6";"7";"4";"3";"2";"0";"2";"2";"160";"4";"2";"4";"1";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"4";"2";"1";"1";"52";"2";"0";"4";"1";"1";"0";"2";"4";"52";"4";"1";"3";"2";"1";"1";"3";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"426";"3";"6";"2";"1";"3";"0";"2";"1";"1";"149";"3";"0";"2";"0";"50";"0";"9";"71";"17";"2";"0";"38";"0";"0";"2"
"230005";"230005";"26";"3";"1";"1954";"298";"249";"270";"245";"63";"80";"369";"380";"186";"5";"56";"4";"29";"7";"8";"3";"195";"7";"11";"12";"17";"7";"0";"203";"36";"9";"6";"1";"2";"3";"1";"3";"6";"215";"1";"2";"6";"4";"3";"2";"1";"2";"0";"0";"0";"0";"2";"1";"0";"3";"3";"0";"0";"45";"5";"1";"3";"3";"1";"0";"0";"5";"60";"6";"1";"4";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"3";"3";"0";"0";"348";"4";"7";"0";"1";"1";"0";"1";"3";"4";"155";"6";"2";"6";"2";"59";"1";"1";"89";"8";"1";"1";"45";"2";"1";"1"
"230006";"230006";"26";"3";"1";"1362";"132";"157";"254";"124";"86";"36";"230";"343";"88";"1";"23";"2";"12";"2";"3";"1";"128";"2";"1";"5";"16";"5";"0";"207";"31";"5";"2";"0";"1";"0";"2";"1";"5";"105";"1";"0";"0";"2";"4";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"4";"0";"1";"74";"2";"0";"1";"0";"1";"1";"2";"5";"24";"4";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"222";"1";"1";"0";"2";"1";"0";"0";"1";"2";"133";"5";"1";"6";"2";"48";"0";"6";"67";"20";"5";"0";"45";"2";"0";"3"
"230007";"230007";"26";"3";"1";"2843";"410";"385";"392";"398";"92";"111";"531";"524";"248";"6";"79";"9";"33";"15";"17";"3";"286";"13";"9";"24";"32";"15";"6";"322";"45";"8";"5";"3";"4";"1";"0";"3";"1";"350";"7";"7";"5";"5";"3";"3";"1";"3";"1";"2";"3";"0";"2";"0";"1";"1";"3";"0";"1";"81";"1";"1";"1";"1";"1";"1";"1";"4";"85";"8";"0";"5";"1";"0";"0";"0";"2";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"2";"516";"3";"3";"1";"3";"0";"1";"1";"1";"2";"247";"4";"1";"5";"1";"73";"0";"4";"102";"16";"2";"2";"61";"2";"2";"2"
"230008";"230008";"26";"3";"1";"1950";"224";"158";"360";"175";"117";"61";"380";"475";"150";"8";"44";"3";"18";"1";"0";"0";"137";"3";"4";"1";"5";"7";"1";"295";"45";"4";"4";"6";"2";"0";"1";"2";"1";"146";"2";"4";"4";"4";"0";"1";"3";"0";"0";"0";"1";"1";"3";"0";"0";"3";"0";"3";"0";"89";"6";"0";"4";"0";"8";"0";"1";"9";"48";"4";"5";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"365";"3";"2";"1";"0";"2";"3";"2";"1";"1";"217";"4";"3";"0";"2";"89";"0";"5";"79";"26";"0";"0";"46";"0";"0";"4"
"230009";"230009";"26";"3";"1";"1554";"142";"167";"305";"118";"117";"35";"267";"403";"92";"2";"29";"3";"10";"4";"1";"1";"128";"6";"4";"8";"13";"7";"1";"257";"31";"3";"4";"2";"2";"1";"1";"1";"3";"98";"4";"4";"4";"3";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"96";"4";"3";"0";"1";"3";"2";"1";"7";"23";"6";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"259";"2";"2";"1";"0";"0";"0";"2";"0";"1";"168";"7";"3";"9";"2";"48";"0";"14";"77";"25";"1";"1";"45";"2";"1";"0"
