"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1984 - Stemmeberettigede";"EV1984 - Afgivne stemmer";"EV1984 - Blanke stemmer";"EV1984 - Andre ugyldige stemmer";"EV1984 - Gyldige stemmer";"EV1984 - A. Socialdemokratiet";"EV1984 - B. Det Radikale Venstre";"EV1984 - C. Det Konservative Folkeparti";"EV1984 - F. Socialistisk Folkeparti";"EV1984 - M. Centrum-Demokraterne";"EV1984 - N. Folkebevægelsen mod EF";"EV1984 - Q. Kristeligt Folkeparti";"EV1984 - V. Venstre, Danmarks Liberale Parti";"EV1984 - Y. Venstresocialisterne";"EV1984 - Z. Fremskridtspartiet"
"341001";"341001";"36";"7";"2";"341";"171";"1";"2";"168";"27";"4";"35";"10";"14";"35";"2";"33";"1";"7"
"341002";"341002";"36";"7";"2";"2899";"1333";"11";"2";"1320";"295";"53";"287";"100";"93";"199";"44";"220";"6";"23"
"341004";"341004";"36";"7";"2";"812";"431";"9";"0";"422";"112";"22";"62";"40";"22";"76";"9";"62";"0";"17"
"341006";"341006";"36";"7";"2";"1377";"609";"4";"4";"601";"155";"24";"94";"50";"34";"135";"19";"62";"3";"25"
"341007";"341007";"36";"7";"2";"484";"259";"4";"1";"254";"81";"8";"33";"12";"14";"47";"4";"47";"3";"5"
"341008";"341008";"36";"7";"2";"512";"286";"1";"1";"284";"45";"16";"43";"21";"20";"45";"5";"70";"4";"15"
"343001";"343001";"37";"7";"2";"1169";"594";"6";"0";"588";"106";"44";"93";"34";"34";"122";"2";"126";"8";"19"
"343002";"343002";"37";"7";"2";"2079";"953";"11";"2";"940";"161";"80";"168";"93";"42";"185";"7";"155";"10";"39"
"343003";"343003";"37";"7";"2";"488";"263";"0";"0";"263";"43";"16";"30";"17";"18";"36";"8";"77";"2";"16"
"343004";"343004";"37";"7";"2";"892";"458";"5";"2";"451";"96";"29";"66";"32";"21";"82";"9";"98";"3";"15"
"343005";"343005";"37";"7";"2";"987";"427";"8";"3";"416";"96";"32";"45";"43";"23";"89";"8";"61";"1";"18"
"343006";"343006";"37";"7";"2";"2030";"1072";"7";"5";"1060";"178";"72";"219";"77";"67";"168";"11";"222";"5";"41"
"345001";"345001";"36";"7";"2";"2668";"1415";"18";"2";"1395";"292";"61";"199";"122";"89";"304";"35";"234";"21";"38"
"345003";"345003";"36";"7";"2";"1384";"735";"5";"2";"728";"108";"73";"101";"53";"45";"164";"10";"138";"8";"28"
"345005";"345005";"36";"7";"2";"1021";"600";"7";"5";"588";"105";"38";"97";"43";"35";"86";"28";"129";"5";"22"
"345104";"345104";"36";"7";"2";"1370";"752";"10";"1";"741";"154";"45";"119";"64";"54";"137";"6";"137";"3";"22"
"351002";"351002";"42";"8";"2";"3270";"1749";"33";"8";"1708";"582";"38";"349";"107";"101";"272";"18";"185";"6";"50"
"351003";"351003";"42";"8";"2";"1972";"1151";"17";"2";"1132";"294";"30";"227";"77";"67";"246";"18";"131";"7";"35"
"351004";"351004";"42";"8";"2";"613";"372";"6";"2";"364";"83";"18";"47";"30";"12";"77";"3";"65";"0";"29"
"351006";"351006";"42";"8";"2";"1783";"972";"10";"4";"958";"185";"35";"228";"57";"68";"138";"13";"195";"5";"34"
"351008";"351008";"42";"8";"2";"565";"317";"1";"1";"315";"56";"8";"42";"28";"20";"65";"1";"84";"1";"10"
"353001";"353001";"42";"8";"2";"798";"507";"3";"0";"504";"105";"17";"71";"37";"40";"72";"9";"121";"3";"29"
"353002";"353002";"42";"8";"2";"1440";"779";"11";"0";"768";"136";"32";"156";"35";"99";"108";"15";"138";"6";"43"
"353003";"353003";"42";"8";"2";"1752";"1012";"11";"0";"1001";"210";"33";"185";"65";"78";"160";"5";"224";"5";"36"
"353004";"353004";"42";"8";"2";"1176";"713";"11";"0";"702";"93";"24";"126";"40";"44";"116";"17";"191";"9";"42"
"355001";"355001";"46";"8";"2";"871";"514";"6";"0";"508";"166";"14";"97";"28";"15";"63";"4";"102";"2";"17"
"355002";"355002";"46";"8";"2";"714";"418";"10";"0";"408";"144";"16";"48";"21";"26";"61";"4";"62";"2";"24"
"355003";"355003";"46";"8";"2";"1648";"934";"20";"2";"912";"396";"29";"137";"73";"44";"128";"10";"56";"2";"37"
"355004";"355004";"46";"8";"2";"286";"185";"4";"0";"181";"59";"10";"23";"6";"16";"31";"1";"26";"0";"9"
"357001";"357001";"43";"8";"2";"2602";"1315";"26";"4";"1285";"413";"44";"189";"128";"96";"209";"18";"147";"8";"33"
"357002";"357002";"43";"8";"2";"928";"481";"14";"1";"466";"123";"8";"72";"42";"28";"65";"7";"93";"9";"19"
"357003";"357003";"43";"8";"2";"1049";"589";"8";"1";"580";"127";"17";"90";"40";"43";"88";"6";"151";"5";"13"
"359001";"359001";"45";"8";"2";"528";"327";"3";"0";"324";"88";"13";"56";"17";"15";"46";"2";"76";"2";"9"
"359002";"359002";"45";"8";"2";"363";"236";"4";"0";"232";"80";"5";"46";"8";"22";"23";"1";"33";"0";"14"
"359003";"359003";"45";"8";"2";"700";"445";"10";"2";"433";"130";"18";"84";"17";"17";"50";"4";"80";"3";"30"
"359006";"359006";"45";"8";"2";"515";"306";"6";"1";"299";"87";"8";"91";"21";"11";"35";"1";"33";"0";"12"
"359102";"359102";"45";"8";"2";"699";"421";"9";"0";"412";"129";"14";"90";"23";"24";"66";"5";"50";"2";"9"
"359107";"359107";"45";"8";"2";"738";"478";"5";"1";"472";"129";"12";"124";"24";"35";"70";"5";"53";"4";"16"
"361001";"361001";"44";"8";"2";"1314";"716";"12";"1";"703";"184";"18";"143";"39";"50";"137";"5";"99";"2";"26"
"361002";"361002";"44";"8";"2";"495";"283";"1";"1";"281";"88";"14";"48";"15";"13";"68";"1";"26";"3";"5"
"361003";"361003";"44";"8";"2";"1167";"716";"15";"0";"701";"190";"37";"150";"33";"61";"115";"2";"81";"5";"27"
"361004";"361004";"44";"8";"2";"769";"420";"4";"4";"412";"138";"16";"63";"29";"28";"46";"7";"64";"3";"18"
"361005";"361005";"44";"8";"2";"455";"281";"1";"2";"278";"55";"13";"40";"9";"21";"44";"2";"82";"2";"10"
"361006";"361006";"44";"8";"2";"241";"165";"2";"0";"163";"22";"7";"23";"5";"14";"23";"0";"54";"0";"15"
"363001";"363001";"46";"8";"2";"4606";"2650";"42";"12";"2596";"953";"77";"604";"166";"141";"417";"31";"135";"16";"56"
"363002";"363002";"46";"8";"2";"78";"55";"0";"0";"55";"8";"3";"8";"2";"10";"9";"3";"11";"0";"1"
"363003";"363003";"46";"8";"2";"946";"504";"9";"0";"495";"206";"21";"85";"29";"22";"69";"4";"45";"4";"10"
"363004";"363004";"46";"8";"2";"438";"283";"2";"0";"281";"92";"5";"61";"13";"17";"23";"15";"41";"0";"14"
"363005";"363005";"46";"8";"2";"862";"531";"12";"3";"516";"233";"18";"99";"26";"18";"59";"5";"42";"1";"15"
"363007";"363007";"46";"8";"2";"959";"627";"10";"0";"617";"176";"29";"122";"47";"39";"64";"11";"104";"5";"20"
"363106";"363106";"46";"8";"2";"798";"483";"5";"1";"477";"136";"14";"87";"43";"31";"63";"8";"66";"4";"25"
"363107";"363107";"46";"8";"2";"407";"217";"2";"0";"215";"68";"5";"46";"14";"17";"27";"2";"16";"3";"17"
"365002";"365002";"44";"8";"2";"607";"365";"5";"0";"360";"52";"10";"61";"21";"29";"74";"4";"79";"1";"29"
"365006";"365006";"44";"8";"2";"1607";"934";"17";"2";"915";"316";"25";"119";"43";"70";"134";"10";"163";"4";"31"
"365007";"365007";"44";"8";"2";"1201";"782";"5";"3";"774";"115";"44";"94";"28";"69";"156";"7";"223";"10";"28"
"365101";"365101";"44";"8";"2";"2365";"1425";"20";"1";"1404";"403";"70";"282";"68";"102";"246";"22";"150";"5";"56"
"365103";"365103";"44";"8";"2";"535";"320";"1";"0";"319";"50";"13";"52";"11";"26";"59";"0";"89";"2";"17"
"365104";"365104";"44";"8";"2";"551";"336";"7";"1";"328";"76";"16";"36";"10";"17";"60";"4";"96";"5";"8"
"365106";"365106";"44";"8";"2";"301";"207";"1";"0";"206";"54";"5";"15";"6";"10";"31";"6";"63";"4";"12"
"365107";"365107";"44";"8";"2";"403";"238";"5";"0";"233";"52";"13";"30";"12";"10";"34";"2";"63";"4";"13"
"365109";"365109";"44";"8";"2";"495";"337";"2";"1";"334";"48";"19";"61";"15";"21";"39";"2";"114";"2";"13"
"365110";"365110";"44";"8";"2";"667";"405";"5";"0";"400";"72";"36";"52";"17";"29";"64";"7";"77";"10";"36"
"365112";"365112";"44";"8";"2";"66";"33";"1";"0";"32";"7";"2";"1";"2";"6";"4";"0";"7";"0";"3"
"367101";"367101";"45";"8";"2";"725";"378";"6";"0";"372";"108";"3";"109";"35";"17";"70";"6";"10";"4";"10"
"367102";"367102";"45";"8";"2";"794";"385";"6";"1";"378";"143";"9";"73";"27";"17";"70";"7";"12";"8";"12"
"367103";"367103";"45";"8";"2";"1844";"981";"11";"3";"967";"475";"15";"96";"97";"28";"200";"13";"20";"9";"14"
"367104";"367104";"45";"8";"2";"1695";"936";"22";"0";"914";"395";"15";"99";"118";"35";"202";"12";"19";"3";"16"
"367105";"367105";"45";"8";"2";"1508";"866";"10";"3";"853";"366";"13";"149";"54";"35";"188";"11";"22";"2";"13"
"367106";"367106";"45";"8";"2";"1261";"739";"12";"0";"727";"286";"11";"128";"70";"37";"135";"9";"23";"4";"24"
"367107";"367107";"45";"8";"2";"1644";"979";"23";"2";"954";"418";"24";"133";"80";"41";"186";"12";"29";"6";"25"
"367108";"367108";"45";"8";"2";"529";"270";"11";"1";"258";"122";"2";"19";"35";"8";"51";"3";"9";"3";"6"
"367109";"367109";"45";"8";"2";"730";"393";"11";"1";"381";"164";"1";"39";"41";"12";"95";"4";"13";"2";"10"
"367110";"367110";"45";"8";"2";"1121";"668";"18";"3";"647";"267";"8";"115";"54";"30";"119";"8";"29";"0";"17"
"367111";"367111";"45";"8";"2";"835";"480";"10";"1";"469";"229";"9";"43";"43";"20";"104";"2";"7";"1";"11"
"367112";"367112";"45";"8";"2";"439";"258";"1";"0";"257";"110";"6";"34";"19";"9";"54";"0";"19";"2";"4"
"369001";"369001";"47";"8";"2";"2132";"1085";"18";"3";"1064";"272";"35";"287";"71";"72";"192";"28";"54";"12";"41"
"369002";"369002";"47";"8";"2";"3300";"1740";"28";"7";"1705";"630";"43";"286";"121";"105";"361";"31";"69";"12";"47"
"369003";"369003";"47";"8";"2";"3535";"1823";"23";"7";"1793";"571";"61";"351";"134";"122";"341";"31";"108";"12";"62"
"369004";"369004";"47";"8";"2";"1824";"974";"14";"5";"955";"322";"12";"212";"75";"53";"168";"20";"47";"6";"40"
"369005";"369005";"47";"8";"2";"2204";"1258";"23";"3";"1232";"414";"41";"279";"83";"79";"218";"24";"61";"8";"25"
"369006";"369006";"47";"8";"2";"650";"383";"5";"0";"378";"122";"16";"59";"19";"22";"53";"9";"63";"7";"8"
"369007";"369007";"47";"8";"2";"1176";"633";"8";"4";"621";"219";"17";"105";"40";"41";"108";"9";"52";"10";"20"
"369008";"369008";"47";"8";"2";"809";"431";"14";"0";"417";"104";"24";"74";"18";"37";"56";"16";"73";"1";"14"
"369009";"369009";"47";"8";"2";"987";"560";"14";"2";"544";"128";"40";"104";"29";"28";"59";"8";"125";"1";"22"
"369010";"369010";"47";"8";"2";"564";"296";"2";"0";"294";"112";"12";"35";"20";"19";"44";"3";"19";"2";"28"
"369011";"369011";"47";"8";"2";"2695";"1534";"18";"8";"1508";"331";"64";"374";"119";"111";"259";"26";"167";"12";"45"
"371001";"371001";"46";"8";"2";"1607";"961";"22";"3";"936";"247";"41";"202";"42";"92";"152";"7";"113";"9";"31"
"371002";"371002";"46";"8";"2";"1165";"746";"17";"2";"727";"194";"60";"101";"38";"55";"91";"8";"141";"7";"32"
"371003";"371003";"46";"8";"2";"908";"560";"9";"4";"547";"148";"36";"98";"14";"38";"43";"4";"132";"0";"34"
"371004";"371004";"46";"8";"2";"882";"521";"4";"0";"517";"124";"24";"127";"27";"29";"48";"6";"104";"1";"27"
"373020";"373020";"43";"8";"2";"2756";"1471";"22";"3";"1446";"431";"37";"302";"106";"110";"242";"34";"126";"12";"46"
"373021";"373021";"43";"8";"2";"2718";"1343";"11";"6";"1326";"330";"33";"322";"145";"63";"265";"35";"80";"27";"26"
"373022";"373022";"43";"8";"2";"4010";"1924";"17";"3";"1904";"624";"44";"301";"225";"110";"389";"35";"119";"19";"38"
"373023";"373023";"43";"8";"2";"4425";"2181";"20";"4";"2157";"560";"57";"459";"201";"170";"398";"70";"137";"24";"81"
"373024";"373024";"43";"8";"2";"3196";"1623";"21";"2";"1600";"484";"38";"288";"150";"128";"326";"40";"88";"9";"49"
"373025";"373025";"43";"8";"2";"2624";"1266";"8";"2";"1256";"461";"38";"176";"129";"86";"200";"34";"94";"6";"32"
"373026";"373026";"43";"8";"2";"2791";"1520";"15";"0";"1505";"311";"52";"397";"116";"137";"233";"28";"177";"10";"44"
"373027";"373027";"43";"8";"2";"2347";"1246";"17";"4";"1225";"275";"46";"283";"105";"101";"165";"45";"153";"7";"45"
"373028";"373028";"43";"8";"2";"4095";"1735";"20";"4";"1711";"487";"32";"276";"253";"87";"381";"37";"82";"17";"59"
"373029";"373029";"43";"8";"2";"625";"337";"3";"0";"334";"78";"5";"44";"30";"28";"63";"4";"62";"7";"13"
"373030";"373030";"43";"8";"2";"572";"355";"2";"0";"353";"48";"7";"93";"19";"30";"63";"1";"79";"5";"8"
"373031";"373031";"43";"8";"2";"596";"373";"3";"0";"370";"87";"9";"87";"24";"20";"44";"4";"71";"2";"22"
"373032";"373032";"43";"8";"2";"1242";"664";"11";"4";"649";"107";"31";"170";"47";"58";"103";"27";"84";"3";"19"
"373033";"373033";"43";"8";"2";"453";"282";"3";"1";"278";"45";"6";"55";"17";"18";"27";"8";"95";"2";"5"
"373034";"373034";"43";"8";"2";"392";"244";"3";"1";"240";"32";"5";"60";"13";"21";"29";"1";"75";"0";"4"
"373035";"373035";"43";"8";"2";"1504";"825";"7";"1";"817";"129";"33";"236";"56";"86";"134";"9";"102";"3";"29"
"375001";"375001";"47";"8";"2";"503";"291";"3";"0";"288";"51";"13";"52";"8";"18";"40";"3";"90";"3";"10"
"375002";"375002";"47";"8";"2";"1159";"605";"11";"3";"591";"119";"29";"125";"31";"54";"81";"3";"106";"5";"38"
"375003";"375003";"47";"8";"2";"1977";"1153";"25";"3";"1125";"277";"71";"255";"57";"64";"156";"16";"179";"6";"44"
"375005";"375005";"47";"8";"2";"494";"280";"5";"1";"274";"52";"22";"38";"11";"20";"47";"2";"68";"4";"10"
"375006";"375006";"47";"8";"2";"583";"338";"5";"0";"333";"84";"20";"39";"15";"28";"46";"2";"85";"3";"11"
"375007";"375007";"47";"8";"2";"377";"220";"2";"0";"218";"46";"24";"33";"18";"8";"18";"3";"56";"0";"12"
"375008";"375008";"47";"8";"2";"638";"340";"7";"1";"332";"87";"15";"73";"11";"21";"47";"4";"47";"3";"24"
"375009";"375009";"47";"8";"2";"675";"339";"4";"1";"334";"91";"23";"51";"26";"25";"52";"13";"33";"1";"19"
"375010";"375010";"47";"8";"2";"1033";"604";"13";"5";"586";"159";"25";"119";"36";"47";"85";"6";"66";"7";"36"
"377001";"377001";"42";"8";"2";"3084";"1733";"10";"3";"1720";"394";"59";"448";"156";"115";"235";"19";"207";"11";"76"
"377002";"377002";"42";"8";"2";"564";"321";"2";"0";"319";"46";"26";"51";"26";"23";"50";"3";"78";"3";"13"
"377003";"377003";"42";"8";"2";"606";"364";"3";"0";"361";"56";"9";"51";"24";"22";"64";"9";"102";"3";"21"
"377004";"377004";"42";"8";"2";"964";"518";"11";"0";"507";"107";"20";"112";"33";"40";"58";"4";"110";"2";"21"
"379001";"379001";"45";"8";"2";"705";"393";"9";"0";"384";"112";"11";"99";"13";"37";"43";"5";"46";"1";"17"
"379002";"379002";"45";"8";"2";"591";"355";"5";"2";"348";"69";"12";"97";"16";"23";"49";"6";"61";"1";"14"
"379003";"379003";"45";"8";"2";"238";"114";"1";"0";"113";"22";"2";"16";"2";"12";"7";"3";"37";"4";"8"
"379005";"379005";"45";"8";"2";"1562";"884";"11";"0";"873";"259";"16";"173";"40";"51";"134";"14";"132";"6";"48"
"379007";"379007";"45";"8";"2";"491";"307";"7";"0";"300";"90";"8";"57";"21";"9";"39";"9";"48";"4";"15"
"379008";"379008";"45";"8";"2";"844";"517";"7";"1";"509";"168";"15";"102";"26";"33";"93";"5";"49";"2";"16"
"379009";"379009";"45";"8";"2";"658";"426";"5";"0";"421";"166";"14";"64";"26";"12";"46";"3";"67";"5";"18"
"379010";"379010";"45";"8";"2";"285";"182";"3";"0";"179";"61";"7";"20";"10";"13";"30";"2";"23";"1";"12"
"381001";"381001";"45";"8";"2";"393";"244";"7";"2";"235";"75";"4";"46";"17";"10";"31";"4";"34";"4";"10"
"381002";"381002";"45";"8";"2";"351";"188";"2";"0";"186";"42";"2";"60";"6";"14";"9";"10";"31";"1";"11"
"381003";"381003";"45";"8";"2";"518";"313";"7";"2";"304";"109";"16";"53";"10";"21";"37";"3";"44";"0";"11"
"381004";"381004";"45";"8";"2";"624";"366";"8";"2";"356";"117";"11";"55";"26";"15";"52";"1";"68";"2";"9"
"381005";"381005";"45";"8";"2";"1170";"750";"20";"4";"726";"220";"26";"147";"35";"43";"75";"6";"122";"4";"48"
"383001";"383001";"46";"8";"2";"2639";"1402";"26";"6";"1370";"379";"57";"280";"110";"107";"180";"21";"184";"9";"43"
"383002";"383002";"46";"8";"2";"2018";"825";"9";"2";"814";"266";"37";"109";"107";"42";"170";"12";"34";"2";"35"
"383003";"383003";"46";"8";"2";"1118";"660";"6";"2";"652";"163";"24";"87";"29";"58";"74";"24";"173";"4";"16"
"385001";"385001";"42";"8";"2";"2063";"1094";"14";"4";"1076";"221";"39";"200";"68";"66";"176";"15";"242";"13";"36"
"385002";"385002";"42";"8";"2";"2434";"1358";"14";"0";"1344";"263";"62";"244";"79";"101";"259";"25";"255";"7";"49"
"387001";"387001";"46";"8";"2";"2102";"1209";"34";"3";"1172";"480";"39";"274";"84";"40";"140";"21";"64";"5";"25"
"387002";"387002";"46";"8";"2";"902";"532";"5";"3";"524";"133";"18";"129";"27";"31";"60";"11";"86";"1";"28"
"387003";"387003";"46";"8";"2";"754";"421";"7";"1";"413";"120";"17";"57";"17";"10";"60";"6";"110";"5";"11"
"387005";"387005";"46";"8";"2";"633";"422";"12";"0";"410";"112";"21";"65";"30";"22";"39";"5";"99";"2";"15"
"387006";"387006";"46";"8";"2";"650";"396";"8";"0";"388";"120";"20";"80";"11";"22";"36";"2";"79";"2";"16"
"387007";"387007";"46";"8";"2";"683";"381";"2";"0";"379";"108";"10";"77";"24";"17";"51";"4";"74";"3";"11"
"387104";"387104";"46";"8";"2";"1717";"992";"22";"1";"969";"390";"33";"197";"57";"54";"109";"12";"81";"3";"33"
"389001";"389001";"42";"8";"2";"3405";"1769";"21";"6";"1742";"385";"51";"431";"100";"144";"255";"27";"282";"18";"49"
"389002";"389002";"42";"8";"2";"1641";"946";"13";"0";"933";"189";"28";"214";"55";"55";"181";"7";"148";"11";"45"
"389003";"389003";"42";"8";"2";"888";"560";"6";"1";"553";"83";"32";"83";"30";"42";"84";"4";"161";"7";"27"
"389004";"389004";"42";"8";"2";"927";"508";"4";"0";"504";"107";"18";"121";"25";"36";"65";"4";"99";"4";"25"
"389005";"389005";"42";"8";"2";"828";"483";"3";"2";"478";"65";"27";"97";"38";"36";"84";"5";"111";"3";"12"
"391005";"391005";"47";"8";"2";"1043";"678";"8";"4";"666";"168";"43";"69";"36";"45";"111";"11";"161";"6";"16"
"391101";"391101";"47";"8";"2";"1630";"966";"9";"2";"955";"292";"35";"211";"68";"55";"181";"15";"67";"1";"30"
"391104";"391104";"47";"8";"2";"827";"494";"6";"2";"486";"115";"38";"65";"17";"37";"70";"7";"106";"3";"28"
"391105";"391105";"47";"8";"2";"279";"189";"3";"1";"185";"41";"5";"23";"8";"9";"32";"5";"50";"1";"11"
"391106";"391106";"47";"8";"2";"235";"155";"2";"0";"153";"32";"6";"38";"9";"5";"13";"2";"40";"0";"8"
"391107";"391107";"47";"8";"2";"345";"218";"5";"1";"212";"53";"7";"33";"18";"12";"36";"0";"46";"3";"4"
"391108";"391108";"47";"8";"2";"948";"559";"13";"1";"545";"108";"28";"90";"18";"45";"85";"7";"138";"6";"20"
"393001";"393001";"43";"8";"2";"2048";"1204";"17";"4";"1183";"270";"43";"176";"103";"95";"201";"27";"219";"18";"31"
"393002";"393002";"43";"8";"2";"451";"264";"5";"0";"259";"49";"9";"42";"19";"20";"40";"12";"61";"3";"4"
"393003";"393003";"43";"8";"2";"476";"266";"5";"1";"260";"44";"16";"42";"13";"18";"29";"7";"79";"1";"11"
"393004";"393004";"43";"8";"2";"2114";"1080";"18";"5";"1057";"279";"35";"150";"93";"61";"184";"18";"180";"11";"46"
"393005";"393005";"43";"8";"2";"728";"429";"4";"0";"425";"70";"16";"70";"33";"39";"73";"5";"104";"4";"11"
"395001";"395001";"47";"8";"2";"1469";"808";"12";"2";"794";"168";"28";"168";"53";"61";"115";"2";"171";"5";"23"
"395002";"395002";"47";"8";"2";"2062";"1195";"30";"2";"1163";"242";"41";"318";"55";"72";"156";"20";"194";"5";"60"
"395003";"395003";"47";"8";"2";"391";"239";"2";"0";"237";"58";"8";"48";"12";"8";"22";"6";"65";"1";"9"
"395004";"395004";"47";"8";"2";"1157";"634";"12";"3";"619";"172";"5";"113";"46";"48";"133";"11";"46";"10";"35"
"397001";"397001";"44";"8";"2";"5416";"2884";"34";"11";"2839";"851";"67";"651";"190";"188";"558";"34";"200";"22";"78"
"397002";"397002";"44";"8";"2";"1914";"962";"13";"1";"948";"346";"24";"149";"88";"60";"185";"10";"50";"5";"31"
"397003";"397003";"44";"8";"2";"1541";"919";"13";"0";"906";"168";"15";"215";"90";"70";"171";"13";"129";"7";"28"
"397004";"397004";"44";"8";"2";"1917";"1018";"15";"1";"1002";"297";"26";"173";"64";"73";"193";"13";"114";"20";"29"
"397005";"397005";"44";"8";"2";"666";"397";"2";"0";"395";"72";"16";"115";"21";"34";"56";"10";"51";"2";"18"
"397006";"397006";"44";"8";"2";"948";"465";"5";"0";"460";"95";"12";"75";"32";"48";"86";"6";"79";"6";"21"
"397007";"397007";"44";"8";"2";"181";"107";"0";"0";"107";"16";"0";"33";"10";"8";"8";"0";"23";"0";"9"
"397008";"397008";"44";"8";"2";"769";"431";"10";"1";"420";"80";"13";"58";"29";"24";"80";"8";"110";"2";"16"
"397009";"397009";"44";"8";"2";"1500";"745";"11";"1";"733";"206";"27";"144";"62";"38";"109";"12";"106";"3";"26"
"397010";"397010";"44";"8";"2";"288";"162";"1";"0";"161";"19";"7";"30";"7";"12";"25";"0";"50";"1";"10"
"401001";"401001";"49";"9";"2";"1623";"761";"14";"2";"745";"157";"13";"94";"58";"25";"203";"37";"104";"4";"50"
"401002";"401002";"49";"9";"2";"1313";"642";"11";"1";"630";"91";"7";"118";"35";"27";"162";"38";"106";"3";"43"
"401003";"401003";"49";"9";"2";"466";"290";"10";"2";"278";"39";"17";"37";"12";"19";"45";"10";"83";"3";"13"
"401004";"401004";"49";"9";"2";"812";"503";"8";"1";"494";"64";"13";"54";"17";"37";"59";"54";"161";"3";"32"
"401005";"401005";"49";"9";"2";"692";"401";"10";"1";"390";"65";"9";"75";"14";"31";"89";"33";"48";"1";"25"
"401006";"401006";"49";"9";"2";"1491";"880";"15";"3";"862";"131";"33";"91";"26";"57";"122";"99";"230";"7";"66"
"403001";"403001";"48";"9";"2";"1475";"812";"29";"2";"781";"209";"8";"108";"35";"29";"169";"46";"113";"5";"59"
"403002";"403002";"48";"9";"2";"1597";"850";"18";"1";"831";"124";"19";"84";"43";"56";"112";"75";"221";"6";"91"
"403003";"403003";"48";"9";"2";"1394";"724";"11";"3";"710";"183";"20";"101";"38";"31";"91";"65";"138";"5";"38"
"403005";"403005";"48";"9";"2";"651";"396";"5";"0";"391";"99";"3";"41";"15";"17";"63";"23";"101";"1";"28"
"405001";"405001";"49";"9";"2";"2952";"1231";"17";"3";"1211";"254";"27";"234";"50";"54";"241";"91";"202";"1";"57"
"405003";"405003";"49";"9";"2";"903";"470";"10";"0";"460";"73";"9";"54";"19";"16";"83";"38";"143";"4";"21"
"405004";"405004";"49";"9";"2";"851";"430";"3";"1";"426";"63";"13";"80";"18";"28";"92";"18";"79";"1";"34"
"405005";"405005";"49";"9";"2";"952";"463";"4";"1";"458";"70";"18";"80";"22";"25";"76";"28";"98";"4";"37"
"405102";"405102";"49";"9";"2";"899";"493";"14";"0";"479";"79";"8";"76";"31";"21";"145";"24";"67";"4";"24"
"405105";"405105";"49";"9";"2";"247";"130";"1";"0";"129";"16";"0";"16";"7";"5";"30";"16";"30";"1";"8"
"407001";"407001";"48";"9";"2";"11885";"7713";"357";"43";"7313";"2011";"143";"1056";"521";"380";"1627";"326";"706";"33";"510"
"409001";"409001";"49";"9";"2";"2789";"1504";"37";"5";"1462";"316";"46";"162";"49";"103";"212";"128";"335";"10";"101"
"409003";"409003";"49";"9";"2";"807";"411";"4";"2";"405";"94";"3";"71";"12";"29";"64";"4";"97";"1";"30"
"409004";"409004";"49";"9";"2";"631";"348";"5";"0";"343";"67";"12";"23";"13";"11";"49";"30";"106";"1";"31"
"409005";"409005";"49";"9";"2";"1242";"660";"9";"0";"651";"133";"17";"87";"34";"38";"73";"48";"187";"2";"32"
"411001";"411001";"49";"9";"2";"91";"64";"0";"0";"64";"9";"5";"8";"5";"0";"21";"2";"11";"1";"2"
"421001";"421001";"54";"10";"2";"5186";"2625";"36";"11";"2578";"704";"76";"586";"196";"140";"441";"67";"265";"24";"79"
"421002";"421002";"54";"10";"2";"1424";"757";"10";"2";"745";"160";"20";"145";"49";"42";"107";"20";"182";"3";"17"
"421003";"421003";"54";"10";"2";"721";"405";"9";"0";"396";"80";"12";"77";"13";"28";"64";"5";"93";"5";"19"
"421004";"421004";"54";"10";"2";"785";"449";"3";"1";"445";"77";"15";"82";"30";"28";"58";"9";"128";"0";"18"
"421005";"421005";"54";"10";"2";"221";"142";"0";"1";"141";"19";"4";"23";"7";"11";"11";"4";"58";"0";"4"
"421006";"421006";"54";"10";"2";"55";"43";"0";"0";"43";"0";"3";"6";"0";"5";"2";"0";"25";"0";"2"
"423001";"423001";"55";"10";"2";"2476";"1336";"15";"2";"1319";"366";"47";"275";"103";"74";"234";"34";"155";"3";"28"
"423002";"423002";"55";"10";"2";"310";"166";"2";"0";"164";"30";"12";"20";"7";"13";"17";"4";"56";"1";"4"
"423003";"423003";"55";"10";"2";"398";"226";"0";"0";"226";"49";"12";"39";"11";"13";"28";"2";"60";"3";"9"
"423004";"423004";"55";"10";"2";"325";"210";"2";"0";"208";"19";"6";"34";"9";"17";"13";"6";"102";"0";"2"
"423005";"423005";"55";"10";"2";"484";"237";"1";"0";"236";"26";"25";"52";"6";"12";"40";"9";"54";"0";"12"
"423006";"423006";"55";"10";"2";"712";"374";"1";"0";"373";"73";"38";"62";"16";"23";"44";"12";"94";"0";"11"
"425001";"425001";"58";"10";"2";"1569";"868";"11";"1";"856";"136";"39";"182";"46";"65";"135";"14";"217";"3";"19"
"425002";"425002";"58";"10";"2";"1251";"692";"9";"0";"683";"144";"37";"164";"41";"45";"112";"5";"103";"5";"27"
"425003";"425003";"58";"10";"2";"1084";"556";"8";"1";"547";"91";"26";"130";"34";"29";"73";"12";"129";"1";"22"
"425004";"425004";"58";"10";"2";"936";"497";"3";"1";"493";"58";"32";"79";"26";"20";"84";"5";"168";"2";"19"
