"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2009 - Stemmeberettigede";"EV2009 - Afgivne stemmer";"EV2009 - Blanke stemmer";"EV2009 - Andre ugyldige stemmer";"EV2009 - Gyldige stemmer";"EV2009 - A. Socialdemokratiet";"EV2009 - B. Det Radikale Venstre";"EV2009 - C. Det Konservative Folkeparti";"EV2009 - F. SF - Socialistisk Folkeparti";"EV2009 - I. Liberal Alliance";"EV2009 - J. JuniBevægelsen";"EV2009 - N. Folkebevægelsen mod EU";"EV2009 - O. Dansk Folkeparti";"EV2009 - V. Venstre, Danmarks Liberale Parti"
"219007";"219007";"23";"3";"1";"3309";"2251";"84";"5";"2162";"470";"108";"288";"357";"7";"46";"164";"280";"442"
"219008";"219008";"23";"3";"1";"1446";"1054";"21";"2";"1031";"175";"74";"147";"194";"7";"26";"65";"108";"235"
"219009";"219009";"23";"3";"1";"780";"604";"10";"1";"593";"105";"47";"92";"112";"2";"24";"34";"33";"144"
"219010";"219010";"23";"3";"1";"3102";"2166";"52";"5";"2109";"479";"97";"289";"403";"11";"57";"174";"217";"382"
"219011";"219011";"23";"3";"1";"4905";"3026";"84";"6";"2936";"632";"151";"361";"517";"17";"68";"268";"365";"557"
"219012";"219012";"23";"3";"1";"1474";"924";"13";"2";"909";"142";"36";"134";"102";"5";"17";"90";"176";"207"
"219013";"219013";"23";"3";"1";"1836";"1103";"47";"2";"1054";"200";"29";"188";"121";"3";"21";"61";"166";"265"
"219014";"219014";"23";"3";"1";"951";"646";"11";"1";"634";"101";"22";"131";"64";"2";"13";"46";"126";"129"
"219015";"219015";"23";"3";"1";"433";"270";"6";"0";"264";"15";"11";"50";"32";"1";"9";"17";"55";"74"
"219016";"219016";"23";"3";"1";"956";"649";"19";"1";"629";"111";"24";"67";"90";"3";"16";"43";"114";"161"
"223001";"223001";"22";"3";"1";"4561";"3124";"60";"9";"3055";"327";"197";"753";"265";"27";"55";"120";"439";"872"
"223002";"223002";"22";"3";"1";"4782";"3400";"66";"5";"3329";"485";"187";"757";"313";"25";"58";"131";"455";"918"
"223003";"223003";"22";"3";"1";"3210";"2448";"29";"1";"2418";"166";"136";"709";"141";"34";"21";"48";"252";"911"
"223004";"223004";"22";"3";"1";"350";"258";"7";"0";"251";"17";"18";"48";"17";"1";"4";"21";"53";"72"
"223005";"223005";"22";"3";"1";"4906";"3368";"59";"10";"3299";"376";"169";"847";"253";"40";"57";"112";"432";"1013"
"230001";"230001";"26";"3";"1";"2985";"2118";"23";"7";"2088";"321";"194";"317";"300";"17";"34";"136";"234";"535"
"230002";"230002";"26";"3";"1";"4600";"3227";"57";"3";"3167";"483";"322";"441";"570";"36";"87";"218";"327";"683"
"230003";"230003";"26";"3";"1";"3714";"2554";"52";"9";"2493";"431";"208";"348";"363";"20";"54";"181";"273";"615"
"230004";"230004";"26";"3";"1";"2829";"2002";"45";"4";"1953";"310";"193";"283";"332";"12";"50";"136";"190";"447"
"230005";"230005";"26";"3";"1";"1588";"1100";"16";"3";"1081";"116";"91";"208";"100";"13";"23";"60";"97";"373"
"230011";"230011";"26";"3";"1";"2795";"2055";"30";"1";"2024";"199";"139";"412";"195";"35";"28";"68";"190";"758"
"230012";"230012";"26";"3";"1";"2300";"1558";"27";"4";"1527";"179";"103";"305";"170";"11";"33";"73";"175";"478"
"230013";"230013";"26";"3";"1";"2487";"1980";"31";"2";"1947";"249";"183";"356";"214";"20";"23";"72";"145";"685"
"230014";"230014";"26";"3";"1";"2438";"1839";"40";"3";"1796";"205";"135";"322";"215";"19";"43";"95";"186";"576"
"230015";"230015";"26";"3";"1";"3729";"2511";"70";"12";"2429";"429";"156";"384";"331";"13";"48";"124";"331";"613"
"230016";"230016";"26";"3";"1";"3785";"2727";"42";"8";"2677";"394";"164";"503";"276";"22";"61";"106";"324";"827"
"230017";"230017";"26";"3";"1";"1305";"913";"19";"0";"894";"59";"55";"201";"70";"13";"5";"13";"129";"349"
"230018";"230018";"26";"3";"1";"3679";"2721";"49";"2";"2670";"249";"202";"534";"255";"25";"41";"96";"275";"993"
"240001";"240001";"25";"3";"1";"798";"575";"11";"1";"563";"73";"22";"98";"93";"5";"17";"45";"109";"101"
"240002";"240002";"25";"3";"1";"6844";"4683";"138";"8";"4537";"865";"205";"710";"660";"36";"108";"283";"742";"928"
"240003";"240003";"25";"3";"1";"4057";"2668";"72";"12";"2584";"488";"132";"323";"281";"10";"54";"175";"484";"637"
"240004";"240004";"25";"3";"1";"1378";"985";"29";"3";"953";"174";"52";"123";"171";"5";"20";"63";"156";"189"
"240005";"240005";"25";"3";"1";"2505";"1808";"47";"6";"1755";"280";"112";"256";"294";"11";"32";"110";"221";"439"
"240006";"240006";"25";"3";"1";"1226";"900";"24";"2";"874";"120";"64";"86";"146";"17";"33";"86";"131";"191"
"240007";"240007";"25";"3";"1";"4665";"3031";"98";"4";"2929";"571";"102";"420";"374";"26";"62";"197";"570";"607"
"240008";"240008";"25";"3";"1";"4437";"2783";"92";"12";"2679";"528";"100";"346";"378";"22";"55";"172";"515";"563"
"240009";"240009";"25";"3";"1";"2626";"1671";"57";"1";"1613";"306";"86";"198";"211";"17";"28";"97";"305";"365"
"240010";"240010";"25";"3";"1";"452";"313";"7";"0";"306";"39";"26";"35";"54";"4";"8";"19";"41";"80"
"250001";"250001";"24";"3";"1";"5144";"2973";"67";"16";"2890";"620";"102";"316";"429";"23";"54";"237";"568";"541"
"250002";"250002";"24";"3";"1";"4688";"3007";"81";"2";"2924";"525";"122";"343";"397";"15";"57";"224";"627";"614"
"250003";"250003";"24";"3";"1";"4414";"2938";"63";"4";"2871";"555";"108";"364";"412";"20";"52";"194";"595";"571"
"250004";"250004";"24";"3";"1";"5448";"3234";"81";"12";"3141";"586";"94";"360";"459";"25";"57";"280";"665";"615"
"250005";"250005";"24";"3";"1";"4618";"2778";"55";"10";"2713";"588";"85";"248";"523";"14";"67";"266";"531";"391"
"250006";"250006";"24";"3";"1";"2676";"1464";"36";"6";"1422";"252";"32";"130";"279";"7";"35";"130";"311";"246"
"250007";"250007";"24";"3";"1";"2891";"1893";"45";"5";"1843";"318";"69";"244";"266";"10";"30";"118";"323";"465"
"250008";"250008";"24";"3";"1";"2800";"1799";"43";"4";"1752";"296";"50";"214";"252";"7";"37";"121";"364";"411"
"253001";"253001";"35";"5";"2";"7220";"3429";"74";"8";"3347";"725";"97";"310";"447";"14";"61";"245";"879";"569"
"253002";"253002";"35";"5";"2";"5373";"3535";"76";"7";"3452";"586";"105";"473";"321";"22";"59";"155";"825";"906"
"253003";"253003";"35";"5";"2";"7602";"4722";"130";"11";"4581";"797";"162";"550";"515";"27";"89";"302";"1063";"1076"
"253004";"253004";"35";"5";"2";"3736";"2608";"60";"1";"2547";"452";"101";"339";"242";"21";"62";"128";"509";"693"
"253005";"253005";"35";"5";"2";"5836";"3779";"94";"9";"3676";"659";"138";"493";"360";"17";"64";"199";"792";"954"
"253006";"253006";"35";"5";"2";"4513";"2839";"81";"8";"2750";"546";"86";"347";"310";"18";"55";"163";"602";"623"
"259001";"259001";"34";"5";"2";"3147";"1938";"59";"2";"1877";"392";"74";"259";"335";"5";"27";"105";"326";"354"
"259002";"259002";"34";"5";"2";"4214";"2287";"87";"8";"2192";"609";"71";"199";"354";"2";"32";"153";"416";"356"
"259003";"259003";"34";"5";"2";"730";"508";"16";"1";"491";"101";"14";"63";"62";"4";"6";"34";"86";"121"
"259004";"259004";"34";"5";"2";"1520";"914";"33";"3";"878";"167";"21";"119";"127";"2";"12";"37";"204";"189"
"259005";"259005";"34";"5";"2";"3925";"2136";"74";"12";"2050";"486";"77";"199";"303";"10";"39";"140";"466";"330"
"259006";"259006";"34";"5";"2";"2847";"1694";"46";"2";"1646";"339";"46";"195";"168";"8";"32";"96";"397";"365"
"259007";"259007";"34";"5";"2";"2377";"1376";"38";"4";"1334";"281";"44";"136";"220";"7";"28";"101";"242";"275"
"259008";"259008";"34";"5";"2";"1025";"645";"30";"3";"612";"103";"18";"78";"109";"6";"9";"41";"126";"122"
"259009";"259009";"34";"5";"2";"3669";"2187";"78";"4";"2105";"516";"70";"194";"366";"5";"48";"160";"382";"364"
"259010";"259010";"34";"5";"2";"3726";"2310";"73";"3";"2234";"482";"87";"263";"349";"20";"39";"146";"377";"471"
"259011";"259011";"34";"5";"2";"2480";"1418";"43";"11";"1364";"288";"32";"151";"289";"2";"23";"111";"247";"221"
"259012";"259012";"34";"5";"2";"4115";"2713";"86";"11";"2616";"498";"85";"425";"400";"16";"44";"206";"449";"493"
"259013";"259013";"34";"5";"2";"2533";"1585";"43";"2";"1540";"298";"47";"207";"186";"20";"32";"102";"309";"339"
"259014";"259014";"34";"5";"2";"985";"597";"16";"2";"579";"94";"21";"89";"66";"1";"12";"24";"122";"150"
"259015";"259015";"34";"5";"2";"2463";"1515";"40";"5";"1470";"240";"47";"217";"136";"11";"19";"71";"367";"362"
"259016";"259016";"34";"5";"2";"1251";"831";"25";"4";"802";"157";"17";"119";"96";"6";"15";"58";"175";"159"
"260001";"260001";"24";"3";"1";"7527";"4171";"93";"12";"4066";"880";"132";"407";"739";"11";"118";"383";"804";"592"
"260002";"260002";"24";"3";"1";"3024";"1628";"44";"3";"1581";"425";"41";"153";"235";"5";"40";"117";"311";"254"
"260003";"260003";"24";"3";"1";"7138";"3591";"74";"10";"3507";"1060";"94";"387";"491";"14";"85";"269";"627";"480"
"260004";"260004";"24";"3";"1";"2332";"1338";"38";"5";"1295";"250";"40";"164";"154";"9";"26";"95";"313";"244"
"260005";"260005";"24";"3";"1";"3168";"1890";"37";"5";"1848";"457";"60";"208";"275";"11";"33";"155";"358";"291"
"265001";"265001";"36";"5";"2";"4488";"2877";"68";"9";"2800";"555";"161";"323";"660";"20";"92";"276";"266";"447"
"265002";"265002";"36";"5";"2";"4292";"3029";"63";"8";"2958";"595";"163";"452";"539";"15";"75";"207";"334";"578"
"265003";"265003";"36";"5";"2";"6082";"3855";"99";"13";"3743";"877";"187";"339";"978";"13";"95";"399";"402";"453"
"265004";"265004";"36";"5";"2";"3429";"2062";"56";"6";"2000";"469";"129";"169";"438";"8";"54";"181";"296";"256"
"265005";"265005";"36";"5";"2";"4902";"2854";"75";"10";"2769";"639";"111";"283";"507";"15";"64";"266";"507";"377"
"265006";"265006";"36";"5";"2";"5535";"4041";"97";"6";"3938";"694";"276";"631";"682";"47";"85";"224";"432";"867"
"265007";"265007";"36";"5";"2";"3227";"2249";"58";"5";"2186";"467";"112";"302";"366";"10";"48";"151";"303";"427"
"265008";"265008";"36";"5";"2";"1724";"1201";"28";"0";"1173";"219";"57";"166";"174";"4";"30";"95";"180";"248"
"265009";"265009";"36";"5";"2";"846";"537";"19";"0";"518";"79";"22";"60";"92";"5";"16";"42";"103";"99"
"265010";"265010";"36";"5";"2";"4804";"2272";"62";"4";"2206";"537";"74";"197";"443";"13";"54";"250";"371";"267"
"265011";"265011";"36";"5";"2";"2367";"1571";"32";"2";"1537";"261";"78";"159";"239";"7";"44";"126";"265";"358"
"265013";"265013";"36";"5";"2";"4437";"2764";"66";"9";"2689";"476";"107";"374";"329";"22";"58";"166";"538";"619"
"265014";"265014";"36";"5";"2";"1881";"1322";"41";"10";"1271";"280";"32";"181";"179";"11";"29";"87";"236";"236"
"265015";"265015";"36";"5";"2";"2699";"1823";"38";"4";"1781";"286";"84";"275";"166";"11";"23";"96";"343";"497"
"265016";"265016";"36";"5";"2";"1640";"1107";"31";"1";"1075";"230";"45";"131";"144";"4";"22";"66";"193";"240"
"265017";"265017";"36";"5";"2";"3148";"2152";"66";"6";"2080";"503";"90";"259";"268";"10";"42";"133";"336";"439"
"265018";"265018";"36";"5";"2";"817";"537";"14";"1";"522";"82";"24";"60";"70";"1";"17";"33";"100";"135"
"265020";"265020";"36";"5";"2";"1151";"771";"14";"2";"755";"166";"23";"85";"90";"3";"23";"59";"116";"190"
"265021";"265021";"36";"5";"2";"1864";"1301";"26";"5";"1270";"223";"107";"129";"385";"11";"34";"122";"102";"157"
"269001";"269001";"35";"5";"2";"3145";"1945";"67";"3";"1875";"376";"71";"235";"229";"14";"31";"133";"416";"370"
"269002";"269002";"35";"5";"2";"607";"414";"8";"1";"405";"47";"18";"49";"55";"7";"14";"23";"72";"120"
"269003";"269003";"35";"5";"2";"549";"400";"3";"1";"396";"73";"14";"45";"45";"3";"11";"21";"71";"113"
"269004";"269004";"35";"5";"2";"4111";"2676";"68";"8";"2600";"431";"81";"335";"246";"17";"63";"166";"539";"722"
"269005";"269005";"35";"5";"2";"6545";"4125";"89";"8";"4028";"768";"144";"495";"443";"19";"74";"224";"767";"1094"
"270001";"270001";"23";"3";"1";"3635";"2121";"53";"6";"2062";"322";"71";"218";"270";"13";"45";"150";"512";"461"
"270002";"270002";"23";"3";"1";"2413";"1468";"35";"6";"1427";"197";"60";"161";"230";"9";"34";"174";"225";"337"
"270003";"270003";"23";"3";"1";"404";"287";"9";"0";"278";"36";"5";"40";"41";"1";"12";"21";"43";"79"
"270004";"270004";"23";"3";"1";"3554";"2061";"62";"3";"1996";"333";"69";"258";"288";"9";"45";"161";"352";"481"
"270005";"270005";"23";"3";"1";"1674";"1146";"20";"4";"1122";"194";"54";"174";"140";"8";"19";"56";"179";"298"
"270006";"270006";"23";"3";"1";"5099";"3106";"84";"7";"3015";"459";"114";"409";"477";"21";"59";"243";"551";"682"
"270007";"270007";"23";"3";"1";"1198";"705";"14";"1";"690";"94";"29";"81";"118";"4";"20";"72";"107";"165"
"270008";"270008";"23";"3";"1";"5730";"3543";"129";"12";"3402";"650";"112";"464";"449";"20";"64";"217";"632";"794"
"270009";"270009";"23";"3";"1";"753";"505";"5";"0";"500";"69";"23";"64";"83";"5";"10";"48";"61";"137"
"270010";"270010";"23";"3";"1";"2213";"1413";"36";"3";"1374";"206";"52";"154";"220";"11";"37";"122";"230";"342"
"270011";"270011";"23";"3";"1";"2274";"1413";"37";"5";"1371";"235";"52";"151";"187";"12";"28";"136";"294";"276"
"270012";"270012";"23";"3";"1";"1498";"1057";"30";"3";"1024";"174";"76";"99";"213";"12";"37";"96";"117";"200"
"306001";"306001";"38";"5";"2";"3147";"1843";"64";"3";"1776";"345";"60";"223";"266";"8";"51";"121";"342";"360"
"306002";"306002";"38";"5";"2";"2996";"1611";"55";"4";"1552";"319";"56";"175";"241";"8";"41";"99";"291";"322"
"306003";"306003";"38";"5";"2";"1950";"1077";"21";"1";"1055";"211";"34";"108";"162";"1";"27";"92";"220";"200"
"306004";"306004";"38";"5";"2";"2573";"1457";"51";"4";"1402";"272";"49";"148";"253";"7";"42";"96";"246";"289"
"306005";"306005";"38";"5";"2";"1116";"660";"16";"7";"637";"122";"14";"40";"88";"1";"20";"54";"173";"125"
"306006";"306006";"38";"5";"2";"2477";"1407";"49";"1";"1357";"242";"63";"157";"189";"3";"35";"95";"267";"306"
"306007";"306007";"38";"5";"2";"4914";"2734";"84";"2";"2648";"626";"105";"272";"445";"7";"61";"225";"490";"417"
"306008";"306008";"38";"5";"2";"1312";"873";"17";"0";"856";"151";"40";"95";"143";"1";"36";"65";"155";"170"
"306010";"306010";"38";"5";"2";"1173";"721";"14";"0";"707";"125";"21";"74";"122";"3";"20";"78";"132";"132"
"306011";"306011";"38";"5";"2";"2927";"1558";"44";"2";"1512";"252";"57";"149";"262";"4";"43";"109";"353";"283"
"306012";"306012";"38";"5";"2";"569";"346";"5";"0";"341";"51";"13";"40";"67";"2";"5";"29";"64";"70"
"306013";"306013";"38";"5";"2";"846";"503";"32";"1";"470";"76";"11";"54";"76";"6";"20";"45";"108";"74"
"316001";"316001";"37";"5";"2";"5888";"3475";"104";"4";"3367";"671";"226";"446";"699";"9";"80";"263";"405";"568"
"316002";"316002";"37";"5";"2";"6947";"3542";"100";"9";"3433";"818";"143";"367";"677";"15";"67";"278";"536";"532"
"316003";"316003";"37";"5";"2";"5815";"3427";"79";"4";"3344";"732";"193";"433";"603";"19";"59";"224";"459";"622"
"316004";"316004";"37";"5";"2";"2257";"1490";"52";"3";"1435";"265";"90";"189";"240";"11";"27";"86";"211";"316"
"316005";"316005";"37";"5";"2";"736";"444";"8";"2";"434";"84";"12";"19";"86";"1";"23";"43";"94";"72"
"316006";"316006";"37";"5";"2";"2994";"1963";"59";"4";"1900";"365";"75";"211";"324";"12";"36";"135";"322";"420"
"316007";"316007";"37";"5";"2";"859";"493";"21";"6";"466";"67";"26";"59";"72";"3";"10";"42";"93";"94"
"316008";"316008";"37";"5";"2";"1812";"1165";"39";"3";"1123";"196";"39";"129";"177";"1";"18";"92";"228";"243"
"316009";"316009";"37";"5";"2";"3019";"1753";"58";"7";"1688";"311";"52";"192";"261";"5";"56";"141";"280";"390"
"316010";"316010";"37";"5";"2";"1485";"839";"35";"1";"803";"150";"24";"77";"111";"2";"18";"72";"161";"188"
"316011";"316011";"37";"5";"2";"2688";"1537";"56";"3";"1478";"322";"65";"156";"198";"7";"29";"78";"274";"349"
"316012";"316012";"37";"5";"2";"1274";"796";"31";"4";"761";"120";"31";"100";"85";"2";"14";"60";"154";"195"
"316013";"316013";"37";"5";"2";"1172";"682";"25";"0";"657";"141";"18";"67";"96";"1";"18";"47";"129";"140"
"316014";"316014";"37";"5";"2";"3657";"2128";"71";"3";"2054";"452";"65";"244";"345";"9";"41";"130";"328";"440"
"316015";"316015";"37";"5";"2";"816";"479";"19";"0";"460";"74";"20";"46";"75";"1";"15";"31";"108";"90"
"316016";"316016";"37";"5";"2";"2292";"1261";"51";"4";"1206";"237";"45";"124";"183";"4";"40";"70";"236";"267"
"316017";"316017";"37";"5";"2";"3506";"2195";"66";"5";"2124";"416";"120";"214";"349";"8";"56";"149";"362";"450"
"316018";"316018";"37";"5";"2";"1363";"865";"27";"6";"832";"141";"38";"83";"155";"6";"25";"70";"157";"157"
"316019";"316019";"37";"5";"2";"1342";"811";"39";"4";"768";"156";"20";"80";"121";"3";"30";"57";"148";"153"
"316020";"316020";"37";"5";"2";"1069";"627";"18";"2";"607";"90";"15";"90";"76";"3";"14";"42";"127";"150"
"320001";"320001";"33";"5";"2";"5195";"3150";"86";"13";"3051";"626";"95";"367";"477";"12";"71";"249";"555";"599"
"320002";"320002";"33";"5";"2";"6001";"3449";"82";"3";"3364";"628";"120";"447";"510";"15";"95";"271";"629";"649"
"320003";"320003";"33";"5";"2";"3643";"2075";"59";"12";"2004";"517";"50";"227";"216";"6";"32";"149";"399";"408"
"320004";"320004";"33";"5";"2";"3144";"1891";"58";"8";"1825";"358";"52";"161";"319";"5";"58";"165";"358";"349"
"320005";"320005";"33";"5";"2";"3076";"1810";"52";"4";"1754";"306";"43";"193";"230";"12";"46";"133";"411";"380"
"320006";"320006";"33";"5";"2";"2643";"1653";"54";"9";"1590";"262";"59";"193";"215";"13";"28";"94";"323";"403"
"320007";"320007";"33";"5";"2";"2822";"1720";"49";"5";"1666";"310";"46";"223";"175";"13";"47";"107";"365";"380"
"326001";"326001";"38";"5";"2";"2761";"1417";"34";"1";"1382";"226";"29";"136";"240";"2";"32";"111";"338";"268"
"326002";"326002";"38";"5";"2";"322";"229";"6";"1";"222";"39";"10";"23";"31";"0";"2";"24";"46";"47"
"326003";"326003";"38";"5";"2";"3365";"1739";"54";"6";"1679";"338";"46";"138";"277";"5";"46";"126";"347";"356"
"326004";"326004";"38";"5";"2";"2340";"1232";"71";"5";"1156";"267";"10";"110";"166";"2";"23";"73";"225";"280"
"326005";"326005";"38";"5";"2";"1344";"818";"27";"5";"786";"145";"14";"48";"101";"1";"17";"55";"150";"255"
"326006";"326006";"38";"5";"2";"500";"320";"7";"1";"312";"51";"10";"33";"57";"2";"7";"21";"71";"60"
"326007";"326007";"38";"5";"2";"880";"541";"10";"3";"528";"99";"7";"45";"59";"2";"5";"31";"127";"153"
"326008";"326008";"38";"5";"2";"2438";"1317";"42";"2";"1273";"272";"33";"134";"158";"7";"18";"66";"264";"321"
"326009";"326009";"38";"5";"2";"2042";"1150";"54";"2";"1094";"232";"26";"105";"166";"6";"31";"68";"222";"238"
"326010";"326010";"38";"5";"2";"1398";"809";"15";"3";"791";"102";"14";"93";"142";"4";"27";"79";"146";"184"
"326011";"326011";"38";"5";"2";"1795";"1041";"49";"4";"988";"192";"26";"129";"150";"3";"14";"54";"208";"212"
"326012";"326012";"38";"5";"2";"1127";"656";"29";"3";"624";"100";"16";"59";"91";"2";"18";"51";"130";"157"
"326013";"326013";"38";"5";"2";"3112";"1677";"40";"5";"1632";"351";"64";"124";"267";"8";"32";"115";"276";"395"
"326014";"326014";"38";"5";"2";"2648";"1281";"29";"2";"1250";"293";"41";"87";"209";"4";"21";"87";"310";"198"
"326015";"326015";"38";"5";"2";"1306";"722";"23";"0";"699";"147";"23";"65";"108";"2";"19";"39";"130";"166"
"326016";"326016";"38";"5";"2";"2605";"1450";"45";"5";"1400";"287";"47";"116";"184";"8";"21";"55";"362";"320"
"326017";"326017";"38";"5";"2";"3463";"2154";"49";"3";"2102";"427";"61";"163";"310";"9";"45";"114";"436";"537"
"326018";"326018";"38";"5";"2";"696";"464";"6";"0";"458";"72";"9";"28";"72";"0";"17";"30";"111";"119"
"326019";"326019";"38";"5";"2";"3214";"1748";"38";"3";"1707";"380";"54";"143";"192";"8";"25";"81";"350";"474"
"329001";"329001";"39";"5";"2";"7393";"4078";"123";"7";"3948";"874";"169";"565";"523";"21";"70";"215";"650";"861"
"329002";"329002";"39";"5";"2";"596";"384";"9";"1";"374";"43";"4";"45";"74";"2";"6";"19";"73";"108"
"329003";"329003";"39";"5";"2";"571";"367";"20";"2";"345";"73";"11";"35";"49";"4";"15";"16";"61";"81"
"329004";"329004";"39";"5";"2";"3716";"2208";"73";"6";"2129";"491";"51";"236";"266";"8";"22";"127";"466";"462"
"329005";"329005";"39";"5";"2";"991";"628";"16";"0";"612";"88";"22";"52";"97";"2";"23";"56";"116";"156"
"329006";"329006";"39";"5";"2";"4263";"2350";"88";"5";"2257";"543";"62";"260";"376";"12";"51";"150";"416";"387"
"329008";"329008";"39";"5";"2";"1058";"748";"19";"1";"728";"141";"43";"55";"200";"2";"22";"70";"88";"107"
"329009";"329009";"39";"5";"2";"977";"547";"13";"0";"534";"92";"15";"79";"67";"5";"10";"43";"100";"123"
"329010";"329010";"39";"5";"2";"1022";"692";"24";"0";"668";"149";"20";"77";"89";"5";"19";"34";"117";"158"
"329011";"329011";"39";"5";"2";"518";"332";"11";"0";"321";"50";"8";"44";"41";"0";"11";"20";"65";"82"
"329012";"329012";"39";"5";"2";"835";"561";"15";"3";"543";"100";"17";"64";"77";"5";"14";"33";"104";"129"
"329013";"329013";"39";"5";"2";"956";"613";"29";"3";"581";"117";"14";"73";"103";"6";"21";"30";"87";"130"
"329014";"329014";"39";"5";"2";"658";"373";"13";"2";"358";"63";"4";"35";"41";"4";"10";"31";"95";"75"
"330001";"330001";"40";"5";"2";"1316";"760";"22";"2";"736";"143";"26";"77";"84";"3";"16";"56";"169";"162"
"330002";"330002";"40";"5";"2";"1185";"736";"20";"0";"716";"121";"17";"88";"99";"5";"19";"52";"145";"170"
"330003";"330003";"40";"5";"2";"1206";"757";"35";"3";"719";"108";"27";"91";"107";"8";"10";"29";"141";"198"
"330004";"330004";"40";"5";"2";"1458";"916";"34";"4";"878";"158";"16";"120";"123";"7";"26";"33";"183";"212"
"330005";"330005";"40";"5";"2";"5931";"3297";"101";"5";"3191";"750";"77";"359";"463";"16";"96";"206";"707";"517"
"330006";"330006";"40";"5";"2";"5584";"2796";"79";"5";"2712";"716";"68";"229";"450";"17";"49";"204";"624";"355"
"330007";"330007";"40";"5";"2";"1895";"1141";"29";"4";"1108";"243";"24";"105";"140";"6";"28";"68";"280";"214"
"330008";"330008";"40";"5";"2";"2540";"1437";"53";"1";"1383";"267";"22";"176";"160";"4";"15";"77";"344";"318"
"330009";"330009";"40";"5";"2";"4459";"2504";"82";"9";"2413";"600";"67";"276";"334";"15";"56";"158";"496";"411"
"330010";"330010";"40";"5";"2";"1363";"842";"22";"3";"817";"139";"23";"73";"147";"5";"28";"47";"171";"184"
"330011";"330011";"40";"5";"2";"2965";"1766";"51";"1";"1714";"326";"60";"191";"292";"10";"38";"99";"330";"368"
"330012";"330012";"40";"5";"2";"175";"106";"6";"0";"100";"13";"4";"11";"10";"0";"0";"6";"33";"23"
"330013";"330013";"40";"5";"2";"1038";"623";"15";"1";"607";"95";"16";"80";"64";"1";"6";"27";"173";"145"
"330015";"330015";"40";"5";"2";"2500";"1346";"42";"3";"1301";"233";"31";"142";"206";"13";"26";"71";"294";"285"
"330016";"330016";"40";"5";"2";"400";"262";"7";"1";"254";"39";"1";"29";"26";"1";"6";"23";"68";"61"
"330017";"330017";"40";"5";"2";"150";"103";"7";"0";"96";"22";"1";"7";"22";"0";"4";"8";"10";"22"
"330018";"330018";"40";"5";"2";"544";"325";"10";"0";"315";"50";"8";"38";"48";"0";"6";"30";"67";"68"
"330019";"330019";"40";"5";"2";"4907";"2315";"77";"7";"2231";"483";"67";"294";"350";"9";"59";"149";"398";"422"
"330020";"330020";"40";"5";"2";"4238";"2366";"77";"5";"2284";"543";"72";"298";"287";"8";"54";"119";"433";"470"
"330021";"330021";"40";"5";"2";"4748";"2904";"88";"8";"2808";"614";"84";"327";"411";"11";"57";"146";"615";"543"
"330022";"330022";"40";"5";"2";"5699";"2903";"114";"4";"2785";"645";"88";"305";"443";"16";"69";"177";"542";"500"
"330023";"330023";"40";"5";"2";"684";"415";"13";"1";"401";"48";"10";"68";"45";"2";"12";"11";"105";"100"
"330024";"330024";"40";"5";"2";"683";"427";"15";"2";"410";"50";"12";"67";"47";"3";"14";"21";"90";"106"
"330025";"330025";"40";"5";"2";"1859";"1157";"20";"2";"1135";"161";"27";"154";"140";"2";"28";"70";"269";"284"
"330026";"330026";"40";"5";"2";"433";"294";"10";"1";"283";"49";"7";"35";"37";"3";"10";"17";"59";"66"
"336001";"336001";"33";"5";"2";"4239";"2508";"69";"7";"2432";"462";"81";"280";"330";"11";"58";"200";"449";"561"
"336002";"336002";"33";"5";"2";"4948";"3066";"61";"6";"2999";"495";"112";"357";"417";"25";"55";"169";"668";"701"
"336003";"336003";"33";"5";"2";"4565";"2619";"75";"8";"2536";"522";"62";"318";"382";"12";"84";"189";"442";"525"
"336004";"336004";"33";"5";"2";"2968";"1951";"54";"4";"1893";"329";"65";"224";"322";"8";"55";"127";"372";"391"
"340001";"340001";"39";"5";"2";"3808";"2076";"77";"7";"1992";"349";"59";"305";"311";"6";"43";"133";"410";"376"
"340002";"340002";"39";"5";"2";"1493";"742";"30";"1";"711";"138";"12";"93";"112";"2";"12";"57";"161";"124"
"340003";"340003";"39";"5";"2";"548";"328";"12";"1";"315";"65";"4";"44";"32";"3";"12";"23";"72";"60"
"340004";"340004";"39";"5";"2";"1160";"734";"23";"0";"711";"148";"22";"74";"77";"6";"13";"41";"139";"191"
"340005";"340005";"39";"5";"2";"4086";"2620";"74";"4";"2542";"555";"118";"387";"480";"19";"41";"144";"324";"474"
"340006";"340006";"39";"5";"2";"3472";"2386";"59";"3";"2324";"418";"91";"261";"525";"11";"70";"173";"303";"472"
"340007";"340007";"39";"5";"2";"528";"345";"8";"0";"337";"54";"9";"31";"63";"1";"13";"30";"55";"81"
"340008";"340008";"39";"5";"2";"2336";"1387";"41";"5";"1341";"282";"40";"160";"219";"11";"25";"62";"239";"303"
"340009";"340009";"39";"5";"2";"824";"486";"19";"0";"467";"72";"17";"55";"71";"3";"17";"23";"91";"118"
"340010";"340010";"39";"5";"2";"1850";"1016";"48";"4";"964";"210";"21";"123";"152";"0";"18";"65";"191";"184"
"340011";"340011";"39";"5";"2";"243";"163";"6";"0";"157";"12";"8";"16";"32";"1";"3";"13";"30";"42"
