"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1990 - Stemmeberettigede";"FV1990 - Afgivne stemmer";"FV1990 - Blanke stemmer";"FV1990 - Andre ugyldige stemmer";"FV1990 - Gyldige stemmer";"FV1990 - A. Socialdemokratiet";"FV1990 - B. Det Radikale Venstre";"FV1990 - C. Det Konservative Folkeparti";"FV1990 - D. Centrum-Demokraterne";"FV1990 - E. Danmarks Retsforbund";"FV1990 - F. Socialistisk Folkeparti";"FV1990 - G. De Grønne";"FV1990 - H. Det Humanistiske Parti";"FV1990 - P. Fælles Kurs";"FV1990 - Q. Kristeligt Folkeparti";"FV1990 - V. Venstre, Danmarks Liberale Parti";"FV1990 - Z. Fremskridtspartiet";"FV1990 - Ø. Enhedslisten";"FV1990 - 1. Uden for partierne";"FV1990 - 2. Uden for partierne"
"325005";"325005";"41";"7";"2";"422";"371";"2";"0";"369";"105";"8";"55";"22";"3";"25";"2";"0";"11";"2";"105";"29";"2";"-";"-"
"327001";"327001";"37";"7";"2";"4565";"3598";"23";"7";"3568";"1506";"197";"628";"218";"20";"347";"42";"4";"65";"37";"327";"140";"37";"-";"-"
"327002";"327002";"37";"7";"2";"1061";"886";"2";"3";"881";"224";"41";"194";"61";"11";"90";"12";"0";"12";"4";"163";"49";"20";"-";"-"
"329001";"329001";"39";"7";"2";"5487";"4504";"39";"9";"4456";"1761";"170";"747";"245";"9";"328";"35";"0";"83";"62";"718";"259";"39";"-";"-"
"329002";"329002";"39";"7";"2";"654";"565";"4";"1";"560";"180";"25";"56";"31";"1";"55";"2";"0";"11";"3";"145";"49";"2";"-";"-"
"329003";"329003";"39";"7";"2";"502";"447";"3";"0";"444";"138";"28";"46";"46";"2";"42";"3";"0";"11";"5";"102";"19";"2";"-";"-"
"329004";"329004";"39";"7";"2";"3593";"3077";"30";"5";"3042";"1360";"113";"438";"209";"6";"170";"17";"1";"50";"39";"405";"226";"8";"-";"-"
"329005";"329005";"39";"7";"2";"961";"813";"9";"3";"801";"222";"34";"105";"27";"7";"97";"10";"1";"14";"13";"184";"80";"7";"-";"-"
"329006";"329006";"39";"7";"2";"4555";"3741";"25";"8";"3708";"1729";"117";"544";"190";"9";"272";"29";"1";"51";"52";"484";"198";"32";"-";"-"
"329008";"329008";"39";"7";"2";"963";"851";"3";"1";"847";"261";"45";"99";"51";"5";"117";"17";"0";"15";"12";"141";"42";"42";"-";"-"
"329009";"329009";"39";"7";"2";"997";"872";"7";"0";"865";"307";"37";"147";"53";"1";"61";"7";"1";"23";"12";"149";"61";"6";"-";"-"
"329010";"329010";"39";"7";"2";"955";"821";"5";"0";"816";"338";"36";"91";"65";"2";"54";"7";"0";"8";"3";"152";"50";"10";"-";"-"
"329011";"329011";"39";"7";"2";"471";"403";"2";"0";"401";"133";"26";"53";"21";"2";"28";"4";"0";"9";"8";"83";"29";"5";"-";"-"
"329012";"329012";"39";"7";"2";"749";"648";"2";"1";"645";"215";"26";"114";"26";"0";"52";"3";"0";"13";"8";"142";"38";"8";"-";"-"
"329013";"329013";"39";"7";"2";"995";"820";"9";"3";"808";"274";"34";"92";"61";"5";"86";"5";"0";"6";"10";"161";"59";"15";"-";"-"
"329014";"329014";"39";"7";"2";"637";"515";"3";"4";"508";"205";"22";"40";"35";"3";"50";"4";"0";"12";"2";"106";"26";"3";"-";"-"
"331001";"331001";"40";"7";"2";"2581";"2046";"13";"7";"2026";"757";"81";"381";"123";"9";"208";"15";"1";"46";"27";"248";"104";"26";"-";"-"
"331002";"331002";"40";"7";"2";"215";"144";"1";"0";"143";"36";"4";"35";"8";"1";"10";"1";"0";"5";"2";"25";"14";"2";"-";"-"
"331003";"331003";"40";"7";"2";"1059";"902";"7";"2";"893";"292";"28";"109";"39";"7";"58";"11";"0";"23";"14";"213";"80";"19";"-";"-"
"331004";"331004";"40";"7";"2";"360";"315";"3";"1";"311";"99";"12";"41";"17";"2";"19";"4";"0";"6";"3";"75";"30";"3";"-";"-"
"331005";"331005";"40";"7";"2";"1991";"1588";"9";"8";"1571";"722";"39";"232";"77";"6";"158";"17";"1";"30";"10";"203";"71";"5";"-";"-"
"331006";"331006";"40";"7";"2";"436";"383";"2";"0";"381";"120";"20";"60";"12";"2";"29";"5";"0";"8";"6";"88";"24";"7";"-";"-"
"331007";"331007";"40";"7";"2";"142";"113";"2";"0";"111";"30";"2";"16";"1";"0";"15";"1";"0";"6";"0";"33";"7";"0";"-";"-"
"331008";"331008";"40";"7";"2";"553";"481";"4";"2";"475";"148";"16";"65";"22";"1";"31";"3";"0";"11";"4";"135";"34";"5";"-";"-"
"331010";"331010";"40";"7";"2";"1280";"1105";"5";"3";"1097";"314";"46";"158";"65";"7";"114";"20";"0";"27";"30";"215";"78";"23";"-";"-"
"333001";"333001";"41";"7";"2";"4773";"3690";"20";"11";"3659";"1440";"98";"836";"156";"12";"289";"40";"4";"97";"41";"385";"208";"53";"-";"-"
"333002";"333002";"41";"7";"2";"4214";"3376";"26";"4";"3346";"1353";"78";"779";"195";"21";"202";"30";"0";"61";"40";"355";"201";"31";"-";"-"
"333003";"333003";"41";"7";"2";"4915";"4072";"18";"4";"4050";"1648";"96";"830";"246";"9";"286";"33";"1";"79";"44";"490";"242";"46";"-";"-"
"333004";"333004";"41";"7";"2";"4943";"3730";"20";"9";"3701";"1665";"109";"639";"167";"19";"287";"19";"0";"105";"26";"383";"234";"48";"-";"-"
"333005";"333005";"41";"7";"2";"731";"585";"7";"0";"578";"187";"16";"102";"26";"3";"40";"8";"0";"10";"8";"103";"68";"7";"-";"-"
"333006";"333006";"41";"7";"2";"706";"607";"6";"0";"601";"180";"22";"73";"33";"4";"47";"4";"0";"10";"5";"155";"62";"6";"-";"-"
"333007";"333007";"41";"7";"2";"1368";"1138";"10";"1";"1127";"321";"28";"196";"42";"14";"74";"10";"0";"28";"9";"284";"111";"10";"-";"-"
"333008";"333008";"41";"7";"2";"468";"411";"0";"2";"409";"146";"6";"56";"28";"3";"19";"2";"0";"11";"6";"86";"38";"8";"-";"-"
"333009";"333009";"41";"7";"2";"4416";"3454";"20";"4";"3430";"1582";"105";"608";"179";"11";"290";"22";"1";"52";"37";"283";"217";"43";"-";"-"
"335001";"335001";"40";"7";"2";"1096";"924";"4";"2";"918";"355";"36";"107";"57";"3";"52";"5";"0";"21";"9";"208";"62";"3";"-";"-"
"335002";"335002";"40";"7";"2";"4067";"3308";"30";"9";"3269";"1187";"145";"658";"163";"13";"202";"46";"2";"64";"67";"565";"119";"38";"-";"-"
"335003";"335003";"40";"7";"2";"3288";"2723";"16";"4";"2703";"978";"131";"434";"132";"18";"215";"41";"1";"36";"79";"461";"120";"57";"-";"-"
"335004";"335004";"40";"7";"2";"1909";"1563";"18";"5";"1540";"596";"58";"248";"93";"10";"96";"17";"2";"42";"21";"246";"93";"18";"-";"-"
"335005";"335005";"40";"7";"2";"836";"688";"8";"1";"679";"214";"26";"80";"40";"3";"40";"6";"0";"14";"19";"192";"42";"3";"-";"-"
"337001";"337001";"39";"7";"2";"1691";"1387";"8";"2";"1377";"559";"63";"207";"85";"4";"71";"15";"2";"35";"30";"220";"66";"20";"-";"-"
"337003";"337003";"39";"7";"2";"222";"193";"1";"1";"191";"55";"6";"17";"21";"1";"19";"1";"1";"7";"0";"43";"15";"5";"-";"-"
"337004";"337004";"39";"7";"2";"937";"790";"6";"1";"783";"282";"26";"109";"41";"4";"59";"6";"0";"17";"24";"132";"71";"12";"-";"-"
"337005";"337005";"39";"7";"2";"567";"486";"3";"1";"482";"165";"23";"53";"35";"1";"38";"3";"0";"17";"13";"94";"32";"8";"-";"-"
"337007";"337007";"39";"7";"2";"527";"449";"3";"1";"445";"163";"18";"55";"25";"1";"25";"0";"0";"13";"14";"99";"22";"10";"-";"-"
"339001";"339001";"37";"7";"2";"478";"426";"2";"1";"423";"159";"25";"38";"21";"3";"53";"1";"0";"11";"10";"73";"18";"11";"-";"-"
"339002";"339002";"37";"7";"2";"1980";"1696";"16";"2";"1678";"669";"130";"276";"71";"4";"125";"9";"0";"30";"28";"224";"106";"6";"-";"-"
"339003";"339003";"37";"7";"2";"1290";"1069";"6";"3";"1060";"351";"132";"120";"49";"6";"71";"5";"1";"25";"18";"219";"55";"8";"-";"-"
"339004";"339004";"37";"7";"2";"1018";"855";"6";"0";"849";"335";"71";"98";"49";"2";"56";"6";"0";"14";"12";"124";"80";"2";"-";"-"
"341001";"341001";"36";"7";"2";"377";"320";"3";"1";"316";"86";"11";"62";"12";"4";"36";"5";"0";"7";"1";"67";"17";"8";"-";"-"
"341002";"341002";"36";"7";"2";"3111";"2475";"17";"3";"2455";"1025";"118";"364";"87";"9";"193";"22";"4";"54";"55";"373";"123";"28";"-";"-"
"341004";"341004";"36";"7";"2";"862";"744";"6";"1";"737";"336";"42";"82";"31";"4";"63";"3";"1";"23";"6";"98";"33";"15";"-";"-"
"341006";"341006";"36";"7";"2";"1437";"1159";"10";"3";"1146";"524";"58";"149";"55";"6";"100";"11";"0";"23";"16";"132";"64";"8";"-";"-"
"341007";"341007";"36";"7";"2";"472";"424";"4";"0";"420";"184";"27";"39";"13";"1";"26";"3";"0";"19";"4";"72";"30";"2";"-";"-"
"341008";"341008";"36";"7";"2";"489";"405";"1";"0";"404";"113";"19";"54";"21";"4";"30";"2";"1";"18";"4";"95";"29";"14";"-";"-"
"343001";"343001";"37";"7";"2";"1161";"999";"4";"1";"994";"339";"64";"106";"58";"5";"128";"15";"2";"35";"12";"163";"49";"18";"-";"-"
"343002";"343002";"37";"7";"2";"2320";"1903";"19";"1";"1883";"693";"152";"270";"81";"17";"168";"17";"1";"52";"6";"269";"131";"26";"-";"-"
"343003";"343003";"37";"7";"2";"508";"413";"4";"1";"408";"146";"26";"39";"7";"2";"34";"5";"0";"15";"6";"88";"37";"3";"-";"-"
"343004";"343004";"37";"7";"2";"909";"731";"5";"0";"726";"270";"49";"107";"23";"1";"70";"5";"0";"21";"9";"119";"39";"13";"-";"-"
"343005";"343005";"37";"7";"2";"1020";"796";"5";"1";"790";"326";"53";"105";"29";"5";"63";"4";"1";"33";"3";"99";"60";"9";"-";"-"
"343006";"343006";"37";"7";"2";"2144";"1820";"12";"5";"1803";"632";"120";"274";"77";"13";"163";"16";"1";"43";"16";"313";"121";"14";"-";"-"
"345001";"345001";"36";"7";"2";"2926";"2451";"21";"3";"2427";"879";"186";"326";"141";"19";"214";"20";"0";"32";"37";"401";"129";"43";"-";"-"
"345003";"345003";"36";"7";"2";"1421";"1198";"9";"4";"1185";"341";"108";"168";"44";"3";"131";"16";"2";"18";"14";"225";"83";"32";"-";"-"
"345004";"345004";"36";"7";"2";"1415";"1186";"14";"4";"1168";"447";"69";"180";"59";"10";"93";"7";"2";"25";"17";"181";"64";"14";"-";"-"
"345005";"345005";"36";"7";"2";"1044";"910";"8";"1";"901";"317";"67";"106";"36";"6";"63";"5";"0";"28";"41";"162";"55";"15";"-";"-"
"351002";"351002";"42";"8";"2";"3447";"2801";"28";"3";"2770";"1355";"59";"426";"158";"9";"141";"13";"5";"52";"26";"348";"152";"26";"-";"-"
"351003";"351003";"42";"8";"2";"2256";"1871";"9";"3";"1859";"772";"62";"284";"88";"15";"184";"12";"0";"39";"22";"214";"115";"52";"-";"-"
"351004";"351004";"42";"8";"2";"606";"486";"2";"1";"483";"176";"17";"62";"29";"8";"45";"4";"1";"12";"6";"84";"31";"8";"-";"-"
"351006";"351006";"42";"8";"2";"1952";"1599";"12";"0";"1587";"563";"56";"266";"151";"2";"101";"10";"2";"25";"15";"286";"98";"12";"-";"-"
"351008";"351008";"42";"8";"2";"579";"489";"3";"0";"486";"161";"15";"60";"31";"3";"52";"3";"1";"19";"8";"86";"31";"16";"-";"-"
"353001";"353001";"42";"8";"2";"799";"694";"4";"2";"688";"202";"30";"91";"34";"4";"65";"8";"0";"14";"14";"162";"55";"9";"-";"-"
"353002";"353002";"42";"8";"2";"1534";"1283";"10";"4";"1269";"427";"38";"222";"74";"5";"71";"6";"2";"27";"27";"268";"93";"9";"-";"-"
"353003";"353003";"42";"8";"2";"1822";"1519";"12";"4";"1503";"526";"46";"238";"90";"15";"109";"16";"0";"20";"23";"292";"111";"17";"-";"-"
"353004";"353004";"42";"8";"2";"1182";"1008";"5";"2";"1001";"322";"27";"123";"41";"7";"79";"10";"0";"29";"25";"248";"74";"16";"-";"-"
"355001";"355001";"46";"8";"2";"842";"726";"5";"3";"718";"335";"19";"74";"15";"5";"48";"10";"1";"19";"9";"138";"41";"4";"-";"-"
"355002";"355002";"46";"8";"2";"665";"578";"3";"3";"572";"279";"18";"43";"19";"2";"53";"26";"0";"14";"2";"80";"27";"9";"-";"-"
"355003";"355003";"46";"8";"2";"1659";"1434";"9";"6";"1419";"853";"31";"152";"58";"4";"69";"30";"1";"18";"10";"126";"62";"5";"-";"-"
"355004";"355004";"46";"8";"2";"268";"231";"3";"0";"228";"121";"5";"18";"3";"2";"10";"4";"0";"6";"4";"39";"14";"2";"-";"-"
"357001";"357001";"43";"8";"2";"2777";"2394";"15";"4";"2375";"1162";"69";"351";"173";"8";"169";"12";"1";"36";"23";"258";"99";"14";"-";"-"
"357002";"357002";"43";"8";"2";"992";"813";"9";"1";"803";"375";"16";"92";"69";"6";"51";"4";"0";"13";"4";"118";"45";"10";"-";"-"
"357003";"357003";"43";"8";"2";"1090";"920";"10";"1";"909";"313";"23";"115";"47";"10";"81";"7";"0";"19";"16";"219";"49";"10";"-";"-"
"359001";"359001";"45";"8";"2";"483";"416";"3";"1";"412";"194";"19";"40";"12";"1";"23";"2";"0";"6";"4";"84";"23";"4";"-";"-"
"359002";"359002";"45";"8";"2";"333";"297";"2";"0";"295";"138";"4";"38";"16";"1";"12";"3";"0";"8";"5";"55";"14";"1";"-";"-"
"359003";"359003";"45";"8";"2";"654";"543";"6";"1";"536";"256";"16";"50";"15";"4";"18";"5";"1";"14";"4";"105";"40";"8";"-";"-"
"359006";"359006";"45";"8";"2";"447";"381";"3";"0";"378";"204";"10";"49";"13";"1";"18";"1";"0";"8";"3";"55";"13";"3";"-";"-"
"359102";"359102";"45";"8";"2";"733";"623";"5";"3";"615";"307";"19";"67";"23";"2";"31";"5";"0";"24";"7";"87";"37";"6";"-";"-"
"359107";"359107";"45";"8";"2";"732";"620";"3";"2";"615";"315";"20";"78";"19";"4";"35";"1";"1";"8";"8";"90";"28";"8";"-";"-"
"361001";"361001";"44";"8";"2";"1387";"1209";"7";"3";"1199";"552";"19";"207";"46";"8";"95";"7";"0";"29";"9";"115";"92";"20";"-";"-"
"361002";"361002";"44";"8";"2";"526";"438";"3";"1";"434";"189";"21";"59";"18";"1";"37";"10";"0";"10";"7";"52";"25";"5";"-";"-"
"361003";"361003";"44";"8";"2";"1237";"1075";"2";"1";"1072";"496";"40";"193";"70";"5";"52";"7";"1";"18";"7";"111";"62";"10";"-";"-"
"361004";"361004";"44";"8";"2";"848";"723";"3";"0";"720";"390";"20";"75";"26";"5";"33";"1";"0";"11";"0";"92";"64";"3";"-";"-"
"361005";"361005";"44";"8";"2";"257";"235";"1";"0";"234";"63";"10";"32";"7";"2";"10";"1";"0";"7";"1";"58";"39";"4";"-";"-"
"361006";"361006";"44";"8";"2";"458";"388";"0";"0";"388";"138";"6";"52";"17";"2";"21";"5";"0";"6";"2";"102";"31";"6";"-";"-"
"363001";"363001";"46";"8";"2";"4679";"3939";"25";"10";"3904";"2018";"96";"671";"146";"18";"259";"30";"1";"47";"42";"358";"174";"44";"-";"-"
"363002";"363002";"46";"8";"2";"59";"51";"0";"0";"51";"15";"0";"9";"3";"0";"2";"0";"0";"0";"9";"9";"4";"0";"-";"-"
"363003";"363003";"46";"8";"2";"907";"753";"5";"1";"747";"398";"22";"84";"21";"1";"47";"4";"1";"19";"8";"86";"50";"6";"-";"-"
"363004";"363004";"46";"8";"2";"417";"363";"6";"1";"356";"169";"4";"47";"9";"0";"22";"4";"0";"6";"18";"59";"16";"2";"-";"-"
"363005";"363005";"46";"8";"2";"865";"774";"3";"2";"769";"408";"25";"102";"26";"0";"59";"7";"1";"17";"7";"69";"41";"7";"-";"-"
"363007";"363007";"46";"8";"2";"927";"797";"1";"0";"796";"340";"29";"110";"37";"3";"58";"4";"1";"12";"6";"165";"24";"7";"-";"-"
"363106";"363106";"46";"8";"2";"751";"622";"2";"1";"619";"274";"14";"83";"24";"6";"30";"3";"0";"16";"5";"125";"34";"5";"-";"-"
"363107";"363107";"46";"8";"2";"387";"311";"2";"0";"309";"155";"4";"38";"8";"1";"16";"5";"0";"10";"1";"52";"18";"1";"-";"-"
"365001";"365001";"44";"8";"2";"2484";"2109";"14";"2";"2093";"938";"91";"362";"104";"6";"114";"12";"1";"23";"20";"283";"114";"25";"-";"-"
"365002";"365002";"44";"8";"2";"723";"628";"7";"2";"619";"196";"25";"93";"27";"7";"66";"5";"0";"17";"6";"105";"61";"11";"-";"-"
"365003";"365003";"44";"8";"2";"1184";"983";"6";"2";"975";"324";"39";"113";"47";"8";"78";"18";"1";"36";"8";"190";"102";"11";"-";"-"
"365004";"365004";"44";"8";"2";"822";"704";"4";"0";"700";"267";"30";"63";"29";"4";"56";"8";"0";"9";"7";"173";"39";"15";"-";"-"
"365005";"365005";"44";"8";"2";"869";"731";"5";"1";"725";"232";"27";"88";"36";"2";"55";"7";"1";"12";"12";"188";"55";"10";"-";"-"
"365006";"365006";"44";"8";"2";"1602";"1363";"13";"2";"1348";"688";"44";"147";"76";"6";"54";"12";"1";"22";"10";"207";"74";"7";"-";"-"
"365007";"365007";"44";"8";"2";"1205";"1032";"6";"1";"1025";"338";"57";"111";"63";"4";"79";"8";"0";"14";"19";"240";"59";"33";"-";"-"
"367101";"367101";"45";"8";"2";"684";"512";"1";"1";"510";"233";"18";"102";"15";"4";"49";"2";"0";"17";"6";"44";"19";"1";"-";"-"
"367102";"367102";"45";"8";"2";"731";"524";"6";"0";"518";"304";"9";"69";"12";"0";"48";"2";"0";"18";"6";"27";"21";"2";"-";"-"
"367103";"367103";"45";"8";"2";"1704";"1394";"3";"5";"1386";"945";"22";"125";"41";"1";"110";"11";"1";"19";"14";"52";"40";"5";"-";"-"
"367104";"367104";"45";"8";"2";"1755";"1472";"6";"2";"1464";"966";"17";"137";"53";"4";"117";"8";"1";"33";"14";"62";"43";"9";"-";"-"
"367105";"367105";"45";"8";"2";"1451";"1233";"6";"5";"1222";"715";"26";"190";"37";"4";"88";"5";"1";"12";"10";"83";"44";"7";"-";"-"
"367106";"367106";"45";"8";"2";"1184";"999";"4";"1";"994";"547";"22";"125";"42";"3";"110";"8";"0";"18";"18";"52";"37";"12";"-";"-"
"367107";"367107";"45";"8";"2";"1559";"1392";"6";"3";"1383";"863";"22";"158";"67";"1";"95";"5";"2";"22";"9";"84";"49";"6";"-";"-"
"367108";"367108";"45";"8";"2";"529";"464";"3";"2";"459";"289";"9";"38";"16";"3";"43";"4";"0";"7";"3";"14";"29";"4";"-";"-"
"367109";"367109";"45";"8";"2";"669";"583";"7";"0";"576";"377";"7";"48";"28";"1";"38";"1";"0";"17";"1";"27";"28";"3";"-";"-"
"367110";"367110";"45";"8";"2";"1054";"913";"7";"1";"905";"521";"10";"124";"31";"2";"71";"7";"0";"16";"5";"57";"54";"7";"-";"-"
"367111";"367111";"45";"8";"2";"921";"770";"4";"0";"766";"528";"19";"63";"28";"1";"48";"4";"0";"20";"2";"23";"28";"2";"-";"-"
"367112";"367112";"45";"8";"2";"394";"345";"0";"0";"345";"212";"6";"27";"13";"3";"26";"0";"0";"5";"2";"33";"18";"0";"-";"-"
"369001";"369001";"47";"8";"2";"2074";"1650";"11";"2";"1637";"676";"37";"356";"45";"5";"144";"14";"0";"31";"32";"170";"100";"27";"-";"-"
"369002";"369002";"47";"8";"2";"3232";"2648";"19";"6";"2623";"1343";"59";"340";"131";"3";"292";"18";"0";"61";"46";"177";"130";"23";"-";"-"
"369003";"369003";"47";"8";"2";"3629";"3047";"14";"3";"3030";"1580";"79";"489";"137";"10";"190";"14";"0";"49";"53";"289";"132";"8";"-";"-"
"369004";"369004";"47";"8";"2";"1940";"1540";"13";"5";"1522";"791";"30";"249";"54";"5";"128";"11";"0";"34";"29";"108";"73";"10";"-";"-"
"369005";"369005";"47";"8";"2";"2152";"1860";"11";"3";"1846";"918";"57";"336";"60";"10";"136";"21";"1";"21";"27";"165";"79";"15";"-";"-"
"369006";"369006";"47";"8";"2";"641";"562";"4";"2";"556";"249";"11";"79";"26";"0";"38";"4";"0";"11";"8";"98";"29";"3";"-";"-"
"369007";"369007";"47";"8";"2";"1243";"1085";"8";"2";"1075";"550";"17";"142";"56";"5";"93";"8";"0";"9";"13";"121";"47";"14";"-";"-"
"369008";"369008";"47";"8";"2";"804";"703";"6";"2";"695";"307";"18";"94";"33";"0";"35";"6";"0";"20";"11";"105";"53";"13";"-";"-"
"369009";"369009";"47";"8";"2";"1001";"843";"6";"2";"835";"333";"34";"81";"28";"3";"76";"2";"0";"18";"17";"174";"63";"6";"-";"-"
"369010";"369010";"47";"8";"2";"534";"463";"4";"1";"458";"245";"11";"32";"16";"1";"32";"2";"2";"8";"4";"45";"52";"8";"-";"-"
"369011";"369011";"47";"8";"2";"2744";"2413";"19";"7";"2387";"1022";"76";"413";"145";"10";"138";"16";"0";"32";"36";"360";"120";"19";"-";"-"
"371001";"371001";"46";"8";"2";"1669";"1426";"11";"2";"1413";"608";"48";"246";"65";"2";"85";"16";"1";"28";"10";"217";"77";"10";"-";"-"
"371002";"371002";"46";"8";"2";"1104";"953";"16";"3";"934";"401";"45";"113";"44";"6";"56";"8";"0";"25";"10";"169";"50";"7";"-";"-"
"371003";"371003";"46";"8";"2";"828";"707";"6";"6";"695";"253";"46";"71";"28";"6";"26";"4";"2";"21";"8";"170";"55";"5";"-";"-"
"371004";"371004";"46";"8";"2";"870";"727";"4";"2";"721";"269";"32";"75";"41";"2";"42";"8";"0";"22";"5";"163";"57";"5";"-";"-"
"373020";"373020";"43";"8";"2";"2837";"2442";"16";"6";"2420";"1159";"70";"469";"152";"6";"151";"15";"0";"27";"49";"222";"87";"13";"-";"-"
"373021";"373021";"43";"8";"2";"2800";"2218";"20";"4";"2194";"889";"58";"467";"92";"9";"215";"22";"1";"38";"45";"230";"87";"41";"-";"-"
"373022";"373022";"43";"8";"2";"4318";"3482";"19";"11";"3452";"1791";"69";"498";"161";"19";"346";"29";"2";"54";"74";"234";"134";"41";"-";"-"
"373023";"373023";"43";"8";"2";"4705";"3863";"18";"5";"3840";"1662";"108";"701";"217";"13";"349";"20";"1";"72";"93";"392";"163";"49";"-";"-"
"373024";"373024";"43";"8";"2";"3223";"2689";"15";"5";"2669";"1361";"59";"407";"122";"7";"215";"18";"3";"44";"60";"202";"140";"31";"-";"-"
"373025";"373025";"43";"8";"2";"2695";"2226";"11";"4";"2211";"1188";"55";"315";"126";"7";"136";"10";"1";"33";"50";"176";"95";"19";"-";"-"
"373026";"373026";"43";"8";"2";"2835";"2492";"13";"3";"2476";"845";"97";"637";"173";"8";"140";"26";"1";"14";"47";"374";"89";"25";"-";"-"
"373027";"373027";"43";"8";"2";"2575";"2115";"10";"8";"2097";"792";"75";"457";"152";"7";"121";"15";"0";"22";"70";"246";"128";"12";"-";"-"
"373028";"373028";"43";"8";"2";"3942";"3024";"15";"6";"3003";"1518";"65";"472";"173";"13";"254";"15";"2";"51";"64";"198";"135";"43";"-";"-"
"373029";"373029";"43";"8";"2";"638";"565";"0";"0";"565";"240";"19";"104";"30";"0";"34";"4";"0";"6";"6";"80";"32";"10";"-";"-"
"373030";"373030";"43";"8";"2";"555";"498";"4";"0";"494";"150";"15";"112";"25";"3";"36";"5";"0";"8";"8";"98";"25";"9";"-";"-"
"373031";"373031";"43";"8";"2";"595";"520";"6";"1";"513";"216";"15";"64";"26";"1";"40";"0";"1";"12";"6";"97";"31";"4";"-";"-"
"373032";"373032";"43";"8";"2";"1461";"1256";"7";"1";"1248";"409";"33";"289";"91";"3";"94";"10";"1";"13";"37";"180";"73";"15";"-";"-"
"373033";"373033";"43";"8";"2";"446";"374";"2";"0";"372";"97";"5";"64";"15";"4";"34";"4";"1";"8";"8";"106";"20";"6";"-";"-"
"373034";"373034";"43";"8";"2";"400";"344";"4";"1";"339";"95";"8";"52";"16";"0";"30";"0";"0";"9";"5";"95";"21";"8";"-";"-"
"373035";"373035";"43";"8";"2";"1494";"1331";"3";"1";"1327";"421";"46";"342";"92";"3";"75";"23";"0";"23";"27";"194";"63";"18";"-";"-"
"375001";"375001";"47";"8";"2";"496";"422";"1";"0";"421";"156";"11";"44";"19";"1";"37";"2";"0";"9";"0";"112";"27";"3";"-";"-"
"375002";"375002";"47";"8";"2";"1075";"893";"9";"2";"882";"371";"28";"106";"40";"9";"62";"3";"1";"24";"6";"143";"82";"7";"-";"-"
"375003";"375003";"47";"8";"2";"2106";"1792";"14";"6";"1772";"770";"85";"217";"101";"10";"99";"10";"2";"28";"18";"325";"91";"16";"-";"-"
"375005";"375005";"47";"8";"2";"489";"419";"4";"1";"414";"162";"22";"40";"12";"4";"40";"1";"0";"15";"3";"75";"37";"3";"-";"-"
"375006";"375006";"47";"8";"2";"561";"454";"0";"0";"454";"170";"12";"35";"17";"3";"45";"3";"0";"14";"7";"111";"31";"6";"-";"-"
"375007";"375007";"47";"8";"2";"391";"333";"6";"0";"327";"123";"22";"28";"11";"1";"21";"4";"0";"7";"0";"68";"36";"6";"-";"-"
"375008";"375008";"47";"8";"2";"624";"543";"5";"0";"538";"253";"11";"79";"21";"5";"28";"0";"0";"14";"4";"67";"51";"5";"-";"-"
"375009";"375009";"47";"8";"2";"726";"604";"8";"1";"595";"285";"21";"57";"42";"4";"34";"4";"0";"16";"9";"70";"50";"3";"-";"-"
"375010";"375010";"47";"8";"2";"1065";"918";"7";"4";"907";"412";"57";"107";"46";"2";"55";"10";"0";"13";"7";"118";"70";"10";"-";"-"
"377001";"377001";"42";"8";"2";"3347";"2802";"11";"4";"2787";"1106";"77";"466";"147";"9";"251";"20";"1";"42";"17";"417";"194";"40";"-";"-"
"377002";"377002";"42";"8";"2";"578";"492";"4";"0";"488";"166";"15";"60";"28";"1";"54";"12";"0";"13";"4";"93";"25";"17";"-";"-"
"377003";"377003";"42";"8";"2";"629";"536";"3";"1";"532";"185";"10";"73";"22";"5";"59";"10";"0";"6";"13";"110";"26";"13";"-";"-"
"377004";"377004";"42";"8";"2";"911";"783";"7";"0";"776";"290";"23";"104";"34";"2";"56";"7";"0";"28";"6";"177";"45";"4";"-";"-"
"379001";"379001";"45";"8";"2";"623";"534";"5";"0";"529";"235";"13";"72";"24";"2";"33";"0";"0";"19";"5";"97";"27";"2";"-";"-"
"379002";"379002";"45";"8";"2";"534";"452";"1";"2";"449";"153";"22";"58";"17";"4";"26";"4";"0";"12";"6";"92";"54";"1";"-";"-"
"379003";"379003";"45";"8";"2";"191";"154";"1";"0";"153";"50";"7";"19";"4";"0";"6";"2";"1";"0";"4";"46";"11";"3";"-";"-"
"379005";"379005";"45";"8";"2";"1596";"1342";"11";"2";"1329";"678";"25";"144";"41";"2";"87";"10";"0";"43";"15";"188";"83";"13";"-";"-"
"379007";"379007";"45";"8";"2";"424";"349";"3";"1";"345";"178";"7";"40";"12";"1";"21";"1";"0";"12";"4";"50";"16";"3";"-";"-"
"379008";"379008";"45";"8";"2";"776";"646";"3";"7";"636";"314";"23";"81";"26";"2";"27";"3";"0";"13";"4";"86";"51";"6";"-";"-"
"379009";"379009";"45";"8";"2";"586";"510";"2";"0";"508";"267";"8";"50";"14";"1";"35";"2";"0";"14";"3";"79";"32";"3";"-";"-"
