"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2015 - Stemmeberettigede";"FV2015 - Afgivne stemmer";"FV2015 - Blanke stemmer";"FV2015 - Andre ugyldige stemmer";"FV2015 - Gyldige stemmer";"FV2015 - A. Socialdemokratiet";"FV2015 - B. Radikale Venstre";"FV2015 - C. Det Konservative Folkeparti";"FV2015 - F. SF - Socialistisk Folkeparti";"FV2015 - I. Liberal Alliance";"FV2015 - K. Kristendemokraterne";"FV2015 - O. Dansk Folkeparti";"FV2015 - V. Venstre, Danmarks Liberale Parti";"FV2015 - Ø. Enhedslisten - De Rød-Grønne";"FV2015 - Å. Alternativet";"FV2015 - 1. Uden for partierne";"FV2015 - 2. Uden for partierne";"FV2015 - 3. Uden for partierne";"FV2015 - 4. Uden for partierne"
"169013";"169013";"19";"2";"1";"612";"567";"3";"0";"564";"131";"26";"35";"20";"49";"0";"138";"109";"29";"27";"0";"0";"-";"-"
"173001";"173001";"14";"2";"1";"4773";"4045";"39";"13";"3993";"927";"305";"245";"166";"486";"19";"559";"747";"277";"255";"6";"1";"-";"-"
"173002";"173002";"14";"2";"1";"4306";"3668";"32";"17";"3619";"1060";"213";"141";"192";"319";"21";"667";"477";"316";"210";"3";"0";"-";"-"
"173003";"173003";"14";"2";"1";"4639";"3998";"50";"10";"3938";"787";"307";"263";"164";"653";"17";"480";"720";"305";"235";"7";"0";"-";"-"
"173004";"173004";"14";"2";"1";"4983";"4469";"40";"12";"4417";"969";"391";"275";"176";"649";"15";"562";"912";"239";"229";"0";"0";"-";"-"
"173005";"173005";"14";"2";"1";"1100";"1025";"5";"8";"1012";"221";"103";"78";"39";"159";"1";"74";"192";"62";"82";"1";"0";"-";"-"
"173006";"173006";"14";"2";"1";"4741";"4437";"26";"6";"4405";"837";"486";"467";"159";"716";"14";"331";"975";"191";"229";"0";"0";"-";"-"
"173007";"173007";"14";"2";"1";"3500";"3252";"20";"4";"3228";"772";"374";"251";"159";"370";"15";"324";"627";"177";"158";"1";"0";"-";"-"
"173008";"173008";"14";"2";"1";"3852";"3393";"31";"7";"3355";"830";"279";"207";"164";"332";"9";"502";"602";"247";"181";"1";"1";"-";"-"
"173009";"173009";"14";"2";"1";"2165";"2044";"17";"3";"2024";"497";"274";"141";"110";"191";"9";"182";"350";"131";"139";"0";"0";"-";"-"
"173010";"173010";"14";"2";"1";"4488";"3905";"25";"6";"3874";"1004";"316";"292";"221";"364";"13";"507";"629";"290";"238";"0";"0";"-";"-"
"175001";"175001";"16";"2";"1";"3125";"2732";"16";"5";"2711";"813";"145";"87";"134";"183";"18";"543";"390";"262";"133";"3";"0";"-";"-"
"175003";"175003";"16";"2";"1";"5772";"4939";"31";"23";"4885";"1591";"228";"146";"282";"317";"35";"977";"598";"464";"246";"0";"1";"-";"-"
"175004";"175004";"16";"2";"1";"3733";"2905";"35";"26";"2844";"1071";"82";"47";"142";"111";"9";"665";"247";"338";"123";"8";"1";"-";"-"
"175005";"175005";"16";"2";"1";"6206";"5215";"45";"21";"5149";"1767";"207";"119";"278";"259";"22";"1215";"571";"521";"187";"3";"0";"-";"-"
"175007";"175007";"16";"2";"1";"4183";"3510";"32";"7";"3471";"1225";"98";"100";"194";"173";"18";"835";"395";"299";"130";"4";"0";"-";"-"
"175008";"175008";"16";"2";"1";"3954";"3426";"29";"9";"3388";"1123";"124";"112";"122";"193";"25";"804";"470";"288";"122";"3";"2";"-";"-"
"183001";"183001";"18";"2";"1";"1263";"1126";"8";"2";"1116";"278";"53";"38";"43";"106";"7";"276";"225";"49";"40";"1";"0";"-";"-"
"183002";"183002";"18";"2";"1";"2616";"2250";"9";"9";"2232";"830";"51";"48";"109";"75";"6";"635";"277";"143";"52";"6";"0";"-";"-"
