"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2011 - Stemmeberettigede";"FV2011 - Afgivne stemmer";"FV2011 - Blanke stemmer";"FV2011 - Andre ugyldige stemmer";"FV2011 - Gyldige stemmer";"FV2011 - A. Socialdemokratiet";"FV2011 - B. Radikale Venstre";"FV2011 - C. Det Konservative Folkeparti";"FV2011 - F. SF - Socialistisk Folkeparti";"FV2011 - I. Liberal Alliance";"FV2011 - K. Kristendemokraterne";"FV2011 - O. Dansk Folkeparti";"FV2011 - V. Venstre, Danmarks Liberale Parti";"FV2011 - Ø. Enhedslisten - De Rød-Grønne";"FV2011 - 1. Uden for partierne";"FV2011 - 2. Uden for partierne";"FV2011 - 3. Uden for partierne";"FV2011 - 4. Uden for partierne";"FV2011 - 5. Uden for partierne";"FV2011 - 6. Uden for partierne"
"320002";"320002";"33";"5";"2";"6010";"5219";"28";"18";"5173";"1174";"395";"274";"474";"215";"20";"849";"1473";"294";"3";"0";"2";"-";"-";"-"
"320003";"320003";"33";"5";"2";"3581";"3067";"34";"11";"3022";"895";"172";"170";"237";"100";"16";"499";"778";"155";"0";"0";"0";"-";"-";"-"
"320004";"320004";"33";"5";"2";"3097";"2712";"22";"11";"2679";"662";"191";"130";"330";"98";"4";"419";"633";"212";"0";"0";"0";"-";"-";"-"
"320005";"320005";"33";"5";"2";"3049";"2709";"24";"8";"2677";"571";"161";"113";"228";"120";"10";"545";"780";"149";"0";"0";"0";"-";"-";"-"
"320006";"320006";"33";"5";"2";"2650";"2398";"22";"5";"2371";"472";"185";"141";"175";"107";"6";"450";"748";"87";"0";"0";"0";"-";"-";"-"
"320007";"320007";"33";"5";"2";"2836";"2500";"11";"5";"2484";"537";"153";"136";"188";"120";"7";"484";"761";"97";"1";"0";"0";"-";"-";"-"
"326001";"326001";"38";"5";"2";"2737";"2330";"13";"4";"2313";"515";"128";"68";"236";"66";"4";"558";"563";"174";"1";"0";"0";"-";"-";"-"
"326002";"326002";"38";"5";"2";"313";"284";"1";"0";"283";"80";"11";"6";"36";"5";"5";"54";"74";"12";"0";"0";"0";"-";"-";"-"
"326003";"326003";"38";"5";"2";"3320";"2841";"19";"7";"2815";"763";"143";"90";"290";"94";"12";"587";"660";"175";"1";"0";"0";"-";"-";"-"
"326004";"326004";"38";"5";"2";"2367";"2024";"11";"6";"2007";"512";"88";"52";"172";"50";"8";"432";"582";"107";"1";"1";"2";"-";"-";"-"
"326005";"326005";"38";"5";"2";"1345";"1185";"5";"2";"1178";"225";"55";"31";"99";"74";"6";"265";"374";"46";"0";"0";"3";"-";"-";"-"
"326006";"326006";"38";"5";"2";"496";"446";"2";"2";"442";"75";"21";"13";"38";"17";"1";"124";"119";"34";"0";"0";"0";"-";"-";"-"
"326007";"326007";"38";"5";"2";"886";"792";"7";"1";"784";"158";"46";"23";"85";"25";"4";"182";"232";"28";"1";"0";"0";"-";"-";"-"
"326008";"326008";"38";"5";"2";"2381";"2022";"18";"11";"1993";"499";"121";"64";"190";"70";"9";"405";"567";"68";"0";"0";"0";"-";"-";"-"
"326009";"326009";"38";"5";"2";"2031";"1776";"14";"5";"1757";"421";"137";"62";"185";"58";"7";"331";"460";"96";"0";"0";"0";"-";"-";"-"
"326010";"326010";"38";"5";"2";"1395";"1243";"7";"2";"1234";"223";"79";"28";"141";"56";"3";"216";"390";"98";"0";"0";"0";"-";"-";"-"
"326011";"326011";"38";"5";"2";"1777";"1537";"5";"5";"1527";"396";"84";"57";"145";"47";"7";"315";"408";"67";"1";"0";"0";"-";"-";"-"
"326012";"326012";"38";"5";"2";"1115";"979";"8";"3";"968";"186";"61";"26";"93";"36";"1";"207";"300";"57";"0";"0";"1";"-";"-";"-"
"326013";"326013";"38";"5";"2";"3059";"2529";"11";"7";"2511";"643";"193";"102";"280";"73";"14";"415";"636";"155";"0";"0";"0";"-";"-";"-"
"326014";"326014";"38";"5";"2";"2683";"2174";"17";"5";"2152";"694";"109";"46";"271";"55";"6";"447";"410";"112";"1";"1";"0";"-";"-";"-"
"326015";"326015";"38";"5";"2";"1304";"1146";"7";"3";"1136";"278";"72";"41";"118";"49";"5";"213";"315";"45";"0";"0";"0";"-";"-";"-"
"326016";"326016";"38";"5";"2";"2636";"2310";"28";"4";"2278";"571";"147";"59";"192";"91";"15";"512";"612";"77";"0";"0";"2";"-";"-";"-"
"326017";"326017";"38";"5";"2";"3414";"3076";"24";"8";"3044";"743";"209";"143";"292";"120";"12";"555";"838";"132";"0";"0";"0";"-";"-";"-"
"326018";"326018";"38";"5";"2";"705";"631";"7";"4";"620";"152";"33";"18";"53";"21";"2";"136";"165";"40";"0";"0";"0";"-";"-";"-"
"326019";"326019";"38";"5";"2";"3186";"2639";"22";"10";"2607";"738";"197";"77";"236";"69";"9";"474";"689";"117";"0";"0";"1";"-";"-";"-"
"329001";"329001";"39";"5";"2";"7656";"6556";"48";"25";"6483";"1678";"542";"307";"504";"347";"15";"973";"1739";"376";"0";"2";"0";"-";"-";"-"
"329002";"329002";"39";"5";"2";"601";"558";"3";"1";"554";"101";"37";"18";"46";"27";"2";"109";"190";"23";"0";"1";"0";"-";"-";"-"
"329003";"329003";"39";"5";"2";"569";"525";"2";"1";"522";"102";"47";"25";"40";"32";"1";"85";"155";"35";"0";"0";"0";"-";"-";"-"
"329004";"329004";"39";"5";"2";"3733";"3324";"25";"3";"3296";"884";"227";"123";"242";"112";"10";"589";"975";"133";"0";"1";"0";"-";"-";"-"
"329005";"329005";"39";"5";"2";"974";"899";"13";"2";"884";"162";"88";"26";"83";"50";"6";"162";"223";"82";"0";"1";"1";"-";"-";"-"
"329006";"329006";"39";"5";"2";"4259";"3677";"26";"14";"3637";"1070";"284";"132";"370";"138";"14";"534";"813";"278";"3";"0";"1";"-";"-";"-"
"329008";"329008";"39";"5";"2";"1062";"983";"9";"1";"973";"182";"122";"33";"127";"59";"1";"118";"210";"120";"0";"1";"0";"-";"-";"-"
"329009";"329009";"39";"5";"2";"947";"839";"5";"2";"832";"178";"66";"48";"43";"53";"1";"155";"235";"53";"0";"0";"0";"-";"-";"-"
"329010";"329010";"39";"5";"2";"999";"922";"8";"2";"912";"226";"63";"41";"78";"67";"4";"161";"248";"23";"1";"0";"0";"-";"-";"-"
"329011";"329011";"39";"5";"2";"526";"462";"5";"1";"456";"87";"20";"15";"32";"34";"1";"81";"155";"31";"0";"0";"0";"-";"-";"-"
"329012";"329012";"39";"5";"2";"832";"771";"3";"2";"766";"169";"62";"36";"66";"48";"6";"118";"226";"32";"1";"1";"1";"-";"-";"-"
"329013";"329013";"39";"5";"2";"989";"900";"5";"0";"895";"184";"83";"34";"75";"47";"3";"176";"251";"41";"1";"0";"0";"-";"-";"-"
"329014";"329014";"39";"5";"2";"660";"594";"6";"1";"587";"140";"37";"15";"54";"35";"3";"142";"130";"31";"0";"0";"0";"-";"-";"-"
"330001";"330001";"40";"5";"2";"1652";"1423";"10";"3";"1410";"334";"89";"52";"97";"77";"8";"301";"392";"59";"0";"1";"0";"-";"-";"-"
"330002";"330002";"40";"5";"2";"1170";"1040";"5";"1";"1034";"200";"72";"46";"118";"55";"3";"190";"283";"66";"1";"0";"0";"-";"-";"-"
"330003";"330003";"40";"5";"2";"1272";"1127";"6";"1";"1120";"245";"77";"47";"83";"62";"3";"196";"361";"45";"0";"0";"1";"-";"-";"-"
"330004";"330004";"40";"5";"2";"1457";"1323";"14";"1";"1308";"300";"72";"51";"88";"101";"5";"230";"403";"56";"0";"1";"1";"-";"-";"-"
"330005";"330005";"40";"5";"2";"5954";"5180";"33";"13";"5134";"1672";"251";"203";"514";"200";"18";"893";"1097";"282";"0";"0";"4";"-";"-";"-"
"330006";"330006";"40";"5";"2";"5537";"4542";"29";"9";"4504";"1556";"190";"116";"546";"168";"16";"828";"764";"314";"0";"0";"6";"-";"-";"-"
"330007";"330007";"40";"5";"2";"1886";"1717";"6";"1";"1710";"517";"68";"58";"130";"65";"8";"344";"435";"82";"0";"0";"3";"-";"-";"-"
"330008";"330008";"40";"5";"2";"2565";"2288";"16";"6";"2266";"503";"111";"74";"180";"131";"2";"470";"712";"70";"0";"0";"13";"-";"-";"-"
"330009";"330009";"40";"5";"2";"4864";"4093";"30";"8";"4055";"1083";"316";"161";"372";"180";"19";"711";"958";"251";"0";"0";"4";"-";"-";"-"
"330010";"330010";"40";"5";"2";"1521";"1357";"5";"1";"1351";"259";"90";"45";"166";"63";"8";"272";"362";"84";"1";"0";"1";"-";"-";"-"
"330011";"330011";"40";"5";"2";"3326";"2868";"22";"10";"2836";"626";"222";"121";"281";"74";"6";"550";"785";"167";"0";"0";"4";"-";"-";"-"
"330012";"330012";"40";"5";"2";"171";"148";"4";"0";"144";"31";"5";"7";"15";"1";"2";"46";"35";"2";"0";"0";"0";"-";"-";"-"
"330013";"330013";"40";"5";"2";"1040";"916";"6";"4";"906";"174";"59";"41";"72";"42";"2";"206";"277";"30";"0";"0";"3";"-";"-";"-"
"330015";"330015";"40";"5";"2";"2369";"2058";"14";"18";"2026";"476";"134";"90";"193";"74";"3";"373";"562";"119";"0";"0";"2";"-";"-";"-"
"330017";"330017";"40";"5";"2";"139";"125";"0";"0";"125";"29";"4";"3";"14";"0";"2";"36";"25";"12";"0";"0";"0";"-";"-";"-"
"330019";"330019";"40";"5";"2";"4995";"3914";"35";"22";"3857";"858";"270";"182";"453";"226";"18";"624";"912";"300";"2";"1";"11";"-";"-";"-"
"330020";"330020";"40";"5";"2";"4213";"3622";"31";"12";"3579";"908";"234";"213";"317";"158";"16";"614";"943";"170";"2";"1";"3";"-";"-";"-"
"330021";"330021";"40";"5";"2";"4819";"4297";"21";"6";"4270";"1131";"254";"185";"388";"209";"8";"748";"1177";"166";"0";"0";"4";"-";"-";"-"
"330022";"330022";"40";"5";"2";"5714";"4639";"30";"8";"4601";"1188";"302";"163";"501";"215";"16";"768";"1140";"301";"1";"0";"6";"-";"-";"-"
"330024";"330024";"40";"5";"2";"1076";"976";"8";"2";"966";"151";"56";"55";"80";"65";"3";"195";"334";"22";"2";"0";"3";"-";"-";"-"
"330025";"330025";"40";"5";"2";"2346";"2110";"9";"6";"2095";"404";"133";"86";"172";"80";"5";"443";"685";"83";"0";"1";"3";"-";"-";"-"
"336001";"336001";"33";"5";"2";"4247";"3801";"33";"8";"3760";"822";"260";"185";"323";"152";"11";"696";"1117";"193";"1";"0";"0";"-";"-";"-"
"336002";"336002";"33";"5";"2";"5006";"4568";"24";"6";"4538";"853";"350";"227";"344";"257";"13";"831";"1478";"185";"0";"0";"0";"-";"-";"-"
"336003";"336003";"33";"5";"2";"4493";"3873";"34";"6";"3833";"907";"285";"232";"330";"133";"8";"680";"1016";"241";"1";"0";"0";"-";"-";"-"
"336004";"336004";"33";"5";"2";"2942";"2608";"23";"4";"2581";"567";"193";"138";"222";"145";"5";"510";"652";"146";"3";"0";"0";"-";"-";"-"
"340001";"340001";"39";"5";"2";"4347";"3693";"25";"6";"3662";"910";"221";"194";"350";"158";"49";"670";"922";"186";"1";"0";"1";"-";"-";"-"
"340002";"340002";"39";"5";"2";"1485";"1245";"15";"1";"1229";"292";"69";"55";"116";"61";"6";"269";"291";"69";"1";"0";"0";"-";"-";"-"
"340004";"340004";"39";"5";"2";"1434";"1275";"6";"2";"1267";"290";"90";"44";"98";"56";"3";"240";"376";"70";"0";"0";"0";"-";"-";"-"
"340005";"340005";"39";"5";"2";"4056";"3543";"25";"5";"3513";"905";"379";"252";"328";"158";"27";"377";"906";"176";"0";"4";"1";"-";"-";"-"
"340006";"340006";"39";"5";"2";"3471";"3208";"19";"4";"3185";"739";"371";"153";"337";"139";"10";"327";"864";"244";"0";"1";"0";"-";"-";"-"
"340008";"340008";"39";"5";"2";"2926";"2590";"18";"6";"2566";"571";"226";"138";"220";"140";"7";"417";"743";"100";"3";"0";"1";"-";"-";"-"
"340010";"340010";"39";"5";"2";"4221";"3725";"32";"4";"3689";"846";"219";"139";"347";"190";"16";"715";"1021";"193";"1";"1";"1";"-";"-";"-"
"350001";"350001";"34";"5";"2";"2863";"2587";"20";"10";"2557";"515";"192";"103";"241";"143";"6";"373";"864";"117";"3";"0";"0";"-";"-";"-"
"350002";"350002";"34";"5";"2";"1910";"1705";"20";"4";"1681";"299";"137";"73";"154";"94";"8";"288";"550";"78";"0";"0";"0";"-";"-";"-"
"350003";"350003";"34";"5";"2";"1238";"1133";"5";"3";"1125";"209";"85";"49";"99";"66";"3";"197";"340";"76";"0";"1";"0";"-";"-";"-"
"350004";"350004";"34";"5";"2";"1121";"1004";"13";"3";"988";"181";"73";"35";"82";"56";"5";"182";"325";"49";"0";"0";"0";"-";"-";"-"
"350005";"350005";"34";"5";"2";"909";"833";"4";"4";"825";"151";"63";"35";"91";"53";"0";"110";"272";"50";"0";"0";"0";"-";"-";"-"
"350006";"350006";"34";"5";"2";"3160";"2893";"32";"12";"2849";"641";"349";"147";"420";"136";"6";"298";"642";"210";"0";"0";"0";"-";"-";"-"
"350008";"350008";"34";"5";"2";"2155";"1998";"14";"6";"1978";"401";"164";"94";"203";"134";"3";"345";"536";"97";"0";"1";"0";"-";"-";"-"
"350009";"350009";"34";"5";"2";"2121";"1988";"13";"3";"1972";"359";"184";"105";"172";"139";"6";"259";"650";"98";"0";"0";"0";"-";"-";"-"
"350011";"350011";"34";"5";"2";"1883";"1793";"3";"2";"1788";"264";"310";"138";"151";"127";"7";"115";"562";"114";"0";"0";"0";"-";"-";"-"
"350012";"350012";"34";"5";"2";"2260";"2074";"16";"6";"2052";"382";"215";"99";"194";"135";"20";"301";"613";"93";"0";"0";"0";"-";"-";"-"
"360001";"360001";"29";"5";"2";"656";"590";"3";"1";"586";"177";"24";"17";"54";"14";"0";"109";"161";"29";"1";"0";"0";"-";"-";"-"
"360003";"360003";"29";"5";"2";"2177";"1852";"12";"6";"1834";"643";"60";"54";"226";"27";"5";"309";"413";"96";"0";"0";"1";"-";"-";"-"
"360005";"360005";"29";"5";"2";"1050";"880";"4";"2";"874";"214";"44";"37";"144";"30";"4";"166";"174";"60";"1";"0";"0";"-";"-";"-"
"360008";"360008";"29";"5";"2";"884";"755";"6";"0";"749";"205";"43";"29";"115";"25";"5";"132";"153";"42";"0";"0";"0";"-";"-";"-"
"360011";"360011";"29";"5";"2";"1798";"1530";"8";"8";"1514";"461";"69";"76";"226";"44";"3";"254";"296";"85";"0";"0";"0";"-";"-";"-"
"360013";"360013";"29";"5";"2";"5456";"4741";"26";"34";"4681";"1657";"242";"198";"510";"147";"16";"611";"1076";"220";"2";"2";"0";"-";"-";"-"
"360014";"360014";"29";"5";"2";"44";"36";"0";"0";"36";"5";"1";"1";"5";"0";"1";"6";"15";"2";"0";"0";"0";"-";"-";"-"
"360019";"360019";"29";"5";"2";"2933";"2466";"24";"9";"2433";"742";"99";"83";"294";"87";"12";"414";"546";"151";"3";"1";"1";"-";"-";"-"
"360020";"360020";"29";"5";"2";"10715";"8899";"52";"66";"8781";"2635";"332";"244";"2668";"179";"27";"1148";"1115";"431";"1";"0";"1";"-";"-";"-"
"360026";"360026";"29";"5";"2";"500";"418";"6";"1";"411";"138";"15";"13";"41";"15";"0";"58";"99";"32";"0";"0";"0";"-";"-";"-"
"360027";"360027";"29";"5";"2";"416";"372";"6";"3";"363";"76";"28";"12";"49";"17";"1";"73";"69";"38";"0";"0";"0";"-";"-";"-"
"360028";"360028";"29";"5";"2";"125";"113";"1";"0";"112";"18";"8";"7";"12";"2";"0";"23";"33";"9";"0";"0";"0";"-";"-";"-"
"360029";"360029";"29";"5";"2";"1983";"1635";"14";"8";"1613";"486";"73";"43";"288";"53";"6";"261";"324";"79";"0";"0";"0";"-";"-";"-"
"360035";"360035";"29";"5";"2";"2476";"2091";"16";"6";"2069";"587";"65";"61";"352";"64";"5";"376";"463";"96";"0";"0";"0";"-";"-";"-"
"360036";"360036";"29";"5";"2";"2298";"1930";"15";"4";"1911";"650";"94";"48";"205";"58";"4";"262";"479";"110";"1";"0";"0";"-";"-";"-"
"360037";"360037";"29";"5";"2";"1457";"1128";"11";"3";"1114";"411";"33";"20";"155";"26";"1";"212";"192";"63";"1";"0";"0";"-";"-";"-"
"360038";"360038";"29";"5";"2";"827";"714";"5";"2";"707";"174";"25";"18";"96";"26";"2";"130";"194";"40";"2";"0";"0";"-";"-";"-"
"370001";"370001";"32";"5";"2";"3359";"2883";"25";"6";"2852";"644";"215";"127";"275";"124";"19";"559";"723";"161";"3";"1";"1";"-";"-";"-"
"370002";"370002";"32";"5";"2";"783";"694";"4";"2";"688";"152";"34";"31";"56";"32";"7";"105";"238";"33";"0";"0";"0";"-";"-";"-"
"370003";"370003";"32";"5";"2";"1576";"1351";"10";"6";"1335";"326";"90";"47";"126";"72";"4";"263";"339";"66";"1";"1";"0";"-";"-";"-"
"370004";"370004";"32";"5";"2";"1904";"1730";"12";"7";"1711";"410";"113";"104";"114";"90";"3";"218";"619";"39";"0";"0";"1";"-";"-";"-"
"370005";"370005";"32";"5";"2";"760";"687";"8";"1";"678";"130";"52";"32";"57";"36";"2";"130";"195";"44";"0";"0";"0";"-";"-";"-"
"370006";"370006";"32";"5";"2";"1920";"1697";"12";"2";"1683";"405";"95";"85";"183";"68";"2";"276";"491";"77";"0";"0";"1";"-";"-";"-"
"370007";"370007";"32";"5";"2";"1255";"1111";"14";"1";"1096";"244";"72";"38";"90";"42";"13";"171";"366";"60";"0";"0";"0";"-";"-";"-"
"370008";"370008";"32";"5";"2";"3611";"3257";"18";"12";"3227";"1006";"188";"188";"273";"127";"17";"480";"808";"140";"0";"0";"0";"-";"-";"-"
"370009";"370009";"32";"5";"2";"1076";"995";"3";"3";"989";"270";"55";"74";"79";"32";"5";"172";"252";"49";"0";"0";"1";"-";"-";"-"
"370010";"370010";"32";"5";"2";"1232";"1104";"12";"5";"1087";"241";"73";"61";"106";"52";"3";"189";"291";"70";"1";"0";"0";"-";"-";"-"
"370011";"370011";"32";"5";"2";"2404";"2176";"19";"6";"2151";"587";"163";"81";"215";"124";"4";"335";"500";"142";"0";"0";"0";"-";"-";"-"
"370012";"370012";"32";"5";"2";"437";"392";"1";"0";"391";"72";"27";"23";"27";"23";"2";"76";"116";"25";"0";"0";"0";"-";"-";"-"
"370013";"370013";"32";"5";"2";"500";"448";"4";"1";"443";"87";"21";"16";"37";"21";"1";"85";"154";"21";"0";"0";"0";"-";"-";"-"
"370014";"370014";"32";"5";"2";"2425";"2157";"13";"6";"2138";"587";"115";"78";"160";"76";"9";"401";"610";"102";"0";"0";"0";"-";"-";"-"
"370020";"370020";"32";"5";"2";"2949";"2595";"19";"8";"2568";"841";"157";"168";"190";"107";"12";"362";"609";"122";"0";"0";"0";"-";"-";"-"
"370021";"370021";"32";"5";"2";"2837";"2343";"21";"6";"2316";"611";"174";"130";"228";"111";"8";"317";"567";"168";"0";"1";"1";"-";"-";"-"
"370022";"370022";"32";"5";"2";"4294";"3566";"43";"20";"3503";"1238";"226";"123";"422";"137";"16";"518";"565";"258";"0";"0";"0";"-";"-";"-"
"370023";"370023";"32";"5";"2";"4623";"3979";"21";"12";"3946";"1257";"301";"273";"384";"162";"20";"504";"831";"213";"1";"0";"0";"-";"-";"-"
"370024";"370024";"32";"5";"2";"5002";"4409";"27";"10";"4372";"1469";"301";"219";"412";"154";"24";"680";"898";"214";"1";"0";"0";"-";"-";"-"
"370025";"370025";"32";"5";"2";"2745";"2383";"14";"8";"2361";"840";"149";"96";"232";"74";"13";"357";"449";"150";"1";"0";"0";"-";"-";"-"
"370026";"370026";"32";"5";"2";"2635";"2428";"11";"4";"2413";"642";"212";"203";"171";"141";"9";"287";"651";"95";"2";"0";"0";"-";"-";"-"
"370027";"370027";"32";"5";"2";"4192";"3659";"20";"8";"3631";"976";"263";"254";"228";"173";"24";"522";"1045";"144";"2";"0";"0";"-";"-";"-"
"370028";"370028";"32";"5";"2";"3708";"3049";"14";"17";"3018";"1147";"172";"104";"295";"108";"24";"435";"566";"166";"1";"0";"0";"-";"-";"-"
"370029";"370029";"32";"5";"2";"666";"620";"3";"0";"617";"187";"30";"37";"70";"23";"3";"89";"149";"29";"0";"0";"0";"-";"-";"-"
"370030";"370030";"32";"5";"2";"556";"510";"2";"0";"508";"89";"43";"43";"45";"25";"9";"63";"166";"24";"0";"0";"1";"-";"-";"-"
"370031";"370031";"32";"5";"2";"549";"490";"9";"1";"480";"137";"28";"26";"53";"19";"1";"66";"115";"35";"0";"0";"0";"-";"-";"-"
"370032";"370032";"32";"5";"2";"1952";"1767";"6";"3";"1758";"450";"117";"104";"125";"80";"9";"293";"498";"82";"0";"0";"0";"-";"-";"-"
"370033";"370033";"32";"5";"2";"456";"384";"2";"3";"379";"66";"33";"19";"29";"17";"0";"72";"125";"17";"1";"0";"0";"-";"-";"-"
"370034";"370034";"32";"5";"2";"450";"404";"1";"2";"401";"97";"27";"13";"24";"32";"1";"67";"123";"17";"0";"0";"0";"-";"-";"-"
"376001";"376001";"30";"5";"2";"3577";"2887";"29";"11";"2847";"797";"224";"139";"372";"98";"16";"388";"560";"253";"0";"0";"0";"-";"-";"-"
"376002";"376002";"30";"5";"2";"3158";"2715";"20";"14";"2681";"925";"167";"105";"292";"95";"17";"362";"517";"200";"1";"0";"0";"-";"-";"-"
"376003";"376003";"30";"5";"2";"2937";"2524";"22";"12";"2490";"911";"120";"105";"217";"62";"18";"351";"575";"130";"1";"0";"0";"-";"-";"-"
"376004";"376004";"30";"5";"2";"3516";"3023";"25";"9";"2989";"1060";"204";"122";"332";"95";"18";"391";"610";"156";"1";"0";"0";"-";"-";"-"
"376005";"376005";"30";"5";"2";"2060";"1865";"19";"4";"1842";"592";"118";"68";"207";"62";"8";"257";"453";"77";"0";"0";"0";"-";"-";"-"
"376006";"376006";"30";"5";"2";"1515";"1303";"8";"5";"1290";"383";"74";"31";"140";"38";"5";"244";"302";"72";"1";"0";"0";"-";"-";"-"
"376007";"376007";"30";"5";"2";"2676";"2426";"9";"11";"2406";"799";"152";"109";"234";"87";"19";"307";"592";"107";"0";"0";"0";"-";"-";"-"
"376008";"376008";"30";"5";"2";"2504";"2191";"18";"4";"2169";"732";"110";"74";"195";"59";"6";"358";"542";"92";"1";"0";"0";"-";"-";"-"
"376009";"376009";"30";"5";"2";"1462";"1288";"9";"2";"1277";"349";"50";"35";"121";"44";"6";"217";"372";"83";"0";"0";"0";"-";"-";"-"
"376010";"376010";"30";"5";"2";"2546";"2205";"19";"7";"2179";"687";"126";"92";"193";"50";"9";"347";"546";"129";"0";"0";"0";"-";"-";"-"
"376011";"376011";"30";"5";"2";"1972";"1702";"10";"3";"1689";"482";"88";"56";"173";"59";"3";"329";"403";"95";"1";"0";"0";"-";"-";"-"
"376012";"376012";"30";"5";"2";"2180";"1899";"15";"8";"1876";"593";"98";"66";"191";"60";"9";"332";"429";"97";"0";"1";"0";"-";"-";"-"
"376013";"376013";"30";"5";"2";"4704";"3875";"21";"16";"3838";"1419";"159";"131";"427";"108";"14";"532";"884";"158";"6";"0";"0";"-";"-";"-"
"376014";"376014";"30";"5";"2";"1277";"1090";"7";"6";"1077";"282";"46";"46";"96";"39";"4";"226";"271";"66";"0";"0";"1";"-";"-";"-"
"376015";"376015";"30";"5";"2";"987";"831";"6";"4";"821";"257";"37";"33";"82";"28";"1";"134";"212";"37";"0";"0";"0";"-";"-";"-"
"376016";"376016";"30";"5";"2";"3042";"2627";"19";"8";"2600";"778";"147";"89";"297";"71";"17";"464";"569";"167";"1";"0";"0";"-";"-";"-"
"376017";"376017";"30";"5";"2";"2574";"2264";"12";"3";"2249";"634";"153";"72";"237";"83";"9";"401";"496";"163";"1";"0";"0";"-";"-";"-"
"376018";"376018";"30";"5";"2";"1615";"1443";"14";"4";"1425";"419";"62";"55";"122";"55";"8";"239";"394";"71";"0";"0";"0";"-";"-";"-"
"376019";"376019";"30";"5";"2";"2837";"2575";"10";"8";"2557";"712";"161";"149";"204";"66";"7";"451";"717";"90";"0";"0";"0";"-";"-";"-"
"376020";"376020";"30";"5";"2";"1225";"1054";"4";"7";"1043";"286";"32";"26";"130";"25";"3";"276";"183";"82";"0";"0";"0";"-";"-";"-"
"390001";"390001";"31";"5";"2";"4322";"3663";"25";"9";"3629";"1080";"262";"197";"384";"149";"15";"534";"756";"250";"2";"0";"0";"-";"-";"-"
"390002";"390002";"31";"5";"2";"3220";"2789";"14";"12";"2763";"873";"208";"100";"326";"88";"11";"434";"509";"214";"0";"0";"0";"-";"-";"-"
"390003";"390003";"31";"5";"2";"2181";"1968";"9";"4";"1955";"464";"192";"116";"231";"103";"10";"224";"525";"90";"0";"0";"0";"-";"-";"-"
"390004";"390004";"31";"5";"2";"2034";"1813";"21";"8";"1784";"557";"95";"75";"190";"86";"8";"264";"399";"110";"0";"0";"0";"-";"-";"-"
"390005";"390005";"31";"5";"2";"927";"819";"13";"1";"805";"163";"59";"35";"80";"44";"2";"143";"229";"49";"0";"0";"1";"-";"-";"-"
"390006";"390006";"31";"5";"2";"2938";"2525";"17";"12";"2496";"567";"148";"118";"254";"115";"5";"511";"616";"160";"1";"0";"1";"-";"-";"-"
"390007";"390007";"31";"5";"2";"1585";"1397";"16";"2";"1379";"403";"75";"62";"129";"49";"2";"235";"355";"69";"0";"0";"0";"-";"-";"-"
"390008";"390008";"31";"5";"2";"4410";"3820";"28";"12";"3780";"1125";"244";"154";"335";"124";"8";"532";"976";"279";"3";"0";"0";"-";"-";"-"
"390009";"390009";"31";"5";"2";"1394";"1205";"5";"2";"1198";"267";"66";"37";"123";"46";"7";"219";"310";"123";"0";"0";"0";"-";"-";"-"
"390010";"390010";"31";"5";"2";"1859";"1680";"15";"5";"1660";"393";"118";"55";"208";"62";"9";"219";"392";"202";"0";"1";"1";"-";"-";"-"
"390011";"390011";"31";"5";"2";"903";"834";"7";"3";"824";"203";"75";"30";"127";"25";"3";"99";"206";"56";"0";"0";"0";"-";"-";"-"
"390012";"390012";"31";"5";"2";"3317";"2918";"12";"14";"2892";"741";"213";"135";"326";"121";"12";"466";"683";"193";"1";"1";"0";"-";"-";"-"
"390013";"390013";"31";"5";"2";"930";"816";"8";"1";"807";"158";"61";"24";"101";"43";"5";"129";"231";"55";"0";"0";"0";"-";"-";"-"
"390014";"390014";"31";"5";"2";"608";"559";"5";"2";"552";"136";"41";"14";"65";"20";"3";"91";"127";"54";"1";"0";"0";"-";"-";"-"
"390015";"390015";"31";"5";"2";"1460";"1273";"10";"3";"1260";"315";"63";"55";"128";"48";"5";"243";"323";"79";"1";"0";"0";"-";"-";"-"
"390016";"390016";"31";"5";"2";"1805";"1605";"11";"3";"1591";"469";"90";"66";"160";"62";"5";"269";"352";"118";"0";"0";"0";"-";"-";"-"
"390017";"390017";"31";"5";"2";"1537";"1383";"4";"3";"1376";"448";"73";"63";"109";"45";"3";"235";"337";"63";"0";"0";"0";"-";"-";"-"
"400001";"400001";"28";"4";"1";"2983";"2499";"15";"10";"2474";"766";"146";"49";"221";"50";"34";"315";"697";"196";"-";"-";"-";"-";"-";"-"
"400002";"400002";"28";"4";"1";"2429";"2064";"11";"7";"2046";"566";"94";"42";"167";"45";"70";"249";"587";"226";"-";"-";"-";"-";"-";"-"
"400003";"400003";"28";"4";"1";"1782";"1592";"7";"3";"1582";"420";"123";"32";"127";"41";"37";"121";"469";"212";"-";"-";"-";"-";"-";"-"
"400004";"400004";"28";"4";"1";"3653";"3072";"21";"13";"3038";"1131";"156";"53";"204";"56";"71";"338";"841";"188";"-";"-";"-";"-";"-";"-"
"400005";"400005";"28";"4";"1";"1394";"1225";"4";"1";"1220";"371";"61";"16";"89";"16";"36";"189";"370";"72";"-";"-";"-";"-";"-";"-"
