"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2015 - Personlige stemmer i alt";"FV2015 - A - personlige stemmer i alt";"FV2015 - B - personlige stemmer i alt";"FV2015 - C - personlige stemmer i alt";"FV2015 - F - personlige stemmer i alt";"FV2015 - I - personlige stemmer i alt";"FV2015 - K - personlige stemmer i alt";"FV2015 - O - personlige stemmer i alt";"FV2015 - V - personlige stemmer i alt";"FV2015 - Ø - personlige stemmer i alt";"FV2015 - Å - personlige stemmer i alt";"FV2015 - A-01";"FV2015 - A-02";"FV2015 - A-03";"FV2015 - A-04";"FV2015 - A-05";"FV2015 - A-06";"FV2015 - A-07";"FV2015 - A-08";"FV2015 - A-09";"FV2015 - A-10";"FV2015 - A-11";"FV2015 - A-12";"FV2015 - A-13";"FV2015 - B-01";"FV2015 - B-02";"FV2015 - B-03";"FV2015 - B-04";"FV2015 - B-05";"FV2015 - B-06";"FV2015 - B-07";"FV2015 - B-08";"FV2015 - B-09";"FV2015 - B-10";"FV2015 - B-11";"FV2015 - B-12";"FV2015 - C-01";"FV2015 - C-02";"FV2015 - C-03";"FV2015 - C-04";"FV2015 - C-05";"FV2015 - C-06";"FV2015 - C-07";"FV2015 - C-08";"FV2015 - C-09";"FV2015 - F-01";"FV2015 - F-02";"FV2015 - F-03";"FV2015 - F-04";"FV2015 - F-05";"FV2015 - F-06";"FV2015 - F-07";"FV2015 - F-08";"FV2015 - F-09";"FV2015 - F-10";"FV2015 - F-11";"FV2015 - F-12";"FV2015 - F-13";"FV2015 - I-01";"FV2015 - I-02";"FV2015 - I-03";"FV2015 - I-04";"FV2015 - I-05";"FV2015 - I-06";"FV2015 - I-07";"FV2015 - I-08";"FV2015 - I-09";"FV2015 - I-10";"FV2015 - I-11";"FV2015 - K-01";"FV2015 - K-02";"FV2015 - K-03";"FV2015 - K-04";"FV2015 - K-05";"FV2015 - K-06";"FV2015 - K-07";"FV2015 - K-08";"FV2015 - K-09";"FV2015 - K-10";"FV2015 - K-11";"FV2015 - O-01";"FV2015 - O-02";"FV2015 - O-03";"FV2015 - O-04";"FV2015 - O-05";"FV2015 - O-06";"FV2015 - O-07";"FV2015 - O-08";"FV2015 - O-09";"FV2015 - O-10";"FV2015 - O-11";"FV2015 - O-12";"FV2015 - O-13";"FV2015 - V-01";"FV2015 - V-02";"FV2015 - V-03";"FV2015 - V-04";"FV2015 - V-05";"FV2015 - V-06";"FV2015 - V-07";"FV2015 - V-08";"FV2015 - V-09";"FV2015 - V-10";"FV2015 - V-11";"FV2015 - V-12";"FV2015 - V-13";"FV2015 - Ø-01";"FV2015 - Ø-02";"FV2015 - Ø-03";"FV2015 - Ø-04";"FV2015 - Ø-05";"FV2015 - Ø-06";"FV2015 - Ø-07";"FV2015 - Ø-08";"FV2015 - Ø-09";"FV2015 - Ø-10";"FV2015 - Ø-11";"FV2015 - Ø-12";"FV2015 - Å-01";"FV2015 - Å-02";"FV2015 - Å-03";"FV2015 - Å-04";"FV2015 - Å-05";"FV2015 - Å-06";"FV2015 - Å-07";"FV2015 - Å-08";"FV2015 - Å-09";"FV2015 - Å-10";"FV2015 - Å-11";"FV2015 - Å-12";"FV2015 - Å-13"
"259007";"259007";"34";"5";"2";"1021";"292";"31";"34";"129";"27";"3";"136";"336";"25";"8";"0";"2";"0";"1";"9";"3";"21";"4";"66";"2";"155";"29";"-";"0";"0";"1";"0";"7";"13";"2";"8";"-";"-";"-";"-";"1";"0";"2";"5";"0";"18";"8";"-";"-";"0";"2";"3";"0";"0";"0";"1";"0";"122";"0";"0";"1";"-";"7";"2";"0";"1";"2";"11";"1";"3";"0";"0";"-";"1";"2";"0";"0";"0";"0";"0";"0";"-";"-";"-";"2";"59";"8";"2";"4";"37";"4";"3";"9";"6";"2";"0";"-";"0";"4";"8";"0";"19";"4";"2";"2";"0";"3";"280";"14";"-";"0";"6";"2";"6";"0";"1";"0";"0";"1";"9";"0";"0";"3";"2";"0";"3";"0";"0";"0";"-";"-";"-";"-";"-";"-"
"259008";"259008";"34";"5";"2";"432";"119";"12";"17";"64";"22";"1";"52";"132";"7";"6";"1";"0";"1";"0";"0";"2";"11";"0";"22";"0";"71";"11";"-";"1";"0";"1";"0";"6";"4";"0";"0";"-";"-";"-";"-";"0";"0";"1";"3";"0";"7";"6";"-";"-";"0";"1";"0";"0";"0";"0";"0";"1";"61";"1";"0";"0";"-";"3";"3";"0";"1";"3";"9";"2";"1";"0";"0";"-";"0";"0";"0";"0";"0";"0";"0";"1";"-";"-";"-";"1";"22";"3";"1";"3";"17";"2";"0";"1";"2";"0";"0";"-";"4";"3";"7";"0";"10";"2";"2";"0";"1";"0";"94";"9";"-";"0";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"2";"0";"0";"0";"-";"-";"-";"-";"-";"-"
"259009";"259009";"34";"5";"2";"1641";"539";"71";"53";"203";"50";"2";"195";"463";"40";"25";"2";"2";"0";"5";"10";"4";"25";"8";"117";"1";"334";"31";"-";"0";"0";"2";"0";"9";"35";"2";"23";"-";"-";"-";"-";"4";"0";"5";"3";"1";"27";"13";"-";"-";"0";"6";"2";"2";"1";"0";"1";"5";"185";"1";"0";"0";"-";"5";"5";"1";"4";"4";"22";"3";"4";"1";"1";"-";"0";"0";"0";"0";"0";"1";"0";"1";"-";"-";"-";"2";"88";"8";"6";"8";"53";"1";"8";"6";"10";"5";"0";"-";"5";"5";"7";"0";"25";"5";"2";"2";"1";"3";"401";"7";"-";"0";"6";"12";"7";"0";"0";"1";"1";"0";"11";"1";"1";"10";"2";"1";"9";"0";"0";"3";"-";"-";"-";"-";"-";"-"
"259010";"259010";"34";"5";"2";"1671";"520";"92";"75";"174";"45";"3";"177";"541";"30";"14";"0";"4";"1";"1";"10";"1";"34";"8";"107";"3";"320";"31";"-";"2";"2";"5";"3";"31";"40";"3";"6";"-";"-";"-";"-";"1";"5";"7";"13";"0";"28";"21";"-";"-";"0";"2";"1";"1";"1";"0";"0";"3";"166";"0";"0";"0";"-";"5";"4";"1";"0";"3";"27";"1";"2";"1";"1";"-";"0";"0";"0";"0";"2";"1";"0";"0";"-";"-";"-";"0";"81";"6";"1";"3";"60";"1";"7";"4";"6";"5";"3";"-";"0";"5";"10";"0";"41";"1";"4";"2";"4";"5";"464";"5";"-";"0";"4";"13";"3";"0";"0";"0";"0";"0";"8";"1";"1";"7";"0";"3";"2";"2";"0";"0";"-";"-";"-";"-";"-";"-"
"259011";"259011";"34";"5";"2";"1044";"285";"37";"40";"192";"26";"1";"145";"266";"42";"10";"0";"4";"1";"0";"4";"3";"21";"5";"55";"1";"162";"29";"-";"0";"0";"0";"0";"8";"25";"1";"3";"-";"-";"-";"-";"0";"3";"0";"3";"0";"25";"9";"-";"-";"0";"3";"3";"0";"1";"0";"0";"1";"182";"0";"2";"0";"-";"3";"5";"1";"0";"2";"11";"1";"2";"0";"1";"-";"0";"1";"0";"0";"0";"0";"0";"0";"-";"-";"-";"1";"46";"8";"5";"3";"40";"2";"7";"15";"14";"1";"3";"-";"3";"2";"10";"1";"19";"3";"1";"3";"3";"7";"208";"6";"-";"0";"7";"14";"7";"1";"0";"0";"1";"0";"12";"0";"0";"3";"1";"0";"4";"0";"0";"2";"-";"-";"-";"-";"-";"-"
"259012";"259012";"34";"5";"2";"1675";"487";"84";"89";"119";"50";"4";"236";"539";"39";"28";"4";"4";"0";"2";"16";"3";"37";"12";"139";"2";"223";"45";"-";"3";"3";"1";"0";"24";"51";"2";"0";"-";"-";"-";"-";"7";"5";"3";"11";"0";"15";"48";"-";"-";"0";"13";"2";"0";"1";"0";"1";"2";"97";"2";"0";"1";"-";"9";"10";"5";"1";"4";"16";"1";"2";"0";"2";"-";"1";"2";"0";"1";"0";"0";"0";"0";"-";"-";"-";"2";"73";"10";"3";"6";"78";"2";"4";"26";"27";"5";"0";"-";"4";"3";"35";"12";"28";"9";"4";"15";"4";"5";"413";"7";"-";"0";"8";"18";"2";"0";"0";"3";"2";"0";"6";"0";"0";"6";"3";"2";"12";"2";"0";"3";"-";"-";"-";"-";"-";"-"
"259013";"259013";"34";"5";"2";"1085";"298";"39";"43";"77";"36";"2";"151";"411";"19";"9";"2";"3";"1";"3";"5";"1";"33";"1";"71";"0";"150";"28";"-";"0";"1";"2";"1";"15";"18";"2";"0";"-";"-";"-";"-";"0";"2";"4";"5";"0";"18";"14";"-";"-";"0";"5";"1";"0";"0";"0";"0";"2";"67";"0";"1";"1";"-";"3";"6";"4";"3";"3";"11";"0";"3";"2";"1";"-";"0";"2";"0";"0";"0";"0";"0";"0";"-";"-";"-";"1";"55";"13";"2";"5";"49";"0";"1";"10";"8";"6";"1";"-";"0";"4";"10";"3";"33";"9";"4";"5";"3";"3";"329";"8";"-";"0";"2";"5";"4";"1";"2";"0";"1";"0";"3";"0";"1";"4";"1";"0";"2";"0";"0";"2";"-";"-";"-";"-";"-";"-"
"259014";"259014";"34";"5";"2";"401";"100";"9";"19";"14";"15";"2";"67";"168";"3";"4";"0";"2";"3";"1";"2";"0";"10";"5";"21";"1";"36";"19";"-";"0";"1";"2";"0";"3";"3";"0";"0";"-";"-";"-";"-";"2";"0";"2";"1";"0";"6";"8";"-";"-";"0";"1";"1";"1";"0";"0";"0";"0";"11";"0";"0";"0";"-";"2";"3";"1";"0";"4";"3";"0";"0";"1";"1";"-";"0";"0";"0";"0";"0";"1";"1";"0";"-";"-";"-";"0";"15";"1";"0";"1";"27";"2";"1";"3";"12";"3";"2";"-";"1";"2";"9";"3";"17";"2";"3";"2";"1";"0";"122";"6";"-";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"2";"0";"0";"-";"-";"-";"-";"-";"-"
"259015";"259015";"34";"5";"2";"1007";"238";"26";"45";"56";"30";"2";"186";"404";"15";"5";"2";"1";"0";"2";"6";"1";"23";"5";"66";"0";"115";"17";"-";"0";"1";"1";"0";"10";"12";"1";"1";"-";"-";"-";"-";"0";"2";"3";"11";"2";"15";"12";"-";"-";"0";"0";"1";"0";"0";"0";"0";"0";"55";"0";"0";"0";"-";"4";"6";"2";"0";"2";"12";"2";"1";"1";"0";"-";"0";"0";"0";"0";"0";"2";"0";"0";"-";"-";"-";"1";"73";"9";"2";"1";"64";"4";"6";"9";"13";"3";"1";"-";"4";"4";"12";"2";"25";"1";"4";"7";"3";"3";"335";"4";"-";"1";"5";"4";"1";"0";"0";"0";"0";"0";"3";"1";"0";"3";"0";"0";"1";"1";"0";"0";"-";"-";"-";"-";"-";"-"
"259016";"259016";"34";"5";"2";"533";"162";"16";"25";"52";"15";"1";"77";"169";"9";"7";"3";"0";"0";"0";"4";"0";"15";"1";"40";"0";"90";"9";"-";"0";"0";"1";"1";"4";"8";"2";"0";"-";"-";"-";"-";"0";"1";"0";"3";"0";"13";"8";"-";"-";"0";"4";"1";"0";"0";"0";"0";"0";"47";"0";"0";"0";"-";"1";"1";"1";"0";"1";"8";"2";"0";"1";"0";"-";"0";"0";"0";"0";"1";"0";"0";"0";"-";"-";"-";"1";"22";"1";"3";"2";"34";"2";"0";"2";"7";"3";"0";"-";"0";"0";"3";"1";"6";"0";"0";"5";"0";"2";"149";"3";"-";"0";"3";"1";"1";"0";"0";"0";"1";"0";"3";"0";"0";"3";"0";"1";"2";"0";"0";"1";"-";"-";"-";"-";"-";"-"
"260001";"260001";"24";"3";"1";"2758";"860";"77";"55";"254";"212";"18";"400";"638";"158";"86";"9";"131";"199";"509";"12";"-";"-";"-";"-";"-";"-";"-";"-";"61";"9";"0";"2";"1";"4";"-";"-";"-";"-";"-";"-";"38";"1";"6";"6";"4";"-";"-";"-";"-";"10";"1";"2";"2";"239";"-";"-";"-";"-";"-";"-";"-";"-";"185";"1";"2";"0";"20";"2";"1";"1";"0";"-";"-";"15";"3";"0";"-";"-";"-";"-";"-";"-";"-";"-";"32";"64";"41";"236";"8";"19";"-";"-";"-";"-";"-";"-";"-";"76";"363";"10";"21";"159";"9";"-";"-";"-";"-";"-";"-";"-";"9";"91";"10";"1";"10";"37";"-";"-";"-";"-";"-";"-";"52";"12";"2";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"260002";"260002";"24";"3";"1";"1162";"372";"34";"25";"89";"95";"7";"204";"277";"40";"19";"1";"53";"66";"248";"4";"-";"-";"-";"-";"-";"-";"-";"-";"20";"6";"1";"1";"0";"6";"-";"-";"-";"-";"-";"-";"14";"0";"2";"4";"5";"-";"-";"-";"-";"2";"1";"1";"0";"85";"-";"-";"-";"-";"-";"-";"-";"-";"84";"1";"4";"0";"3";"0";"1";"2";"0";"-";"-";"7";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"27";"26";"21";"104";"7";"19";"-";"-";"-";"-";"-";"-";"-";"26";"176";"8";"11";"53";"3";"-";"-";"-";"-";"-";"-";"-";"2";"18";"2";"1";"1";"16";"-";"-";"-";"-";"-";"-";"12";"2";"1";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"260003";"260003";"24";"3";"1";"2455";"889";"67";"79";"180";"227";"23";"364";"477";"108";"41";"4";"77";"162";"631";"15";"-";"-";"-";"-";"-";"-";"-";"-";"38";"14";"2";"1";"0";"12";"-";"-";"-";"-";"-";"-";"55";"1";"8";"10";"5";"-";"-";"-";"-";"9";"4";"0";"3";"164";"-";"-";"-";"-";"-";"-";"-";"-";"201";"1";"4";"3";"12";"0";"3";"3";"0";"-";"-";"22";"0";"1";"-";"-";"-";"-";"-";"-";"-";"-";"43";"51";"46";"182";"6";"36";"-";"-";"-";"-";"-";"-";"-";"76";"269";"12";"9";"103";"8";"-";"-";"-";"-";"-";"-";"-";"5";"47";"5";"0";"7";"44";"-";"-";"-";"-";"-";"-";"29";"4";"3";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"260004";"260004";"24";"3";"1";"926";"242";"20";"25";"64";"101";"5";"172";"256";"27";"14";"2";"48";"79";"107";"6";"-";"-";"-";"-";"-";"-";"-";"-";"15";"1";"2";"1";"0";"1";"-";"-";"-";"-";"-";"-";"12";"0";"5";"4";"4";"-";"-";"-";"-";"5";"1";"4";"1";"53";"-";"-";"-";"-";"-";"-";"-";"-";"94";"1";"0";"0";"2";"1";"1";"2";"0";"-";"-";"5";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"14";"35";"15";"92";"2";"14";"-";"-";"-";"-";"-";"-";"-";"34";"131";"5";"4";"72";"10";"-";"-";"-";"-";"-";"-";"-";"4";"17";"4";"0";"0";"2";"-";"-";"-";"-";"-";"-";"4";"3";"1";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"260005";"260005";"24";"3";"1";"1277";"397";"28";"32";"91";"139";"6";"204";"300";"52";"28";"1";"66";"81";"237";"12";"-";"-";"-";"-";"-";"-";"-";"-";"23";"3";"1";"1";"0";"0";"-";"-";"-";"-";"-";"-";"19";"2";"2";"6";"3";"-";"-";"-";"-";"6";"2";"2";"0";"81";"-";"-";"-";"-";"-";"-";"-";"-";"125";"0";"0";"0";"6";"0";"1";"6";"1";"-";"-";"6";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"19";"39";"20";"108";"8";"10";"-";"-";"-";"-";"-";"-";"-";"54";"174";"2";"11";"57";"2";"-";"-";"-";"-";"-";"-";"-";"2";"34";"4";"0";"3";"9";"-";"-";"-";"-";"-";"-";"19";"1";"0";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265001";"265001";"36";"5";"2";"1618";"505";"137";"79";"122";"52";"3";"171";"371";"122";"56";"1";"2";"2";"8";"195";"5";"55";"11";"110";"1";"41";"74";"-";"1";"1";"5";"2";"36";"85";"6";"1";"-";"-";"-";"-";"0";"2";"1";"12";"1";"33";"30";"-";"-";"1";"81";"5";"1";"3";"1";"0";"11";"12";"0";"4";"3";"-";"26";"7";"2";"7";"4";"2";"1";"2";"0";"1";"-";"0";"0";"0";"2";"1";"0";"0";"0";"-";"-";"-";"0";"11";"5";"3";"1";"39";"0";"5";"96";"4";"5";"2";"-";"1";"7";"8";"23";"38";"2";"5";"39";"1";"3";"242";"2";"-";"0";"71";"37";"0";"0";"4";"0";"3";"2";"4";"1";"0";"24";"1";"5";"20";"4";"0";"2";"-";"-";"-";"-";"-";"-"
"265002";"265002";"36";"5";"2";"1762";"521";"164";"98";"105";"60";"6";"192";"495";"81";"40";"2";"2";"1";"6";"182";"2";"46";"21";"148";"2";"43";"66";"-";"2";"2";"8";"1";"45";"94";"7";"5";"-";"-";"-";"-";"1";"1";"0";"18";"0";"48";"30";"-";"-";"1";"62";"8";"0";"3";"0";"3";"10";"14";"2";"1";"1";"-";"13";"2";"4";"16";"3";"9";"4";"5";"2";"2";"-";"0";"2";"0";"1";"3";"0";"0";"0";"-";"-";"-";"2";"10";"6";"2";"1";"46";"0";"0";"115";"6";"4";"0";"-";"1";"4";"8";"19";"71";"2";"7";"87";"2";"2";"279";"13";"-";"1";"48";"22";"3";"0";"2";"0";"3";"1";"1";"0";"0";"15";"2";"0";"15";"3";"1";"4";"-";"-";"-";"-";"-";"-"
"265003";"265003";"36";"5";"2";"2284";"820";"227";"73";"210";"47";"6";"260";"423";"145";"73";"6";"5";"1";"9";"290";"4";"71";"12";"231";"3";"73";"115";"-";"0";"1";"10";"3";"66";"114";"21";"12";"-";"-";"-";"-";"1";"5";"0";"7";"0";"37";"23";"-";"-";"3";"142";"6";"2";"7";"2";"1";"17";"23";"3";"3";"1";"-";"16";"9";"4";"5";"3";"7";"1";"2";"0";"0";"-";"0";"1";"1";"1";"1";"0";"0";"2";"-";"-";"-";"1";"14";"4";"4";"1";"54";"1";"3";"166";"7";"2";"3";"-";"5";"15";"16";"31";"52";"2";"3";"54";"3";"6";"232";"4";"-";"0";"74";"43";"10";"5";"2";"2";"2";"4";"2";"1";"0";"30";"1";"6";"30";"3";"1";"2";"-";"-";"-";"-";"-";"-"
"265004";"265004";"36";"5";"2";"1293";"445";"131";"38";"97";"26";"3";"189";"263";"67";"34";"2";"2";"3";"6";"172";"5";"40";"15";"119";"1";"37";"43";"-";"1";"1";"3";"1";"12";"75";"9";"29";"-";"-";"-";"-";"3";"3";"0";"6";"0";"21";"5";"-";"-";"0";"49";"8";"3";"1";"1";"0";"10";"21";"1";"2";"1";"-";"5";"10";"2";"2";"2";"2";"0";"3";"0";"0";"-";"0";"1";"0";"1";"1";"0";"0";"0";"-";"-";"-";"3";"15";"5";"0";"4";"44";"2";"2";"110";"0";"3";"1";"-";"1";"10";"14";"9";"22";"3";"2";"31";"0";"1";"163";"7";"-";"0";"43";"10";"5";"3";"2";"0";"2";"1";"0";"1";"0";"11";"1";"1";"11";"3";"2";"5";"-";"-";"-";"-";"-";"-"
"265005";"265005";"36";"5";"2";"1751";"595";"137";"58";"109";"48";"1";"310";"349";"97";"47";"3";"4";"0";"3";"249";"1";"59";"15";"165";"5";"38";"53";"-";"0";"2";"2";"3";"26";"68";"5";"31";"-";"-";"-";"-";"3";"1";"2";"9";"1";"25";"17";"-";"-";"1";"57";"6";"1";"3";"2";"0";"5";"31";"1";"0";"2";"-";"10";"8";"4";"9";"3";"5";"5";"3";"1";"0";"-";"0";"0";"0";"0";"1";"0";"0";"0";"-";"-";"-";"0";"14";"7";"4";"4";"71";"2";"5";"189";"9";"2";"3";"-";"2";"10";"5";"25";"30";"3";"3";"48";"0";"2";"216";"5";"-";"0";"50";"24";"7";"4";"1";"1";"2";"4";"3";"0";"1";"18";"5";"2";"13";"0";"4";"5";"-";"-";"-";"-";"-";"-"
"265006";"265006";"36";"5";"2";"2447";"641";"263";"172";"132";"106";"2";"252";"741";"75";"63";"2";"4";"0";"8";"201";"1";"59";"13";"191";"1";"60";"101";"-";"5";"4";"9";"1";"83";"134";"18";"9";"-";"-";"-";"-";"7";"0";"2";"35";"3";"74";"51";"-";"-";"0";"79";"4";"2";"5";"0";"0";"15";"18";"6";"1";"2";"-";"21";"9";"12";"22";"5";"12";"10";"7";"3";"5";"-";"0";"0";"0";"2";"0";"0";"0";"0";"-";"-";"-";"0";"9";"3";"6";"3";"73";"3";"1";"143";"7";"3";"1";"-";"6";"17";"21";"44";"76";"5";"4";"145";"0";"3";"405";"15";"-";"0";"40";"19";"3";"1";"4";"1";"2";"1";"1";"1";"2";"28";"2";"4";"17";"6";"2";"4";"-";"-";"-";"-";"-";"-"
"265007";"265007";"36";"5";"2";"1425";"441";"89";"85";"73";"33";"3";"270";"363";"47";"21";"5";"2";"1";"11";"159";"3";"34";"8";"140";"1";"39";"38";"-";"2";"0";"4";"1";"19";"53";"9";"1";"-";"-";"-";"-";"2";"4";"2";"20";"0";"34";"23";"-";"-";"0";"58";"3";"0";"1";"0";"0";"5";"5";"0";"0";"1";"-";"7";"3";"3";"10";"1";"5";"1";"2";"1";"0";"-";"0";"0";"2";"0";"1";"0";"0";"0";"-";"-";"-";"1";"9";"3";"1";"1";"31";"0";"1";"213";"7";"2";"1";"-";"3";"13";"11";"36";"35";"3";"2";"58";"1";"3";"191";"7";"-";"0";"29";"12";"1";"0";"2";"1";"0";"0";"1";"1";"0";"6";"1";"3";"8";"1";"0";"2";"-";"-";"-";"-";"-";"-"
"265008";"265008";"36";"5";"2";"662";"212";"40";"32";"29";"27";"3";"88";"205";"16";"10";"2";"1";"0";"2";"62";"1";"24";"4";"83";"0";"12";"21";"-";"0";"0";"3";"0";"9";"27";"1";"0";"-";"-";"-";"-";"0";"1";"0";"10";"0";"12";"9";"-";"-";"1";"21";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0";"-";"5";"2";"3";"3";"1";"5";"2";"6";"0";"0";"-";"0";"1";"0";"0";"2";"0";"0";"0";"-";"-";"-";"0";"4";"3";"1";"3";"20";"0";"0";"56";"1";"0";"0";"-";"2";"6";"9";"14";"29";"4";"2";"29";"0";"2";"101";"7";"-";"0";"5";"6";"2";"0";"1";"0";"2";"0";"0";"0";"0";"4";"1";"0";"1";"1";"2";"1";"-";"-";"-";"-";"-";"-"
"265009";"265009";"36";"5";"2";"322";"92";"18";"12";"11";"20";"1";"47";"102";"15";"4";"1";"0";"0";"1";"36";"0";"8";"2";"26";"0";"7";"11";"-";"0";"0";"0";"0";"5";"13";"0";"0";"-";"-";"-";"-";"0";"4";"1";"1";"0";"4";"2";"-";"-";"0";"9";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"-";"1";"0";"0";"14";"1";"4";"0";"0";"0";"0";"-";"0";"1";"0";"0";"0";"0";"0";"0";"-";"-";"-";"0";"1";"4";"0";"0";"7";"1";"3";"29";"1";"0";"1";"-";"1";"9";"4";"4";"11";"2";"1";"20";"1";"1";"44";"4";"-";"0";"6";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"-";"-";"-";"-";"-";"-"
"265010";"265010";"36";"5";"2";"1593";"504";"162";"48";"106";"28";"8";"283";"285";"121";"48";"3";"4";"1";"14";"192";"4";"28";"15";"149";"1";"48";"45";"-";"1";"0";"3";"0";"14";"94";"5";"45";"-";"-";"-";"-";"1";"3";"4";"5";"1";"22";"12";"-";"-";"2";"63";"7";"2";"1";"1";"0";"6";"16";"5";"2";"1";"-";"9";"2";"2";"5";"0";"4";"0";"4";"1";"1";"-";"0";"2";"0";"0";"5";"0";"0";"1";"-";"-";"-";"3";"16";"4";"1";"4";"63";"0";"3";"179";"6";"3";"1";"-";"4";"5";"12";"14";"17";"2";"5";"27";"1";"0";"194";"4";"-";"0";"70";"20";"18";"1";"4";"3";"2";"0";"0";"1";"2";"13";"1";"4";"21";"4";"2";"3";"-";"-";"-";"-";"-";"-"
"265011";"265011";"36";"5";"2";"1028";"281";"66";"35";"34";"50";"2";"154";"339";"38";"29";"2";"1";"0";"1";"142";"2";"16";"2";"68";"0";"13";"34";"-";"0";"0";"6";"0";"17";"33";"6";"4";"-";"-";"-";"-";"2";"1";"1";"5";"1";"20";"5";"-";"-";"0";"24";"0";"1";"1";"0";"1";"2";"3";"1";"0";"1";"-";"9";"14";"1";"2";"1";"15";"2";"6";"0";"0";"-";"0";"0";"0";"0";"1";"0";"0";"1";"-";"-";"-";"0";"14";"2";"1";"1";"42";"0";"1";"90";"1";"1";"1";"-";"1";"8";"9";"9";"28";"5";"2";"66";"0";"0";"204";"7";"-";"0";"20";"9";"2";"0";"2";"1";"2";"1";"1";"0";"0";"12";"1";"1";"9";"2";"0";"4";"-";"-";"-";"-";"-";"-"
"265013";"265013";"36";"5";"2";"1778";"536";"78";"74";"34";"75";"4";"281";"628";"51";"17";"3";"1";"1";"1";"273";"3";"22";"10";"124";"1";"34";"63";"-";"3";"2";"2";"1";"18";"46";"6";"0";"-";"-";"-";"-";"1";"3";"1";"16";"2";"37";"14";"-";"-";"0";"22";"1";"1";"0";"1";"0";"4";"5";"0";"0";"0";"-";"20";"13";"2";"18";"3";"2";"5";"4";"4";"4";"-";"0";"2";"0";"0";"2";"0";"0";"0";"-";"-";"-";"3";"29";"11";"1";"9";"92";"2";"6";"121";"2";"4";"1";"-";"4";"7";"23";"14";"44";"4";"10";"183";"4";"6";"319";"10";"-";"0";"28";"11";"7";"0";"0";"2";"1";"1";"0";"0";"1";"6";"0";"0";"8";"1";"0";"2";"-";"-";"-";"-";"-";"-"
"265014";"265014";"36";"5";"2";"830";"304";"36";"40";"15";"25";"0";"147";"238";"16";"9";"0";"0";"1";"1";"209";"0";"10";"5";"58";"0";"10";"10";"-";"0";"0";"1";"0";"13";"20";"1";"1";"-";"-";"-";"-";"3";"0";"2";"6";"0";"12";"17";"-";"-";"0";"7";"1";"1";"2";"0";"0";"2";"2";"0";"0";"0";"-";"4";"2";"4";"3";"0";"7";"2";"3";"0";"0";"-";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"2";"5";"6";"2";"4";"40";"1";"4";"76";"5";"1";"1";"-";"4";"3";"7";"5";"12";"4";"2";"43";"2";"0";"152";"4";"-";"0";"6";"6";"1";"2";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"3";"1";"0";"1";"-";"-";"-";"-";"-";"-"
"265015";"265015";"36";"5";"2";"1112";"327";"67";"50";"24";"40";"2";"169";"405";"14";"14";"1";"1";"0";"1";"195";"3";"20";"2";"67";"0";"10";"27";"-";"0";"2";"1";"1";"21";"36";"6";"0";"-";"-";"-";"-";"0";"2";"1";"13";"0";"25";"9";"-";"-";"0";"13";"2";"0";"0";"0";"0";"4";"4";"1";"0";"0";"-";"13";"5";"5";"7";"2";"3";"2";"2";"0";"1";"-";"0";"2";"0";"0";"0";"0";"0";"0";"-";"-";"-";"0";"16";"5";"1";"1";"59";"0";"4";"80";"1";"2";"0";"-";"1";"3";"16";"10";"39";"2";"2";"81";"2";"9";"235";"5";"-";"0";"8";"4";"1";"0";"0";"0";"1";"0";"0";"0";"0";"4";"2";"0";"3";"2";"0";"3";"-";"-";"-";"-";"-";"-"
"265016";"265016";"36";"5";"2";"699";"220";"40";"29";"33";"17";"1";"104";"223";"19";"13";"3";"2";"1";"9";"61";"3";"17";"6";"73";"0";"22";"23";"-";"1";"2";"2";"0";"12";"22";"1";"0";"-";"-";"-";"-";"0";"0";"1";"4";"0";"14";"10";"-";"-";"1";"23";"0";"1";"1";"0";"0";"2";"5";"0";"0";"0";"-";"2";"3";"1";"4";"1";"4";"1";"1";"0";"0";"-";"1";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"0";"6";"1";"0";"2";"29";"0";"2";"60";"2";"2";"0";"-";"1";"3";"9";"7";"29";"1";"5";"38";"0";"5";"119";"6";"-";"0";"7";"8";"0";"1";"1";"0";"1";"0";"1";"0";"0";"9";"0";"2";"2";"0";"0";"0";"-";"-";"-";"-";"-";"-"
