"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1998 - Stemmeberettigede";"FV1998 - Afgivne stemmer";"FV1998 - Blanke stemmer";"FV1998 - Andre ugyldige stemmer";"FV1998 - Gyldige stemmer";"FV1998 - A. Socialdemokratiet";"FV1998 - B. Det Radikale Venstre";"FV1998 - C. Det Konservative Folkeparti";"FV1998 - D. Centrum-Demokraterne";"FV1998 - F. Socialistisk Folkeparti";"FV1998 - O. Dansk Folkeparti";"FV1998 - Q. Kristeligt Folkeparti";"FV1998 - U. Demokratisk Fornyelse";"FV1998 - V. Venstre, Danmarks Liberale Parti";"FV1998 - Z. Fremskridtspartiet";"FV1998 - Ø. Enhedslisten - De Rød-Grønne";"FV1998 - 1. Uden for partierne";"FV1998 - 2. Uden for partierne";"FV1998 - 3. Uden for partierne"
"359004";"359004";"45";"8";"2";"1442";"1240";"8";"4";"1228";"572";"27";"96";"49";"63";"86";"19";"6";"260";"29";"21";"0";"-";"-"
"359006";"359006";"45";"8";"2";"421";"355";"1";"1";"353";"157";"10";"37";"10";"15";"35";"9";"0";"70";"5";"5";"0";"-";"-"
"361001";"361001";"44";"8";"2";"1397";"1256";"10";"5";"1241";"513";"30";"121";"51";"103";"104";"17";"4";"224";"41";"33";"0";"-";"-"
"361002";"361002";"44";"8";"2";"512";"439";"2";"2";"435";"166";"19";"45";"17";"43";"37";"10";"2";"74";"7";"15";"0";"-";"-"
"361003";"361003";"44";"8";"2";"1298";"1166";"10";"2";"1154";"471";"35";"136";"58";"69";"68";"22";"4";"239";"31";"21";"0";"-";"-"
"361004";"361004";"44";"8";"2";"847";"710";"9";"1";"700";"344";"19";"65";"27";"36";"43";"11";"1";"127";"19";"7";"1";"-";"-"
"361005";"361005";"44";"8";"2";"286";"248";"1";"0";"247";"65";"9";"16";"15";"12";"18";"3";"1";"87";"13";"8";"0";"-";"-"
"361006";"361006";"44";"8";"2";"472";"398";"5";"1";"392";"121";"9";"31";"21";"43";"27";"5";"1";"119";"8";"7";"0";"-";"-"
"363001";"363001";"46";"8";"2";"4668";"4012";"31";"13";"3968";"1792";"111";"373";"127";"353";"223";"43";"14";"799";"60";"70";"3";"-";"-"
"363002";"363002";"46";"8";"2";"66";"62";"0";"0";"62";"19";"0";"1";"1";"3";"13";"10";"0";"7";"4";"4";"0";"-";"-"
"363003";"363003";"46";"8";"2";"855";"733";"10";"4";"719";"346";"14";"51";"19";"58";"51";"16";"0";"134";"20";"10";"0";"-";"-"
"363004";"363004";"46";"8";"2";"394";"352";"4";"1";"347";"143";"3";"20";"3";"34";"22";"16";"3";"89";"3";"11";"0";"-";"-"
"363005";"363005";"46";"8";"2";"843";"770";"3";"3";"764";"359";"16";"66";"23";"77";"38";"7";"4";"142";"18";"14";"0";"-";"-"
"363006";"363006";"46";"8";"2";"1114";"924";"6";"4";"914";"382";"16";"39";"36";"54";"78";"24";"3";"243";"16";"22";"1";"-";"-"
"363007";"363007";"46";"8";"2";"902";"787";"5";"2";"780";"302";"25";"57";"24";"59";"62";"12";"2";"205";"11";"21";"0";"-";"-"
"365001";"365001";"44";"8";"2";"2551";"2122";"23";"2";"2097";"786";"95";"251";"103";"180";"127";"31";"6";"430";"37";"51";"0";"-";"-"
"365002";"365002";"44";"8";"2";"800";"716";"5";"1";"710";"244";"32";"70";"24";"88";"58";"13";"2";"148";"12";"19";"0";"-";"-"
"365003";"365003";"44";"8";"2";"1145";"973";"6";"3";"964";"267";"39";"94";"56";"83";"116";"22";"3";"222";"33";"29";"0";"-";"-"
"365004";"365004";"44";"8";"2";"808";"706";"7";"4";"695";"230";"34";"47";"34";"71";"31";"21";"0";"188";"8";"31";"0";"-";"-"
"365005";"365005";"44";"8";"2";"861";"735";"2";"1";"732";"200";"34";"71";"31";"63";"53";"18";"4";"222";"22";"14";"0";"-";"-"
"365006";"365006";"44";"8";"2";"1601";"1373";"19";"3";"1351";"575";"61";"102";"56";"105";"103";"34";"6";"258";"23";"28";"0";"-";"-"
"365007";"365007";"44";"8";"2";"1201";"1054";"7";"2";"1045";"317";"48";"66";"44";"112";"70";"15";"3";"288";"15";"67";"0";"-";"-"
"367001";"367001";"45";"8";"2";"2700";"2071";"17";"2";"2052";"967";"47";"199";"80";"205";"163";"27";"6";"269";"50";"36";"3";"-";"-"
"367002";"367002";"45";"8";"2";"3228";"2699";"13";"10";"2676";"1551";"51";"126";"60";"277";"229";"33";"8";"278";"37";"26";"0";"-";"-"
"367003";"367003";"45";"8";"2";"3185";"2784";"28";"8";"2748";"1497";"58";"186";"87";"270";"178";"40";"6";"352";"40";"33";"1";"-";"-"
"367004";"367004";"45";"8";"2";"1616";"1411";"12";"5";"1394";"746";"20";"96";"43";"139";"120";"6";"3";"175";"26";"19";"1";"-";"-"
"367005";"367005";"45";"8";"2";"835";"716";"4";"2";"710";"429";"9";"27";"7";"88";"60";"6";"3";"45";"20";"16";"0";"-";"-"
"367006";"367006";"45";"8";"2";"353";"317";"2";"0";"315";"173";"10";"13";"9";"22";"32";"2";"3";"44";"1";"6";"0";"-";"-"
"369001";"369001";"47";"8";"2";"2188";"1769";"14";"4";"1751";"645";"59";"225";"63";"177";"129";"43";"9";"298";"34";"68";"1";"-";"-"
"369002";"369002";"47";"8";"2";"3179";"2696";"16";"12";"2668";"1266";"83";"234";"114";"245";"175";"32";"15";"383";"44";"76";"1";"-";"-"
"369003";"369003";"47";"8";"2";"3377";"2912";"20";"6";"2886";"1362";"89";"302";"100";"180";"217";"62";"5";"497";"40";"32";"0";"-";"-"
"369004";"369004";"47";"8";"2";"1986";"1638";"20";"7";"1611";"700";"50";"175";"52";"157";"105";"31";"2";"273";"24";"40";"2";"-";"-"
"369005";"369005";"47";"8";"2";"2128";"1794";"14";"2";"1778";"827";"68";"229";"63";"127";"94";"25";"10";"282";"16";"37";"0";"-";"-"
"369006";"369006";"47";"8";"2";"634";"579";"5";"2";"572";"227";"18";"44";"30";"41";"63";"12";"4";"122";"7";"4";"0";"-";"-"
"369007";"369007";"47";"8";"2";"1193";"1085";"7";"2";"1076";"496";"29";"83";"40";"87";"91";"18";"5";"189";"16";"21";"1";"-";"-"
"369008";"369008";"47";"8";"2";"793";"715";"8";"2";"705";"268";"25";"52";"30";"47";"63";"21";"2";"170";"17";"10";"0";"-";"-"
"369009";"369009";"47";"8";"2";"957";"838";"5";"1";"832";"314";"28";"51";"31";"69";"80";"15";"5";"211";"18";"9";"1";"-";"-"
"369010";"369010";"47";"8";"2";"523";"455";"6";"1";"448";"184";"21";"26";"19";"30";"59";"7";"1";"81";"13";"7";"0";"-";"-"
"369011";"369011";"47";"8";"2";"2772";"2502";"24";"8";"2470";"992";"93";"295";"106";"148";"153";"54";"6";"558";"33";"31";"1";"-";"-"
"371001";"371001";"46";"8";"2";"1566";"1357";"9";"4";"1344";"497";"46";"146";"60";"73";"122";"22";"3";"327";"22";"25";"1";"-";"-"
"371002";"371002";"46";"8";"2";"1049";"961";"8";"3";"950";"382";"34";"46";"39";"70";"82";"17";"4";"234";"21";"21";"0";"-";"-"
"371003";"371003";"46";"8";"2";"791";"690";"2";"3";"685";"243";"38";"43";"22";"34";"60";"16";"3";"197";"17";"12";"0";"-";"-"
"371004";"371004";"46";"8";"2";"824";"702";"11";"0";"691";"194";"20";"59";"35";"50";"81";"15";"6";"207";"17";"7";"0";"-";"-"
"373020";"373020";"43";"8";"2";"2778";"2462";"14";"5";"2443";"1016";"57";"467";"99";"168";"143";"48";"4";"390";"23";"28";"0";"-";"-"
"373021";"373021";"43";"8";"2";"2801";"2260";"17";"4";"2239";"758";"93";"415";"82";"193";"123";"51";"5";"432";"29";"58";"0";"-";"-"
"373022";"373022";"43";"8";"2";"4226";"3479";"18";"7";"3454";"1607";"81";"384";"124";"334";"210";"82";"14";"484";"47";"86";"1";"-";"-"
"373023";"373023";"43";"8";"2";"4775";"4056";"19";"13";"4024";"1637";"123";"661";"155";"341";"208";"123";"10";"629";"45";"91";"1";"-";"-"
"373024";"373024";"43";"8";"2";"3316";"2823";"17";"8";"2798";"1315";"75";"374";"81";"206";"197";"60";"6";"388";"43";"53";"0";"-";"-"
"373025";"373025";"43";"8";"2";"2787";"2372";"13";"8";"2351";"1105";"76";"293";"82";"164";"164";"41";"5";"336";"30";"55";"0";"-";"-"
"373026";"373026";"43";"8";"2";"2801";"2472";"13";"4";"2455";"783";"88";"531";"122";"151";"139";"57";"4";"536";"20";"23";"1";"-";"-"
"373027";"373027";"43";"8";"2";"2870";"2459";"13";"5";"2441";"926";"66";"434";"98";"128";"166";"70";"3";"482";"34";"34";"0";"-";"-"
"373028";"373028";"43";"8";"2";"3976";"3221";"19";"15";"3187";"1496";"80";"385";"135";"234";"214";"75";"5";"441";"58";"62";"2";"-";"-"
"373029";"373029";"43";"8";"2";"622";"566";"0";"1";"565";"233";"17";"83";"23";"37";"41";"16";"1";"98";"5";"11";"0";"-";"-"
"373030";"373030";"43";"8";"2";"553";"509";"0";"0";"509";"143";"24";"77";"33";"34";"27";"18";"2";"136";"5";"10";"0";"-";"-"
"373031";"373031";"43";"8";"2";"606";"523";"8";"0";"515";"197";"7";"63";"24";"29";"25";"8";"0";"137";"9";"16";"0";"-";"-"
"373032";"373032";"43";"8";"2";"1692";"1495";"8";"4";"1483";"485";"41";"270";"72";"95";"109";"29";"6";"326";"27";"23";"0";"-";"-"
"373033";"373033";"43";"8";"2";"473";"416";"2";"4";"410";"115";"6";"47";"16";"30";"33";"10";"1";"137";"9";"6";"0";"-";"-"
"373034";"373034";"43";"8";"2";"403";"363";"2";"0";"361";"98";"12";"43";"14";"19";"26";"16";"0";"119";"4";"10";"0";"-";"-"
"373035";"373035";"43";"8";"2";"1488";"1383";"4";"6";"1373";"440";"49";"299";"63";"86";"86";"31";"3";"279";"17";"19";"1";"-";"-"
"375001";"375001";"47";"8";"2";"473";"408";"6";"2";"400";"150";"7";"18";"16";"40";"26";"6";"2";"108";"12";"14";"1";"-";"-"
"375002";"375002";"47";"8";"2";"1065";"926";"3";"4";"919";"364";"29";"63";"32";"48";"113";"14";"1";"210";"23";"22";"0";"-";"-"
"375003";"375003";"47";"8";"2";"2092";"1823";"20";"5";"1798";"736";"75";"128";"57";"105";"145";"27";"1";"450";"38";"36";"0";"-";"-"
"375005";"375005";"47";"8";"2";"475";"410";"6";"2";"402";"147";"12";"28";"15";"38";"37";"8";"1";"109";"5";"1";"1";"-";"-"
"375006";"375006";"47";"8";"2";"558";"502";"1";"1";"500";"186";"17";"29";"12";"28";"68";"8";"1";"133";"4";"14";"0";"-";"-"
"375007";"375007";"47";"8";"2";"362";"328";"2";"1";"325";"98";"19";"15";"18";"19";"37";"5";"3";"100";"7";"4";"0";"-";"-"
"375008";"375008";"47";"8";"2";"634";"559";"2";"2";"555";"220";"17";"56";"19";"39";"68";"3";"1";"112";"12";"8";"0";"-";"-"
"375009";"375009";"47";"8";"2";"687";"579";"4";"4";"571";"240";"18";"42";"22";"36";"67";"7";"1";"112";"19";"7";"0";"-";"-"
"375010";"375010";"47";"8";"2";"1042";"917";"3";"1";"913";"370";"43";"64";"39";"59";"77";"14";"2";"210";"15";"20";"0";"-";"-"
"377001";"377001";"42";"8";"2";"3441";"2945";"14";"7";"2924";"1041";"95";"291";"151";"256";"195";"36";"10";"710";"64";"75";"0";"-";"-"
"377002";"377002";"42";"8";"2";"624";"542";"4";"4";"534";"177";"19";"37";"32";"57";"43";"15";"1";"117";"16";"20";"0";"-";"-"
"377003";"377003";"42";"8";"2";"652";"578";"5";"2";"571";"179";"17";"39";"25";"60";"35";"14";"3";"155";"14";"29";"1";"-";"-"
"377004";"377004";"42";"8";"2";"916";"803";"9";"0";"794";"244";"31";"74";"38";"49";"65";"18";"3";"231";"14";"23";"4";"-";"-"
"379001";"379001";"45";"8";"2";"582";"505";"4";"1";"500";"195";"12";"32";"25";"33";"43";"4";"1";"123";"18";"14";"0";"-";"-"
"379002";"379002";"45";"8";"2";"520";"460";"4";"1";"455";"126";"22";"33";"19";"41";"49";"10";"3";"114";"21";"17";"0";"-";"-"
"379003";"379003";"45";"8";"2";"175";"149";"0";"1";"148";"42";"3";"14";"7";"12";"4";"1";"0";"54";"4";"7";"0";"-";"-"
"379005";"379005";"45";"8";"2";"1471";"1238";"21";"6";"1211";"542";"22";"99";"47";"106";"89";"13";"8";"235";"27";"23";"0";"-";"-"
"379007";"379007";"45";"8";"2";"400";"340";"0";"0";"340";"127";"10";"28";"7";"21";"30";"11";"1";"83";"16";"6";"0";"-";"-"
"379008";"379008";"45";"8";"2";"691";"594";"1";"3";"590";"243";"19";"45";"23";"48";"50";"12";"1";"124";"14";"11";"0";"-";"-"
"379009";"379009";"45";"8";"2";"572";"500";"1";"3";"496";"230";"6";"27";"14";"39";"38";"8";"0";"108";"10";"15";"1";"-";"-"
"379010";"379010";"45";"8";"2";"229";"198";"1";"1";"196";"57";"5";"18";"9";"18";"20";"3";"3";"50";"3";"10";"0";"-";"-"
"381001";"381001";"45";"8";"2";"352";"302";"0";"1";"301";"126";"6";"25";"7";"20";"26";"3";"0";"78";"4";"6";"0";"-";"-"
"381002";"381002";"45";"8";"2";"375";"325";"1";"0";"324";"128";"12";"28";"11";"18";"30";"7";"1";"81";"4";"4";"0";"-";"-"
"381003";"381003";"45";"8";"2";"490";"400";"3";"1";"396";"195";"11";"25";"7";"22";"28";"6";"0";"89";"5";"8";"0";"-";"-"
"381004";"381004";"45";"8";"2";"513";"440";"5";"1";"434";"196";"5";"31";"10";"30";"21";"3";"2";"123";"8";"5";"0";"-";"-"
"381005";"381005";"45";"8";"2";"1079";"936";"6";"2";"928";"369";"25";"76";"15";"49";"95";"20";"2";"229";"34";"13";"1";"-";"-"
"383001";"383001";"46";"8";"2";"2611";"2232";"21";"15";"2196";"879";"67";"170";"75";"187";"147";"37";"2";"559";"44";"29";"0";"-";"-"
"383002";"383002";"46";"8";"2";"1688";"1330";"7";"3";"1320";"673";"33";"94";"35";"115";"109";"10";"3";"191";"37";"20";"0";"-";"-"
"383003";"383003";"46";"8";"2";"979";"871";"5";"2";"864";"327";"15";"49";"28";"47";"61";"27";"4";"275";"13";"17";"1";"-";"-"
"385001";"385001";"42";"8";"2";"2557";"2243";"18";"6";"2219";"725";"105";"181";"133";"103";"182";"49";"5";"670";"34";"32";"0";"-";"-"
"385002";"385002";"42";"8";"2";"2595";"2282";"17";"4";"2261";"762";"91";"218";"120";"118";"195";"34";"7";"617";"49";"50";"0";"-";"-"
"387001";"387001";"46";"8";"2";"3952";"3362";"27";"18";"3317";"1694";"86";"267";"97";"207";"217";"40";"8";"609";"64";"27";"1";"-";"-"
"387002";"387002";"46";"8";"2";"887";"750";"4";"6";"740";"292";"15";"83";"24";"44";"73";"8";"4";"157";"22";"18";"0";"-";"-"
"387003";"387003";"46";"8";"2";"689";"612";"8";"2";"602";"267";"13";"35";"25";"30";"41";"8";"0";"162";"14";"7";"0";"-";"-"
"387005";"387005";"46";"8";"2";"558";"490";"5";"3";"482";"199";"10";"26";"9";"28";"37";"11";"1";"139";"9";"13";"0";"-";"-"
"387006";"387006";"46";"8";"2";"586";"512";"4";"2";"506";"175";"18";"38";"21";"35";"45";"8";"1";"143";"10";"11";"1";"-";"-"
"387007";"387007";"46";"8";"2";"618";"528";"2";"0";"526";"197";"13";"49";"14";"33";"35";"10";"2";"163";"4";"6";"0";"-";"-"
"389001";"389001";"42";"8";"2";"3751";"3278";"24";"8";"3246";"1222";"107";"386";"167";"203";"223";"56";"12";"735";"59";"75";"1";"-";"-"
"389002";"389002";"42";"8";"2";"1900";"1720";"13";"4";"1703";"585";"44";"187";"96";"114";"167";"20";"3";"417";"31";"39";"0";"-";"-"
"389003";"389003";"42";"8";"2";"909";"820";"2";"3";"815";"234";"25";"74";"62";"51";"76";"4";"2";"249";"11";"27";"0";"-";"-"
"389004";"389004";"42";"8";"2";"989";"880";"5";"0";"875";"288";"29";"74";"43";"79";"67";"13";"1";"229";"18";"34";"0";"-";"-"
"389005";"389005";"42";"8";"2";"903";"791";"6";"1";"784";"216";"21";"58";"50";"61";"84";"10";"1";"244";"18";"21";"0";"-";"-"
"391001";"391001";"47";"8";"2";"2799";"2400";"17";"7";"2376";"1027";"61";"243";"73";"135";"181";"44";"6";"490";"63";"52";"1";"-";"-"
"391004";"391004";"47";"8";"2";"1016";"867";"12";"5";"850";"320";"28";"55";"22";"59";"74";"21";"1";"218";"26";"26";"0";"-";"-"
"391005";"391005";"47";"8";"2";"1592";"1397";"13";"4";"1380";"534";"55";"106";"53";"100";"88";"24";"4";"352";"29";"34";"1";"-";"-"
"393001";"393001";"43";"8";"2";"2086";"1838";"11";"1";"1826";"726";"51";"168";"80";"128";"116";"31";"6";"432";"27";"61";"0";"-";"-"
"393002";"393002";"43";"8";"2";"455";"400";"5";"0";"395";"124";"9";"30";"17";"23";"24";"19";"3";"132";"5";"8";"1";"-";"-"
"393003";"393003";"43";"8";"2";"487";"418";"0";"0";"418";"141";"11";"50";"20";"14";"30";"14";"1";"120";"11";"6";"0";"-";"-"
"393004";"393004";"43";"8";"2";"2256";"1963";"14";"3";"1946";"788";"48";"178";"96";"116";"142";"39";"6";"466";"27";"40";"0";"-";"-"
"393005";"393005";"43";"8";"2";"719";"662";"3";"1";"658";"216";"22";"48";"28";"53";"56";"15";"3";"187";"9";"21";"0";"-";"-"
"395001";"395001";"47";"8";"2";"1636";"1449";"14";"5";"1430";"544";"35";"180";"65";"77";"87";"15";"4";"391";"18";"14";"0";"-";"-"
"395002";"395002";"47";"8";"2";"2499";"2250";"11";"9";"2230";"748";"66";"321";"98";"116";"187";"26";"3";"598";"38";"25";"4";"-";"-"
"395003";"395003";"47";"8";"2";"335";"283";"1";"0";"282";"77";"7";"44";"14";"14";"31";"2";"1";"75";"3";"14";"0";"-";"-"
"395004";"395004";"47";"8";"2";"1097";"948";"8";"3";"937";"384";"24";"69";"29";"63";"131";"19";"2";"170";"21";"25";"0";"-";"-"
"397001";"397001";"44";"8";"2";"4334";"3659";"15";"6";"3638";"1503";"135";"430";"162";"302";"202";"61";"8";"699";"57";"76";"3";"-";"-"
"397002";"397002";"44";"8";"2";"2981";"2582";"10";"2";"2570";"1277";"82";"202";"90";"203";"181";"44";"5";"386";"33";"66";"1";"-";"-"
"397003";"397003";"44";"8";"2";"1928";"1703";"11";"4";"1688";"615";"70";"183";"82";"150";"99";"36";"2";"380";"23";"47";"1";"-";"-"
"397004";"397004";"44";"8";"2";"1991";"1754";"11";"2";"1741";"755";"60";"140";"70";"128";"144";"31";"2";"343";"25";"43";"0";"-";"-"
"397005";"397005";"44";"8";"2";"751";"651";"6";"0";"645";"236";"13";"88";"20";"52";"59";"10";"3";"136";"11";"16";"1";"-";"-"
"397006";"397006";"44";"8";"2";"962";"830";"2";"1";"827";"253";"32";"101";"47";"65";"81";"23";"3";"182";"18";"21";"1";"-";"-"
"397007";"397007";"44";"8";"2";"165";"131";"0";"1";"130";"30";"2";"19";"3";"9";"16";"3";"1";"41";"3";"3";"0";"-";"-"
"397008";"397008";"44";"8";"2";"785";"654";"6";"3";"645";"232";"24";"40";"30";"57";"59";"16";"3";"142";"16";"26";"0";"-";"-"
"397009";"397009";"44";"8";"2";"1565";"1334";"15";"0";"1319";"607";"39";"99";"51";"73";"87";"27";"1";"300";"21";"14";"0";"-";"-"
"397010";"397010";"44";"8";"2";"271";"243";"3";"1";"239";"89";"6";"19";"6";"25";"13";"5";"1";"56";"8";"11";"0";"-";"-"
"401001";"401001";"49";"9";"2";"1544";"1309";"11";"4";"1294";"485";"25";"20";"29";"95";"79";"37";"5";"475";"9";"35";"-";"-";"-"
"401002";"401002";"49";"9";"2";"1252";"1055";"5";"2";"1048";"287";"23";"26";"15";"46";"54";"57";"4";"488";"19";"29";"-";"-";"-"
"401003";"401003";"49";"9";"2";"408";"353";"2";"1";"350";"93";"8";"7";"14";"21";"27";"4";"2";"146";"6";"22";"-";"-";"-"
"401004";"401004";"49";"9";"2";"719";"640";"2";"4";"634";"181";"14";"12";"7";"26";"42";"44";"5";"276";"14";"13";"-";"-";"-"
"401005";"401005";"49";"9";"2";"669";"569";"3";"2";"564";"214";"14";"23";"8";"40";"26";"22";"9";"186";"8";"14";"-";"-";"-"
"401006";"401006";"49";"9";"2";"1304";"1137";"7";"7";"1123";"282";"26";"21";"12";"58";"60";"108";"9";"489";"9";"49";"-";"-";"-"
"403001";"403001";"48";"9";"2";"1560";"1302";"8";"5";"1289";"580";"10";"29";"24";"75";"69";"66";"5";"386";"28";"17";"-";"-";"-"
"403002";"403002";"48";"9";"2";"1446";"1270";"12";"6";"1252";"407";"19";"39";"29";"52";"66";"69";"4";"512";"17";"38";"-";"-";"-"
"403003";"403003";"48";"9";"2";"1369";"1220";"13";"4";"1203";"490";"25";"30";"31";"43";"78";"70";"2";"407";"10";"17";"-";"-";"-"
"403005";"403005";"48";"9";"2";"559";"499";"2";"3";"494";"173";"13";"10";"15";"31";"27";"12";"0";"190";"10";"13";"-";"-";"-"
"405001";"405001";"49";"9";"2";"2898";"2341";"15";"14";"2312";"1038";"41";"42";"61";"76";"117";"109";"7";"746";"37";"38";"-";"-";"-"
"405002";"405002";"49";"9";"2";"1090";"956";"4";"5";"947";"352";"36";"22";"24";"76";"40";"38";"10";"285";"10";"54";"-";"-";"-"
"405003";"405003";"49";"9";"2";"816";"699";"5";"2";"692";"242";"22";"11";"16";"35";"30";"29";"6";"270";"9";"22";"-";"-";"-"
"405004";"405004";"49";"9";"2";"753";"645";"1";"4";"640";"230";"8";"26";"12";"27";"43";"33";"7";"227";"9";"18";"-";"-";"-"
"405005";"405005";"49";"9";"2";"913";"768";"7";"2";"759";"259";"14";"26";"22";"37";"34";"47";"3";"286";"17";"14";"-";"-";"-"
"407001";"407001";"48";"9";"2";"11723";"9811";"75";"34";"9702";"4519";"218";"358";"256";"606";"503";"390";"36";"2507";"116";"193";"-";"-";"-"
"409001";"409001";"49";"9";"2";"2658";"2235";"10";"8";"2217";"779";"49";"51";"57";"117";"120";"180";"11";"770";"41";"42";"-";"-";"-"
"409003";"409003";"49";"9";"2";"790";"679";"1";"4";"674";"313";"10";"31";"15";"37";"42";"14";"4";"187";"12";"9";"-";"-";"-"
"409004";"409004";"49";"9";"2";"545";"480";"5";"6";"469";"183";"4";"10";"10";"23";"29";"34";"3";"159";"4";"10";"-";"-";"-"
"409005";"409005";"49";"9";"2";"1124";"990";"5";"2";"983";"349";"20";"28";"23";"61";"57";"53";"5";"342";"23";"22";"-";"-";"-"
"411001";"411001";"49";"9";"2";"67";"62";"1";"0";"61";"17";"3";"2";"4";"6";"0";"0";"1";"21";"1";"6";"-";"-";"-"
"421001";"421001";"54";"10";"2";"5267";"4503";"36";"2";"4465";"1925";"175";"365";"169";"272";"395";"64";"11";"989";"48";"52";"0";"-";"-"
"421002";"421002";"54";"10";"2";"1385";"1220";"5";"1";"1214";"514";"43";"107";"46";"60";"88";"27";"3";"297";"12";"17";"0";"-";"-"
"421003";"421003";"54";"10";"2";"717";"642";"4";"1";"637";"219";"25";"45";"25";"35";"70";"13";"1";"184";"6";"14";"0";"-";"-"
"421004";"421004";"54";"10";"2";"754";"655";"4";"1";"650";"202";"23";"49";"33";"37";"73";"16";"1";"200";"7";"9";"0";"-";"-"
"421005";"421005";"54";"10";"2";"207";"186";"1";"0";"185";"35";"12";"19";"7";"11";"16";"0";"1";"74";"2";"8";"0";"-";"-"
"421006";"421006";"54";"10";"2";"31";"30";"0";"1";"29";"5";"1";"4";"1";"0";"0";"0";"0";"18";"0";"0";"0";"-";"-"
"423001";"423001";"55";"10";"2";"2723";"2310";"14";"2";"2294";"1040";"82";"210";"68";"122";"152";"27";"3";"538";"28";"23";"1";"-";"-"
"423002";"423002";"55";"10";"2";"288";"258";"1";"0";"257";"86";"5";"18";"11";"14";"27";"9";"1";"81";"3";"2";"0";"-";"-"
"423003";"423003";"55";"10";"2";"366";"317";"1";"0";"316";"140";"6";"23";"9";"9";"24";"3";"3";"93";"5";"1";"0";"-";"-"
"423004";"423004";"55";"10";"2";"310";"284";"1";"1";"282";"91";"8";"16";"3";"12";"17";"9";"3";"116";"2";"4";"1";"-";"-"
"423005";"423005";"55";"10";"2";"479";"426";"2";"1";"423";"126";"18";"34";"20";"18";"54";"4";"2";"130";"9";"7";"1";"-";"-"
"423006";"423006";"55";"10";"2";"723";"617";"9";"1";"607";"219";"38";"53";"24";"29";"50";"10";"1";"169";"8";"6";"0";"-";"-"
"425001";"425001";"58";"10";"2";"1600";"1357";"7";"2";"1348";"461";"66";"125";"57";"66";"104";"15";"3";"412";"15";"24";"0";"-";"-"
"425002";"425002";"58";"10";"2";"1255";"1127";"5";"0";"1122";"394";"40";"110";"48";"73";"93";"9";"0";"305";"24";"26";"0";"-";"-"
"425003";"425003";"58";"10";"2";"1092";"912";"5";"3";"904";"293";"28";"102";"22";"56";"66";"25";"4";"275";"8";"25";"0";"-";"-"
"425004";"425004";"58";"10";"2";"882";"779";"11";"0";"768";"232";"31";"59";"31";"55";"62";"13";"3";"261";"10";"11";"0";"-";"-"
"427001";"427001";"56";"10";"2";"454";"389";"1";"2";"386";"105";"26";"13";"11";"33";"22";"12";"5";"142";"6";"10";"1";"-";"-"
"427002";"427002";"56";"10";"2";"1075";"969";"5";"1";"963";"389";"26";"40";"30";"70";"75";"17";"1";"280";"11";"24";"0";"-";"-"
"427003";"427003";"56";"10";"2";"366";"319";"4";"1";"314";"97";"15";"18";"10";"18";"23";"5";"2";"109";"9";"7";"1";"-";"-"
"427004";"427004";"56";"10";"2";"914";"805";"2";"0";"803";"228";"62";"39";"25";"112";"37";"17";"8";"208";"6";"61";"0";"-";"-"
"427005";"427005";"56";"10";"2";"1630";"1377";"6";"4";"1367";"569";"41";"75";"51";"84";"81";"18";"8";"370";"31";"37";"2";"-";"-"
"427006";"427006";"56";"10";"2";"739";"651";"1";"0";"650";"228";"20";"31";"37";"57";"50";"5";"0";"172";"9";"41";"0";"-";"-"
"427007";"427007";"56";"10";"2";"906";"819";"3";"2";"814";"252";"38";"56";"24";"74";"46";"12";"1";"275";"9";"27";"0";"-";"-"
"427008";"427008";"56";"10";"2";"576";"516";"2";"0";"514";"155";"30";"31";"28";"42";"38";"7";"4";"147";"5";"27";"0";"-";"-"
"429001";"429001";"54";"10";"2";"222";"199";"2";"0";"197";"60";"5";"13";"5";"13";"27";"4";"1";"60";"7";"2";"0";"-";"-"
"429002";"429002";"54";"10";"2";"1496";"1275";"6";"3";"1266";"466";"55";"101";"53";"74";"113";"17";"9";"352";"11";"13";"2";"-";"-"
"429003";"429003";"54";"10";"2";"316";"285";"1";"0";"284";"63";"15";"12";"11";"25";"30";"17";"0";"99";"2";"10";"0";"-";"-"
"429004";"429004";"54";"10";"2";"359";"324";"3";"2";"319";"105";"17";"25";"11";"15";"31";"3";"2";"101";"3";"6";"0";"-";"-"
"429005";"429005";"54";"10";"2";"166";"150";"0";"0";"150";"49";"9";"4";"2";"13";"16";"7";"1";"48";"0";"1";"0";"-";"-"
"429006";"429006";"54";"10";"2";"1783";"1495";"8";"1";"1486";"654";"94";"93";"46";"84";"116";"22";"1";"341";"18";"15";"2";"-";"-"
"429007";"429007";"54";"10";"2";"1584";"1386";"14";"1";"1371";"447";"81";"94";"44";"66";"132";"40";"3";"422";"24";"17";"1";"-";"-"
"429008";"429008";"54";"10";"2";"620";"547";"3";"4";"540";"173";"32";"28";"22";"26";"67";"11";"0";"161";"15";"5";"0";"-";"-"
"429009";"429009";"54";"10";"2";"679";"573";"4";"0";"569";"217";"37";"45";"18";"29";"52";"8";"0";"147";"11";"5";"0";"-";"-"
