"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2005 - Stemmeberettigede";"FV2005 - Afgivne stemmer";"FV2005 - Blanke stemmer";"FV2005 - Andre ugyldige stemmer";"FV2005 - Gyldige stemmer";"FV2005 - A. Socialdemokratiet";"FV2005 - B. Det Radikale Venstre";"FV2005 - C. Det Konservative Folkeparti";"FV2005 - D. Centrum-Demokraterne";"FV2005 - F. Socialistisk Folkeparti";"FV2005 - K. Kristendemokraterne";"FV2005 - M. Minoritetspartiet";"FV2005 - O. Dansk Folkeparti";"FV2005 - V. Venstre, Danmarks Liberale Parti";"FV2005 - Ø. Enhedslisten - De Rød-Grønne";"FV2005 - 1. Uden for partierne";"FV2005 - 2. Uden for partierne";"FV2005 - 3. Uden for partierne"
"327002";"327002";"37";"7";"2";"1281";"1124";"6";"3";"1115";"233";"112";"98";"14";"76";"14";"5";"153";"353";"57";"0";"-";"-"
"329001";"329001";"39";"7";"2";"6351";"5230";"27";"16";"5187";"1310";"423";"503";"52";"335";"43";"14";"828";"1581";"98";"0";"-";"-"
"329002";"329002";"39";"7";"2";"613";"539";"5";"2";"532";"113";"32";"42";"4";"50";"3";"0";"112";"167";"9";"0";"-";"-"
"329003";"329003";"39";"7";"2";"558";"504";"3";"2";"499";"92";"50";"37";"5";"33";"7";"0";"93";"171";"11";"0";"-";"-"
"329004";"329004";"39";"7";"2";"3645";"3146";"22";"6";"3118";"885";"211";"235";"34";"181";"23";"4";"577";"933";"35";"0";"-";"-"
"329005";"329005";"39";"7";"2";"968";"858";"6";"1";"851";"169";"62";"72";"8";"48";"12";"2";"165";"277";"36";"0";"-";"-"
"329006";"329006";"39";"7";"2";"4439";"3652";"15";"12";"3625";"1087";"305";"284";"33";"259";"30";"12";"585";"931";"99";"0";"-";"-"
"329008";"329008";"39";"7";"2";"989";"908";"4";"0";"904";"164";"106";"66";"14";"122";"6";"4";"92";"254";"76";"0";"-";"-"
"329009";"329009";"39";"7";"2";"1015";"877";"6";"3";"868";"193";"59";"78";"10";"31";"13";"6";"146";"305";"26";"1";"-";"-"
"329010";"329010";"39";"7";"2";"1035";"932";"8";"0";"924";"221";"76";"79";"6";"44";"7";"0";"163";"306";"22";"0";"-";"-"
"329011";"329011";"39";"7";"2";"523";"443";"1";"1";"441";"86";"35";"35";"5";"26";"4";"1";"76";"161";"12";"0";"-";"-"
"329012";"329012";"39";"7";"2";"812";"717";"4";"2";"711";"128";"66";"68";"7";"48";"4";"0";"126";"252";"12";"0";"-";"-"
"329013";"329013";"39";"7";"2";"990";"879";"5";"3";"871";"222";"75";"56";"14";"59";"11";"8";"147";"262";"16";"1";"-";"-"
"329014";"329014";"39";"7";"2";"653";"562";"3";"3";"556";"152";"28";"30";"4";"37";"3";"3";"115";"177";"6";"1";"-";"-"
"331001";"331001";"40";"7";"2";"2957";"2443";"12";"9";"2422";"525";"195";"220";"24";"204";"20";"5";"403";"759";"66";"1";"-";"-"
"331002";"331002";"40";"7";"2";"189";"155";"2";"1";"152";"29";"5";"16";"2";"7";"0";"0";"34";"55";"4";"0";"-";"-"
"331003";"331003";"40";"7";"2";"1039";"899";"10";"1";"888";"175";"51";"68";"7";"44";"5";"0";"175";"337";"25";"1";"-";"-"
"331004";"331004";"40";"7";"2";"344";"301";"3";"2";"296";"65";"23";"23";"4";"17";"1";"2";"50";"104";"7";"0";"-";"-"
"331005";"331005";"40";"7";"2";"2010";"1599";"11";"10";"1578";"406";"99";"133";"15";"91";"14";"3";"292";"492";"32";"1";"-";"-"
"331006";"331006";"40";"7";"2";"426";"368";"4";"0";"364";"65";"21";"39";"5";"21";"6";"1";"83";"107";"16";"0";"-";"-"
"331007";"331007";"40";"7";"2";"160";"140";"0";"0";"140";"30";"6";"5";"1";"13";"2";"0";"29";"45";"9";"0";"-";"-"
"331008";"331008";"40";"7";"2";"549";"487";"5";"1";"481";"87";"28";"35";"5";"33";"6";"0";"95";"177";"14";"1";"-";"-"
"331010";"331010";"40";"7";"2";"1346";"1149";"3";"3";"1143";"249";"72";"82";"11";"86";"15";"5";"187";"393";"43";"0";"-";"-"
"333001";"333001";"41";"7";"2";"5178";"3829";"32";"7";"3790";"933";"280";"396";"37";"230";"55";"10";"592";"1121";"136";"0";"-";"-"
"333002";"333002";"41";"7";"2";"4312";"3510";"23";"4";"3483";"920";"198";"314";"35";"203";"35";"5";"574";"1124";"75";"0";"-";"-"
"333003";"333003";"41";"7";"2";"4768";"4060";"25";"9";"4026";"1066";"276";"369";"40";"232";"36";"4";"623";"1307";"72";"1";"-";"-"
"333004";"333004";"41";"7";"2";"5304";"4126";"23";"6";"4097";"1134";"278";"322";"50";"230";"38";"11";"706";"1214";"114";"0";"-";"-"
"333005";"333005";"41";"7";"2";"690";"613";"4";"1";"608";"105";"28";"63";"3";"27";"4";"1";"123";"245";"8";"1";"-";"-"
"333006";"333006";"41";"7";"2";"678";"591";"5";"2";"584";"100";"24";"58";"8";"30";"7";"0";"101";"248";"8";"0";"-";"-"
"333007";"333007";"41";"7";"2";"1536";"1350";"7";"0";"1343";"269";"69";"114";"8";"67";"9";"6";"282";"494";"24";"1";"-";"-"
"333008";"333008";"41";"7";"2";"442";"388";"1";"1";"386";"75";"25";"28";"4";"21";"5";"3";"68";"143";"14";"0";"-";"-"
"333009";"333009";"41";"7";"2";"4494";"3669";"29";"4";"3636";"1111";"244";"302";"39";"226";"38";"7";"603";"985";"81";"0";"-";"-"
"335001";"335001";"40";"7";"2";"1148";"1005";"7";"3";"995";"261";"59";"56";"7";"38";"11";"2";"169";"373";"19";"0";"-";"-"
"335002";"335002";"40";"7";"2";"4108";"3449";"25";"5";"3419";"873";"382";"394";"45";"218";"52";"9";"339";"1016";"88";"3";"-";"-"
"335003";"335003";"40";"7";"2";"3417";"2997";"14";"4";"2979";"669";"318";"265";"34";"242";"48";"6";"300";"985";"109";"3";"-";"-"
"335004";"335004";"40";"7";"2";"2054";"1741";"12";"6";"1723";"419";"121";"169";"14";"96";"15";"1";"239";"623";"26";"0";"-";"-"
"335005";"335005";"40";"7";"2";"835";"713";"4";"2";"707";"137";"57";"44";"3";"32";"17";"2";"123";"270";"22";"0";"-";"-"
"337001";"337001";"39";"7";"2";"1815";"1491";"10";"1";"1480";"397";"91";"126";"15";"83";"14";"2";"237";"469";"44";"2";"-";"-"
"337003";"337003";"39";"7";"2";"226";"199";"2";"0";"197";"31";"14";"12";"1";"13";"2";"2";"32";"83";"7";"0";"-";"-"
"337004";"337004";"39";"7";"2";"969";"822";"4";"2";"816";"170";"62";"70";"13";"48";"10";"2";"138";"284";"19";"0";"-";"-"
"337005";"337005";"39";"7";"2";"603";"536";"6";"1";"529";"104";"41";"38";"7";"28";"13";"1";"99";"177";"21";"0";"-";"-"
"337007";"337007";"39";"7";"2";"529";"473";"2";"0";"471";"111";"27";"30";"9";"25";"12";"0";"69";"167";"20";"1";"-";"-"
"339001";"339001";"37";"7";"2";"459";"393";"4";"0";"389";"107";"20";"17";"1";"34";"1";"2";"69";"128";"9";"1";"-";"-"
"339002";"339002";"37";"7";"2";"2090";"1759";"7";"5";"1747";"489";"132";"170";"19";"91";"10";"5";"268";"540";"23";"0";"-";"-"
"339003";"339003";"37";"7";"2";"1266";"1071";"9";"2";"1060";"232";"89";"91";"17";"42";"5";"0";"184";"368";"32";"0";"-";"-"
"339004";"339004";"37";"7";"2";"1037";"910";"9";"3";"898";"238";"83";"63";"8";"65";"5";"1";"128";"292";"15";"0";"-";"-"
"341002";"341002";"36";"7";"2";"3495";"2903";"18";"4";"2881";"782";"224";"246";"30";"181";"43";"6";"366";"918";"83";"2";"-";"-"
"341004";"341004";"36";"7";"2";"803";"682";"8";"1";"673";"195";"38";"42";"4";"31";"4";"5";"108";"224";"22";"0";"-";"-"
"341006";"341006";"36";"7";"2";"2334";"1933";"13";"1";"1919";"484";"169";"133";"19";"101";"19";"4";"307";"628";"55";"0";"-";"-"
"343001";"343001";"37";"7";"2";"1183";"1012";"5";"1";"1006";"232";"83";"58";"9";"78";"6";"5";"148";"324";"63";"0";"-";"-"
"343002";"343002";"37";"7";"2";"2780";"2309";"6";"5";"2298";"577";"210";"164";"15";"152";"18";"2";"405";"678";"77";"0";"-";"-"
"343003";"343003";"37";"7";"2";"556";"455";"2";"1";"452";"95";"27";"31";"5";"25";"8";"0";"92";"143";"25";"1";"-";"-"
"343004";"343004";"37";"7";"2";"878";"710";"8";"0";"702";"174";"69";"44";"7";"40";"4";"4";"113";"202";"45";"0";"-";"-"
"343005";"343005";"37";"7";"2";"1104";"926";"6";"2";"918";"249";"61";"57";"6";"46";"4";"6";"192";"265";"32";"0";"-";"-"
"343006";"343006";"37";"7";"2";"2345";"1899";"5";"3";"1891";"422";"174";"178";"18";"109";"10";"8";"300";"625";"47";"0";"-";"-"
"345001";"345001";"36";"7";"2";"3308";"2857";"26";"6";"2825";"694";"308";"241";"48";"193";"31";"2";"349";"870";"88";"1";"-";"-"
"345003";"345003";"36";"7";"2";"1341";"1186";"10";"2";"1174";"257";"135";"75";"8";"91";"15";"4";"145";"384";"60";"0";"-";"-"
"345004";"345004";"36";"7";"2";"1378";"1183";"10";"2";"1171";"289";"75";"89";"22";"58";"23";"5";"204";"362";"44";"0";"-";"-"
"345005";"345005";"36";"7";"2";"1071";"935";"7";"2";"926";"196";"64";"64";"12";"43";"19";"2";"164";"345";"17";"0";"-";"-"
"351002";"351002";"42";"8";"2";"3576";"2952";"22";"4";"2926";"943";"153";"336";"29";"114";"23";"5";"458";"796";"68";"1";"-";"-"
"351003";"351003";"42";"8";"2";"2415";"2062";"18";"4";"2040";"540";"133";"244";"20";"155";"20";"4";"281";"540";"102";"1";"-";"-"
"351004";"351004";"42";"8";"2";"605";"489";"5";"1";"483";"113";"27";"37";"6";"24";"5";"3";"80";"156";"32";"0";"-";"-"
"351006";"351006";"42";"8";"2";"2122";"1826";"24";"3";"1799";"423";"104";"207";"29";"78";"13";"4";"289";"611";"41";"0";"-";"-"
"351008";"351008";"42";"8";"2";"595";"515";"3";"0";"512";"104";"36";"54";"6";"26";"6";"2";"95";"157";"26";"0";"-";"-"
"353001";"353001";"42";"8";"2";"816";"722";"8";"1";"713";"151";"39";"72";"6";"35";"10";"4";"123";"254";"19";"0";"-";"-"
"353002";"353002";"42";"8";"2";"1693";"1471";"12";"1";"1458";"300";"100";"175";"11";"65";"19";"1";"186";"581";"19";"1";"-";"-"
"353003";"353003";"42";"8";"2";"1861";"1540";"9";"2";"1529";"348";"93";"157";"21";"70";"9";"5";"223";"560";"43";"0";"-";"-"
"353004";"353004";"42";"8";"2";"1246";"1068";"5";"2";"1061";"208";"75";"86";"10";"52";"17";"2";"137";"439";"35";"0";"-";"-"
"355001";"355001";"46";"8";"2";"766";"643";"1";"3";"639";"177";"20";"28";"5";"23";"4";"4";"122";"237";"18";"1";"-";"-"
"355002";"355002";"46";"8";"2";"580";"497";"5";"0";"492";"153";"27";"33";"4";"35";"2";"2";"97";"117";"21";"1";"-";"-"
"355003";"355003";"46";"8";"2";"1568";"1309";"9";"4";"1296";"508";"76";"66";"9";"50";"3";"0";"195";"369";"19";"1";"-";"-"
"355004";"355004";"46";"8";"2";"219";"190";"0";"1";"189";"55";"11";"6";"1";"8";"1";"0";"36";"62";"9";"0";"-";"-"
"357001";"357001";"43";"8";"2";"3239";"2799";"13";"7";"2779";"914";"173";"378";"37";"124";"28";"4";"343";"754";"24";"0";"-";"-"
"357002";"357002";"43";"8";"2";"1073";"951";"8";"5";"938";"276";"46";"112";"13";"30";"14";"3";"143";"284";"17";"0";"-";"-"
"357003";"357003";"43";"8";"2";"1140";"975";"11";"2";"962";"226";"59";"102";"11";"43";"8";"1";"160";"331";"21";"0";"-";"-"
"359001";"359001";"45";"8";"2";"446";"353";"1";"1";"351";"117";"21";"28";"5";"16";"3";"0";"52";"104";"5";"0";"-";"-"
"359002";"359002";"45";"8";"2";"316";"255";"4";"2";"249";"73";"6";"17";"2";"16";"2";"2";"60";"63";"8";"0";"-";"-"
"359003";"359003";"45";"8";"2";"521";"435";"3";"3";"429";"153";"18";"19";"3";"22";"3";"2";"72";"112";"24";"1";"-";"-"
"359004";"359004";"45";"8";"2";"1426";"1183";"15";"4";"1164";"413";"82";"74";"12";"57";"8";"3";"186";"297";"31";"1";"-";"-"
"359006";"359006";"45";"8";"2";"390";"327";"3";"1";"323";"98";"16";"21";"3";"21";"4";"2";"55";"93";"10";"0";"-";"-"
"361001";"361001";"44";"8";"2";"1393";"1214";"11";"7";"1196";"318";"75";"120";"15";"87";"9";"2";"205";"322";"42";"1";"-";"-"
"361002";"361002";"44";"8";"2";"514";"447";"1";"1";"445";"130";"41";"37";"2";"30";"4";"3";"73";"111";"14";"0";"-";"-"
"361003";"361003";"44";"8";"2";"1276";"1123";"5";"4";"1114";"322";"82";"139";"17";"59";"6";"2";"165";"302";"20";"0";"-";"-"
"361004";"361004";"44";"8";"2";"852";"722";"4";"0";"718";"214";"39";"47";"6";"31";"2";"0";"134";"223";"22";"0";"-";"-"
"361005";"361005";"44";"8";"2";"268";"245";"2";"0";"243";"39";"23";"20";"5";"24";"2";"0";"45";"74";"11";"0";"-";"-"
"361006";"361006";"44";"8";"2";"460";"394";"3";"1";"390";"91";"20";"27";"3";"32";"4";"2";"45";"156";"10";"0";"-";"-"
"363001";"363001";"46";"8";"2";"4654";"3892";"35";"11";"3846";"1402";"220";"271";"36";"207";"46";"10";"447";"1073";"128";"6";"-";"-"
"363002";"363002";"46";"8";"2";"68";"61";"0";"0";"61";"16";"2";"6";"2";"3";"4";"1";"12";"11";"4";"0";"-";"-"
"363003";"363003";"46";"8";"2";"846";"699";"4";"3";"692";"241";"58";"37";"8";"44";"9";"1";"110";"164";"20";"0";"-";"-"
"363004";"363004";"46";"8";"2";"398";"333";"1";"1";"331";"114";"11";"14";"3";"14";"13";"0";"39";"107";"16";"0";"-";"-"
"363005";"363005";"46";"8";"2";"811";"711";"7";"0";"704";"252";"47";"47";"4";"51";"7";"4";"92";"173";"27";"0";"-";"-"
"363006";"363006";"46";"8";"2";"1040";"852";"3";"4";"845";"260";"54";"43";"13";"50";"12";"4";"135";"239";"34";"1";"-";"-"
"363007";"363007";"46";"8";"2";"850";"740";"6";"1";"733";"218";"32";"52";"4";"36";"5";"1";"110";"247";"28";"0";"-";"-"
"365001";"365001";"44";"8";"2";"2653";"2211";"27";"5";"2179";"553";"182";"224";"24";"187";"14";"9";"305";"622";"59";"0";"-";"-"
"365002";"365002";"44";"8";"2";"842";"754";"7";"2";"745";"168";"57";"58";"12";"81";"10";"3";"109";"220";"27";"0";"-";"-"
"365003";"365003";"44";"8";"2";"1089";"922";"7";"1";"914";"193";"64";"69";"8";"85";"5";"7";"182";"240";"61";"0";"-";"-"
"365004";"365004";"44";"8";"2";"769";"653";"5";"2";"646";"148";"41";"39";"9";"62";"8";"5";"85";"203";"46";"0";"-";"-"
"365005";"365005";"44";"8";"2";"884";"772";"0";"2";"770";"158";"54";"57";"9";"64";"9";"3";"111";"264";"39";"2";"-";"-"
"365006";"365006";"44";"8";"2";"1595";"1320";"16";"6";"1298";"403";"93";"89";"15";"103";"14";"4";"176";"363";"38";"0";"-";"-"
"365007";"365007";"44";"8";"2";"1223";"1062";"9";"1";"1052";"241";"100";"66";"8";"116";"13";"11";"107";"312";"78";"0";"-";"-"
"367001";"367001";"45";"8";"2";"2576";"1960";"10";"8";"1942";"715";"133";"143";"19";"224";"16";"7";"291";"340";"54";"0";"-";"-"
"367002";"367002";"45";"8";"2";"3123";"2415";"14";"5";"2396";"1086";"101";"115";"17";"221";"17";"5";"389";"403";"42";"0";"-";"-"
"367003";"367003";"45";"8";"2";"2986";"2494";"26";"4";"2464";"964";"156";"145";"19";"290";"12";"5";"389";"438";"46";"0";"-";"-"
"367004";"367004";"45";"8";"2";"1469";"1213";"10";"8";"1195";"453";"50";"80";"5";"115";"7";"5";"212";"236";"32";"0";"-";"-"
"367005";"367005";"45";"8";"2";"824";"683";"10";"3";"670";"319";"31";"23";"5";"61";"1";"1";"129";"91";"9";"0";"-";"-"
"367006";"367006";"45";"8";"2";"339";"286";"2";"2";"282";"102";"17";"19";"1";"23";"3";"0";"63";"50";"4";"0";"-";"-"
"369001";"369001";"47";"8";"2";"2337";"1779";"8";"13";"1758";"551";"200";"168";"26";"139";"14";"6";"221";"358";"73";"2";"-";"-"
"369002";"369002";"47";"8";"2";"3198";"2573";"28";"10";"2535";"908";"207";"239";"25";"180";"28";"9";"349";"501";"89";"0";"-";"-"
"369003";"369003";"47";"8";"2";"3322";"2718";"19";"15";"2684";"1015";"168";"248";"32";"156";"35";"3";"369";"616";"42";"0";"-";"-"
"369004";"369004";"47";"8";"2";"1941";"1509";"13";"4";"1492";"551";"112";"141";"15";"117";"16";"1";"188";"294";"57";"0";"-";"-"
"369005";"369005";"47";"8";"2";"2299";"1925";"13";"3";"1909";"682";"158";"223";"23";"135";"12";"3";"223";"419";"31";"0";"-";"-"
"369006";"369006";"47";"8";"2";"606";"537";"2";"2";"533";"166";"35";"45";"6";"38";"9";"1";"84";"143";"6";"0";"-";"-"
"369007";"369007";"47";"8";"2";"1164";"1029";"10";"6";"1013";"335";"66";"70";"18";"75";"12";"2";"130";"275";"30";"0";"-";"-"
"369008";"369008";"47";"8";"2";"794";"695";"5";"3";"687";"214";"50";"49";"8";"42";"11";"1";"108";"187";"17";"0";"-";"-"
"369009";"369009";"47";"8";"2";"976";"836";"5";"2";"829";"257";"63";"61";"8";"54";"8";"0";"122";"236";"20";"0";"-";"-"
"369010";"369010";"47";"8";"2";"490";"411";"5";"2";"404";"120";"26";"33";"4";"31";"4";"0";"86";"90";"10";"0";"-";"-"
"369011";"369011";"47";"8";"2";"2687";"2385";"19";"9";"2357";"760";"153";"280";"28";"130";"28";"3";"296";"638";"41";"0";"-";"-"
"371001";"371001";"46";"8";"2";"1592";"1381";"12";"4";"1365";"366";"117";"147";"21";"68";"14";"3";"240";"361";"28";"0";"-";"-"
"371002";"371002";"46";"8";"2";"1067";"935";"8";"0";"927";"299";"55";"59";"9";"58";"7";"2";"132";"278";"28";"0";"-";"-"
"371003";"371003";"46";"8";"2";"773";"655";"4";"2";"649";"169";"30";"39";"5";"33";"4";"3";"102";"241";"23";"0";"-";"-"
"371004";"371004";"46";"8";"2";"782";"669";"5";"1";"663";"172";"42";"41";"3";"29";"6";"4";"135";"219";"11";"1";"-";"-"
"373020";"373020";"43";"8";"2";"2850";"2415";"9";"6";"2400";"800";"154";"362";"19";"119";"28";"2";"260";"611";"45";"0";"-";"-"
"373021";"373021";"43";"8";"2";"2964";"2324";"23";"8";"2293";"657";"208";"331";"37";"150";"22";"9";"276";"534";"69";"0";"-";"-"
"373022";"373022";"43";"8";"2";"4038";"3168";"21";"10";"3137";"1153";"253";"339";"37";"237";"29";"7";"429";"548";"103";"2";"-";"-"
"373023";"373023";"43";"8";"2";"4686";"3869";"28";"9";"3832";"1211";"272";"506";"31";"239";"50";"6";"471";"920";"125";"1";"-";"-"
"373024";"373024";"43";"8";"2";"3324";"2781";"6";"9";"2766";"1078";"175";"261";"23";"147";"21";"7";"433";"561";"60";"0";"-";"-"
"373025";"373025";"43";"8";"2";"2846";"2392";"14";"3";"2375";"876";"168";"248";"32";"115";"23";"1";"339";"491";"82";"0";"-";"-"
"373026";"373026";"43";"8";"2";"2723";"2383";"16";"6";"2361";"583";"220";"442";"13";"129";"18";"4";"241";"657";"54";"0";"-";"-"
"373027";"373027";"43";"8";"2";"3616";"3066";"18";"5";"3043";"784";"196";"460";"29";"133";"36";"3";"448";"900";"54";"0";"-";"-"
"373028";"373028";"43";"8";"2";"3911";"3040";"22";"24";"2994";"1066";"195";"300";"24";"175";"46";"10";"446";"655";"76";"1";"-";"-"
"373029";"373029";"43";"8";"2";"627";"573";"0";"0";"573";"153";"40";"75";"3";"28";"12";"1";"106";"139";"16";"0";"-";"-"
"373030";"373030";"43";"8";"2";"572";"528";"1";"1";"526";"99";"39";"90";"6";"36";"8";"1";"65";"169";"13";"0";"-";"-"
"373031";"373031";"43";"8";"2";"575";"509";"2";"0";"507";"127";"31";"55";"6";"27";"3";"1";"82";"162";"12";"1";"-";"-"
"373032";"373032";"43";"8";"2";"1876";"1652";"4";"0";"1648";"358";"99";"248";"14";"79";"17";"0";"272";"523";"38";"0";"-";"-"
"373033";"373033";"43";"8";"2";"452";"389";"4";"0";"385";"90";"23";"41";"3";"14";"0";"1";"55";"145";"12";"1";"-";"-"
"373034";"373034";"43";"8";"2";"400";"353";"1";"0";"352";"79";"24";"33";"5";"15";"3";"0";"47";"135";"10";"1";"-";"-"
"373035";"373035";"43";"8";"2";"1530";"1391";"3";"1";"1387";"352";"101";"237";"15";"67";"12";"1";"200";"379";"23";"0";"-";"-"
"375001";"375001";"47";"8";"2";"509";"430";"1";"3";"426";"126";"21";"27";"1";"31";"5";"4";"69";"125";"17";"0";"-";"-"
"375002";"375002";"47";"8";"2";"1054";"871";"10";"4";"857";"214";"52";"64";"12";"47";"6";"1";"149";"288";"24";"0";"-";"-"
"375003";"375003";"47";"8";"2";"2134";"1790";"17";"10";"1763";"554";"129";"122";"23";"62";"10";"7";"243";"566";"45";"2";"-";"-"
"375005";"375005";"47";"8";"2";"457";"394";"3";"1";"390";"94";"18";"36";"7";"25";"1";"2";"69";"129";"9";"0";"-";"-"
"375006";"375006";"47";"8";"2";"552";"471";"6";"1";"464";"112";"29";"28";"7";"20";"11";"0";"79";"160";"18";"0";"-";"-"
"375007";"375007";"47";"8";"2";"360";"315";"2";"0";"313";"80";"22";"24";"0";"12";"2";"0";"76";"95";"2";"0";"-";"-"
"375008";"375008";"47";"8";"2";"604";"514";"1";"2";"511";"155";"34";"41";"4";"30";"4";"0";"85";"151";"7";"0";"-";"-"
"375009";"375009";"47";"8";"2";"654";"554";"0";"2";"552";"188";"35";"32";"7";"32";"9";"1";"110";"131";"7";"0";"-";"-"
"375010";"375010";"47";"8";"2";"1047";"891";"8";"4";"879";"303";"61";"62";"5";"49";"5";"2";"126";"239";"27";"0";"-";"-"
"377001";"377001";"42";"8";"2";"3611";"3065";"13";"16";"3036";"831";"242";"314";"28";"200";"16";"13";"391";"902";"98";"1";"-";"-"
"377002";"377002";"42";"8";"2";"620";"543";"4";"1";"538";"135";"45";"39";"5";"52";"3";"5";"80";"146";"28";"0";"-";"-"
"377003";"377003";"42";"8";"2";"629";"560";"2";"0";"558";"123";"50";"42";"6";"56";"3";"2";"70";"181";"25";"0";"-";"-"
"377004";"377004";"42";"8";"2";"903";"771";"2";"3";"766";"180";"38";"63";"0";"26";"3";"2";"120";"316";"18";"0";"-";"-"
"379001";"379001";"45";"8";"2";"562";"454";"2";"0";"452";"133";"28";"26";"5";"28";"3";"0";"80";"136";"13";"0";"-";"-"
"379002";"379002";"45";"8";"2";"503";"429";"1";"2";"426";"102";"33";"25";"5";"26";"8";"3";"86";"115";"23";"0";"-";"-"
"379003";"379003";"45";"8";"2";"142";"120";"1";"2";"117";"23";"6";"7";"1";"9";"0";"0";"20";"43";"8";"0";"-";"-"
"379005";"379005";"45";"8";"2";"1433";"1149";"10";"10";"1129";"395";"61";"65";"14";"56";"3";"4";"197";"290";"42";"2";"-";"-"
"379007";"379007";"45";"8";"2";"375";"308";"5";"1";"302";"106";"13";"20";"3";"14";"3";"3";"47";"88";"5";"0";"-";"-"
"379008";"379008";"45";"8";"2";"644";"536";"4";"6";"526";"146";"28";"42";"3";"45";"2";"4";"114";"133";"9";"0";"-";"-"
"379009";"379009";"45";"8";"2";"521";"423";"4";"0";"419";"145";"24";"33";"4";"22";"2";"0";"88";"89";"12";"0";"-";"-"
"379010";"379010";"45";"8";"2";"200";"159";"1";"0";"158";"36";"9";"15";"2";"13";"1";"1";"27";"40";"14";"0";"-";"-"
"381001";"381001";"45";"8";"2";"333";"287";"1";"0";"286";"91";"14";"21";"3";"18";"1";"1";"47";"80";"10";"0";"-";"-"
"381002";"381002";"45";"8";"2";"349";"306";"1";"3";"302";"108";"13";"13";"1";"10";"4";"1";"63";"86";"3";"0";"-";"-"
"381003";"381003";"45";"8";"2";"468";"381";"2";"0";"379";"145";"28";"25";"5";"19";"4";"1";"63";"82";"7";"0";"-";"-"
"381004";"381004";"45";"8";"2";"500";"415";"4";"1";"410";"134";"12";"37";"2";"23";"1";"1";"76";"111";"13";"0";"-";"-"
"381005";"381005";"45";"8";"2";"1044";"873";"4";"0";"869";"256";"35";"61";"7";"43";"2";"3";"181";"260";"21";"0";"-";"-"
"383001";"383001";"46";"8";"2";"2497";"2058";"21";"8";"2029";"651";"100";"113";"16";"125";"11";"8";"258";"708";"38";"1";"-";"-"
"383002";"383002";"46";"8";"2";"1629";"1242";"6";"7";"1229";"424";"53";"55";"8";"110";"5";"2";"255";"275";"41";"1";"-";"-"
"383003";"383003";"46";"8";"2";"927";"768";"5";"1";"762";"202";"27";"41";"7";"42";"9";"4";"107";"298";"24";"1";"-";"-"
"385001";"385001";"42";"8";"2";"2676";"2339";"23";"10";"2306";"471";"139";"217";"32";"116";"18";"3";"371";"907";"31";"1";"-";"-"
"385002";"385002";"42";"8";"2";"2701";"2298";"12";"11";"2275";"479";"142";"284";"42";"91";"11";"2";"402";"761";"61";"0";"-";"-"
"387001";"387001";"46";"8";"2";"3917";"3102";"22";"9";"3071";"1162";"182";"245";"25";"153";"15";"7";"415";"816";"48";"3";"-";"-"
"387002";"387002";"46";"8";"2";"883";"734";"6";"4";"724";"194";"41";"68";"5";"43";"4";"3";"168";"181";"16";"1";"-";"-"
"387003";"387003";"46";"8";"2";"671";"576";"7";"1";"568";"148";"35";"32";"7";"19";"5";"3";"86";"223";"10";"0";"-";"-"
"387005";"387005";"46";"8";"2";"573";"469";"4";"1";"464";"152";"19";"24";"2";"26";"6";"1";"80";"140";"14";"0";"-";"-"
"387006";"387006";"46";"8";"2";"573";"487";"4";"0";"483";"115";"35";"38";"3";"23";"1";"3";"96";"153";"16";"0";"-";"-"
"387007";"387007";"46";"8";"2";"615";"520";"1";"1";"518";"160";"26";"45";"2";"17";"5";"1";"65";"186";"11";"0";"-";"-"
"389001";"389001";"42";"8";"2";"3919";"3280";"20";"8";"3252";"810";"240";"380";"40";"163";"20";"3";"477";"1011";"108";"0";"-";"-"
"389002";"389002";"42";"8";"2";"2008";"1764";"12";"9";"1743";"391";"119";"184";"18";"101";"14";"6";"331";"517";"62";"0";"-";"-"
"389003";"389003";"42";"8";"2";"889";"783";"6";"1";"776";"138";"49";"68";"13";"43";"3";"0";"156";"278";"28";"0";"-";"-"
"389004";"389004";"42";"8";"2";"1023";"875";"6";"1";"868";"194";"64";"81";"15";"42";"8";"5";"162";"275";"22";"0";"-";"-"
"389005";"389005";"42";"8";"2";"892";"790";"7";"5";"778";"136";"53";"72";"6";"54";"2";"2";"130";"299";"24";"0";"-";"-"
"391001";"391001";"47";"8";"2";"2702";"2286";"13";"3";"2270";"745";"143";"189";"21";"130";"27";"8";"344";"578";"84";"1";"-";"-"
"391004";"391004";"47";"8";"2";"1004";"846";"2";"4";"840";"253";"46";"41";"14";"52";"9";"4";"169";"222";"30";"0";"-";"-"
"391005";"391005";"47";"8";"2";"1524";"1317";"12";"0";"1305";"373";"105";"92";"17";"78";"9";"4";"190";"400";"37";"0";"-";"-"
"393001";"393001";"43";"8";"2";"2272";"2014";"12";"2";"2000";"636";"121";"178";"30";"125";"19";"5";"221";"596";"69";"0";"-";"-"
"393002";"393002";"43";"8";"2";"441";"395";"3";"0";"392";"72";"29";"34";"5";"14";"9";"2";"69";"146";"12";"0";"-";"-"
"393003";"393003";"43";"8";"2";"501";"432";"1";"3";"428";"96";"22";"31";"7";"23";"2";"1";"77";"164";"5";"0";"-";"-"
