"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2001 - Stemmeberettigede";"FV2001 - Afgivne stemmer";"FV2001 - Blanke stemmer";"FV2001 - Andre ugyldige stemmer";"FV2001 - Gyldige stemmer";"FV2001 - A. Socialdemokratiet";"FV2001 - B. Det Radikale Venstre";"FV2001 - C. Det Konservative Folkeparti";"FV2001 - D. Centrum-Demokraterne";"FV2001 - F. Socialistisk Folkeparti";"FV2001 - O. Dansk Folkeparti";"FV2001 - Q. Kristeligt Folkeparti";"FV2001 - V. Venstre, Danmarks Liberale Parti";"FV2001 - Z. Fremskridtspartiet";"FV2001 - Ø. Enhedslisten - De Rød-Grønne";"FV2001 - 1. Uden for partierne"
"343001";"343001";"37";"7";"2";"1195";"1051";"11";"1";"1039";"265";"61";"89";"24";"101";"131";"10";"305";"7";"46";"0"
"343002";"343002";"37";"7";"2";"2738";"2348";"20";"13";"2315";"631";"125";"246";"32";"156";"356";"25";"681";"14";"46";"3"
"343003";"343003";"37";"7";"2";"584";"494";"3";"1";"490";"103";"19";"40";"11";"35";"82";"16";"170";"1";"13";"0"
"343004";"343004";"37";"7";"2";"904";"746";"13";"3";"730";"188";"49";"60";"17";"55";"108";"6";"223";"1";"23";"0"
"343005";"343005";"37";"7";"2";"1091";"940";"10";"2";"928";"279";"35";"98";"13";"60";"173";"4";"230";"12";"23";"1"
"343006";"343006";"37";"7";"2";"2291";"1950";"11";"4";"1935";"499";"76";"221";"27";"113";"276";"23";"643";"12";"43";"2"
"345001";"345001";"36";"7";"2";"3114";"2812";"25";"5";"2782";"751";"218";"303";"61";"199";"283";"51";"852";"14";"48";"2"
"345003";"345003";"36";"7";"2";"1350";"1220";"9";"0";"1211";"284";"92";"111";"25";"100";"130";"18";"402";"2";"46";"1"
"345004";"345004";"36";"7";"2";"1407";"1228";"15";"3";"1210";"337";"54";"119";"19";"74";"175";"24";"375";"8";"23";"2"
"345005";"345005";"36";"7";"2";"1067";"961";"10";"3";"948";"240";"43";"104";"13";"42";"130";"25";"336";"5";"10";"0"
"351002";"351002";"42";"8";"2";"3622";"3091";"39";"13";"3039";"1117";"91";"303";"37";"135";"370";"48";"877";"17";"44";"-"
"351003";"351003";"42";"8";"2";"2479";"2164";"23";"8";"2133";"650";"83";"196";"28";"162";"308";"41";"576";"20";"69";"-"
"351004";"351004";"42";"8";"2";"631";"543";"7";"2";"534";"142";"15";"40";"10";"46";"71";"7";"170";"5";"28";"-"
"351006";"351006";"42";"8";"2";"2019";"1788";"17";"3";"1768";"459";"65";"167";"36";"105";"265";"30";"602";"11";"28";"-"
"351008";"351008";"42";"8";"2";"610";"547";"4";"3";"540";"156";"17";"41";"10";"26";"77";"5";"190";"3";"15";"-"
"353001";"353001";"42";"8";"2";"841";"764";"6";"2";"756";"176";"28";"68";"14";"47";"94";"7";"290";"11";"21";"-"
"353002";"353002";"42";"8";"2";"1570";"1410";"8";"3";"1399";"329";"60";"190";"15";"76";"126";"26";"548";"14";"15";"-"
"353003";"353003";"42";"8";"2";"1871";"1632";"13";"4";"1615";"407";"41";"151";"27";"105";"190";"24";"627";"21";"22";"-"
"353004";"353004";"42";"8";"2";"1230";"1098";"12";"3";"1083";"241";"43";"81";"10";"68";"103";"26";"469";"16";"26";"-"
"355001";"355001";"46";"8";"2";"808";"730";"5";"2";"723";"212";"14";"66";"12";"36";"111";"10";"245";"5";"12";"-"
"355002";"355002";"46";"8";"2";"607";"534";"3";"2";"529";"203";"7";"39";"9";"26";"77";"9";"140";"1";"18";"-"
"355003";"355003";"46";"8";"2";"1604";"1411";"25";"2";"1384";"608";"35";"99";"9";"68";"181";"10";"350";"5";"19";"-"
"355004";"355004";"46";"8";"2";"236";"210";"0";"1";"209";"68";"4";"11";"3";"11";"27";"4";"70";"0";"11";"-"
"357001";"357001";"43";"8";"2";"3014";"2729";"28";"10";"2691";"1004";"96";"373";"40";"142";"275";"41";"695";"8";"17";"-"
"357002";"357002";"43";"8";"2";"1009";"932";"9";"3";"920";"305";"24";"116";"21";"35";"112";"21";"273";"5";"8";"-"
"357003";"357003";"43";"8";"2";"1121";"999";"13";"2";"984";"295";"26";"109";"12";"65";"127";"12";"325";"5";"8";"-"
"359001";"359001";"45";"8";"2";"472";"418";"11";"0";"407";"138";"13";"30";"5";"25";"66";"4";"119";"0";"7";"-"
"359002";"359002";"45";"8";"2";"314";"271";"7";"0";"264";"88";"1";"17";"2";"8";"45";"6";"90";"1";"6";"-"
"359003";"359003";"45";"8";"2";"549";"465";"4";"2";"459";"162";"11";"33";"11";"17";"83";"2";"129";"4";"7";"-"
"359004";"359004";"45";"8";"2";"1466";"1281";"12";"7";"1262";"487";"28";"82";"16";"53";"190";"9";"364";"10";"23";"-"
"359006";"359006";"45";"8";"2";"395";"358";"5";"1";"352";"125";"12";"27";"3";"25";"53";"4";"86";"6";"11";"-"
"361001";"361001";"44";"8";"2";"1369";"1254";"10";"8";"1236";"372";"25";"114";"17";"89";"174";"22";"370";"16";"37";"-"
"361002";"361002";"44";"8";"2";"523";"458";"4";"2";"452";"152";"21";"37";"5";"40";"49";"5";"124";"5";"14";"-"
"361003";"361003";"44";"8";"2";"1330";"1221";"13";"4";"1204";"414";"30";"160";"21";"65";"140";"5";"344";"11";"14";"-"
"361004";"361004";"44";"8";"2";"838";"735";"10";"2";"723";"290";"19";"61";"12";"35";"84";"8";"191";"9";"14";"-"
"361005";"361005";"44";"8";"2";"269";"243";"0";"1";"242";"48";"15";"21";"7";"20";"37";"1";"88";"0";"5";"-"
"361006";"361006";"44";"8";"2";"463";"417";"6";"0";"411";"101";"11";"36";"2";"25";"50";"10";"172";"0";"4";"-"
"363001";"363001";"46";"8";"2";"4487";"3891";"33";"14";"3844";"1468";"119";"365";"31";"276";"352";"44";"1037";"13";"139";"-"
"363002";"363002";"46";"8";"2";"65";"62";"0";"0";"62";"9";"0";"5";"3";"5";"15";"7";"15";"1";"2";"-"
"363003";"363003";"46";"8";"2";"885";"740";"4";"2";"734";"297";"30";"48";"2";"60";"95";"15";"163";"5";"19";"-"
"363004";"363004";"46";"8";"2";"398";"356";"3";"2";"351";"119";"7";"22";"5";"23";"35";"16";"107";"4";"13";"-"
"363005";"363005";"46";"8";"2";"825";"773";"3";"4";"766";"283";"24";"45";"15";"69";"70";"12";"214";"6";"28";"-"
"363006";"363006";"46";"8";"2";"1090";"934";"8";"3";"923";"287";"18";"60";"11";"77";"146";"15";"271";"14";"24";"-"
"363007";"363007";"46";"8";"2";"870";"785";"7";"1";"777";"238";"19";"58";"5";"60";"104";"6";"256";"7";"24";"-"
"365001";"365001";"44";"8";"2";"2599";"2257";"33";"12";"2212";"666";"84";"198";"29";"219";"223";"22";"709";"16";"46";"-"
"365002";"365002";"44";"8";"2";"824";"742";"7";"1";"734";"197";"33";"58";"8";"92";"97";"9";"219";"6";"15";"-"
"365003";"365003";"44";"8";"2";"1170";"1029";"10";"2";"1017";"240";"38";"78";"18";"93";"155";"15";"325";"13";"42";"-"
"365004";"365004";"44";"8";"2";"806";"692";"5";"0";"687";"163";"25";"49";"11";"80";"74";"14";"241";"10";"20";"-"
"365005";"365005";"44";"8";"2";"854";"764";"4";"1";"759";"169";"32";"55";"16";"75";"89";"19";"280";"9";"15";"-"
"365006";"365006";"44";"8";"2";"1621";"1431";"23";"5";"1403";"455";"56";"105";"16";"126";"175";"26";"414";"10";"20";"-"
"365007";"365007";"44";"8";"2";"1193";"1075";"8";"1";"1066";"271";"43";"58";"16";"128";"102";"20";"360";"5";"63";"-"
"367001";"367001";"45";"8";"2";"2636";"2107";"37";"6";"2064";"820";"64";"175";"18";"198";"309";"17";"414";"18";"31";"-"
"367002";"367002";"45";"8";"2";"3219";"2606";"33";"7";"2566";"1218";"56";"146";"10";"268";"371";"19";"422";"24";"32";"-"
"367003";"367003";"45";"8";"2";"3080";"2717";"25";"3";"2689";"1157";"63";"196";"27";"309";"383";"23";"488";"12";"31";"-"
"367004";"367004";"45";"8";"2";"1487";"1305";"5";"1";"1299";"550";"30";"107";"6";"118";"218";"17";"224";"7";"22";"-"
"367005";"367005";"45";"8";"2";"826";"713";"12";"3";"698";"355";"13";"34";"7";"84";"102";"6";"86";"8";"3";"-"
"367006";"367006";"45";"8";"2";"349";"328";"8";"0";"320";"135";"18";"11";"3";"24";"55";"3";"67";"1";"3";"-"
"369001";"369001";"47";"8";"2";"2309";"1872";"21";"10";"1841";"563";"93";"172";"27";"173";"229";"37";"488";"8";"51";"-"
"369002";"369002";"47";"8";"2";"3168";"2698";"33";"12";"2653";"977";"125";"202";"42";"215";"344";"53";"626";"18";"51";"-"
"369003";"369003";"47";"8";"2";"3346";"2870";"23";"13";"2834";"1088";"84";"278";"27";"188";"381";"47";"691";"18";"32";"-"
"369004";"369004";"47";"8";"2";"1960";"1649";"11";"8";"1630";"575";"80";"157";"19";"165";"200";"22";"369";"2";"41";"-"
"369005";"369005";"47";"8";"2";"2237";"1952";"19";"7";"1926";"725";"91";"222";"25";"153";"206";"25";"443";"5";"31";"-"
"369006";"369006";"47";"8";"2";"640";"592";"10";"0";"582";"199";"11";"45";"8";"38";"88";"11";"173";"2";"7";"-"
"369007";"369007";"47";"8";"2";"1187";"1079";"11";"2";"1066";"364";"33";"101";"17";"76";"125";"19";"301";"4";"26";"-"
"369008";"369008";"47";"8";"2";"786";"695";"12";"1";"682";"186";"22";"60";"9";"55";"103";"16";"215";"7";"9";"-"
"369009";"369009";"47";"8";"2";"964";"840";"12";"1";"827";"244";"27";"54";"13";"63";"131";"14";"254";"10";"17";"-"
"369010";"369010";"47";"8";"2";"502";"447";"5";"0";"442";"128";"13";"32";"7";"35";"88";"7";"119";"3";"10";"-"
"369011";"369011";"47";"8";"2";"2715";"2472";"18";"6";"2448";"823";"84";"265";"36";"140";"265";"42";"755";"11";"27";"-"
"371001";"371001";"46";"8";"2";"1595";"1424";"13";"3";"1408";"425";"59";"158";"28";"57";"211";"20";"415";"13";"22";"-"
"371002";"371002";"46";"8";"2";"1092";"992";"11";"6";"975";"310";"41";"53";"14";"63";"146";"10";"305";"9";"24";"-"
"371003";"371003";"46";"8";"2";"788";"687";"7";"2";"678";"191";"28";"49";"2";"27";"108";"11";"242";"4";"16";"-"
"371004";"371004";"46";"8";"2";"815";"727";"16";"1";"710";"175";"38";"51";"14";"32";"130";"9";"240";"9";"12";"-"
"373020";"373020";"43";"8";"2";"2774";"2444";"21";"10";"2413";"856";"77";"383";"30";"130";"236";"44";"626";"7";"24";"-"
"373021";"373021";"43";"8";"2";"2892";"2429";"21";"5";"2403";"737";"106";"414";"40";"153";"245";"43";"615";"11";"39";"-"
"373022";"373022";"43";"8";"2";"4169";"3499";"27";"8";"3464";"1367";"115";"388";"54";"257";"406";"68";"696";"25";"88";"-"
"373023";"373023";"43";"8";"2";"4729";"4082";"21";"15";"4046";"1385";"162";"582";"51";"294";"393";"93";"979";"17";"90";"-"
"373024";"373024";"43";"8";"2";"3267";"2841";"13";"9";"2819";"1133";"91";"321";"31";"164";"357";"40";"616";"16";"50";"-"
"373025";"373025";"43";"8";"2";"2745";"2434";"18";"8";"2408";"936";"80";"289";"37";"148";"286";"38";"540";"13";"41";"-"
"373026";"373026";"43";"8";"2";"2820";"2551";"18";"6";"2527";"679";"99";"511";"46";"130";"202";"49";"766";"6";"39";"-"
"373027";"373027";"43";"8";"2";"2986";"2631";"10";"6";"2615";"762";"97";"435";"34";"133";"302";"61";"749";"9";"33";"-"
"373028";"373028";"43";"8";"2";"3961";"3182";"21";"9";"3152";"1214";"103";"393";"41";"172";"379";"74";"711";"16";"49";"-"
"373029";"373029";"43";"8";"2";"620";"577";"3";"0";"574";"182";"14";"78";"10";"33";"75";"15";"153";"3";"11";"-"
"373030";"373030";"43";"8";"2";"551";"509";"1";"1";"507";"110";"19";"84";"12";"39";"49";"12";"173";"1";"8";"-"
"373031";"373031";"43";"8";"2";"593";"534";"2";"1";"531";"175";"12";"67";"10";"22";"53";"9";"170";"2";"11";"-"
"373032";"373032";"43";"8";"2";"1774";"1635";"7";"3";"1625";"406";"63";"236";"28";"101";"198";"28";"531";"7";"27";"-"
"373033";"373033";"43";"8";"2";"460";"401";"5";"2";"394";"92";"8";"37";"5";"27";"46";"4";"163";"2";"10";"-"
"373034";"373034";"43";"8";"2";"401";"369";"5";"2";"362";"82";"14";"47";"7";"20";"35";"3";"143";"2";"9";"-"
"373035";"373035";"43";"8";"2";"1500";"1384";"5";"1";"1378";"371";"63";"246";"20";"68";"152";"23";"410";"11";"14";"-"
"375001";"375001";"47";"8";"2";"515";"440";"3";"2";"435";"138";"10";"23";"12";"27";"59";"4";"153";"1";"8";"-"
"375002";"375002";"47";"8";"2";"1059";"931";"7";"2";"922";"289";"42";"71";"12";"44";"154";"4";"289";"4";"13";"-"
"375003";"375003";"47";"8";"2";"2064";"1771";"32";"7";"1732";"608";"71";"120";"22";"77";"206";"16";"583";"7";"22";"-"
"375005";"375005";"47";"8";"2";"472";"404";"2";"0";"402";"112";"17";"30";"9";"24";"64";"5";"135";"2";"4";"-"
"375006";"375006";"47";"8";"2";"548";"495";"6";"0";"489";"140";"16";"34";"6";"19";"73";"10";"174";"1";"16";"-"
"375007";"375007";"47";"8";"2";"352";"326";"1";"0";"325";"83";"14";"24";"8";"12";"57";"4";"118";"1";"4";"-"
"375008";"375008";"47";"8";"2";"623";"565";"7";"4";"554";"178";"19";"54";"5";"36";"106";"6";"135";"6";"9";"-"
"375009";"375009";"47";"8";"2";"648";"565";"10";"3";"552";"210";"18";"45";"4";"23";"96";"12";"138";"3";"3";"-"
"375010";"375010";"47";"8";"2";"1067";"925";"6";"1";"918";"344";"34";"58";"8";"43";"116";"13";"279";"4";"19";"-"
"377001";"377001";"42";"8";"2";"3481";"3014";"22";"10";"2982";"983";"98";"265";"42";"220";"295";"28";"969";"19";"63";"-"
"377002";"377002";"42";"8";"2";"624";"562";"11";"2";"549";"178";"14";"27";"9";"61";"67";"9";"160";"3";"21";"-"
"377003";"377003";"42";"8";"2";"615";"540";"4";"0";"536";"140";"33";"37";"7";"63";"45";"11";"184";"0";"16";"-"
"377004";"377004";"42";"8";"2";"916";"813";"9";"3";"801";"213";"23";"66";"11";"43";"104";"12";"310";"12";"7";"-"
"379001";"379001";"45";"8";"2";"582";"501";"6";"0";"495";"165";"17";"41";"6";"29";"77";"0";"140";"5";"15";"-"
"379002";"379002";"45";"8";"2";"506";"448";"9";"9";"430";"105";"23";"39";"1";"29";"78";"9";"121";"3";"22";"-"
"379003";"379003";"45";"8";"2";"148";"127";"1";"0";"126";"35";"0";"9";"2";"7";"15";"0";"49";"4";"5";"-"
"379005";"379005";"45";"8";"2";"1446";"1212";"18";"5";"1189";"454";"40";"74";"10";"79";"181";"16";"309";"5";"21";"-"
"379007";"379007";"45";"8";"2";"388";"347";"3";"1";"343";"118";"8";"28";"6";"15";"55";"3";"100";"4";"6";"-"
"379008";"379008";"45";"8";"2";"676";"562";"5";"0";"557";"177";"26";"47";"5";"37";"107";"8";"135";"3";"12";"-"
"379009";"379009";"45";"8";"2";"537";"460";"7";"2";"451";"187";"13";"28";"2";"25";"58";"3";"122";"5";"8";"-"
"379010";"379010";"45";"8";"2";"211";"191";"2";"0";"189";"49";"2";"18";"0";"18";"40";"1";"46";"3";"12";"-"
"381001";"381001";"45";"8";"2";"361";"316";"1";"0";"315";"115";"4";"12";"1";"16";"48";"6";"107";"1";"5";"-"
"381002";"381002";"45";"8";"2";"355";"318";"6";"1";"311";"93";"9";"22";"2";"11";"68";"3";"96";"2";"5";"-"
"381003";"381003";"45";"8";"2";"493";"411";"1";"2";"408";"172";"12";"33";"4";"19";"60";"7";"91";"1";"9";"-"
"381004";"381004";"45";"8";"2";"500";"431";"9";"3";"419";"135";"11";"37";"4";"26";"66";"2";"124";"8";"6";"-"
"381005";"381005";"45";"8";"2";"1097";"959";"6";"1";"952";"297";"17";"70";"3";"48";"206";"6";"282";"11";"12";"-"
"383001";"383001";"46";"8";"2";"2588";"2249";"19";"5";"2225";"716";"65";"171";"31";"181";"250";"30";"730";"23";"28";"-"
"383002";"383002";"46";"8";"2";"1631";"1365";"17";"9";"1339";"505";"42";"89";"12";"119";"214";"9";"303";"19";"27";"-"
"383003";"383003";"46";"8";"2";"946";"835";"8";"3";"824";"218";"14";"51";"8";"39";"99";"12";"361";"8";"14";"-"
"385001";"385001";"42";"8";"2";"2587";"2354";"19";"6";"2329";"508";"107";"197";"42";"102";"323";"39";"982";"9";"20";"-"
"385002";"385002";"42";"8";"2";"2637";"2359";"25";"9";"2325";"561";"72";"228";"41";"97";"342";"20";"908";"12";"44";"-"
"387001";"387001";"46";"8";"2";"3978";"3309";"45";"9";"3255";"1292";"109";"288";"34";"175";"399";"35";"874";"17";"32";"-"
"387002";"387002";"46";"8";"2";"882";"745";"5";"2";"738";"227";"22";"68";"8";"51";"140";"8";"184";"12";"18";"-"
"387003";"387003";"46";"8";"2";"669";"617";"10";"2";"605";"198";"27";"35";"8";"16";"78";"2";"225";"9";"7";"-"
"387005";"387005";"46";"8";"2";"571";"509";"14";"3";"492";"173";"14";"34";"5";"25";"61";"3";"161";"7";"9";"-"
"387006";"387006";"46";"8";"2";"587";"516";"3";"1";"512";"133";"19";"42";"6";"33";"83";"2";"177";"6";"11";"-"
"387007";"387007";"46";"8";"2";"601";"539";"5";"0";"534";"171";"16";"38";"9";"31";"69";"9";"183";"3";"5";"-"
"389001";"389001";"42";"8";"2";"3768";"3264";"37";"7";"3220";"933";"130";"371";"48";"164";"366";"38";"1080";"14";"76";"-"
"389002";"389002";"42";"8";"2";"1945";"1754";"15";"3";"1736";"478";"63";"163";"23";"119";"272";"12";"563";"7";"36";"-"
"389003";"389003";"42";"8";"2";"927";"843";"14";"7";"822";"186";"26";"63";"22";"50";"119";"9";"326";"5";"16";"-"
"389004";"389004";"42";"8";"2";"1019";"913";"8";"1";"904";"249";"38";"69";"14";"54";"119";"10";"329";"1";"21";"-"
"389005";"389005";"42";"8";"2";"888";"822";"8";"1";"813";"188";"24";"63";"23";"47";"105";"12";"328";"6";"17";"-"
"391001";"391001";"47";"8";"2";"2731";"2393";"22";"9";"2362";"851";"71";"230";"24";"132";"328";"41";"626";"13";"46";"-"
"391004";"391004";"47";"8";"2";"1029";"907";"10";"1";"896";"319";"27";"59";"16";"52";"134";"12";"249";"4";"24";"-"
"391005";"391005";"47";"8";"2";"1569";"1408";"12";"3";"1393";"445";"59";"86";"13";"91";"174";"18";"471";"6";"30";"-"
"393001";"393001";"43";"8";"2";"2127";"1910";"13";"4";"1893";"667";"55";"172";"33";"141";"198";"25";"551";"3";"48";"-"
"393002";"393002";"43";"8";"2";"436";"391";"5";"1";"385";"98";"14";"24";"10";"21";"58";"8";"140";"3";"9";"-"
"393003";"393003";"43";"8";"2";"520";"457";"6";"0";"451";"107";"18";"50";"5";"16";"72";"7";"172";"1";"3";"-"
"393004";"393004";"43";"8";"2";"2265";"1997";"18";"4";"1975";"668";"51";"185";"32";"103";"230";"33";"622";"12";"39";"-"
"393005";"393005";"43";"8";"2";"761";"703";"4";"1";"698";"192";"24";"62";"7";"48";"80";"8";"253";"1";"23";"-"
"395001";"395001";"47";"8";"2";"1628";"1491";"17";"1";"1473";"434";"50";"166";"16";"62";"187";"14";"517";"10";"17";"-"
"395002";"395002";"47";"8";"2";"2566";"2358";"19";"7";"2332";"626";"80";"317";"25";"130";"308";"26";"797";"10";"13";"-"
"395003";"395003";"47";"8";"2";"325";"288";"2";"4";"282";"65";"9";"40";"3";"15";"51";"3";"81";"2";"13";"-"
"395004";"395004";"47";"8";"2";"1067";"926";"4";"3";"919";"300";"23";"89";"10";"40";"201";"19";"208";"11";"18";"-"
"397001";"397001";"44";"8";"2";"4300";"3645";"33";"6";"3606";"1208";"159";"472";"49";"266";"366";"37";"955";"13";"81";"-"
"397002";"397002";"44";"8";"2";"2908";"2533";"16";"2";"2515";"1029";"85";"212";"28";"202";"274";"30";"579";"8";"68";"-"
"397003";"397003";"44";"8";"2";"1934";"1734";"17";"5";"1712";"484";"81";"216";"33";"140";"158";"22";"513";"3";"62";"-"
"397004";"397004";"44";"8";"2";"1996";"1740";"12";"2";"1726";"649";"50";"175";"20";"123";"202";"12";"460";"8";"27";"-"
"397005";"397005";"44";"8";"2";"752";"676";"6";"2";"668";"202";"14";"85";"9";"35";"91";"11";"207";"5";"9";"-"
"397006";"397006";"44";"8";"2";"1010";"877";"5";"2";"870";"239";"31";"85";"17";"53";"153";"10";"255";"8";"19";"-"
"397007";"397007";"44";"8";"2";"163";"140";"1";"0";"139";"31";"5";"16";"3";"9";"19";"1";"51";"2";"2";"-"
"397008";"397008";"44";"8";"2";"797";"694";"8";"0";"686";"195";"24";"45";"7";"45";"119";"9";"222";"6";"14";"-"
"397009";"397009";"44";"8";"2";"1549";"1353";"13";"1";"1339";"443";"46";"121";"19";"69";"148";"20";"452";"4";"17";"-"
"397010";"397010";"44";"8";"2";"258";"229";"1";"0";"228";"62";"6";"20";"5";"15";"27";"2";"82";"0";"9";"-"
"401001";"401001";"49";"9";"2";"1562";"1347";"5";"3";"1339";"455";"33";"28";"10";"73";"150";"36";"503";"12";"39";"-"
"401002";"401002";"49";"9";"2";"1251";"1053";"6";"5";"1042";"265";"24";"33";"13";"58";"92";"38";"474";"10";"35";"-"
"401003";"401003";"49";"9";"2";"410";"366";"1";"1";"364";"84";"12";"8";"6";"26";"47";"4";"155";"2";"20";"-"
"401004";"401004";"49";"9";"2";"714";"617";"3";"2";"612";"166";"10";"13";"5";"26";"75";"29";"268";"3";"17";"-"
"401005";"401005";"49";"9";"2";"655";"573";"6";"0";"567";"216";"20";"20";"4";"49";"38";"12";"185";"7";"16";"-"
"401006";"401006";"49";"9";"2";"1277";"1107";"7";"9";"1091";"282";"19";"28";"10";"42";"112";"84";"472";"7";"35";"-"
"403001";"403001";"48";"9";"2";"1533";"1293";"20";"3";"1270";"524";"20";"31";"16";"35";"151";"51";"416";"15";"11";"-"
"403002";"403002";"48";"9";"2";"1369";"1224";"17";"0";"1207";"413";"15";"30";"7";"51";"134";"53";"470";"6";"28";"-"
"403003";"403003";"48";"9";"2";"1375";"1251";"15";"2";"1234";"448";"16";"49";"5";"38";"144";"61";"441";"10";"22";"-"
"403005";"403005";"48";"9";"2";"528";"475";"6";"1";"468";"162";"26";"11";"6";"20";"37";"7";"182";"1";"16";"-"
"405001";"405001";"49";"9";"2";"2939";"2492";"14";"20";"2458";"977";"45";"96";"27";"99";"187";"73";"905";"17";"32";"-"
"405002";"405002";"49";"9";"2";"1095";"992";"2";"3";"987";"388";"35";"67";"12";"73";"60";"26";"285";"2";"39";"-"
"405003";"405003";"49";"9";"2";"817";"717";"8";"4";"705";"218";"14";"26";"8";"31";"62";"10";"323";"5";"8";"-"
"405004";"405004";"49";"9";"2";"742";"640";"1";"2";"637";"225";"12";"24";"5";"29";"46";"20";"253";"3";"20";"-"
"405005";"405005";"49";"9";"2";"927";"822";"4";"1";"817";"270";"13";"29";"10";"24";"86";"33";"333";"8";"11";"-"
"407001";"407001";"48";"9";"2";"11417";"9581";"80";"23";"9478";"4260";"168";"374";"115";"446";"879";"333";"2678";"53";"172";"-"
"409001";"409001";"49";"9";"2";"2633";"2256";"27";"8";"2221";"776";"34";"50";"16";"79";"212";"152";"843";"19";"40";"-"
"409003";"409003";"49";"9";"2";"765";"679";"3";"2";"674";"262";"6";"36";"5";"20";"84";"22";"221";"8";"10";"-"
"409004";"409004";"49";"9";"2";"518";"463";"2";"0";"461";"160";"6";"3";"3";"26";"50";"29";"166";"2";"16";"-"
"409005";"409005";"49";"9";"2";"1114";"1000";"7";"1";"992";"365";"25";"39";"10";"40";"118";"37";"342";"10";"6";"-"
"411001";"411001";"49";"9";"2";"74";"71";"2";"1";"68";"13";"7";"8";"2";"9";"4";"0";"20";"0";"5";"-"
"421001";"421001";"54";"10";"2";"5228";"4392";"56";"18";"4318";"1505";"182";"613";"40";"174";"558";"60";"1096";"27";"63";"-"
"421002";"421002";"54";"10";"2";"1350";"1189";"12";"6";"1171";"377";"58";"161";"14";"44";"148";"22";"323";"7";"17";"-"
"421003";"421003";"54";"10";"2";"684";"622";"6";"2";"614";"198";"32";"75";"10";"30";"76";"7";"170";"3";"13";"-"
"421004";"421004";"54";"10";"2";"746";"654";"7";"2";"645";"181";"31";"86";"13";"28";"77";"10";"205";"2";"12";"-"
"421005";"421005";"54";"10";"2";"203";"186";"0";"0";"186";"30";"9";"27";"5";"9";"24";"0";"79";"0";"3";"-"
"421006";"421006";"54";"10";"2";"28";"27";"0";"0";"27";"4";"1";"0";"1";"0";"2";"0";"18";"0";"1";"-"
"423001";"423001";"55";"10";"2";"2731";"2357";"17";"6";"2334";"818";"81";"391";"21";"100";"294";"22";"571";"13";"23";"-"
"423002";"423002";"55";"10";"2";"288";"253";"1";"0";"252";"58";"4";"34";"5";"6";"46";"4";"90";"4";"1";"-"
"423003";"423003";"55";"10";"2";"358";"324";"6";"0";"318";"93";"10";"42";"3";"11";"43";"6";"104";"3";"3";"-"
"423004";"423004";"55";"10";"2";"316";"290";"4";"1";"285";"61";"4";"44";"5";"10";"37";"4";"113";"4";"3";"-"
"423005";"423005";"55";"10";"2";"488";"433";"7";"2";"424";"79";"22";"53";"4";"16";"67";"5";"170";"3";"5";"-"
"423006";"423006";"55";"10";"2";"681";"601";"6";"2";"593";"153";"30";"96";"6";"19";"81";"12";"174";"12";"10";"-"
"425001";"425001";"58";"10";"2";"1530";"1351";"12";"2";"1337";"334";"40";"170";"20";"60";"164";"21";"508";"6";"14";"-"
"425002";"425002";"58";"10";"2";"1229";"1130";"12";"0";"1118";"309";"41";"149";"8";"68";"168";"11";"348";"4";"12";"-"
"425003";"425003";"58";"10";"2";"1076";"916";"5";"3";"908";"241";"34";"141";"12";"50";"118";"10";"278";"1";"23";"-"
"425004";"425004";"58";"10";"2";"878";"768";"9";"2";"757";"167";"36";"103";"12";"47";"83";"12";"278";"5";"14";"-"
"427001";"427001";"56";"10";"2";"450";"384";"4";"0";"380";"84";"19";"37";"3";"31";"28";"6";"148";"6";"18";"-"
"427002";"427002";"56";"10";"2";"1043";"964";"10";"2";"952";"299";"33";"63";"10";"60";"126";"17";"313";"8";"23";"-"
"427003";"427003";"56";"10";"2";"347";"297";"4";"0";"293";"64";"11";"25";"5";"16";"38";"6";"123";"1";"4";"-"
"427004";"427004";"56";"10";"2";"917";"830";"6";"1";"823";"183";"75";"48";"22";"110";"50";"14";"253";"2";"66";"-"
"427005";"427005";"56";"10";"2";"1551";"1353";"14";"5";"1334";"450";"40";"113";"25";"69";"131";"9";"448";"17";"32";"-"
"427006";"427006";"56";"10";"2";"762";"702";"7";"1";"694";"170";"23";"59";"6";"87";"101";"8";"187";"5";"48";"-"
"427007";"427007";"56";"10";"2";"913";"826";"6";"1";"819";"205";"43";"83";"12";"69";"74";"18";"287";"5";"23";"-"
"427008";"427008";"56";"10";"2";"609";"548";"3";"0";"545";"127";"29";"57";"14";"57";"60";"5";"174";"1";"21";"-"
"429001";"429001";"54";"10";"2";"213";"201";"2";"0";"199";"45";"8";"18";"1";"7";"40";"0";"72";"6";"2";"-"
"429002";"429002";"54";"10";"2";"1507";"1335";"13";"5";"1317";"365";"56";"165";"16";"48";"202";"16";"431";"9";"9";"-"
"429003";"429003";"54";"10";"2";"303";"277";"2";"1";"274";"44";"18";"31";"4";"21";"35";"12";"99";"0";"10";"-"
"429004";"429004";"54";"10";"2";"344";"315";"6";"0";"309";"73";"20";"37";"6";"12";"47";"9";"102";"1";"2";"-"
"429005";"429005";"54";"10";"2";"164";"155";"2";"0";"153";"43";"9";"11";"3";"10";"20";"1";"53";"1";"2";"-"
