"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1988 - Stemmeberettigede";"FV1988 - Afgivne stemmer";"FV1988 - Blanke stemmer";"FV1988 - Andre ugyldige stemmer";"FV1988 - Gyldige stemmer";"FV1988 - A. Socialdemokratiet";"FV1988 - B. Det Radikale Venstre";"FV1988 - C. Det Konservative Folkeparti";"FV1988 - F. Socialistisk Folkeparti";"FV1988 - G. De Grønne";"FV1988 - K. Danmarks Kommunistiske Parti";"FV1988 - M. Centrum-Demokraterne";"FV1988 - P. Fælles Kurs";"FV1988 - Q. Kristeligt Folkeparti";"FV1988 - V. Venstre, Danmarks Liberale Parti";"FV1988 - Y. Venstresocialisterne";"FV1988 - Z. Fremskridtspartiet";"FV1988 - 1. Uden for partierne";"FV1988 - 2. Uden for partierne";"FV1988 - 3. Uden for partierne"
"269004";"269004";"34";"6";"2";"3968";"3435";"20";"4";"3411";"801";"200";"925";"397";"59";"13";"223";"72";"15";"323";"8";"375";"-";"-";"-"
"269005";"269005";"34";"6";"2";"5880";"5129";"25";"9";"5095";"1225";"339";"1297";"673";"96";"35";"325";"95";"32";"429";"17";"532";"-";"-";"-"
"269101";"269101";"34";"6";"2";"164";"137";"1";"0";"136";"40";"7";"32";"10";"5";"1";"9";"0";"0";"26";"1";"5";"-";"-";"-"
"269102";"269102";"34";"6";"2";"2567";"2238";"12";"2";"2224";"557";"144";"550";"320";"38";"12";"152";"39";"23";"182";"10";"197";"-";"-";"-"
"269107";"269107";"34";"6";"2";"192";"168";"4";"1";"163";"43";"6";"32";"22";"4";"2";"4";"3";"0";"26";"0";"21";"-";"-";"-"
"269108";"269108";"34";"6";"2";"176";"165";"1";"0";"164";"43";"5";"43";"14";"1";"2";"5";"1";"1";"29";"1";"19";"-";"-";"-"
"271001";"271001";"34";"6";"2";"1073";"941";"4";"0";"937";"220";"40";"231";"87";"20";"4";"37";"10";"6";"130";"2";"150";"-";"-";"-"
"271002";"271002";"34";"6";"2";"1872";"1710";"12";"6";"1692";"383";"91";"457";"166";"34";"14";"139";"20";"6";"166";"1";"215";"-";"-";"-"
"271003";"271003";"34";"6";"2";"1898";"1662";"15";"4";"1643";"495";"93";"315";"188";"24";"6";"101";"51";"10";"201";"7";"152";"-";"-";"-"
"271004";"271004";"34";"6";"2";"229";"205";"1";"0";"204";"75";"11";"27";"26";"2";"0";"3";"12";"0";"34";"1";"13";"-";"-";"-"
"271005";"271005";"34";"6";"2";"686";"596";"12";"1";"583";"125";"35";"109";"84";"9";"4";"25";"8";"5";"101";"3";"75";"-";"-";"-"
"271006";"271006";"34";"6";"2";"901";"801";"7";"2";"792";"215";"34";"184";"98";"11";"3";"54";"17";"7";"101";"0";"68";"-";"-";"-"
"271007";"271007";"34";"6";"2";"153";"135";"1";"0";"134";"26";"10";"18";"10";"3";"7";"11";"2";"1";"34";"0";"12";"-";"-";"-"
"301001";"301001";"37";"7";"2";"507";"443";"1";"2";"440";"124";"29";"35";"54";"10";"0";"20";"11";"12";"91";"4";"50";"0";"-";"-"
"301002";"301002";"37";"7";"2";"1819";"1510";"13";"1";"1496";"459";"78";"238";"222";"26";"18";"61";"61";"16";"139";"2";"175";"1";"-";"-"
"301003";"301003";"37";"7";"2";"397";"349";"1";"0";"348";"60";"23";"51";"25";"3";"0";"18";"9";"51";"69";"1";"38";"0";"-";"-"
"301004";"301004";"37";"7";"2";"677";"577";"1";"0";"576";"219";"26";"71";"74";"3";"4";"19";"13";"13";"61";"0";"73";"0";"-";"-"
"301005";"301005";"37";"7";"2";"1457";"1234";"11";"1";"1222";"500";"58";"147";"168";"9";"11";"48";"33";"11";"113";"8";"115";"1";"-";"-"
"301006";"301006";"37";"7";"2";"829";"702";"3";"0";"699";"207";"32";"107";"108";"21";"8";"24";"21";"11";"81";"7";"72";"0";"-";"-"
"303002";"303002";"39";"7";"2";"1334";"1137";"7";"2";"1128";"354";"50";"218";"144";"10";"6";"62";"31";"25";"104";"4";"120";"0";"-";"-"
"303003";"303003";"39";"7";"2";"581";"501";"0";"0";"501";"182";"18";"88";"37";"8";"6";"20";"16";"20";"58";"5";"43";"0";"-";"-"
"303101";"303101";"39";"7";"2";"328";"276";"1";"0";"275";"67";"10";"37";"22";"0";"0";"10";"12";"27";"68";"0";"22";"0";"-";"-"
"303105";"303105";"39";"7";"2";"1371";"1113";"8";"2";"1103";"320";"55";"219";"115";"13";"4";"52";"16";"87";"139";"2";"80";"1";"-";"-"
"303107";"303107";"39";"7";"2";"1374";"1155";"8";"2";"1145";"287";"65";"270";"127";"8";"5";"55";"25";"89";"132";"3";"77";"2";"-";"-"
"303108";"303108";"39";"7";"2";"376";"317";"3";"0";"314";"88";"14";"40";"38";"9";"0";"11";"6";"14";"55";"2";"37";"0";"-";"-"
"305001";"305001";"37";"7";"2";"2575";"2130";"19";"3";"2108";"528";"200";"427";"256";"40";"3";"106";"77";"33";"257";"5";"175";"1";"-";"-"
"305002";"305002";"37";"7";"2";"2741";"2294";"11";"3";"2280";"677";"201";"384";"296";"30";"14";"92";"76";"39";"214";"5";"252";"0";"-";"-"
"305003";"305003";"37";"7";"2";"1701";"1408";"7";"3";"1398";"400";"130";"213";"159";"23";"9";"38";"60";"21";"209";"3";"132";"1";"-";"-"
"305004";"305004";"37";"7";"2";"2400";"2040";"10";"3";"2027";"564";"187";"364";"261";"29";"12";"77";"65";"41";"256";"9";"162";"0";"-";"-"
"307001";"307001";"40";"7";"2";"2736";"2340";"15";"4";"2321";"612";"125";"414";"237";"32";"15";"101";"49";"61";"458";"6";"210";"1";"-";"-"
"307103";"307103";"40";"7";"2";"1519";"1298";"9";"1";"1288";"345";"65";"207";"139";"21";"2";"58";"52";"19";"243";"6";"130";"1";"-";"-"
"307106";"307106";"40";"7";"2";"426";"379";"3";"1";"375";"92";"15";"58";"58";"4";"4";"8";"14";"9";"69";"1";"43";"0";"-";"-"
"309001";"309001";"38";"7";"2";"2208";"1897";"17";"9";"1871";"665";"67";"315";"210";"16";"8";"70";"29";"15";"291";"1";"184";"0";"-";"-"
"309002";"309002";"38";"7";"2";"1172";"1018";"4";"2";"1012";"277";"47";"142";"118";"9";"3";"37";"25";"20";"229";"5";"99";"1";"-";"-"
"309003";"309003";"38";"7";"2";"413";"354";"4";"0";"350";"105";"5";"54";"37";"7";"1";"12";"17";"1";"57";"2";"52";"0";"-";"-"
"309004";"309004";"38";"7";"2";"714";"632";"2";"1";"629";"186";"33";"74";"65";"9";"2";"23";"22";"4";"113";"2";"96";"0";"-";"-"
"311004";"311004";"40";"7";"2";"1304";"1111";"8";"1";"1102";"302";"52";"196";"128";"12";"2";"79";"27";"14";"170";"2";"118";"0";"-";"-"
"311101";"311101";"40";"7";"2";"684";"578";"3";"0";"575";"177";"37";"116";"64";"5";"1";"25";"6";"4";"84";"2";"54";"0";"-";"-"
"311102";"311102";"40";"7";"2";"322";"290";"1";"0";"289";"81";"18";"38";"22";"5";"1";"5";"9";"0";"75";"2";"33";"0";"-";"-"
"311104";"311104";"40";"7";"2";"318";"269";"1";"0";"268";"77";"6";"40";"26";"2";"1";"7";"13";"0";"62";"0";"34";"0";"-";"-"
"311105";"311105";"40";"7";"2";"985";"825";"6";"0";"819";"213";"39";"137";"106";"13";"5";"31";"22";"9";"144";"5";"95";"0";"-";"-"
"311107";"311107";"40";"7";"2";"192";"168";"2";"2";"164";"38";"4";"22";"18";"0";"0";"4";"7";"1";"44";"0";"26";"0";"-";"-"
"311112";"311112";"40";"7";"2";"632";"542";"4";"3";"535";"97";"34";"78";"56";"24";"9";"24";"13";"2";"136";"5";"57";"0";"-";"-"
"311113";"311113";"40";"7";"2";"231";"199";"2";"1";"196";"34";"6";"28";"22";"3";"1";"10";"6";"3";"56";"2";"25";"0";"-";"-"
"313001";"313001";"39";"7";"2";"8089";"7101";"48";"9";"7044";"2155";"460";"1547";"843";"129";"40";"436";"103";"231";"649";"24";"427";"0";"-";"-"
"313003";"313003";"39";"7";"2";"1131";"983";"9";"3";"971";"300";"75";"165";"97";"14";"8";"33";"24";"5";"159";"4";"87";"0";"-";"-"
"313004";"313004";"39";"7";"2";"474";"413";"6";"1";"406";"109";"41";"58";"24";"4";"2";"16";"9";"1";"101";"1";"40";"0";"-";"-"
"313005";"313005";"39";"7";"2";"684";"614";"5";"1";"608";"169";"24";"109";"70";"11";"3";"37";"11";"12";"122";"3";"37";"0";"-";"-"
"315001";"315001";"36";"7";"2";"5158";"4385";"25";"11";"4349";"1197";"489";"968";"718";"62";"40";"127";"83";"59";"236";"40";"328";"2";"-";"-"
"315002";"315002";"36";"7";"2";"5104";"4191";"28";"11";"4152";"1386";"385";"749";"711";"53";"35";"165";"134";"60";"185";"21";"266";"2";"-";"-"
"315003";"315003";"36";"7";"2";"5178";"4419";"32";"4";"4383";"1359";"486";"849";"603";"52";"25";"215";"124";"48";"232";"24";"363";"3";"-";"-"
"315004";"315004";"36";"7";"2";"2132";"1940";"7";"1";"1932";"445";"257";"490";"224";"27";"3";"86";"39";"14";"205";"9";"131";"2";"-";"-"
"315005";"315005";"36";"7";"2";"550";"465";"3";"1";"461";"117";"42";"87";"55";"8";"5";"20";"8";"5";"65";"2";"47";"0";"-";"-"
"315006";"315006";"36";"7";"2";"2975";"2655";"17";"5";"2633";"626";"302";"547";"360";"42";"12";"128";"55";"36";"261";"11";"253";"0";"-";"-"
"315007";"315007";"36";"7";"2";"751";"635";"2";"1";"632";"165";"92";"96";"68";"7";"1";"27";"17";"6";"86";"3";"63";"1";"-";"-"
"315008";"315008";"36";"7";"2";"1418";"1235";"8";"2";"1225";"220";"201";"254";"148";"12";"4";"49";"25";"7";"178";"5";"122";"0";"-";"-"
"317001";"317001";"38";"7";"2";"269";"238";"3";"0";"235";"69";"15";"20";"31";"3";"2";"11";"9";"0";"46";"0";"28";"1";"-";"-"
"317002";"317002";"38";"7";"2";"1049";"921";"5";"3";"913";"290";"53";"130";"120";"11";"3";"39";"25";"5";"130";"0";"107";"0";"-";"-"
"317003";"317003";"38";"7";"2";"378";"323";"1";"3";"319";"75";"24";"41";"44";"5";"3";"14";"11";"4";"60";"0";"38";"0";"-";"-"
"317004";"317004";"38";"7";"2";"538";"451";"2";"0";"449";"136";"30";"89";"51";"6";"4";"10";"5";"6";"67";"1";"44";"0";"-";"-"
"317005";"317005";"38";"7";"2";"1404";"1198";"11";"1";"1186";"348";"74";"184";"116";"9";"3";"40";"35";"17";"231";"4";"124";"1";"-";"-"
"317006";"317006";"38";"7";"2";"267";"233";"3";"0";"230";"96";"15";"33";"28";"0";"1";"10";"9";"1";"19";"1";"17";"0";"-";"-"
"317107";"317107";"38";"7";"2";"101";"77";"0";"0";"77";"20";"15";"4";"7";"4";"0";"2";"3";"1";"16";"0";"5";"0";"-";"-"
"319001";"319001";"38";"7";"2";"1939";"1683";"13";"3";"1667";"455";"89";"329";"199";"25";"2";"96";"45";"26";"238";"4";"159";"0";"-";"-"
"319002";"319002";"38";"7";"2";"1512";"1267";"10";"1";"1256";"441";"54";"240";"112";"12";"2";"67";"25";"20";"174";"2";"107";"0";"-";"-"
"319003";"319003";"38";"7";"2";"587";"494";"4";"2";"488";"145";"25";"75";"55";"14";"1";"28";"26";"4";"66";"1";"48";"0";"-";"-"
"319004";"319004";"38";"7";"2";"414";"362";"0";"1";"361";"99";"24";"52";"49";"3";"6";"15";"5";"10";"66";"1";"31";"0";"-";"-"
"319005";"319005";"38";"7";"2";"440";"387";"4";"2";"381";"85";"28";"66";"57";"20";"2";"13";"12";"5";"53";"0";"40";"0";"-";"-"
"319006";"319006";"38";"7";"2";"669";"578";"4";"0";"574";"133";"32";"96";"65";"6";"5";"28";"12";"5";"114";"3";"75";"0";"-";"-"
"319007";"319007";"38";"7";"2";"502";"425";"1";"1";"423";"112";"16";"60";"51";"0";"3";"14";"16";"1";"93";"8";"49";"0";"-";"-"
"321001";"321001";"36";"7";"2";"1251";"1082";"9";"2";"1071";"215";"92";"177";"148";"20";"10";"43";"31";"20";"204";"8";"103";"0";"-";"-"
"321002";"321002";"36";"7";"2";"1438";"1250";"12";"0";"1238";"384";"131";"197";"156";"20";"6";"56";"41";"18";"140";"5";"84";"0";"-";"-"
"321003";"321003";"36";"7";"2";"1406";"1207";"8";"3";"1196";"346";"85";"217";"144";"15";"11";"41";"40";"10";"168";"4";"115";"0";"-";"-"
"323001";"323001";"38";"7";"2";"3187";"2668";"13";"10";"2645";"830";"163";"644";"355";"30";"12";"104";"41";"52";"169";"5";"240";"0";"-";"-"
"323002";"323002";"38";"7";"2";"2606";"2145";"13";"0";"2132";"841";"102";"307";"404";"16";"10";"71";"65";"22";"98";"8";"188";"0";"-";"-"
"323003";"323003";"38";"7";"2";"830";"737";"5";"0";"732";"240";"48";"101";"82";"5";"4";"34";"17";"2";"130";"3";"66";"0";"-";"-"
"323004";"323004";"38";"7";"2";"1623";"1433";"14";"3";"1416";"493";"93";"199";"191";"25";"7";"64";"29";"9";"135";"4";"166";"1";"-";"-"
"323005";"323005";"38";"7";"2";"3070";"2630";"10";"2";"2618";"749";"186";"447";"397";"43";"13";"118";"64";"19";"321";"9";"251";"1";"-";"-"
"323006";"323006";"38";"7";"2";"637";"552";"2";"0";"550";"135";"40";"83";"60";"10";"3";"39";"16";"2";"87";"1";"74";"0";"-";"-"
"323007";"323007";"38";"7";"2";"2980";"2497";"3";"7";"2487";"892";"129";"433";"409";"32";"13";"110";"48";"24";"177";"2";"218";"0";"-";"-"
"325001";"325001";"41";"7";"2";"5913";"4986";"28";"10";"4948";"1921";"193";"985";"730";"79";"38";"171";"169";"59";"200";"4";"397";"2";"-";"-"
"325002";"325002";"41";"7";"2";"5715";"4740";"29";"10";"4701";"2063";"156";"608";"952";"58";"34";"122";"228";"30";"104";"15";"331";"0";"-";"-"
"325003";"325003";"41";"7";"2";"1735";"1486";"9";"3";"1474";"582";"63";"257";"209";"23";"8";"57";"28";"9";"99";"4";"135";"0";"-";"-"
"325004";"325004";"41";"7";"2";"1823";"1518";"5";"1";"1512";"482";"57";"286";"170";"17";"11";"76";"33";"16";"161";"4";"198";"1";"-";"-"
"325005";"325005";"41";"7";"2";"420";"361";"1";"1";"359";"77";"11";"52";"34";"5";"2";"14";"17";"4";"99";"0";"44";"0";"-";"-"
"327001";"327001";"37";"7";"2";"4499";"3761";"22";"6";"3733";"1325";"340";"751";"473";"67";"19";"147";"100";"39";"237";"8";"227";"0";"-";"-"
"327002";"327002";"37";"7";"2";"984";"850";"7";"0";"843";"168";"79";"227";"110";"22";"8";"40";"16";"2";"113";"4";"54";"0";"-";"-"
"329001";"329001";"39";"7";"2";"5358";"4598";"42";"7";"4549";"1476";"279";"1003";"488";"49";"32";"191";"98";"61";"524";"12";"333";"3";"-";"-"
"329002";"329002";"39";"7";"2";"660";"579";"4";"0";"575";"150";"24";"71";"63";"7";"0";"32";"9";"4";"137";"2";"76";"0";"-";"-"
"329003";"329003";"39";"7";"2";"460";"416";"4";"0";"412";"96";"33";"58";"46";"3";"1";"24";"11";"9";"86";"4";"41";"0";"-";"-"
"329004";"329004";"39";"7";"2";"3599";"3105";"25";"7";"3073";"1161";"171";"591";"321";"24";"12";"162";"69";"36";"259";"5";"262";"0";"-";"-"
"329005";"329005";"39";"7";"2";"968";"844";"3";"3";"838";"170";"46";"135";"126";"17";"4";"29";"24";"8";"177";"0";"102";"0";"-";"-"
"329006";"329006";"39";"7";"2";"4616";"3993";"41";"7";"3945";"1555";"245";"697";"421";"47";"20";"179";"90";"43";"392";"7";"249";"0";"-";"-"
"329008";"329008";"39";"7";"2";"983";"885";"9";"3";"873";"224";"78";"151";"145";"18";"4";"30";"25";"5";"119";"15";"58";"1";"-";"-"
"329009";"329009";"39";"7";"2";"1024";"921";"7";"0";"914";"294";"57";"181";"102";"14";"8";"35";"18";"8";"118";"3";"76";"0";"-";"-"
"329010";"329010";"39";"7";"2";"967";"856";"13";"1";"842";"259";"46";"146";"92";"4";"5";"52";"17";"7";"122";"5";"87";"0";"-";"-"
"329011";"329011";"39";"7";"2";"437";"382";"3";"1";"378";"121";"18";"54";"20";"4";"4";"29";"5";"4";"84";"1";"34";"0";"-";"-"
"329012";"329012";"39";"7";"2";"772";"692";"6";"2";"684";"192";"53";"113";"60";"4";"2";"32";"17";"2";"134";"2";"73";"0";"-";"-"
"329013";"329013";"39";"7";"2";"1001";"869";"8";"1";"860";"230";"47";"127";"128";"22";"9";"46";"13";"8";"152";"1";"77";"0";"-";"-"
"329014";"329014";"39";"7";"2";"605";"512";"3";"1";"508";"149";"28";"63";"54";"6";"4";"23";"17";"4";"101";"1";"58";"0";"-";"-"
"331001";"331001";"40";"7";"2";"2514";"2100";"11";"8";"2081";"677";"126";"444";"288";"19";"12";"115";"36";"24";"187";"7";"145";"1";"-";"-"
"331002";"331002";"40";"7";"2";"189";"146";"2";"0";"144";"31";"8";"51";"5";"0";"3";"7";"1";"1";"21";"0";"16";"0";"-";"-"
"331003";"331003";"40";"7";"2";"976";"862";"10";"1";"851";"243";"35";"129";"87";"9";"9";"35";"24";"8";"171";"3";"97";"1";"-";"-"
"331004";"331004";"40";"7";"2";"359";"319";"2";"0";"317";"85";"17";"49";"24";"9";"1";"23";"4";"4";"74";"0";"27";"0";"-";"-"
"331005";"331005";"40";"7";"2";"1990";"1623";"12";"1";"1610";"627";"63";"291";"205";"21";"3";"61";"54";"21";"141";"3";"118";"2";"-";"-"
"331006";"331006";"40";"7";"2";"468";"405";"3";"0";"402";"92";"33";"86";"49";"7";"1";"10";"8";"5";"70";"0";"41";"0";"-";"-"
"331007";"331007";"40";"7";"2";"137";"110";"0";"1";"109";"21";"7";"17";"12";"1";"0";"2";"10";"0";"26";"0";"13";"0";"-";"-"
"331008";"331008";"40";"7";"2";"577";"521";"5";"2";"514";"147";"25";"73";"44";"8";"0";"10";"10";"5";"136";"6";"50";"0";"-";"-"
"331010";"331010";"40";"7";"2";"1268";"1101";"6";"1";"1094";"251";"67";"215";"139";"16";"6";"44";"27";"20";"187";"4";"118";"0";"-";"-"
"333005";"333005";"41";"7";"2";"791";"671";"5";"2";"664";"162";"36";"110";"75";"10";"4";"29";"15";"6";"101";"4";"112";"0";"-";"-"
"333006";"333006";"41";"7";"2";"709";"618";"4";"2";"612";"139";"39";"90";"68";"9";"4";"24";"8";"3";"152";"2";"74";"0";"-";"-"
"333007";"333007";"41";"7";"2";"1252";"1081";"5";"0";"1076";"234";"61";"201";"92";"13";"11";"50";"21";"7";"259";"4";"123";"0";"-";"-"
"333008";"333008";"41";"7";"2";"437";"389";"0";"0";"389";"107";"11";"75";"33";"3";"3";"23";"8";"4";"80";"1";"41";"0";"-";"-"
"333101";"333101";"41";"7";"2";"5597";"4687";"19";"13";"4655";"1674";"228";"1097";"507";"44";"40";"211";"83";"63";"291";"20";"396";"1";"-";"-"
"333102";"333102";"41";"7";"2";"5938";"4836";"31";"8";"4797";"1513";"208";"1072";"659";"88";"66";"206";"104";"69";"349";"30";"433";"0";"-";"-"
"333103";"333103";"41";"7";"2";"4862";"3704";"17";"9";"3678";"1392";"139";"604";"576";"41";"47";"125";"126";"52";"230";"15";"328";"3";"-";"-"
"333104";"333104";"41";"7";"2";"3294";"2764";"11";"3";"2750";"971";"135";"578";"377";"33";"35";"137";"52";"38";"151";"6";"237";"0";"-";"-"
"333106";"333106";"41";"7";"2";"3365";"2971";"20";"5";"2946";"831";"138";"832";"294";"28";"20";"209";"36";"23";"284";"6";"245";"0";"-";"-"
"335001";"335001";"40";"7";"2";"1083";"953";"12";"2";"939";"274";"69";"163";"82";"13";"3";"44";"23";"10";"171";"3";"84";"0";"-";"-"
"335002";"335002";"40";"7";"2";"3980";"3367";"19";"13";"3335";"978";"233";"852";"326";"54";"20";"145";"50";"67";"411";"11";"188";"0";"-";"-"
"335003";"335003";"40";"7";"2";"3236";"2770";"21";"4";"2745";"773";"196";"571";"325";"46";"23";"129";"49";"66";"365";"20";"182";"0";"-";"-"
"335004";"335004";"40";"7";"2";"1850";"1574";"8";"6";"1560";"499";"75";"321";"148";"25";"7";"77";"27";"19";"212";"3";"147";"0";"-";"-"
"335005";"335005";"40";"7";"2";"834";"704";"3";"2";"699";"154";"46";"112";"60";"11";"5";"38";"14";"13";"167";"3";"76";"0";"-";"-"
"337001";"337001";"39";"7";"2";"1599";"1373";"13";"5";"1355";"459";"79";"257";"142";"11";"5";"80";"37";"27";"159";"3";"96";"0";"-";"-"
"337003";"337003";"39";"7";"2";"224";"200";"1";"2";"197";"39";"12";"21";"20";"5";"2";"9";"7";"1";"51";"1";"29";"0";"-";"-"
"337004";"337004";"39";"7";"2";"892";"786";"3";"0";"783";"226";"34";"143";"95";"10";"5";"34";"15";"24";"104";"5";"88";"0";"-";"-"
"337005";"337005";"39";"7";"2";"572";"507";"2";"0";"505";"132";"34";"79";"54";"9";"7";"27";"21";"10";"90";"0";"42";"0";"-";"-"
"337007";"337007";"39";"7";"2";"527";"474";"3";"0";"471";"139";"31";"77";"40";"12";"6";"22";"14";"8";"83";"5";"34";"0";"-";"-"
"339001";"339001";"37";"7";"2";"488";"432";"1";"0";"431";"132";"34";"52";"68";"5";"2";"15";"18";"7";"65";"1";"32";"0";"-";"-"
"339002";"339002";"37";"7";"2";"1978";"1746";"6";"1";"1739";"554";"164";"312";"204";"20";"4";"67";"63";"29";"186";"0";"135";"1";"-";"-"
"339003";"339003";"37";"7";"2";"1257";"1115";"9";"1";"1105";"277";"167";"138";"129";"6";"5";"31";"32";"14";"206";"4";"95";"1";"-";"-"
"339004";"339004";"37";"7";"2";"980";"854";"4";"0";"850";"272";"96";"140";"96";"8";"1";"31";"18";"9";"100";"1";"78";"0";"-";"-"
"341001";"341001";"36";"7";"2";"359";"305";"1";"0";"304";"68";"12";"64";"51";"11";"3";"13";"11";"2";"42";"3";"23";"1";"-";"-"
"341002";"341002";"36";"7";"2";"3039";"2470";"15";"4";"2451";"817";"176";"460";"260";"27";"19";"100";"56";"55";"298";"6";"176";"1";"-";"-"
"341004";"341004";"36";"7";"2";"859";"740";"8";"0";"732";"254";"68";"108";"99";"4";"13";"34";"23";"2";"72";"3";"51";"1";"-";"-"
"341006";"341006";"36";"7";"2";"1423";"1215";"7";"2";"1206";"458";"75";"193";"146";"14";"2";"45";"34";"20";"112";"4";"103";"0";"-";"-"
"341007";"341007";"36";"7";"2";"479";"431";"1";"0";"430";"166";"25";"45";"50";"9";"1";"17";"18";"6";"65";"0";"28";"0";"-";"-"
"341008";"341008";"36";"7";"2";"488";"416";"3";"0";"413";"89";"27";"69";"42";"8";"4";"13";"30";"9";"77";"6";"39";"0";"-";"-"
"343001";"343001";"37";"7";"2";"1202";"1046";"5";"2";"1039";"287";"99";"157";"150";"14";"5";"37";"39";"6";"150";"5";"89";"1";"-";"-"
"343002";"343002";"37";"7";"2";"2213";"1846";"15";"1";"1830";"534";"197";"309";"258";"28";"6";"51";"60";"11";"193";"6";"177";"0";"-";"-"
"343003";"343003";"37";"7";"2";"513";"435";"5";"1";"429";"112";"37";"57";"50";"3";"2";"16";"17";"2";"90";"2";"41";"0";"-";"-"
"343004";"343004";"37";"7";"2";"900";"745";"5";"1";"739";"215";"68";"129";"111";"13";"4";"19";"26";"2";"93";"2";"56";"1";"-";"-"
"343005";"343005";"37";"7";"2";"975";"809";"8";"0";"801";"271";"58";"126";"91";"5";"2";"30";"56";"4";"77";"0";"80";"1";"-";"-"
"343006";"343006";"37";"7";"2";"2101";"1820";"9";"3";"1808";"497";"174";"341";"188";"19";"10";"47";"60";"22";"275";"3";"170";"2";"-";"-"
"345001";"345001";"36";"7";"2";"2932";"2562";"17";"4";"2541";"702";"288";"422";"371";"31";"8";"107";"42";"47";"320";"22";"178";"3";"-";"-"
"345003";"345003";"36";"7";"2";"1421";"1247";"8";"0";"1239";"262";"152";"199";"181";"29";"9";"42";"35";"16";"173";"7";"134";"0";"-";"-"
"345004";"345004";"36";"7";"2";"1423";"1220";"11";"1";"1208";"379";"92";"213";"148";"18";"4";"43";"35";"13";"156";"4";"103";"0";"-";"-"
"345005";"345005";"36";"7";"2";"1054";"935";"13";"4";"918";"238";"76";"152";"91";"9";"6";"37";"26";"39";"129";"3";"112";"0";"-";"-"
"351002";"351002";"42";"8";"2";"3333";"2821";"35";"2";"2784";"1166";"95";"522";"254";"26";"17";"121";"55";"26";"276";"5";"221";"-";"-";"-"
"351003";"351003";"42";"8";"2";"2204";"1878";"7";"3";"1868";"662";"88";"364";"250";"19";"22";"65";"37";"28";"143";"8";"182";"-";"-";"-"
"351004";"351004";"42";"8";"2";"604";"496";"2";"2";"492";"145";"32";"59";"84";"6";"0";"16";"11";"7";"75";"6";"51";"-";"-";"-"
"351006";"351006";"42";"8";"2";"1968";"1684";"12";"3";"1669";"471";"69";"383";"173";"21";"6";"79";"41";"18";"222";"7";"179";"-";"-";"-"
"351008";"351008";"42";"8";"2";"540";"481";"3";"0";"478";"119";"14";"76";"72";"6";"8";"21";"20";"6";"88";"1";"47";"-";"-";"-"
"353001";"353001";"42";"8";"2";"831";"742";"2";"0";"740";"185";"37";"129";"88";"15";"2";"27";"16";"6";"139";"7";"89";"-";"-";"-"
"353002";"353002";"42";"8";"2";"1531";"1350";"2";"2";"1346";"360";"76";"277";"158";"14";"4";"71";"15";"29";"208";"3";"131";"-";"-";"-"
"353003";"353003";"42";"8";"2";"1806";"1553";"6";"3";"1544";"440";"58";"309";"190";"37";"0";"66";"17";"24";"244";"7";"152";"-";"-";"-"
"353004";"353004";"42";"8";"2";"1195";"1047";"6";"3";"1038";"254";"54";"172";"118";"13";"11";"39";"27";"20";"217";"7";"106";"-";"-";"-"
"355001";"355001";"46";"8";"2";"844";"769";"7";"1";"761";"312";"39";"94";"76";"4";"1";"19";"20";"3";"118";"2";"73";"-";"-";"-"
"355002";"355002";"46";"8";"2";"681";"607";"4";"1";"602";"285";"20";"63";"65";"12";"2";"20";"10";"2";"71";"1";"51";"-";"-";"-"
"355003";"355003";"46";"8";"2";"1692";"1526";"5";"2";"1519";"833";"53";"212";"121";"7";"0";"47";"19";"10";"91";"3";"123";"-";"-";"-"
"355004";"355004";"46";"8";"2";"271";"243";"3";"0";"240";"116";"13";"20";"19";"2";"1";"3";"10";"0";"31";"5";"20";"-";"-";"-"
"357001";"357001";"43";"8";"2";"2765";"2434";"10";"3";"2421";"961";"120";"445";"321";"32";"7";"149";"37";"18";"164";"5";"162";"-";"-";"-"
"357002";"357002";"43";"8";"2";"990";"873";"12";"1";"860";"308";"37";"146";"95";"8";"1";"49";"24";"7";"97";"2";"86";"-";"-";"-"
"357003";"357003";"43";"8";"2";"1080";"938";"14";"0";"924";"263";"43";"151";"108";"10";"8";"42";"26";"7";"190";"2";"74";"-";"-";"-"
"359001";"359001";"45";"8";"2";"487";"420";"1";"1";"418";"173";"22";"48";"39";"1";"1";"11";"11";"3";"80";"1";"28";"-";"-";"-"
"359002";"359002";"45";"8";"2";"343";"318";"1";"1";"316";"148";"8";"49";"14";"1";"0";"13";"5";"4";"48";"1";"25";"-";"-";"-"
"359003";"359003";"45";"8";"2";"634";"562";"3";"0";"559";"233";"23";"69";"35";"6";"1";"15";"21";"3";"96";"2";"55";"-";"-";"-"
"359006";"359006";"45";"8";"2";"469";"419";"0";"1";"418";"178";"16";"76";"38";"5";"0";"12";"12";"0";"51";"4";"26";"-";"-";"-"
"359102";"359102";"45";"8";"2";"732";"653";"4";"0";"649";"286";"25";"99";"43";"6";"5";"20";"19";"3";"82";"1";"60";"-";"-";"-"
"359107";"359107";"45";"8";"2";"731";"664";"5";"0";"659";"285";"36";"104";"62";"3";"3";"18";"16";"3";"65";"3";"61";"-";"-";"-"
