"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1994 - Stemmeberettigede";"FV1994 - Afgivne stemmer";"FV1994 - Blanke stemmer";"FV1994 - Andre ugyldige stemmer";"FV1994 - Gyldige stemmer";"FV1994 - A. Socialdemokratiet";"FV1994 - B. Det Radikale Venstre";"FV1994 - C. Det Konservative Folkeparti";"FV1994 - D. Centrum-Demokraterne";"FV1994 - F. Socialistisk Folkeparti";"FV1994 - Q. Kristeligt Folkeparti";"FV1994 - V. Venstre, Danmarks Liberale Parti";"FV1994 - Z. Fremskridtspartiet";"FV1994 - Ø. Enhedslisten - De Rød-Grønne";"FV1994 - 1. Uden for partierne";"FV1994 - 2. Uden for partierne";"FV1994 - 3. Uden for partierne";"FV1994 - 4. Uden for partierne";"FV1994 - 5. Uden for partierne"
"337007";"337007";"39";"7";"2";"548";"487";"3";"3";"481";"171";"20";"49";"13";"26";"14";"141";"35";"12";"0";"0";"-";"-";"-"
"339001";"339001";"37";"7";"2";"444";"388";"4";"0";"384";"139";"19";"33";"4";"24";"8";"115";"26";"16";"0";"0";"-";"-";"-"
"339002";"339002";"37";"7";"2";"2027";"1711";"17";"3";"1691";"634";"167";"246";"41";"96";"13";"356";"103";"35";"0";"0";"-";"-";"-"
"339003";"339003";"37";"7";"2";"1269";"1065";"12";"6";"1047";"321";"132";"92";"33";"73";"11";"316";"51";"17";"1";"0";"-";"-";"-"
"339004";"339004";"37";"7";"2";"1003";"850";"11";"0";"839";"305";"106";"84";"27";"46";"7";"199";"43";"21";"0";"1";"-";"-";"-"
"341001";"341001";"36";"7";"2";"366";"318";"2";"0";"316";"79";"16";"45";"11";"27";"5";"96";"13";"24";"0";"0";"-";"-";"-"
"341002";"341002";"36";"7";"2";"3015";"2424";"23";"8";"2393";"960";"107";"313";"59";"176";"50";"560";"113";"55";"0";"0";"-";"-";"-"
"341004";"341004";"36";"7";"2";"841";"732";"12";"5";"715";"311";"35";"77";"26";"56";"9";"132";"40";"29";"0";"0";"-";"-";"-"
"341006";"341006";"36";"7";"2";"1431";"1167";"13";"3";"1151";"501";"72";"126";"40";"87";"17";"204";"64";"39";"1";"0";"-";"-";"-"
"341007";"341007";"36";"7";"2";"454";"387";"3";"1";"383";"138";"25";"38";"10";"33";"9";"98";"21";"9";"2";"0";"-";"-";"-"
"341008";"341008";"36";"7";"2";"461";"376";"2";"2";"372";"98";"15";"33";"7";"21";"5";"136";"38";"19";"0";"0";"-";"-";"-"
"343001";"343001";"37";"7";"2";"1189";"984";"3";"2";"979";"331";"73";"104";"37";"97";"9";"219";"57";"52";"0";"0";"-";"-";"-"
"343002";"343002";"37";"7";"2";"2572";"2090";"22";"4";"2064";"706";"165";"262";"58";"157";"10";"474";"170";"61";"1";"0";"-";"-";"-"
"343003";"343003";"37";"7";"2";"537";"434";"5";"0";"429";"123";"26";"63";"12";"30";"3";"104";"56";"12";"0";"0";"-";"-";"-"
"343004";"343004";"37";"7";"2";"909";"717";"8";"2";"707";"240";"61";"93";"23";"57";"6";"159";"43";"25";"0";"0";"-";"-";"-"
"343005";"343005";"37";"7";"2";"1071";"874";"11";"3";"860";"340";"50";"99";"25";"64";"11";"171";"68";"31";"0";"1";"-";"-";"-"
"343006";"343006";"37";"7";"2";"2221";"1881";"20";"0";"1861";"656";"136";"244";"50";"140";"18";"441";"130";"44";"1";"1";"-";"-";"-"
"345001";"345001";"36";"7";"2";"3039";"2638";"17";"7";"2614";"867";"215";"314";"88";"219";"46";"617";"157";"89";"1";"1";"-";"-";"-"
"345003";"345003";"36";"7";"2";"1399";"1219";"13";"3";"1203";"330";"108";"141";"35";"113";"10";"335";"84";"46";"0";"1";"-";"-";"-"
"345004";"345004";"36";"7";"2";"1443";"1208";"17";"7";"1184";"405";"81";"145";"40";"78";"13";"308";"74";"39";"1";"0";"-";"-";"-"
"345005";"345005";"36";"7";"2";"1081";"966";"15";"9";"942";"330";"57";"107";"32";"43";"20";"246";"79";"27";"1";"0";"-";"-";"-"
"351002";"351002";"42";"8";"2";"3516";"2860";"28";"6";"2826";"1295";"95";"374";"97";"129";"30";"581";"165";"60";"-";"-";"-";"-";"-"
"351003";"351003";"42";"8";"2";"2358";"1978";"20";"7";"1951";"780";"83";"284";"52";"156";"14";"367";"135";"80";"-";"-";"-";"-";"-"
"351004";"351004";"42";"8";"2";"585";"496";"2";"1";"493";"175";"18";"48";"20";"44";"6";"109";"36";"37";"-";"-";"-";"-";"-"
"351006";"351006";"42";"8";"2";"1960";"1657";"23";"2";"1632";"555";"66";"256";"71";"103";"13";"418";"112";"38";"-";"-";"-";"-";"-"
"351008";"351008";"42";"8";"2";"561";"484";"4";"0";"480";"162";"11";"60";"18";"37";"5";"126";"33";"28";"-";"-";"-";"-";"-"
"353001";"353001";"42";"8";"2";"818";"724";"5";"5";"714";"221";"39";"86";"21";"51";"7";"205";"62";"22";"-";"-";"-";"-";"-"
"353002";"353002";"42";"8";"2";"1569";"1339";"18";"4";"1317";"422";"47";"252";"40";"77";"25";"333";"83";"38";"-";"-";"-";"-";"-"
"353003";"353003";"42";"8";"2";"1822";"1512";"11";"1";"1500";"508";"59";"225";"51";"91";"12";"416";"83";"55";"-";"-";"-";"-";"-"
"353004";"353004";"42";"8";"2";"1276";"1103";"10";"1";"1092";"293";"66";"164";"28";"87";"26";"307";"69";"52";"-";"-";"-";"-";"-"
"355001";"355001";"46";"8";"2";"839";"714";"9";"1";"704";"308";"26";"71";"18";"33";"4";"175";"45";"24";"-";"-";"-";"-";"-"
"355002";"355002";"46";"8";"2";"661";"568";"6";"3";"559";"269";"18";"39";"13";"51";"5";"108";"38";"18";"-";"-";"-";"-";"-"
"355003";"355003";"46";"8";"2";"1623";"1404";"8";"6";"1390";"797";"47";"139";"25";"60";"10";"205";"76";"31";"-";"-";"-";"-";"-"
"355004";"355004";"46";"8";"2";"260";"209";"1";"0";"208";"89";"11";"16";"2";"17";"1";"54";"7";"11";"-";"-";"-";"-";"-"
"357001";"357001";"43";"8";"2";"2850";"2482";"19";"1";"2462";"1149";"77";"432";"88";"130";"20";"436";"86";"44";"-";"-";"-";"-";"-"
"357002";"357002";"43";"8";"2";"1005";"868";"13";"2";"853";"362";"16";"140";"25";"34";"13";"195";"45";"23";"-";"-";"-";"-";"-"
"357003";"357003";"43";"8";"2";"1102";"954";"9";"0";"945";"353";"22";"141";"25";"59";"22";"257";"41";"25";"-";"-";"-";"-";"-"
"359001";"359001";"45";"8";"2";"490";"424";"4";"2";"418";"180";"19";"43";"3";"23";"3";"97";"32";"18";"-";"-";"-";"-";"-"
"359002";"359002";"45";"8";"2";"334";"297";"3";"2";"292";"136";"2";"31";"13";"14";"0";"72";"18";"6";"-";"-";"-";"-";"-"
"359003";"359003";"45";"8";"2";"629";"519";"7";"2";"510";"230";"6";"54";"13";"20";"3";"115";"48";"21";"-";"-";"-";"-";"-"
"359006";"359006";"45";"8";"2";"438";"365";"2";"0";"363";"178";"12";"45";"10";"20";"1";"72";"17";"8";"-";"-";"-";"-";"-"
"359102";"359102";"45";"8";"2";"732";"607";"3";"4";"600";"300";"17";"56";"21";"20";"3";"133";"34";"16";"-";"-";"-";"-";"-"
"359107";"359107";"45";"8";"2";"732";"629";"6";"1";"622";"297";"23";"73";"8";"37";"3";"121";"43";"17";"-";"-";"-";"-";"-"
"361001";"361001";"44";"8";"2";"1409";"1229";"10";"4";"1215";"535";"51";"201";"35";"75";"3";"190";"80";"45";"-";"-";"-";"-";"-"
"361002";"361002";"44";"8";"2";"501";"413";"6";"0";"407";"162";"30";"68";"8";"39";"4";"66";"25";"5";"-";"-";"-";"-";"-"
"361003";"361003";"44";"8";"2";"1273";"1114";"9";"2";"1103";"462";"44";"206";"28";"61";"8";"196";"72";"26";"-";"-";"-";"-";"-"
"361004";"361004";"44";"8";"2";"826";"716";"11";"3";"702";"340";"24";"104";"15";"28";"3";"109";"55";"24";"-";"-";"-";"-";"-"
"361005";"361005";"44";"8";"2";"288";"256";"0";"1";"255";"70";"12";"24";"12";"16";"1";"84";"29";"7";"-";"-";"-";"-";"-"
"361006";"361006";"44";"8";"2";"459";"382";"2";"0";"380";"113";"17";"41";"9";"35";"2";"127";"27";"9";"-";"-";"-";"-";"-"
"363001";"363001";"46";"8";"2";"4765";"4014";"32";"16";"3966";"1865";"141";"642";"97";"260";"30";"636";"177";"118";"-";"-";"-";"-";"-"
"363002";"363002";"46";"8";"2";"58";"56";"1";"0";"55";"13";"0";"6";"1";"4";"4";"16";"7";"4";"-";"-";"-";"-";"-"
"363003";"363003";"46";"8";"2";"904";"738";"2";"1";"735";"364";"29";"89";"13";"51";"3";"127";"39";"20";"-";"-";"-";"-";"-"
"363004";"363004";"46";"8";"2";"402";"352";"0";"0";"352";"156";"7";"42";"1";"25";"9";"87";"15";"10";"-";"-";"-";"-";"-"
"363005";"363005";"46";"8";"2";"852";"770";"2";"2";"766";"384";"41";"87";"15";"39";"4";"125";"50";"21";"-";"-";"-";"-";"-"
"363007";"363007";"46";"8";"2";"905";"773";"6";"1";"766";"306";"28";"92";"18";"53";"7";"189";"42";"31";"-";"-";"-";"-";"-"
"363106";"363106";"46";"8";"2";"769";"649";"9";"3";"637";"269";"12";"80";"20";"41";"3";"159";"36";"17";"-";"-";"-";"-";"-"
"363107";"363107";"46";"8";"2";"372";"290";"3";"1";"286";"136";"10";"22";"7";"14";"4";"61";"24";"8";"-";"-";"-";"-";"-"
"365001";"365001";"44";"8";"2";"2606";"2172";"25";"4";"2143";"862";"115";"354";"57";"138";"10";"426";"110";"71";"-";"-";"-";"-";"-"
"365002";"365002";"44";"8";"2";"733";"654";"10";"2";"642";"197";"32";"97";"18";"57";"6";"143";"55";"37";"-";"-";"-";"-";"-"
"365003";"365003";"44";"8";"2";"1155";"952";"9";"3";"940";"268";"60";"120";"18";"61";"5";"243";"111";"54";"-";"-";"-";"-";"-"
"365004";"365004";"44";"8";"2";"823";"672";"8";"2";"662";"209";"38";"59";"22";"53";"1";"219";"30";"31";"-";"-";"-";"-";"-"
"365005";"365005";"44";"8";"2";"898";"752";"10";"1";"741";"222";"46";"105";"12";"54";"5";"230";"42";"25";"-";"-";"-";"-";"-"
"365006";"365006";"44";"8";"2";"1612";"1346";"12";"9";"1325";"629";"67";"133";"25";"70";"6";"281";"77";"37";"-";"-";"-";"-";"-"
"365007";"365007";"44";"8";"2";"1206";"1031";"11";"3";"1017";"297";"67";"108";"31";"93";"10";"274";"65";"72";"-";"-";"-";"-";"-"
"367001";"367001";"45";"8";"2";"2756";"2172";"16";"13";"2143";"1106";"63";"298";"52";"182";"27";"259";"93";"63";"-";"-";"-";"-";"-"
"367002";"367002";"45";"8";"2";"3351";"2766";"27";"9";"2730";"1717";"47";"216";"38";"253";"22";"268";"122";"47";"-";"-";"-";"-";"-"
"367003";"367003";"45";"8";"2";"3264";"2846";"21";"15";"2810";"1597";"93";"329";"55";"270";"20";"276";"115";"55";"-";"-";"-";"-";"-"
"367004";"367004";"45";"8";"2";"1688";"1460";"11";"6";"1443";"828";"28";"147";"29";"133";"7";"153";"83";"35";"-";"-";"-";"-";"-"
"367005";"367005";"45";"8";"2";"857";"731";"5";"3";"723";"467";"21";"62";"17";"69";"3";"37";"33";"14";"-";"-";"-";"-";"-"
"367006";"367006";"45";"8";"2";"387";"334";"2";"1";"331";"188";"7";"25";"8";"25";"4";"45";"24";"5";"-";"-";"-";"-";"-"
"369001";"369001";"47";"8";"2";"2177";"1714";"17";"7";"1690";"567";"69";"335";"40";"150";"31";"325";"90";"83";"-";"-";"-";"-";"-"
"369002";"369002";"47";"8";"2";"3198";"2625";"22";"7";"2596";"1196";"83";"340";"69";"240";"36";"402";"130";"100";"-";"-";"-";"-";"-"
"369003";"369003";"47";"8";"2";"3452";"2914";"29";"4";"2881";"1353";"97";"432";"87";"160";"48";"483";"158";"63";"-";"-";"-";"-";"-"
"369004";"369004";"47";"8";"2";"2018";"1610";"16";"6";"1588";"712";"53";"252";"30";"129";"21";"250";"90";"51";"-";"-";"-";"-";"-"
"369005";"369005";"47";"8";"2";"2224";"1870";"16";"5";"1849";"821";"79";"351";"55";"148";"14";"248";"78";"55";"-";"-";"-";"-";"-"
"369006";"369006";"47";"8";"2";"647";"567";"8";"2";"557";"228";"16";"49";"18";"45";"4";"144";"39";"14";"-";"-";"-";"-";"-"
"369007";"369007";"47";"8";"2";"1252";"1111";"14";"5";"1092";"507";"26";"131";"27";"88";"13";"195";"69";"36";"-";"-";"-";"-";"-"
"369008";"369008";"47";"8";"2";"798";"700";"8";"2";"690";"264";"33";"84";"18";"42";"10";"175";"46";"18";"-";"-";"-";"-";"-"
"369009";"369009";"47";"8";"2";"971";"824";"14";"1";"809";"305";"42";"62";"19";"56";"5";"217";"80";"23";"-";"-";"-";"-";"-"
"369010";"369010";"47";"8";"2";"507";"448";"3";"0";"445";"206";"10";"37";"15";"34";"2";"77";"60";"4";"-";"-";"-";"-";"-"
"369011";"369011";"47";"8";"2";"2752";"2448";"15";"7";"2426";"912";"96";"444";"73";"171";"22";"534";"126";"48";"-";"-";"-";"-";"-"
"371001";"371001";"46";"8";"2";"1646";"1385";"10";"5";"1370";"533";"58";"219";"31";"67";"12";"315";"96";"39";"-";"-";"-";"-";"-"
"371002";"371002";"46";"8";"2";"1084";"952";"14";"2";"936";"383";"53";"106";"35";"42";"12";"220";"70";"15";"-";"-";"-";"-";"-"
"371003";"371003";"46";"8";"2";"800";"667";"5";"0";"662";"232";"45";"55";"17";"33";"2";"211";"53";"14";"-";"-";"-";"-";"-"
"371004";"371004";"46";"8";"2";"857";"722";"7";"3";"712";"254";"26";"80";"26";"41";"5";"190";"75";"15";"-";"-";"-";"-";"-"
"373020";"373020";"43";"8";"2";"2764";"2411";"20";"5";"2386";"1048";"81";"495";"55";"129";"35";"404";"104";"35";"-";"-";"-";"-";"-"
"373021";"373021";"43";"8";"2";"2790";"2216";"7";"13";"2196";"749";"89";"476";"43";"170";"37";"453";"94";"85";"-";"-";"-";"-";"-"
"373022";"373022";"43";"8";"2";"4334";"3501";"19";"10";"3472";"1569";"115";"579";"77";"280";"52";"513";"156";"131";"-";"-";"-";"-";"-"
"373023";"373023";"43";"8";"2";"4667";"3873";"24";"8";"3841";"1537";"157";"782";"107";"294";"80";"619";"151";"114";"-";"-";"-";"-";"-"
"373024";"373024";"43";"8";"2";"3240";"2714";"11";"6";"2697";"1264";"91";"460";"64";"176";"36";"385";"133";"88";"-";"-";"-";"-";"-"
"373025";"373025";"43";"8";"2";"2723";"2280";"15";"3";"2262";"1098";"80";"376";"67";"111";"21";"355";"95";"59";"-";"-";"-";"-";"-"
"373026";"373026";"43";"8";"2";"2825";"2526";"16";"7";"2503";"780";"133";"675";"83";"143";"25";"530";"86";"48";"-";"-";"-";"-";"-"
"373027";"373027";"43";"8";"2";"2848";"2425";"11";"6";"2408";"859";"101";"569";"74";"114";"57";"464";"123";"47";"-";"-";"-";"-";"-"
"373028";"373028";"43";"8";"2";"3898";"3090";"24";"19";"3047";"1482";"91";"504";"101";"196";"45";"413";"143";"72";"-";"-";"-";"-";"-"
"373029";"373029";"43";"8";"2";"645";"575";"1";"0";"574";"226";"22";"109";"7";"36";"5";"127";"31";"11";"-";"-";"-";"-";"-"
"373030";"373030";"43";"8";"2";"561";"516";"4";"2";"510";"130";"21";"114";"21";"38";"10";"134";"28";"14";"-";"-";"-";"-";"-"
"373031";"373031";"43";"8";"2";"614";"516";"3";"2";"511";"204";"10";"74";"12";"25";"5";"130";"30";"21";"-";"-";"-";"-";"-"
"373032";"373032";"43";"8";"2";"1650";"1422";"6";"4";"1412";"462";"71";"316";"32";"90";"26";"308";"63";"44";"-";"-";"-";"-";"-"
"373033";"373033";"43";"8";"2";"462";"395";"4";"2";"389";"109";"8";"43";"14";"26";"4";"155";"24";"6";"-";"-";"-";"-";"-"
"373034";"373034";"43";"8";"2";"412";"369";"3";"0";"366";"117";"9";"68";"8";"19";"3";"111";"23";"8";"-";"-";"-";"-";"-"
"373035";"373035";"43";"8";"2";"1507";"1377";"5";"3";"1369";"431";"73";"343";"63";"61";"22";"271";"76";"29";"-";"-";"-";"-";"-"
"375001";"375001";"47";"8";"2";"488";"398";"3";"2";"393";"134";"20";"38";"11";"24";"2";"133";"16";"15";"-";"-";"-";"-";"-"
"375002";"375002";"47";"8";"2";"1086";"907";"7";"4";"896";"344";"29";"96";"29";"48";"7";"225";"92";"26";"-";"-";"-";"-";"-"
"375003";"375003";"47";"8";"2";"2156";"1839";"19";"5";"1815";"728";"97";"222";"43";"98";"9";"472";"112";"34";"-";"-";"-";"-";"-"
"375005";"375005";"47";"8";"2";"480";"411";"2";"2";"407";"162";"14";"34";"10";"33";"2";"109";"34";"9";"-";"-";"-";"-";"-"
"375006";"375006";"47";"8";"2";"547";"447";"1";"1";"445";"171";"18";"31";"4";"27";"5";"142";"31";"16";"-";"-";"-";"-";"-"
"375007";"375007";"47";"8";"2";"367";"329";"4";"1";"324";"112";"23";"26";"6";"14";"2";"106";"25";"10";"-";"-";"-";"-";"-"
"375008";"375008";"47";"8";"2";"623";"525";"4";"0";"521";"218";"24";"63";"11";"25";"6";"111";"50";"13";"-";"-";"-";"-";"-"
"375009";"375009";"47";"8";"2";"682";"582";"6";"0";"576";"261";"31";"60";"16";"25";"7";"110";"57";"9";"-";"-";"-";"-";"-"
"375010";"375010";"47";"8";"2";"1053";"891";"11";"3";"877";"386";"52";"87";"21";"54";"6";"179";"68";"24";"-";"-";"-";"-";"-"
"377001";"377001";"42";"8";"2";"3458";"2902";"25";"4";"2873";"1091";"110";"493";"82";"211";"14";"631";"133";"108";"-";"-";"-";"-";"-"
"377002";"377002";"42";"8";"2";"604";"534";"7";"0";"527";"176";"34";"61";"19";"40";"0";"136";"25";"36";"-";"-";"-";"-";"-"
"377003";"377003";"42";"8";"2";"633";"542";"4";"1";"537";"163";"25";"70";"14";"57";"8";"146";"24";"30";"-";"-";"-";"-";"-"
"377004";"377004";"42";"8";"2";"924";"787";"7";"2";"778";"275";"27";"111";"17";"42";"7";"219";"55";"25";"-";"-";"-";"-";"-"
"379001";"379001";"45";"8";"2";"608";"511";"3";"2";"506";"216";"18";"58";"12";"22";"1";"130";"34";"15";"-";"-";"-";"-";"-"
"379002";"379002";"45";"8";"2";"528";"445";"2";"4";"439";"148";"25";"70";"8";"20";"8";"104";"40";"16";"-";"-";"-";"-";"-"
"379003";"379003";"45";"8";"2";"176";"148";"1";"0";"147";"46";"5";"15";"2";"7";"0";"59";"6";"7";"-";"-";"-";"-";"-"
"379005";"379005";"45";"8";"2";"1539";"1281";"7";"2";"1272";"624";"39";"137";"16";"86";"4";"239";"98";"29";"-";"-";"-";"-";"-"
"379007";"379007";"45";"8";"2";"416";"347";"1";"0";"346";"152";"14";"43";"5";"13";"0";"76";"32";"11";"-";"-";"-";"-";"-"
"379008";"379008";"45";"8";"2";"759";"645";"6";"1";"638";"296";"36";"85";"8";"31";"5";"119";"38";"20";"-";"-";"-";"-";"-"
"379009";"379009";"45";"8";"2";"583";"493";"3";"0";"490";"251";"15";"30";"8";"30";"0";"106";"38";"12";"-";"-";"-";"-";"-"
"379010";"379010";"45";"8";"2";"240";"205";"2";"0";"203";"90";"4";"16";"4";"9";"3";"44";"17";"16";"-";"-";"-";"-";"-"
"381001";"381001";"45";"8";"2";"370";"320";"3";"2";"315";"149";"6";"27";"2";"18";"5";"80";"16";"12";"-";"-";"-";"-";"-"
"381002";"381002";"45";"8";"2";"366";"319";"1";"1";"317";"123";"15";"62";"5";"8";"3";"64";"26";"11";"-";"-";"-";"-";"-"
"381003";"381003";"45";"8";"2";"500";"409";"8";"0";"401";"191";"17";"42";"11";"21";"2";"80";"26";"11";"-";"-";"-";"-";"-"
"381004";"381004";"45";"8";"2";"539";"440";"7";"0";"433";"211";"12";"42";"7";"20";"2";"112";"22";"5";"-";"-";"-";"-";"-"
"381005";"381005";"45";"8";"2";"1104";"929";"7";"4";"918";"399";"17";"112";"20";"44";"6";"224";"80";"16";"-";"-";"-";"-";"-"
"383001";"383001";"46";"8";"2";"2671";"2220";"19";"8";"2193";"939";"82";"271";"64";"151";"13";"480";"138";"55";"-";"-";"-";"-";"-"
"383002";"383002";"46";"8";"2";"1772";"1401";"13";"11";"1377";"724";"36";"151";"27";"111";"5";"187";"102";"34";"-";"-";"-";"-";"-"
"383003";"383003";"46";"8";"2";"1026";"868";"12";"2";"854";"343";"22";"84";"20";"62";"22";"237";"36";"28";"-";"-";"-";"-";"-"
"385001";"385001";"42";"8";"2";"2491";"2172";"30";"4";"2138";"646";"102";"299";"88";"117";"25";"664";"145";"52";"-";"-";"-";"-";"-"
"385002";"385002";"42";"8";"2";"2573";"2225";"33";"6";"2186";"753";"110";"339";"79";"125";"10";"578";"135";"57";"-";"-";"-";"-";"-"
"387001";"387001";"46";"8";"2";"3958";"3325";"30";"13";"3282";"1719";"97";"412";"64";"185";"25";"543";"170";"67";"-";"-";"-";"-";"-"
"387002";"387002";"46";"8";"2";"919";"770";"5";"1";"764";"319";"24";"120";"15";"41";"8";"150";"69";"18";"-";"-";"-";"-";"-"
"387003";"387003";"46";"8";"2";"685";"587";"7";"0";"580";"253";"12";"59";"14";"29";"6";"159";"40";"8";"-";"-";"-";"-";"-"
"387005";"387005";"46";"8";"2";"592";"488";"4";"0";"484";"210";"16";"45";"3";"24";"5";"137";"31";"13";"-";"-";"-";"-";"-"
"387006";"387006";"46";"8";"2";"593";"507";"4";"1";"502";"188";"17";"49";"14";"36";"2";"148";"34";"14";"-";"-";"-";"-";"-"
"387007";"387007";"46";"8";"2";"623";"543";"4";"1";"538";"202";"20";"70";"10";"30";"2";"162";"26";"16";"-";"-";"-";"-";"-"
"389001";"389001";"42";"8";"2";"3693";"3131";"27";"12";"3092";"1188";"122";"518";"114";"171";"22";"681";"176";"100";"-";"-";"-";"-";"-"
"389002";"389002";"42";"8";"2";"1888";"1671";"19";"4";"1648";"569";"55";"290";"48";"99";"10";"357";"150";"70";"-";"-";"-";"-";"-"
"389003";"389003";"42";"8";"2";"921";"796";"5";"0";"791";"233";"24";"105";"49";"48";"10";"238";"49";"35";"-";"-";"-";"-";"-"
"389004";"389004";"42";"8";"2";"993";"851";"8";"2";"841";"285";"35";"136";"21";"74";"4";"209";"57";"20";"-";"-";"-";"-";"-"
"389005";"389005";"42";"8";"2";"921";"804";"9";"1";"794";"232";"41";"115";"36";"58";"3";"222";"57";"30";"-";"-";"-";"-";"-"
"391001";"391001";"47";"8";"2";"2753";"2381";"20";"4";"2357";"1027";"76";"322";"53";"139";"22";"491";"158";"69";"-";"-";"-";"-";"-"
"391004";"391004";"47";"8";"2";"1012";"856";"11";"0";"845";"312";"41";"96";"16";"57";"12";"213";"72";"26";"-";"-";"-";"-";"-"
"391005";"391005";"47";"8";"2";"1629";"1425";"19";"4";"1402";"542";"58";"146";"48";"111";"8";"366";"80";"43";"-";"-";"-";"-";"-"
"393001";"393001";"43";"8";"2";"2110";"1824";"9";"2";"1813";"739";"52";"231";"59";"120";"18";"438";"87";"69";"-";"-";"-";"-";"-"
"393002";"393002";"43";"8";"2";"441";"378";"3";"1";"374";"120";"10";"53";"21";"19";"4";"117";"18";"12";"-";"-";"-";"-";"-"
"393003";"393003";"43";"8";"2";"501";"450";"3";"1";"446";"139";"18";"70";"14";"21";"4";"140";"32";"8";"-";"-";"-";"-";"-"
"393004";"393004";"43";"8";"2";"2272";"1912";"14";"5";"1893";"834";"69";"240";"67";"81";"13";"433";"100";"56";"-";"-";"-";"-";"-"
"393005";"393005";"43";"8";"2";"728";"655";"6";"0";"649";"206";"27";"85";"22";"41";"2";"203";"38";"25";"-";"-";"-";"-";"-"
"395001";"395001";"47";"8";"2";"1629";"1402";"19";"8";"1375";"478";"56";"228";"37";"84";"4";"382";"76";"30";"-";"-";"-";"-";"-"
"395002";"395002";"47";"8";"2";"2321";"2060";"17";"5";"2038";"681";"82";"407";"56";"95";"12";"534";"128";"43";"-";"-";"-";"-";"-"
"395003";"395003";"47";"8";"2";"354";"297";"3";"1";"293";"96";"8";"32";"2";"20";"1";"99";"25";"10";"-";"-";"-";"-";"-"
"395004";"395004";"47";"8";"2";"1104";"928";"5";"1";"922";"396";"29";"111";"18";"70";"9";"151";"87";"51";"-";"-";"-";"-";"-"
"397001";"397001";"44";"8";"2";"4313";"3596";"31";"17";"3548";"1472";"190";"623";"139";"234";"22";"618";"146";"104";"-";"-";"-";"-";"-"
"397002";"397002";"44";"8";"2";"3017";"2531";"19";"2";"2510";"1304";"113";"307";"49";"163";"16";"367";"104";"87";"-";"-";"-";"-";"-"
"397003";"397003";"44";"8";"2";"1905";"1650";"9";"3";"1638";"553";"109";"295";"55";"113";"10";"387";"54";"62";"-";"-";"-";"-";"-"
"397004";"397004";"44";"8";"2";"2012";"1728";"10";"4";"1714";"770";"78";"227";"54";"97";"10";"323";"98";"57";"-";"-";"-";"-";"-"
"397005";"397005";"44";"8";"2";"730";"609";"7";"0";"602";"226";"18";"117";"25";"40";"3";"112";"40";"21";"-";"-";"-";"-";"-"
"397006";"397006";"44";"8";"2";"988";"812";"2";"3";"807";"275";"35";"138";"19";"49";"10";"183";"58";"40";"-";"-";"-";"-";"-"
"397007";"397007";"44";"8";"2";"172";"146";"0";"0";"146";"38";"2";"33";"0";"11";"0";"38";"16";"8";"-";"-";"-";"-";"-"
"397008";"397008";"44";"8";"2";"744";"584";"9";"3";"572";"213";"29";"49";"22";"41";"8";"139";"49";"22";"-";"-";"-";"-";"-"
"397009";"397009";"44";"8";"2";"1550";"1300";"12";"4";"1284";"554";"59";"166";"37";"53";"10";"292";"75";"38";"-";"-";"-";"-";"-"
"397010";"397010";"44";"8";"2";"265";"220";"3";"0";"217";"73";"8";"24";"6";"15";"2";"61";"15";"13";"-";"-";"-";"-";"-"
"401001";"401001";"49";"9";"2";"1577";"1289";"12";"2";"1275";"493";"33";"70";"28";"77";"36";"342";"99";"47";"50";"-";"-";"-";"-"
"401002";"401002";"49";"9";"2";"1269";"1040";"11";"2";"1027";"326";"31";"68";"14";"48";"82";"312";"85";"38";"23";"-";"-";"-";"-"
"401003";"401003";"49";"9";"2";"425";"354";"3";"2";"349";"95";"13";"21";"7";"22";"4";"123";"34";"20";"10";"-";"-";"-";"-"
"401004";"401004";"49";"9";"2";"731";"627";"5";"1";"621";"156";"15";"55";"11";"27";"40";"236";"47";"19";"15";"-";"-";"-";"-"
"401005";"401005";"49";"9";"2";"685";"572";"10";"6";"556";"195";"23";"57";"8";"39";"24";"142";"32";"23";"13";"-";"-";"-";"-"
"401006";"401006";"49";"9";"2";"1338";"1127";"6";"5";"1116";"303";"42";"60";"24";"58";"104";"371";"87";"49";"18";"-";"-";"-";"-"
"403001";"403001";"48";"9";"2";"1554";"1283";"28";"5";"1250";"585";"18";"111";"30";"67";"56";"260";"87";"20";"16";"-";"-";"-";"-"
"403002";"403002";"48";"9";"2";"1442";"1242";"18";"1";"1223";"389";"30";"83";"40";"54";"66";"408";"107";"34";"12";"-";"-";"-";"-"
"403003";"403003";"48";"9";"2";"1378";"1193";"20";"1";"1172";"485";"36";"89";"33";"43";"74";"299";"76";"21";"16";"-";"-";"-";"-"
"403005";"403005";"48";"9";"2";"569";"500";"10";"0";"490";"175";"17";"37";"12";"18";"14";"148";"34";"27";"8";"-";"-";"-";"-"
"405001";"405001";"49";"9";"2";"2933";"2269";"25";"8";"2236";"942";"68";"134";"77";"80";"111";"612";"144";"35";"33";"-";"-";"-";"-"
"405002";"405002";"49";"9";"2";"1127";"939";"5";"2";"932";"314";"34";"71";"25";"83";"33";"242";"48";"58";"24";"-";"-";"-";"-"
