"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2007 - Stemmeberettigede";"FV2007 - Afgivne stemmer";"FV2007 - Blanke stemmer";"FV2007 - Andre ugyldige stemmer";"FV2007 - Gyldige stemmer";"FV2007 - A. Socialdemokratiet";"FV2007 - B. Det Radikale Venstre";"FV2007 - C. Det Konservative Folkeparti";"FV2007 - F. SF - Socialistisk Folkeparti";"FV2007 - K. Kristendemokraterne";"FV2007 - O. Dansk Folkeparti";"FV2007 - V. Venstre, Danmarks Liberale Parti";"FV2007 - Y. Ny Alliance";"FV2007 - Ø. Enhedslisten - De Rød-Grønne";"FV2007 - 1. Uden for partierne";"FV2007 - 2. Uden for partierne";"FV2007 - 3. Uden for partierne";"FV2007 - 4. Uden for partierne";"FV2007 - 5. Uden for partierne"
"329014";"329014";"39";"5";"2";"672";"583";"0";"3";"580";"136";"13";"44";"66";"2";"127";"180";"8";"4";"-";"-";"-";"-";"-"
"330001";"330001";"40";"5";"2";"1319";"1113";"3";"0";"1110";"257";"35";"68";"116";"3";"237";"346";"37";"11";"-";"-";"-";"-";"-"
"330002";"330002";"40";"5";"2";"1184";"1034";"5";"1";"1028";"196";"36";"72";"145";"1";"210";"329";"23";"16";"-";"-";"-";"-";"-"
"330003";"330003";"40";"5";"2";"1133";"1018";"7";"2";"1009";"212";"29";"75";"99";"2";"173";"375";"35";"9";"-";"-";"-";"-";"-"
"330004";"330004";"40";"5";"2";"1435";"1277";"4";"4";"1269";"307";"36";"74";"113";"4";"236";"450";"40";"9";"-";"-";"-";"-";"-"
"330005";"330005";"40";"5";"2";"5936";"5074";"19";"7";"5048";"1608";"102";"361";"595";"22";"1033";"1162";"98";"67";"-";"-";"-";"-";"-"
"330006";"330006";"40";"5";"2";"5570";"4501";"17";"5";"4479";"1520";"90";"262";"658";"11";"1002";"788";"73";"75";"-";"-";"-";"-";"-"
"330007";"330007";"40";"5";"2";"1878";"1700";"6";"2";"1692";"500";"35";"106";"183";"9";"353";"472";"24";"10";"-";"-";"-";"-";"-"
"330008";"330008";"40";"5";"2";"2519";"2248";"7";"4";"2237";"477";"55";"147";"199";"4";"528";"759";"55";"13";"-";"-";"-";"-";"-"
"330009";"330009";"40";"5";"2";"4483";"3725";"16";"3";"3706";"1045";"148";"277";"480";"21";"691";"880";"106";"58";"-";"-";"-";"-";"-"
"330010";"330010";"40";"5";"2";"1351";"1180";"4";"0";"1176";"243";"40";"70";"152";"4";"233";"364";"41";"29";"-";"-";"-";"-";"-"
"330011";"330011";"40";"5";"2";"2970";"2517";"13";"4";"2500";"558";"96";"193";"339";"11";"445";"751";"63";"44";"-";"-";"-";"-";"-"
"330012";"330012";"40";"5";"2";"187";"162";"1";"1";"160";"36";"6";"12";"17";"1";"44";"40";"2";"2";"-";"-";"-";"-";"-"
"330013";"330013";"40";"5";"2";"1024";"898";"3";"0";"895";"153";"17";"72";"91";"2";"207";"322";"27";"4";"-";"-";"-";"-";"-"
"330014";"330014";"40";"5";"2";"362";"313";"1";"0";"312";"56";"14";"25";"38";"1";"62";"103";"9";"4";"-";"-";"-";"-";"-"
"330015";"330015";"40";"5";"2";"2086";"1756";"5";"6";"1745";"471";"37";"114";"215";"4";"347";"501";"43";"13";"-";"-";"-";"-";"-"
"330016";"330016";"40";"5";"2";"420";"370";"2";"0";"368";"73";"11";"24";"33";"1";"103";"103";"7";"13";"-";"-";"-";"-";"-"
"330017";"330017";"40";"5";"2";"150";"134";"0";"0";"134";"29";"2";"4";"22";"0";"36";"28";"6";"7";"-";"-";"-";"-";"-"
"330018";"330018";"40";"5";"2";"547";"500";"2";"1";"497";"85";"14";"52";"48";"0";"116";"159";"14";"9";"-";"-";"-";"-";"-"
"330019";"330019";"40";"5";"2";"5066";"3874";"23";"8";"3843";"986";"130";"377";"558";"17";"667";"943";"109";"56";"-";"-";"-";"-";"-"
"330020";"330020";"40";"5";"2";"4247";"3589";"12";"15";"3562";"939";"96";"316";"395";"12";"633";"1025";"98";"48";"-";"-";"-";"-";"-"
"330021";"330021";"40";"5";"2";"4724";"4127";"18";"8";"4101";"1065";"144";"375";"441";"10";"768";"1160";"98";"40";"-";"-";"-";"-";"-"
"330022";"330022";"40";"5";"2";"5581";"4501";"23";"5";"4473";"1229";"130";"318";"590";"27";"846";"1146";"96";"91";"-";"-";"-";"-";"-"
"330023";"330023";"40";"5";"2";"696";"598";"0";"0";"598";"99";"19";"73";"57";"1";"125";"209";"13";"2";"-";"-";"-";"-";"-"
"330024";"330024";"40";"5";"2";"691";"632";"4";"0";"628";"118";"23";"70";"51";"3";"112";"234";"13";"4";"-";"-";"-";"-";"-"
"330025";"330025";"40";"5";"2";"1784";"1576";"4";"1";"1571";"299";"50";"112";"150";"8";"356";"554";"29";"13";"-";"-";"-";"-";"-"
"330026";"330026";"40";"5";"2";"440";"405";"3";"1";"401";"72";"7";"33";"49";"3";"91";"132";"7";"7";"-";"-";"-";"-";"-"
"336001";"336001";"33";"5";"2";"3368";"2971";"13";"6";"2952";"732";"107";"261";"305";"14";"513";"891";"89";"40";"-";"-";"-";"-";"-"
"336002";"336002";"33";"5";"2";"4464";"4044";"7";"5";"4032";"839";"136";"394";"414";"16";"769";"1313";"119";"32";"-";"-";"-";"-";"-"
"336003";"336003";"33";"5";"2";"889";"800";"4";"0";"796";"177";"35";"73";"103";"0";"143";"229";"22";"14";"-";"-";"-";"-";"-"
"336004";"336004";"33";"5";"2";"1017";"881";"4";"0";"877";"229";"30";"52";"117";"4";"153";"247";"31";"14";"-";"-";"-";"-";"-"
"336005";"336005";"33";"5";"2";"891";"816";"7";"1";"808";"180";"21";"83";"93";"0";"124";"279";"14";"14";"-";"-";"-";"-";"-"
"336006";"336006";"33";"5";"2";"3902";"3340";"21";"9";"3310";"929";"123";"350";"371";"5";"494";"908";"85";"45";"-";"-";"-";"-";"-"
"336007";"336007";"33";"5";"2";"2036";"1811";"4";"5";"1802";"447";"68";"162";"200";"6";"325";"509";"50";"35";"-";"-";"-";"-";"-"
"340001";"340001";"39";"5";"2";"3722";"3140";"11";"5";"3124";"765";"102";"272";"357";"52";"610";"863";"78";"25";"-";"-";"-";"-";"-"
"340002";"340002";"39";"5";"2";"1394";"1173";"9";"1";"1163";"296";"28";"90";"149";"3";"250";"311";"18";"18";"-";"-";"-";"-";"-"
"340003";"340003";"39";"5";"2";"557";"496";"3";"0";"493";"91";"17";"44";"52";"5";"117";"146";"14";"7";"-";"-";"-";"-";"-"
"340004";"340004";"39";"5";"2";"1162";"1026";"7";"1";"1018";"241";"25";"62";"100";"6";"188";"343";"32";"21";"-";"-";"-";"-";"-"
"340005";"340005";"39";"5";"2";"4084";"3552";"21";"10";"3521";"957";"209";"400";"447";"25";"394";"930";"100";"59";"-";"-";"-";"-";"-"
"340006";"340006";"39";"5";"2";"3392";"3050";"14";"3";"3033";"712";"179";"280";"438";"14";"355";"858";"114";"83";"-";"-";"-";"-";"-"
"340007";"340007";"39";"5";"2";"539";"473";"0";"1";"472";"93";"20";"39";"61";"3";"93";"141";"14";"8";"-";"-";"-";"-";"-"
"340008";"340008";"39";"5";"2";"2252";"1988";"9";"5";"1974";"501";"70";"190";"206";"7";"312";"605";"63";"20";"-";"-";"-";"-";"-"
"340009";"340009";"39";"5";"2";"820";"731";"3";"5";"723";"138";"34";"44";"72";"3";"138";"252";"30";"12";"-";"-";"-";"-";"-"
"340010";"340010";"39";"5";"2";"1881";"1611";"10";"4";"1597";"429";"32";"119";"177";"6";"327";"447";"39";"21";"-";"-";"-";"-";"-"
"340011";"340011";"39";"5";"2";"225";"213";"0";"0";"213";"38";"11";"15";"35";"3";"23";"78";"5";"5";"-";"-";"-";"-";"-"
"340012";"340012";"39";"5";"2";"976";"838";"2";"1";"835";"167";"28";"79";"86";"7";"165";"266";"23";"14";"-";"-";"-";"-";"-"
"340013";"340013";"39";"5";"2";"600";"539";"4";"0";"535";"116";"25";"37";"51";"3";"102";"168";"26";"7";"-";"-";"-";"-";"-"
"350001";"350001";"34";"5";"2";"2842";"2526";"10";"6";"2510";"571";"89";"215";"266";"10";"412";"839";"76";"32";"-";"-";"-";"-";"-"
"350002";"350002";"34";"5";"2";"1905";"1699";"6";"6";"1687";"364";"80";"113";"183";"6";"294";"571";"49";"27";"-";"-";"-";"-";"-"
"350003";"350003";"34";"5";"2";"1239";"1136";"4";"3";"1129";"232";"54";"81";"149";"5";"205";"357";"32";"14";"-";"-";"-";"-";"-"
"350004";"350004";"34";"5";"2";"1086";"1002";"6";"3";"993";"218";"46";"66";"88";"6";"161";"365";"34";"9";"-";"-";"-";"-";"-"
"350005";"350005";"34";"5";"2";"903";"817";"4";"2";"811";"167";"33";"66";"92";"3";"112";"282";"30";"26";"-";"-";"-";"-";"-"
"350006";"350006";"34";"5";"2";"3097";"2809";"16";"10";"2783";"703";"191";"242";"432";"12";"323";"694";"103";"83";"-";"-";"-";"-";"-"
"350008";"350008";"34";"5";"2";"2187";"2005";"7";"6";"1992";"460";"76";"191";"237";"4";"332";"609";"59";"24";"-";"-";"-";"-";"-"
"350009";"350009";"34";"5";"2";"2024";"1895";"6";"3";"1886";"371";"86";"210";"214";"6";"260";"650";"64";"25";"-";"-";"-";"-";"-"
"350011";"350011";"34";"5";"2";"1808";"1716";"5";"5";"1706";"326";"172";"200";"196";"7";"110";"534";"110";"51";"-";"-";"-";"-";"-"
"350012";"350012";"34";"5";"2";"2255";"2054";"12";"6";"2036";"450";"117";"196";"199";"21";"295";"649";"75";"34";"-";"-";"-";"-";"-"
"360001";"360001";"29";"5";"2";"713";"608";"2";"2";"604";"153";"6";"23";"70";"1";"134";"198";"12";"7";"-";"-";"-";"-";"-"
"360003";"360003";"29";"5";"2";"2291";"1930";"10";"7";"1913";"640";"37";"76";"262";"3";"308";"531";"35";"21";"-";"-";"-";"-";"-"
"360005";"360005";"29";"5";"2";"1114";"935";"5";"5";"925";"186";"17";"64";"234";"2";"185";"211";"13";"13";"-";"-";"-";"-";"-"
"360008";"360008";"29";"5";"2";"970";"816";"4";"2";"810";"164";"14";"39";"206";"0";"153";"211";"12";"11";"-";"-";"-";"-";"-"
"360011";"360011";"29";"5";"2";"1908";"1605";"4";"14";"1587";"425";"36";"81";"340";"3";"285";"380";"16";"21";"-";"-";"-";"-";"-"
"360013";"360013";"29";"5";"2";"5588";"4747";"19";"16";"4712";"1657";"107";"304";"611";"17";"643";"1249";"64";"60";"-";"-";"-";"-";"-"
"360014";"360014";"29";"5";"2";"54";"46";"0";"0";"46";"8";"5";"0";"6";"0";"9";"16";"0";"2";"-";"-";"-";"-";"-"
"360019";"360019";"29";"5";"2";"3028";"2502";"10";"7";"2485";"684";"38";"121";"419";"12";"439";"681";"45";"46";"-";"-";"-";"-";"-"
"360020";"360020";"29";"5";"2";"7641";"6400";"24";"25";"6351";"1206";"79";"280";"2851";"13";"950";"866";"58";"48";"-";"-";"-";"-";"-"
"360021";"360021";"29";"5";"2";"3498";"2849";"8";"17";"2824";"564";"23";"95";"1307";"1";"439";"354";"19";"22";"-";"-";"-";"-";"-"
"360026";"360026";"29";"5";"2";"549";"472";"5";"3";"464";"116";"5";"22";"108";"0";"80";"118";"7";"8";"-";"-";"-";"-";"-"
"360027";"360027";"29";"5";"2";"474";"402";"2";"1";"399";"74";"15";"18";"84";"0";"78";"111";"9";"10";"-";"-";"-";"-";"-"
"360028";"360028";"29";"5";"2";"131";"116";"1";"0";"115";"21";"3";"9";"18";"0";"19";"40";"2";"3";"-";"-";"-";"-";"-"
"360029";"360029";"29";"5";"2";"2110";"1735";"11";"6";"1718";"425";"35";"81";"411";"4";"338";"373";"26";"25";"-";"-";"-";"-";"-"
"360033";"360033";"29";"5";"2";"1131";"947";"5";"4";"938";"216";"10";"41";"247";"3";"178";"221";"10";"12";"-";"-";"-";"-";"-"
"360035";"360035";"29";"5";"2";"1485";"1250";"2";"8";"1240";"259";"23";"70";"279";"2";"261";"319";"18";"9";"-";"-";"-";"-";"-"
"360036";"360036";"29";"5";"2";"2451";"2017";"9";"6";"2002";"593";"37";"101";"267";"2";"331";"617";"29";"25";"-";"-";"-";"-";"-"
"360037";"360037";"29";"5";"2";"1563";"1194";"4";"6";"1184";"383";"21";"40";"218";"4";"253";"239";"13";"13";"-";"-";"-";"-";"-"
"360038";"360038";"29";"5";"2";"919";"776";"4";"2";"770";"166";"13";"38";"94";"9";"151";"279";"14";"6";"-";"-";"-";"-";"-"
"370001";"370001";"32";"5";"2";"3303";"2800";"9";"1";"2790";"621";"100";"247";"327";"10";"497";"868";"63";"57";"-";"-";"-";"-";"-"
"370002";"370002";"32";"5";"2";"819";"712";"3";"3";"706";"147";"22";"55";"85";"4";"130";"230";"22";"11";"-";"-";"-";"-";"-"
"370003";"370003";"32";"5";"2";"1620";"1374";"8";"4";"1362";"349";"46";"80";"145";"11";"280";"396";"43";"12";"-";"-";"-";"-";"-"
"370004";"370004";"32";"5";"2";"1817";"1614";"4";"3";"1607";"373";"64";"182";"137";"6";"225";"575";"35";"10";"-";"-";"-";"-";"-"
"370005";"370005";"32";"5";"2";"767";"682";"6";"1";"675";"140";"33";"58";"79";"3";"121";"217";"11";"13";"-";"-";"-";"-";"-"
"370006";"370006";"32";"5";"2";"1904";"1661";"9";"0";"1652";"391";"38";"157";"177";"8";"293";"540";"36";"12";"-";"-";"-";"-";"-"
"370007";"370007";"32";"5";"2";"1235";"1075";"5";"0";"1070";"222";"35";"69";"115";"8";"181";"396";"21";"23";"-";"-";"-";"-";"-"
"370008";"370008";"32";"5";"2";"3432";"3075";"10";"4";"3061";"1007";"84";"332";"330";"12";"408";"794";"68";"26";"-";"-";"-";"-";"-"
"370009";"370009";"32";"5";"2";"1092";"982";"4";"2";"976";"301";"23";"98";"85";"3";"186";"251";"20";"9";"-";"-";"-";"-";"-"
"370010";"370010";"32";"5";"2";"1250";"1105";"8";"2";"1095";"254";"37";"100";"145";"3";"186";"330";"23";"17";"-";"-";"-";"-";"-"
"370011";"370011";"32";"5";"2";"2380";"2149";"10";"6";"2133";"636";"67";"180";"269";"8";"315";"564";"58";"36";"-";"-";"-";"-";"-"
"370012";"370012";"32";"5";"2";"458";"411";"1";"1";"409";"76";"15";"33";"41";"0";"81";"143";"13";"7";"-";"-";"-";"-";"-"
"370013";"370013";"32";"5";"2";"514";"452";"4";"2";"446";"93";"8";"42";"42";"1";"80";"164";"10";"6";"-";"-";"-";"-";"-"
"370014";"370014";"32";"5";"2";"2429";"2131";"14";"6";"2111";"568";"64";"185";"198";"5";"377";"644";"43";"27";"-";"-";"-";"-";"-"
"370020";"370020";"32";"5";"2";"3022";"2652";"14";"11";"2627";"875";"85";"318";"256";"18";"349";"621";"85";"20";"-";"-";"-";"-";"-"
"370021";"370021";"32";"5";"2";"2887";"2343";"17";"3";"2323";"665";"96";"241";"329";"8";"338";"537";"80";"29";"-";"-";"-";"-";"-"
"370022";"370022";"32";"5";"2";"4266";"3448";"19";"10";"3419";"1236";"119";"248";"542";"11";"567";"555";"76";"65";"-";"-";"-";"-";"-"
"370023";"370023";"32";"5";"2";"4614";"3946";"18";"1";"3927";"1317";"157";"396";"519";"13";"560";"822";"89";"54";"-";"-";"-";"-";"-"
"370024";"370024";"32";"5";"2";"3333";"2876";"7";"3";"2866";"1083";"82";"206";"365";"15";"514";"510";"52";"39";"-";"-";"-";"-";"-"
"370025";"370025";"32";"5";"2";"2805";"2431";"8";"5";"2418";"920";"64";"189";"279";"12";"391";"467";"61";"35";"-";"-";"-";"-";"-"
"370026";"370026";"32";"5";"2";"2655";"2409";"10";"3";"2396";"629";"126";"354";"233";"11";"279";"659";"81";"24";"-";"-";"-";"-";"-"
"370027";"370027";"32";"5";"2";"3963";"3490";"15";"3";"3472";"947";"130";"442";"294";"17";"531";"982";"104";"25";"-";"-";"-";"-";"-"
"370028";"370028";"32";"5";"2";"3826";"3076";"17";"25";"3034";"1125";"90";"236";"382";"27";"497";"581";"57";"39";"-";"-";"-";"-";"-"
"370029";"370029";"32";"5";"2";"652";"603";"1";"0";"602";"168";"16";"56";"78";"2";"101";"157";"16";"8";"-";"-";"-";"-";"-"
"370030";"370030";"32";"5";"2";"567";"521";"2";"0";"519";"106";"20";"73";"60";"5";"53";"170";"20";"12";"-";"-";"-";"-";"-"
"370031";"370031";"32";"5";"2";"582";"514";"3";"0";"511";"123";"15";"56";"69";"1";"84";"144";"10";"9";"-";"-";"-";"-";"-"
"370032";"370032";"32";"5";"2";"1950";"1789";"3";"5";"1781";"415";"72";"218";"202";"2";"305";"509";"41";"17";"-";"-";"-";"-";"-"
"370033";"370033";"32";"5";"2";"451";"384";"2";"0";"382";"77";"10";"32";"36";"2";"72";"137";"11";"5";"-";"-";"-";"-";"-"
"370034";"370034";"32";"5";"2";"453";"408";"2";"2";"404";"96";"13";"35";"46";"1";"62";"138";"6";"7";"-";"-";"-";"-";"-"
"370035";"370035";"32";"5";"2";"1608";"1433";"5";"2";"1426";"379";"57";"192";"147";"2";"242";"329";"58";"20";"-";"-";"-";"-";"-"
"376001";"376001";"30";"5";"2";"3487";"2710";"18";"11";"2681";"827";"106";"221";"463";"16";"386";"525";"70";"67";"-";"-";"-";"-";"-"
"376002";"376002";"30";"5";"2";"3098";"2636";"27";"11";"2598";"904";"106";"185";"392";"15";"371";"522";"42";"61";"-";"-";"-";"-";"-"
"376003";"376003";"30";"5";"2";"3273";"2788";"11";"15";"2762";"983";"71";"258";"329";"6";"430";"591";"47";"47";"-";"-";"-";"-";"-"
"376004";"376004";"30";"5";"2";"3112";"2615";"14";"10";"2591";"905";"95";"222";"388";"19";"350";"517";"63";"32";"-";"-";"-";"-";"-"
"376005";"376005";"30";"5";"2";"2709";"2398";"13";"3";"2382";"747";"77";"163";"302";"11";"402";"615";"39";"26";"-";"-";"-";"-";"-"
"376006";"376006";"30";"5";"2";"1408";"1179";"7";"5";"1167";"334";"43";"57";"143";"6";"222";"325";"26";"11";"-";"-";"-";"-";"-"
"376007";"376007";"30";"5";"2";"2698";"2449";"10";"13";"2426";"744";"70";"217";"282";"19";"343";"649";"67";"35";"-";"-";"-";"-";"-"
"376008";"376008";"30";"5";"2";"2601";"2291";"7";"7";"2277";"713";"64";"153";"253";"7";"393";"624";"48";"22";"-";"-";"-";"-";"-"
"376009";"376009";"30";"5";"2";"1553";"1340";"5";"3";"1332";"347";"27";"60";"138";"2";"254";"463";"18";"23";"-";"-";"-";"-";"-"
"376010";"376010";"30";"5";"2";"3220";"2744";"21";"11";"2712";"769";"105";"125";"338";"6";"455";"820";"60";"34";"-";"-";"-";"-";"-"
"376011";"376011";"30";"5";"2";"1790";"1512";"5";"6";"1501";"389";"45";"87";"192";"7";"323";"392";"45";"21";"-";"-";"-";"-";"-"
"376012";"376012";"30";"5";"2";"2386";"2088";"7";"8";"2073";"604";"61";"124";"260";"4";"390";"571";"32";"27";"-";"-";"-";"-";"-"
"376013";"376013";"30";"5";"2";"3853";"3228";"20";"10";"3198";"1210";"77";"190";"364";"7";"451";"823";"53";"23";"-";"-";"-";"-";"-"
"376014";"376014";"30";"5";"2";"2061";"1712";"6";"7";"1699";"443";"46";"110";"170";"5";"332";"530";"41";"22";"-";"-";"-";"-";"-"
"376015";"376015";"30";"5";"2";"1157";"992";"5";"2";"985";"296";"21";"55";"102";"2";"182";"298";"19";"10";"-";"-";"-";"-";"-"
"376016";"376016";"30";"5";"2";"2771";"2348";"15";"3";"2330";"709";"73";"165";"296";"10";"424";"568";"40";"45";"-";"-";"-";"-";"-"
"376017";"376017";"30";"5";"2";"2479";"2175";"10";"7";"2158";"604";"80";"128";"294";"8";"394";"578";"37";"35";"-";"-";"-";"-";"-"
"376018";"376018";"30";"5";"2";"1571";"1419";"8";"9";"1402";"384";"31";"121";"146";"2";"258";"427";"25";"8";"-";"-";"-";"-";"-"
"376019";"376019";"30";"5";"2";"2682";"2465";"11";"6";"2448";"664";"64";"209";"236";"7";"434";"777";"47";"10";"-";"-";"-";"-";"-"
"376020";"376020";"30";"5";"2";"1334";"1144";"6";"1";"1137";"276";"12";"63";"217";"4";"309";"214";"24";"18";"-";"-";"-";"-";"-"
"390001";"390001";"31";"5";"2";"1407";"1268";"4";"6";"1258";"314";"40";"78";"158";"2";"258";"350";"29";"29";"-";"-";"-";"-";"-"
"390002";"390002";"31";"5";"2";"480";"415";"0";"7";"408";"104";"32";"35";"60";"0";"62";"90";"14";"11";"-";"-";"-";"-";"-"
"390003";"390003";"31";"5";"2";"1359";"1242";"7";"5";"1230";"363";"44";"124";"131";"3";"233";"298";"19";"15";"-";"-";"-";"-";"-"
"390004";"390004";"31";"5";"2";"887";"766";"8";"1";"757";"224";"17";"38";"99";"4";"146";"204";"11";"14";"-";"-";"-";"-";"-"
"390005";"390005";"31";"5";"2";"262";"249";"3";"0";"246";"40";"13";"13";"42";"0";"51";"76";"2";"9";"-";"-";"-";"-";"-"
"390006";"390006";"31";"5";"2";"452";"398";"4";"1";"393";"66";"12";"36";"59";"2";"81";"127";"4";"6";"-";"-";"-";"-";"-"
"390007";"390007";"31";"5";"2";"2621";"2224";"13";"6";"2205";"570";"118";"155";"327";"4";"347";"590";"57";"37";"-";"-";"-";"-";"-"
"390008";"390008";"31";"5";"2";"793";"661";"6";"2";"653";"175";"31";"47";"85";"2";"123";"161";"19";"10";"-";"-";"-";"-";"-"
"390009";"390009";"31";"5";"2";"1609";"1393";"12";"2";"1379";"384";"34";"119";"147";"4";"244";"415";"22";"10";"-";"-";"-";"-";"-"
"390010";"390010";"31";"5";"2";"267";"233";"0";"0";"233";"48";"5";"25";"33";"0";"39";"73";"3";"7";"-";"-";"-";"-";"-"
"390011";"390011";"31";"5";"2";"879";"812";"1";"5";"806";"204";"42";"55";"127";"4";"119";"218";"16";"21";"-";"-";"-";"-";"-"
"390012";"390012";"31";"5";"2";"1056";"920";"7";"3";"910";"191";"33";"36";"137";"3";"174";"260";"38";"38";"-";"-";"-";"-";"-"
"390013";"390013";"31";"5";"2";"756";"653";"2";"0";"651";"139";"32";"28";"104";"1";"106";"192";"17";"32";"-";"-";"-";"-";"-"
"390014";"390014";"31";"5";"2";"851";"752";"0";"1";"751";"151";"27";"60";"106";"4";"117";"255";"9";"22";"-";"-";"-";"-";"-"
"390015";"390015";"31";"5";"2";"1544";"1328";"6";"5";"1317";"391";"60";"83";"182";"2";"201";"345";"29";"24";"-";"-";"-";"-";"-"
"390016";"390016";"31";"5";"2";"1175";"1046";"3";"2";"1041";"228";"40";"61";"215";"10";"137";"267";"23";"60";"-";"-";"-";"-";"-"
"390017";"390017";"31";"5";"2";"3738";"3201";"11";"16";"3174";"826";"128";"263";"469";"12";"493";"858";"66";"59";"-";"-";"-";"-";"-"
"390018";"390018";"31";"5";"2";"606";"553";"0";"1";"552";"136";"13";"29";"102";"7";"98";"140";"13";"14";"-";"-";"-";"-";"-"
"390019";"390019";"31";"5";"2";"615";"541";"1";"1";"539";"98";"20";"41";"97";"4";"73";"173";"23";"10";"-";"-";"-";"-";"-"
"390020";"390020";"31";"5";"2";"899";"797";"5";"2";"790";"149";"21";"57";"93";"1";"152";"283";"24";"10";"-";"-";"-";"-";"-"
"390021";"390021";"31";"5";"2";"4306";"3600";"20";"21";"3559";"1004";"157";"366";"531";"18";"511";"832";"69";"71";"-";"-";"-";"-";"-"
"390022";"390022";"31";"5";"2";"3172";"2720";"8";"11";"2701";"854";"105";"183";"476";"7";"426";"540";"67";"43";"-";"-";"-";"-";"-"
"390023";"390023";"31";"5";"2";"2099";"1921";"14";"3";"1904";"457";"89";"177";"255";"3";"250";"561";"73";"39";"-";"-";"-";"-";"-"
"390024";"390024";"31";"5";"2";"1971";"1724";"7";"6";"1711";"507";"57";"138";"259";"3";"259";"431";"30";"27";"-";"-";"-";"-";"-"
"390025";"390025";"31";"5";"2";"780";"694";"1";"5";"688";"158";"17";"59";"104";"3";"156";"166";"18";"7";"-";"-";"-";"-";"-"
"390026";"390026";"31";"5";"2";"979";"868";"6";"5";"857";"187";"37";"53";"96";"1";"168";"272";"29";"14";"-";"-";"-";"-";"-"
"390027";"390027";"31";"5";"2";"160";"148";"1";"0";"147";"27";"4";"13";"20";"0";"25";"52";"3";"3";"-";"-";"-";"-";"-"
"400001";"400001";"27";"4";"1";"1476";"1249";"13";"5";"1231";"460";"21";"67";"142";"22";"201";"281";"21";"16";"0";"-";"-";"-";"-"
"400002";"400002";"27";"4";"1";"1291";"1135";"8";"4";"1123";"382";"16";"82";"110";"26";"140";"314";"25";"27";"1";"-";"-";"-";"-"
"400003";"400003";"27";"4";"1";"1322";"1161";"7";"1";"1153";"377";"28";"83";"93";"27";"170";"343";"23";"7";"2";"-";"-";"-";"-"
"400004";"400004";"27";"4";"1";"495";"436";"2";"0";"434";"139";"13";"37";"47";"4";"40";"125";"10";"19";"0";"-";"-";"-";"-"
"400005";"400005";"28";"4";"1";"1517";"1287";"7";"0";"1280";"423";"32";"91";"168";"10";"178";"328";"18";"30";"2";"-";"-";"-";"-"
"400006";"400006";"28";"4";"1";"1197";"1038";"12";"4";"1022";"282";"15";"95";"143";"19";"162";"272";"13";"19";"2";"-";"-";"-";"-"
"400007";"400007";"28";"4";"1";"380";"325";"2";"0";"323";"84";"8";"23";"44";"4";"39";"93";"11";"17";"0";"-";"-";"-";"-"
"400008";"400008";"28";"4";"1";"678";"599";"6";"0";"593";"138";"14";"42";"89";"13";"79";"185";"16";"17";"0";"-";"-";"-";"-"
"400009";"400009";"28";"4";"1";"662";"547";"7";"1";"539";"170";"8";"53";"91";"7";"72";"109";"7";"22";"0";"-";"-";"-";"-"
"400010";"400010";"28";"4";"1";"1201";"1043";"4";"1";"1038";"264";"19";"76";"154";"34";"113";"321";"38";"19";"0";"-";"-";"-";"-"
"400011";"400011";"28";"4";"1";"2973";"2455";"10";"7";"2438";"897";"44";"103";"264";"55";"272";"674";"94";"35";"0";"-";"-";"-";"-"
"400012";"400012";"28";"4";"1";"1137";"1006";"5";"2";"999";"285";"48";"51";"169";"13";"77";"248";"58";"50";"0";"-";"-";"-";"-"
"400013";"400013";"28";"4";"1";"761";"658";"1";"1";"656";"199";"22";"31";"73";"5";"68";"221";"26";"11";"0";"-";"-";"-";"-"
"400014";"400014";"28";"4";"1";"729";"630";"1";"2";"627";"178";"19";"47";"72";"15";"57";"192";"18";"29";"0";"-";"-";"-";"-"
"400015";"400015";"28";"4";"1";"914";"801";"5";"0";"796";"239";"13";"32";"73";"22";"147";"221";"39";"9";"1";"-";"-";"-";"-"
"400016";"400016";"28";"4";"1";"2627";"2211";"11";"4";"2196";"737";"41";"110";"217";"82";"240";"722";"17";"29";"1";"-";"-";"-";"-"
"400017";"400017";"28";"4";"1";"729";"632";"3";"3";"626";"252";"7";"35";"46";"5";"93";"173";"4";"8";"3";"-";"-";"-";"-"
"400018";"400018";"28";"4";"1";"533";"463";"5";"1";"457";"141";"5";"17";"47";"10";"54";"169";"9";"5";"0";"-";"-";"-";"-"
"400019";"400019";"28";"4";"1";"1062";"945";"4";"1";"940";"315";"14";"54";"110";"12";"117";"284";"26";"8";"0";"-";"-";"-";"-"
"400020";"400020";"27";"4";"1";"11397";"9511";"61";"20";"9430";"3913";"230";"553";"1149";"170";"1038";"2066";"142";"160";"9";"-";"-";"-";"-"
"410001";"410001";"45";"6";"2";"4956";"4220";"11";"14";"4195";"1289";"196";"439";"566";"17";"605";"897";"120";"65";"1";"-";"-";"-";"-"
"410002";"410002";"45";"6";"2";"4893";"4386";"20";"17";"4349";"1396";"209";"523";"485";"21";"651";"959";"77";"27";"1";"-";"-";"-";"-"
"410003";"410003";"45";"6";"2";"3225";"2973";"11";"2";"2960";"602";"178";"508";"323";"13";"363";"851";"96";"26";"0";"-";"-";"-";"-"
