"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1979 - Stemmeberettigede";"FV1979 - Afgivne stemmer";"FV1979 - Blanke stemmer";"FV1979 - Andre ugyldige stemmer";"FV1979 - Gyldige stemmer";"FV1979 - A. Socialdemokratiet";"FV1979 - B. Det Radikale Venstre";"FV1979 - C. Det Konservative Folkeparti";"FV1979 - E. Danmarks Retsforbund";"FV1979 - F. Socialistisk Folkeparti";"FV1979 - K. Danmarks Kommunistiske Parti";"FV1979 - M. Centrum-Demokraterne";"FV1979 - Q. Kristeligt Folkeparti";"FV1979 - R. Arbejderpartiet KAP";"FV1979 - V. Venstre, Danmarks Liberale Parti";"FV1979 - Y. Venstresocialisterne";"FV1979 - Z. Fremskridtspartiet";"FV1979 - 1. Uden for partierne";"FV1979 - 2. Uden for partierne"
"357002";"357002";"43";"8";"2";"765";"656";"9";"1";"646";"305";"29";"44";"10";"33";"3";"20";"7";"1";"119";"9";"66";"-";"-"
"357003";"357003";"43";"8";"2";"1020";"884";"12";"3";"869";"301";"38";"80";"17";"28";"14";"20";"20";"6";"223";"31";"91";"-";"-"
"359001";"359001";"45";"8";"2";"591";"510";"3";"0";"507";"190";"45";"36";"3";"13";"3";"32";"2";"3";"119";"13";"48";"-";"-"
"359002";"359002";"45";"8";"2";"375";"318";"4";"2";"312";"141";"3";"32";"4";"9";"1";"16";"7";"2";"56";"4";"37";"-";"-"
"359003";"359003";"45";"8";"2";"702";"584";"4";"1";"579";"242";"34";"41";"8";"15";"9";"17";"3";"3";"113";"13";"81";"-";"-"
"359006";"359006";"45";"8";"2";"526";"467";"3";"1";"463";"207";"33";"50";"6";"11";"4";"15";"6";"5";"69";"15";"42";"-";"-"
"359101";"359101";"45";"8";"2";"1116";"981";"14";"3";"964";"450";"45";"113";"16";"30";"3";"34";"15";"2";"119";"11";"126";"-";"-"
"359108";"359108";"45";"8";"2";"235";"193";"0";"0";"193";"82";"14";"13";"4";"3";"0";"5";"3";"0";"45";"2";"22";"-";"-"
"361001";"361001";"44";"8";"2";"1271";"1081";"6";"2";"1073";"455";"45";"105";"25";"47";"13";"50";"11";"3";"144";"25";"150";"-";"-"
"361002";"361002";"44";"8";"2";"506";"410";"1";"1";"408";"169";"30";"36";"9";"23";"6";"17";"5";"3";"37";"18";"55";"-";"-"
"361003";"361003";"44";"8";"2";"1124";"1001";"3";"1";"997";"416";"80";"131";"21";"42";"10";"27";"13";"1";"129";"21";"106";"-";"-"
"361004";"361004";"44";"8";"2";"771";"674";"4";"3";"667";"288";"45";"85";"11";"14";"4";"18";"5";"4";"101";"11";"81";"-";"-"
"361005";"361005";"44";"8";"2";"238";"210";"2";"0";"208";"40";"10";"13";"11";"7";"0";"3";"5";"0";"67";"1";"51";"-";"-"
"361006";"361006";"44";"8";"2";"468";"413";"0";"1";"412";"133";"23";"34";"8";"7";"8";"12";"7";"0";"103";"18";"59";"-";"-"
"363001";"363001";"46";"8";"2";"4060";"3567";"44";"12";"3511";"1867";"146";"585";"62";"143";"33";"88";"51";"9";"230";"46";"251";"-";"-"
"363002";"363002";"46";"8";"2";"80";"75";"0";"0";"75";"17";"10";"7";"3";"1";"0";"7";"10";"0";"9";"0";"11";"-";"-"
"363003";"363003";"46";"8";"2";"849";"765";"5";"0";"760";"409";"46";"79";"16";"30";"7";"15";"9";"6";"64";"7";"72";"-";"-"
"363004";"363004";"46";"8";"2";"459";"406";"1";"1";"404";"187";"10";"40";"3";"12";"6";"12";"17";"0";"57";"7";"53";"-";"-"
"363005";"363005";"46";"8";"2";"1398";"1282";"15";"5";"1262";"688";"69";"146";"19";"42";"13";"26";"6";"2";"117";"22";"112";"-";"-"
"363007";"363007";"46";"8";"2";"959";"865";"7";"2";"856";"323";"58";"110";"18";"40";"2";"17";"12";"1";"156";"15";"104";"-";"-"
"363106";"363106";"46";"8";"2";"817";"716";"5";"3";"708";"304";"32";"86";"13";"29";"2";"15";"7";"3";"94";"11";"112";"-";"-"
"363107";"363107";"46";"8";"2";"433";"373";"3";"1";"369";"153";"22";"33";"4";"14";"4";"1";"4";"1";"50";"9";"74";"-";"-"
"365002";"365002";"44";"8";"2";"581";"524";"5";"0";"519";"156";"26";"52";"21";"17";"12";"20";"4";"6";"110";"7";"88";"-";"-"
"365006";"365006";"44";"8";"2";"1637";"1433";"9";"2";"1422";"722";"70";"108";"20";"51";"12";"28";"7";"4";"259";"15";"126";"-";"-"
"365007";"365007";"44";"8";"2";"1211";"1056";"5";"0";"1051";"300";"75";"100";"16";"24";"22";"37";"8";"2";"322";"32";"113";"-";"-"
"365101";"365101";"44";"8";"2";"2368";"2032";"19";"1";"2012";"914";"116";"307";"24";"61";"23";"76";"19";"6";"214";"38";"214";"-";"-"
"365103";"365103";"44";"8";"2";"588";"509";"3";"0";"506";"140";"43";"43";"12";"17";"6";"10";"7";"8";"140";"17";"63";"-";"-"
"365104";"365104";"44";"8";"2";"582";"503";"7";"0";"496";"169";"41";"44";"6";"10";"4";"20";"3";"0";"149";"5";"45";"-";"-"
"365106";"365106";"44";"8";"2";"308";"265";"2";"0";"263";"92";"6";"10";"2";"4";"7";"2";"3";"0";"83";"20";"34";"-";"-"
"365107";"365107";"44";"8";"2";"418";"379";"1";"0";"378";"128";"33";"31";"4";"7";"5";"13";"6";"1";"104";"8";"38";"-";"-"
"365109";"365109";"44";"8";"2";"511";"460";"1";"1";"458";"114";"36";"44";"3";"15";"3";"17";"2";"1";"157";"16";"50";"-";"-"
"365110";"365110";"44";"8";"2";"705";"602";"2";"1";"599";"179";"49";"47";"17";"16";"4";"11";"4";"7";"144";"10";"111";"-";"-"
"365112";"365112";"44";"8";"2";"67";"58";"0";"0";"58";"20";"7";"6";"1";"1";"0";"3";"0";"0";"17";"0";"3";"-";"-"
"367101";"367101";"45";"8";"2";"810";"679";"5";"3";"671";"309";"24";"129";"12";"41";"16";"14";"8";"2";"27";"18";"71";"-";"-"
"367102";"367102";"45";"8";"2";"833";"662";"3";"5";"654";"353";"17";"85";"12";"42";"12";"15";"13";"4";"21";"14";"66";"-";"-"
"367103";"367103";"45";"8";"2";"1674";"1424";"9";"1";"1414";"929";"30";"89";"36";"104";"36";"22";"13";"4";"38";"32";"81";"-";"-"
"367104";"367104";"45";"8";"2";"1703";"1447";"14";"4";"1429";"940";"36";"58";"36";"118";"25";"18";"20";"10";"50";"28";"90";"-";"-"
"367105";"367105";"45";"8";"2";"1610";"1405";"11";"2";"1392";"858";"41";"165";"27";"89";"14";"34";"21";"5";"60";"21";"57";"-";"-"
"367106";"367106";"45";"8";"2";"1296";"1140";"10";"4";"1126";"630";"27";"136";"22";"83";"16";"30";"18";"6";"48";"27";"83";"-";"-"
"367107";"367107";"45";"8";"2";"1691";"1519";"14";"3";"1502";"915";"45";"137";"24";"110";"22";"38";"13";"7";"68";"30";"93";"-";"-"
"367108";"367108";"45";"8";"2";"545";"460";"6";"0";"454";"291";"22";"28";"8";"45";"5";"9";"3";"1";"11";"4";"27";"-";"-"
"367109";"367109";"45";"8";"2";"772";"679";"5";"0";"674";"430";"21";"45";"24";"53";"15";"12";"2";"2";"19";"10";"41";"-";"-"
"367110";"367110";"45";"8";"2";"1146";"1024";"6";"0";"1018";"593";"42";"109";"24";"67";"13";"19";"5";"4";"46";"13";"83";"-";"-"
"367111";"367111";"45";"8";"2";"566";"504";"5";"1";"498";"323";"10";"31";"12";"43";"12";"8";"2";"1";"12";"8";"36";"-";"-"
"367112";"367112";"45";"8";"2";"459";"404";"4";"1";"399";"236";"10";"33";"15";"14";"9";"2";"0";"0";"34";"6";"40";"-";"-"
"369001";"369001";"47";"8";"2";"2250";"1870";"9";"4";"1857";"904";"82";"337";"22";"85";"24";"44";"53";"18";"105";"21";"162";"-";"-"
"369002";"369002";"47";"8";"2";"3528";"2976";"20";"8";"2948";"1687";"116";"335";"64";"159";"54";"67";"40";"8";"186";"46";"186";"-";"-"
"369003";"369003";"47";"8";"2";"3189";"2747";"16";"3";"2728";"1396";"133";"351";"56";"143";"31";"107";"51";"6";"190";"42";"222";"-";"-"
"369004";"369004";"47";"8";"2";"2063";"1756";"12";"1";"1743";"971";"73";"225";"24";"79";"17";"41";"32";"15";"85";"32";"149";"-";"-"
"369005";"369005";"47";"8";"2";"2307";"2059";"15";"2";"2042";"1106";"86";"247";"44";"113";"20";"57";"35";"6";"134";"43";"151";"-";"-"
"369006";"369006";"47";"8";"2";"614";"550";"7";"0";"543";"226";"38";"55";"5";"20";"3";"26";"3";"2";"99";"4";"62";"-";"-"
"369007";"369007";"47";"8";"2";"1167";"1042";"7";"1";"1034";"536";"43";"111";"22";"46";"9";"41";"14";"4";"88";"18";"102";"-";"-"
"369008";"369008";"47";"8";"2";"818";"721";"8";"0";"713";"280";"42";"66";"10";"35";"4";"29";"27";"6";"112";"8";"94";"-";"-"
"369009";"369009";"47";"8";"2";"980";"848";"9";"1";"838";"314";"56";"87";"8";"27";"11";"27";"15";"4";"175";"10";"104";"-";"-"
"369010";"369010";"47";"8";"2";"598";"506";"9";"3";"494";"244";"18";"39";"7";"21";"9";"13";"8";"2";"46";"7";"80";"-";"-"
"369011";"369011";"47";"8";"2";"2103";"1900";"14";"3";"1883";"678";"132";"346";"36";"68";"10";"78";"33";"1";"265";"29";"207";"-";"-"
"371001";"371001";"46";"8";"2";"1566";"1381";"18";"6";"1357";"579";"74";"193";"22";"42";"7";"78";"11";"5";"167";"20";"159";"-";"-"
"371002";"371002";"46";"8";"2";"1172";"1038";"9";"1";"1028";"404";"97";"82";"20";"32";"8";"36";"14";"1";"200";"9";"125";"-";"-"
"371003";"371003";"46";"8";"2";"947";"793";"6";"5";"782";"280";"66";"77";"12";"21";"6";"32";"5";"4";"159";"15";"105";"-";"-"
"371004";"371004";"46";"8";"2";"934";"837";"8";"0";"829";"299";"62";"95";"18";"18";"10";"27";"7";"6";"169";"13";"105";"-";"-"
"373021";"373021";"43";"8";"2";"2741";"2176";"8";"3";"2165";"990";"105";"333";"38";"143";"50";"71";"37";"6";"160";"81";"151";"-";"-"
"373022";"373022";"43";"8";"2";"4989";"4204";"35";"5";"4164";"2383";"187";"353";"88";"240";"68";"89";"63";"23";"283";"101";"286";"-";"-"
"373023";"373023";"43";"8";"2";"4098";"3515";"19";"8";"3488";"1528";"182";"500";"73";"225";"48";"100";"74";"13";"312";"100";"333";"-";"-"
"373024";"373024";"43";"8";"2";"3124";"2640";"17";"4";"2619";"1374";"110";"272";"56";"170";"57";"66";"54";"11";"176";"56";"217";"-";"-"
"373025";"373025";"43";"8";"2";"1587";"1406";"14";"5";"1387";"707";"72";"158";"31";"53";"13";"56";"28";"4";"113";"24";"128";"-";"-"
"373026";"373026";"43";"8";"2";"5284";"4571";"28";"7";"4536";"1980";"258";"715";"92";"186";"26";"202";"79";"8";"539";"70";"381";"-";"-"
"373027";"373027";"43";"8";"2";"2301";"1980";"17";"5";"1958";"763";"106";"303";"33";"71";"24";"82";"67";"6";"264";"24";"215";"-";"-"
"373028";"373028";"43";"8";"2";"3682";"2728";"14";"5";"2709";"1247";"111";"312";"90";"223";"80";"76";"37";"23";"179";"75";"256";"-";"-"
"373029";"373029";"43";"8";"2";"614";"549";"2";"0";"547";"222";"27";"59";"9";"31";"5";"25";"4";"8";"78";"19";"60";"-";"-"
"373030";"373030";"43";"8";"2";"578";"521";"0";"1";"520";"150";"32";"82";"9";"28";"5";"19";"4";"1";"111";"14";"65";"-";"-"
"373031";"373031";"43";"8";"2";"599";"535";"3";"0";"532";"201";"35";"44";"6";"25";"7";"17";"4";"1";"115";"16";"61";"-";"-"
"373032";"373032";"43";"8";"2";"1138";"963";"5";"0";"958";"327";"36";"137";"18";"37";"12";"50";"35";"5";"157";"24";"120";"-";"-"
"373033";"373033";"43";"8";"2";"478";"404";"4";"0";"400";"79";"23";"42";"11";"12";"1";"12";"10";"0";"157";"12";"41";"-";"-"
"373034";"373034";"43";"8";"2";"418";"361";"4";"0";"357";"98";"19";"51";"11";"8";"5";"8";"7";"2";"104";"8";"36";"-";"-"
"373035";"373035";"43";"8";"2";"1442";"1298";"13";"0";"1285";"393";"92";"258";"24";"66";"12";"67";"19";"2";"168";"22";"162";"-";"-"
"375001";"375001";"47";"8";"2";"526";"448";"5";"1";"442";"144";"28";"44";"5";"19";"6";"18";"6";"1";"123";"1";"47";"-";"-"
"375002";"375002";"47";"8";"2";"1230";"1027";"12";"3";"1012";"363";"55";"101";"29";"19";"14";"35";"9";"4";"183";"26";"174";"-";"-"
"375003";"375003";"47";"8";"2";"1874";"1605";"13";"3";"1589";"586";"122";"205";"33";"54";"9";"73";"18";"2";"282";"20";"185";"-";"-"
"375005";"375005";"47";"8";"2";"509";"448";"5";"0";"443";"156";"30";"31";"5";"22";"4";"24";"4";"0";"116";"10";"41";"-";"-"
"375006";"375006";"47";"8";"2";"620";"521";"0";"0";"521";"173";"44";"34";"10";"17";"9";"16";"12";"3";"130";"13";"60";"-";"-"
"375007";"375007";"47";"8";"2";"416";"366";"3";"1";"362";"121";"42";"26";"2";"7";"1";"11";"0";"0";"88";"5";"59";"-";"-"
"375008";"375008";"47";"8";"2";"633";"535";"4";"3";"528";"209";"30";"54";"9";"20";"5";"19";"4";"0";"77";"12";"89";"-";"-"
"375009";"375009";"47";"8";"2";"652";"567";"4";"0";"563";"277";"41";"49";"9";"9";"3";"35";"8";"1";"61";"4";"66";"-";"-"
"375010";"375010";"47";"8";"2";"1048";"935";"11";"0";"924";"393";"64";"112";"13";"40";"7";"37";"14";"3";"131";"6";"104";"-";"-"
"377001";"377001";"42";"8";"2";"2916";"2539";"11";"1";"2527";"947";"138";"388";"51";"102";"20";"114";"15";"15";"334";"59";"344";"-";"-"
"377002";"377002";"42";"8";"2";"566";"473";"2";"1";"470";"149";"39";"54";"14";"14";"13";"12";"7";"0";"108";"13";"47";"-";"-"
"377003";"377003";"42";"8";"2";"617";"527";"5";"0";"522";"174";"23";"50";"6";"22";"11";"8";"11";"2";"133";"13";"69";"-";"-"
"377004";"377004";"42";"8";"2";"975";"800";"6";"0";"794";"260";"55";"74";"16";"39";"5";"25";"4";"5";"181";"9";"121";"-";"-"
"379001";"379001";"45";"8";"2";"750";"653";"2";"0";"651";"294";"34";"82";"5";"18";"3";"14";"7";"1";"90";"11";"92";"-";"-"
"379002";"379002";"45";"8";"2";"612";"512";"6";"1";"505";"161";"28";"63";"12";"12";"2";"7";"8";"0";"92";"2";"118";"-";"-"
"379003";"379003";"45";"8";"2";"246";"210";"0";"0";"210";"70";"13";"13";"5";"2";"2";"3";"0";"0";"63";"2";"37";"-";"-"
"379005";"379005";"45";"8";"2";"1608";"1396";"4";"2";"1390";"623";"31";"134";"21";"55";"11";"43";"19";"7";"232";"33";"181";"-";"-"
"379007";"379007";"45";"8";"2";"542";"447";"5";"3";"439";"210";"6";"44";"2";"17";"10";"6";"14";"0";"57";"3";"70";"-";"-"
"379008";"379008";"45";"8";"2";"821";"726";"3";"2";"721";"312";"24";"102";"17";"20";"15";"14";"12";"2";"98";"15";"90";"-";"-"
"379009";"379009";"45";"8";"2";"682";"626";"2";"1";"623";"296";"35";"41";"5";"18";"10";"14";"4";"5";"119";"10";"66";"-";"-"
"379010";"379010";"45";"8";"2";"303";"265";"0";"1";"264";"117";"10";"21";"4";"6";"1";"11";"2";"0";"35";"2";"55";"-";"-"
"381001";"381001";"45";"8";"2";"429";"386";"4";"1";"381";"176";"10";"24";"4";"17";"8";"9";"15";"0";"62";"4";"52";"-";"-"
"381002";"381002";"45";"8";"2";"357";"308";"3";"0";"305";"114";"6";"45";"6";"3";"2";"10";"17";"1";"45";"3";"53";"-";"-"
"381003";"381003";"45";"8";"2";"527";"475";"3";"2";"470";"213";"41";"37";"13";"25";"1";"14";"7";"5";"64";"10";"40";"-";"-"
"381004";"381004";"45";"8";"2";"633";"546";"7";"0";"539";"252";"32";"36";"12";"31";"5";"9";"3";"3";"95";"9";"52";"-";"-"
"381005";"381005";"45";"8";"2";"1206";"1058";"19";"2";"1037";"418";"54";"88";"24";"39";"10";"24";"15";"6";"186";"10";"163";"-";"-"
"383001";"383001";"46";"8";"2";"2691";"2374";"28";"4";"2342";"1000";"132";"346";"41";"117";"47";"93";"17";"10";"284";"32";"223";"-";"-"
"383002";"383002";"46";"8";"2";"1968";"1440";"10";"2";"1428";"764";"74";"131";"35";"96";"27";"39";"12";"15";"79";"20";"136";"-";"-"
"383003";"383003";"46";"8";"2";"1153";"996";"10";"2";"984";"376";"49";"75";"13";"50";"19";"27";"46";"3";"215";"13";"98";"-";"-"
"385001";"385001";"42";"8";"2";"2041";"1766";"9";"4";"1753";"635";"106";"205";"45";"62";"30";"61";"38";"0";"346";"45";"180";"-";"-"
"385002";"385002";"42";"8";"2";"2289";"1976";"14";"3";"1959";"708";"126";"206";"45";"77";"28";"68";"30";"10";"385";"38";"238";"-";"-"
"387001";"387001";"46";"8";"2";"1990";"1674";"14";"7";"1653";"898";"76";"233";"20";"50";"22";"37";"14";"7";"127";"24";"145";"-";"-"
"387002";"387002";"46";"8";"2";"899";"788";"5";"1";"782";"298";"32";"104";"13";"23";"9";"27";"10";"2";"135";"15";"114";"-";"-"
"387003";"387003";"46";"8";"2";"785";"687";"7";"1";"679";"303";"54";"51";"10";"9";"14";"8";"9";"5";"143";"13";"60";"-";"-"
"387005";"387005";"46";"8";"2";"650";"595";"8";"0";"587";"239";"36";"39";"8";"14";"8";"15";"10";"0";"149";"2";"67";"-";"-"
"387006";"387006";"46";"8";"2";"675";"608";"6";"1";"601";"243";"62";"55";"3";"15";"1";"20";"6";"4";"120";"15";"57";"-";"-"
"387007";"387007";"46";"8";"2";"712";"631";"8";"0";"623";"254";"39";"65";"11";"25";"7";"17";"3";"3";"122";"12";"65";"-";"-"
"387104";"387104";"46";"8";"2";"1599";"1436";"15";"2";"1419";"702";"87";"166";"18";"60";"10";"53";"15";"4";"126";"30";"148";"-";"-"
"389001";"389001";"42";"8";"2";"3245";"2806";"17";"3";"2786";"1081";"159";"393";"53";"106";"30";"102";"34";"10";"497";"65";"256";"-";"-"
"389002";"389002";"42";"8";"2";"1583";"1352";"13";"2";"1337";"493";"67";"202";"32";"44";"16";"51";"12";"7";"218";"50";"145";"-";"-"
"389003";"389003";"42";"8";"2";"888";"778";"3";"4";"771";"231";"69";"80";"5";"28";"7";"28";"10";"2";"204";"28";"79";"-";"-"
"389004";"389004";"42";"8";"2";"893";"794";"6";"0";"788";"326";"38";"88";"19";"23";"13";"24";"8";"2";"144";"18";"85";"-";"-"
"389005";"389005";"42";"8";"2";"818";"718";"6";"0";"712";"203";"62";"78";"16";"27";"12";"31";"10";"1";"167";"36";"69";"-";"-"
"391005";"391005";"47";"8";"2";"1073";"977";"8";"2";"967";"388";"80";"64";"12";"36";"9";"34";"12";"5";"217";"16";"94";"-";"-"
"391101";"391101";"47";"8";"2";"1590";"1381";"7";"1";"1373";"645";"84";"211";"30";"55";"25";"56";"14";"7";"110";"18";"118";"-";"-"
"391104";"391104";"47";"8";"2";"845";"749";"6";"3";"740";"254";"59";"69";"16";"21";"7";"22";"11";"1";"165";"7";"108";"-";"-"
"391105";"391105";"47";"8";"2";"285";"253";"2";"0";"251";"88";"10";"14";"1";"12";"5";"11";"3";"2";"68";"6";"31";"-";"-"
"391106";"391106";"47";"8";"2";"253";"226";"1";"0";"225";"61";"15";"33";"6";"5";"6";"4";"5";"1";"55";"3";"31";"-";"-"
"391107";"391107";"47";"8";"2";"369";"320";"3";"1";"316";"118";"26";"27";"2";"26";"0";"10";"4";"0";"75";"2";"26";"-";"-"
"391108";"391108";"47";"8";"2";"989";"855";"9";"0";"846";"268";"57";"88";"12";"34";"12";"29";"12";"3";"180";"28";"123";"-";"-"
"393001";"393001";"43";"8";"2";"1905";"1686";"12";"2";"1672";"656";"100";"158";"39";"79";"20";"65";"38";"7";"312";"41";"157";"-";"-"
"393002";"393002";"43";"8";"2";"459";"393";"3";"1";"389";"140";"31";"18";"11";"17";"2";"11";"14";"1";"91";"11";"42";"-";"-"
"393003";"393003";"43";"8";"2";"511";"443";"9";"0";"434";"153";"27";"36";"5";"14";"3";"15";"14";"4";"100";"17";"46";"-";"-"
"393004";"393004";"43";"8";"2";"1937";"1671";"13";"4";"1654";"708";"122";"143";"27";"97";"12";"55";"22";"3";"236";"43";"186";"-";"-"
"393005";"393005";"43";"8";"2";"704";"613";"3";"0";"610";"213";"41";"72";"10";"21";"7";"15";"9";"2";"124";"16";"80";"-";"-"
"395001";"395001";"47";"8";"2";"1421";"1262";"14";"1";"1247";"471";"84";"126";"22";"45";"10";"46";"12";"3";"282";"15";"131";"-";"-"
"395002";"395002";"47";"8";"2";"1868";"1695";"14";"1";"1680";"585";"99";"212";"33";"64";"18";"47";"43";"6";"316";"31";"226";"-";"-"
"395003";"395003";"47";"8";"2";"423";"357";"0";"1";"356";"131";"11";"27";"3";"19";"3";"8";"9";"2";"93";"4";"46";"-";"-"
"395004";"395004";"47";"8";"2";"1140";"969";"15";"0";"954";"451";"44";"97";"20";"66";"23";"26";"19";"3";"89";"20";"96";"-";"-"
"397001";"397001";"44";"8";"2";"5400";"4566";"28";"7";"4531";"2142";"245";"715";"83";"236";"82";"147";"57";"20";"366";"97";"341";"-";"-"
"397002";"397002";"44";"8";"2";"1970";"1720";"9";"1";"1710";"965";"72";"160";"42";"81";"23";"37";"21";"4";"111";"34";"160";"-";"-"
"397003";"397003";"44";"8";"2";"1354";"1212";"9";"2";"1201";"440";"75";"172";"14";"67";"29";"46";"16";"1";"202";"42";"97";"-";"-"
"397004";"397004";"44";"8";"2";"1714";"1519";"12";"2";"1505";"644";"68";"188";"24";"101";"28";"53";"16";"3";"164";"56";"160";"-";"-"
"397005";"397005";"44";"8";"2";"658";"569";"1";"0";"568";"194";"44";"104";"12";"19";"9";"25";"20";"2";"63";"9";"67";"-";"-"
"397006";"397006";"44";"8";"2";"915";"752";"5";"1";"746";"257";"37";"96";"19";"42";"19";"21";"11";"8";"102";"15";"119";"-";"-"
"397007";"397007";"44";"8";"2";"198";"170";"1";"1";"168";"38";"2";"28";"2";"11";"2";"10";"0";"0";"28";"2";"45";"-";"-"
"397008";"397008";"44";"8";"2";"776";"670";"4";"4";"662";"246";"34";"63";"15";"20";"8";"24";"9";"7";"138";"14";"84";"-";"-"
"397009";"397009";"44";"8";"2";"1415";"1215";"12";"0";"1203";"544";"51";"122";"13";"56";"31";"39";"14";"7";"166";"27";"133";"-";"-"
"397010";"397010";"44";"8";"2";"303";"250";"0";"1";"249";"74";"15";"23";"8";"1";"11";"4";"3";"1";"67";"6";"36";"-";"-"
"401001";"401001";"49";"9";"2";"1586";"1292";"13";"2";"1277";"540";"20";"101";"26";"50";"25";"21";"42";"4";"211";"22";"215";"-";"-"
"401002";"401002";"49";"9";"2";"1303";"1094";"10";"0";"1084";"319";"30";"82";"22";"44";"18";"10";"85";"5";"216";"29";"224";"-";"-"
"401003";"401003";"49";"9";"2";"483";"430";"2";"1";"427";"107";"19";"33";"10";"14";"2";"9";"15";"2";"128";"14";"74";"-";"-"
"401004";"401004";"49";"9";"2";"849";"730";"8";"1";"721";"146";"17";"46";"9";"23";"3";"16";"78";"2";"220";"17";"144";"-";"-"
"401005";"401005";"49";"9";"2";"700";"580";"3";"1";"576";"160";"22";"62";"8";"23";"7";"16";"21";"9";"129";"26";"93";"-";"-"
"401006";"401006";"49";"9";"2";"1517";"1321";"9";"0";"1312";"320";"52";"66";"30";"45";"20";"24";"138";"15";"329";"48";"225";"-";"-"
"403001";"403001";"48";"9";"2";"1426";"1226";"13";"0";"1213";"521";"22";"93";"25";"35";"14";"21";"75";"5";"196";"16";"190";"-";"-"
"403002";"403002";"48";"9";"2";"1606";"1394";"15";"1";"1378";"363";"51";"90";"23";"48";"12";"16";"97";"4";"377";"17";"280";"-";"-"
"403003";"403003";"48";"9";"2";"1327";"1159";"8";"0";"1151";"474";"43";"84";"22";"47";"12";"32";"71";"7";"201";"15";"143";"-";"-"
"403005";"403005";"48";"9";"2";"655";"576";"6";"0";"570";"214";"9";"27";"9";"24";"8";"13";"32";"1";"142";"11";"80";"-";"-"
"405001";"405001";"49";"9";"2";"2722";"2194";"12";"6";"2176";"863";"95";"129";"37";"53";"21";"33";"155";"5";"458";"25";"302";"-";"-"
"405003";"405003";"49";"9";"2";"949";"788";"3";"1";"784";"192";"49";"35";"19";"36";"9";"18";"61";"4";"233";"9";"119";"-";"-"
"405004";"405004";"49";"9";"2";"893";"738";"4";"1";"733";"192";"29";"50";"15";"17";"7";"12";"59";"4";"176";"14";"158";"-";"-"
"405005";"405005";"49";"9";"2";"875";"727";"6";"0";"721";"213";"33";"44";"17";"20";"7";"16";"37";"1";"202";"4";"127";"-";"-"
"405102";"405102";"49";"9";"2";"918";"779";"1";"2";"776";"253";"37";"65";"26";"44";"20";"15";"48";"4";"155";"25";"84";"-";"-"
"405105";"405105";"49";"9";"2";"251";"202";"3";"0";"199";"60";"7";"16";"0";"9";"6";"4";"17";"0";"56";"2";"22";"-";"-"
"407001";"407001";"48";"9";"2";"11738";"10037";"81";"19";"9937";"4658";"298";"819";"158";"441";"177";"216";"393";"38";"1307";"145";"1287";"-";"-"
"409001";"409001";"49";"9";"2";"2740";"2288";"14";"9";"2265";"711";"92";"153";"47";"48";"13";"43";"162";"9";"582";"23";"382";"-";"-"
"409003";"409003";"49";"9";"2";"777";"693";"3";"1";"689";"258";"25";"64";"11";"29";"5";"9";"27";"2";"138";"9";"112";"-";"-"
"409004";"409004";"49";"9";"2";"637";"552";"6";"2";"544";"181";"19";"15";"3";"19";"3";"5";"38";"0";"161";"10";"90";"-";"-"
"409005";"409005";"49";"9";"2";"1229";"1041";"5";"0";"1036";"335";"28";"70";"14";"22";"10";"21";"66";"5";"275";"26";"164";"-";"-"
"411001";"411001";"49";"9";"2";"84";"75";"0";"0";"75";"17";"10";"4";"3";"7";"0";"0";"1";"0";"20";"3";"10";"-";"-"
"421001";"421001";"54";"10";"2";"4951";"4163";"25";"8";"4130";"1877";"166";"563";"86";"184";"76";"138";"74";"18";"394";"104";"450";"-";"-"
"421002";"421002";"54";"10";"2";"1419";"1230";"10";"3";"1217";"437";"57";"150";"25";"57";"11";"36";"33";"6";"227";"30";"148";"-";"-"
"421003";"421003";"54";"10";"2";"728";"617";"6";"0";"611";"204";"32";"62";"12";"32";"5";"20";"15";"3";"127";"13";"86";"-";"-"
"421004";"421004";"54";"10";"2";"809";"700";"4";"0";"696";"216";"42";"49";"9";"19";"8";"24";"15";"3";"165";"13";"133";"-";"-"
"421005";"421005";"54";"10";"2";"229";"202";"0";"0";"202";"43";"12";"18";"5";"1";"1";"7";"7";"0";"74";"2";"32";"-";"-"
"421006";"421006";"54";"10";"2";"63";"53";"0";"0";"53";"6";"2";"3";"0";"1";"0";"2";"0";"0";"34";"1";"4";"-";"-"
"423001";"423001";"55";"10";"2";"2329";"1977";"17";"2";"1958";"929";"119";"266";"31";"85";"17";"75";"29";"8";"180";"15";"204";"-";"-"
"423002";"423002";"55";"10";"2";"327";"285";"0";"0";"285";"76";"21";"29";"1";"10";"3";"14";"5";"0";"88";"8";"30";"-";"-"
"423003";"423003";"55";"10";"2";"424";"380";"0";"0";"380";"146";"22";"21";"9";"8";"6";"6";"8";"3";"87";"6";"58";"-";"-"
"423004";"423004";"55";"10";"2";"357";"308";"1";"1";"306";"68";"16";"38";"2";"8";"1";"10";"7";"1";"118";"0";"37";"-";"-"
"423005";"423005";"55";"10";"2";"504";"437";"2";"2";"433";"103";"42";"47";"8";"9";"2";"11";"6";"1";"112";"4";"88";"-";"-"
