"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2013 - Stemmeberettigede";"KV2013 - Afgivne stemmer";"KV2013 - Blanke stemmer";"KV2013 - Andre ugyldige stemmer";"KV2013 - Gyldige stemmer";"KV2013 - A";"KV2013 - B";"KV2013 - C";"KV2013 - F";"KV2013 - I";"KV2013 - K";"KV2013 - J";"KV2013 - G";"KV2013 - O";"KV2013 - M";"KV2013 - N";"KV2013 - H";"KV2013 - V";"KV2013 - U";"KV2013 - S";"KV2013 - Z";"KV2013 - Ø";"KV2013 - L";"KV2013 - R";"KV2013 - Å";"KV2013 - D";"KV2013 - P";"KV2013 - E";"KV2013 - T";"KV2013 - W";"KV2013 - 01";"KV2013 - 04";"KV2013 - 05";"KV2013 - Q";"KV2013 - 02";"KV2013 - Æ";"KV2013 - 03";"KV2013 - 06";"KV2013 - Y"
"316003";"316003";"37";"5";"2";"746";"563";"13";"0";"550";"184";"11";"8";"7";"30";"-";"-";"-";"96";"-";"-";"6";"98";"-";"-";"-";"110";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316004";"316004";"37";"5";"2";"3159";"2537";"32";"1";"2504";"616";"145";"61";"43";"68";"-";"-";"-";"253";"-";"-";"3";"1144";"-";"-";"-";"170";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316005";"316005";"37";"5";"2";"3240";"2494";"39";"12";"2443";"692";"256";"119";"31";"79";"-";"-";"-";"258";"-";"-";"3";"872";"-";"-";"-";"128";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316006";"316006";"37";"5";"2";"1898";"1441";"25";"3";"1413";"372";"77";"40";"19";"41";"-";"-";"-";"217";"-";"-";"7";"525";"-";"-";"-";"110";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316007";"316007";"37";"5";"2";"3610";"2746";"54";"4";"2688";"859";"173";"46";"45";"58";"-";"-";"-";"497";"-";"-";"4";"806";"-";"-";"-";"196";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316008";"316008";"37";"5";"2";"2822";"2043";"55";"4";"1984";"553";"108";"54";"58";"61";"-";"-";"-";"385";"-";"-";"8";"557";"-";"-";"-";"194";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316009";"316009";"37";"5";"2";"3073";"2292";"30";"2";"2260";"595";"142";"64";"54";"47";"-";"-";"-";"273";"-";"-";"4";"932";"-";"-";"-";"148";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316010";"316010";"37";"5";"2";"2597";"1877";"23";"5";"1849";"421";"76";"34";"50";"45";"-";"-";"-";"289";"-";"-";"8";"794";"-";"-";"-";"131";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316011";"316011";"37";"5";"2";"3846";"2739";"41";"4";"2694";"1050";"79";"55";"72";"68";"-";"-";"-";"306";"-";"-";"5";"842";"-";"-";"-";"211";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316012";"316012";"37";"5";"2";"3287";"2299";"35";"7";"2257";"702";"96";"44";"44";"45";"-";"-";"-";"341";"-";"-";"5";"785";"-";"-";"-";"191";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316013";"316013";"37";"5";"2";"2792";"1928";"24";"8";"1896";"572";"91";"30";"55";"26";"-";"-";"-";"279";"-";"-";"5";"711";"-";"-";"-";"125";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316014";"316014";"37";"5";"2";"2569";"1849";"28";"4";"1817";"437";"93";"37";"37";"42";"-";"-";"-";"269";"-";"-";"5";"778";"-";"-";"-";"118";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"320001";"320001";"33";"5";"2";"5599";"4029";"51";"12";"3966";"1005";"89";"349";"195";"131";"-";"-";"-";"496";"9";"-";"-";"1314";"-";"-";"-";"284";"-";"-";"94";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"320002";"320002";"33";"5";"2";"6234";"4338";"68";"19";"4251";"1091";"96";"316";"268";"137";"-";"-";"-";"558";"9";"-";"-";"1352";"-";"-";"-";"318";"-";"-";"106";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"320003";"320003";"33";"5";"2";"3678";"2683";"40";"12";"2631";"703";"69";"80";"84";"65";"-";"-";"-";"249";"6";"-";"-";"481";"-";"-";"-";"134";"-";"-";"760";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"320004";"320004";"33";"5";"2";"3258";"2394";"33";"10";"2351";"502";"39";"43";"93";"72";"-";"-";"-";"281";"9";"-";"-";"337";"-";"-";"-";"273";"-";"-";"702";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"320005";"320005";"33";"5";"2";"3103";"2295";"36";"5";"2254";"493";"86";"60";"115";"83";"-";"-";"-";"364";"3";"-";"-";"424";"-";"-";"-";"140";"-";"-";"486";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"320006";"320006";"33";"5";"2";"2711";"2033";"32";"4";"1997";"439";"57";"91";"57";"63";"-";"-";"-";"289";"3";"-";"-";"687";"-";"-";"-";"100";"-";"-";"211";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"320007";"320007";"33";"5";"2";"2889";"2138";"23";"8";"2107";"550";"33";"70";"73";"76";"-";"-";"-";"288";"4";"-";"-";"668";"-";"-";"-";"126";"-";"-";"219";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326001";"326001";"38";"5";"2";"2821";"1908";"15";"9";"1884";"329";"92";"43";"114";"33";"-";"8";"-";"434";"-";"-";"-";"619";"-";"-";"-";"209";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326002";"326002";"38";"5";"2";"310";"264";"3";"0";"261";"27";"6";"0";"7";"3";"-";"0";"-";"21";"-";"-";"-";"177";"-";"-";"-";"20";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326003";"326003";"38";"5";"2";"3439";"2377";"31";"11";"2335";"453";"326";"37";"128";"37";"-";"10";"-";"438";"-";"-";"-";"661";"-";"-";"-";"235";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326004";"326004";"38";"5";"2";"2399";"1754";"28";"4";"1722";"377";"42";"31";"46";"12";"-";"5";"-";"262";"-";"-";"-";"834";"-";"-";"-";"110";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326005";"326005";"38";"5";"2";"1365";"1030";"17";"5";"1008";"155";"38";"12";"31";"12";"-";"2";"-";"164";"-";"-";"-";"522";"-";"-";"-";"70";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326006";"326006";"38";"5";"2";"499";"419";"3";"1";"415";"43";"7";"4";"30";"4";"-";"1";"-";"62";"-";"-";"-";"235";"-";"-";"-";"29";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326007";"326007";"38";"5";"2";"947";"698";"10";"2";"686";"129";"27";"6";"21";"5";"-";"2";"-";"131";"-";"-";"-";"306";"-";"-";"-";"59";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326008";"326008";"38";"5";"2";"2444";"1747";"22";"1";"1724";"372";"82";"44";"64";"39";"-";"10";"-";"294";"-";"-";"-";"700";"-";"-";"-";"110";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326009";"326009";"38";"5";"2";"2079";"1498";"34";"3";"1461";"344";"67";"39";"38";"28";"-";"11";"-";"221";"-";"-";"-";"584";"-";"-";"-";"128";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326010";"326010";"38";"5";"2";"1466";"1058";"12";"4";"1042";"175";"50";"17";"47";"29";"-";"4";"-";"165";"-";"-";"-";"432";"-";"-";"-";"122";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326011";"326011";"38";"5";"2";"1824";"1342";"15";"8";"1319";"357";"34";"30";"35";"25";"-";"11";"-";"228";"-";"-";"-";"493";"-";"-";"-";"105";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326012";"326012";"38";"5";"2";"1084";"806";"11";"2";"793";"133";"31";"19";"27";"16";"-";"70";"-";"107";"-";"-";"-";"324";"-";"-";"-";"65";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326013";"326013";"38";"5";"2";"3154";"2192";"52";"2";"2138";"502";"233";"81";"111";"23";"-";"7";"-";"309";"-";"-";"-";"685";"-";"-";"-";"158";"-";"-";"-";"-";"-";"29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326014";"326014";"38";"5";"2";"2802";"1768";"25";"13";"1730";"499";"135";"38";"120";"23";"-";"5";"-";"331";"-";"-";"-";"444";"-";"-";"-";"115";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326015";"326015";"38";"5";"2";"1317";"964";"15";"1";"948";"192";"77";"28";"44";"22";"-";"3";"-";"184";"-";"-";"-";"350";"-";"-";"-";"41";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326016";"326016";"38";"5";"2";"2671";"1948";"33";"4";"1911";"421";"133";"42";"72";"15";"-";"4";"-";"379";"-";"-";"-";"723";"-";"-";"-";"100";"-";"-";"-";"-";"-";"22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326017";"326017";"38";"5";"2";"3424";"2594";"29";"5";"2560";"594";"234";"77";"125";"45";"-";"17";"-";"436";"-";"-";"-";"885";"-";"-";"-";"138";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326018";"326018";"38";"5";"2";"698";"516";"6";"5";"505";"107";"25";"12";"44";"6";"-";"0";"-";"91";"-";"-";"-";"180";"-";"-";"-";"40";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326019";"326019";"38";"5";"2";"3393";"2271";"25";"13";"2233";"561";"175";"61";"134";"33";"-";"7";"-";"356";"-";"-";"-";"725";"-";"-";"-";"132";"-";"-";"-";"-";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329001";"329001";"39";"5";"2";"8374";"5886";"87";"19";"5780";"1481";"360";"266";"277";"243";"-";"-";"-";"978";"-";"-";"-";"1855";"-";"-";"-";"320";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329002";"329002";"39";"5";"2";"649";"502";"6";"2";"494";"84";"18";"19";"40";"25";"-";"-";"-";"81";"-";"-";"-";"199";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329003";"329003";"39";"5";"2";"606";"482";"11";"0";"471";"73";"23";"32";"25";"38";"-";"-";"-";"104";"-";"-";"-";"142";"-";"-";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329004";"329004";"39";"5";"2";"4075";"3062";"52";"12";"2998";"757";"114";"190";"94";"121";"-";"-";"-";"641";"-";"-";"-";"955";"-";"-";"-";"126";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329005";"329005";"39";"5";"2";"1024";"814";"10";"2";"802";"103";"50";"52";"44";"66";"-";"-";"-";"173";"-";"-";"-";"198";"-";"-";"-";"116";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329006";"329006";"39";"5";"2";"4774";"3272";"67";"12";"3193";"981";"156";"103";"168";"119";"-";"-";"-";"561";"-";"-";"-";"841";"-";"-";"-";"264";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329008";"329008";"39";"5";"2";"1075";"869";"14";"2";"853";"193";"139";"40";"66";"55";"-";"-";"-";"94";"-";"-";"-";"153";"-";"-";"-";"113";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329009";"329009";"39";"5";"2";"1003";"781";"9";"3";"769";"104";"33";"282";"29";"36";"-";"-";"-";"99";"-";"-";"-";"155";"-";"-";"-";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329010";"329010";"39";"5";"2";"1037";"837";"17";"0";"820";"185";"60";"35";"32";"45";"-";"-";"-";"173";"-";"-";"-";"258";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329011";"329011";"39";"5";"2";"545";"412";"6";"1";"405";"89";"4";"9";"13";"19";"-";"-";"-";"103";"-";"-";"-";"129";"-";"-";"-";"39";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329012";"329012";"39";"5";"2";"866";"678";"18";"4";"656";"116";"26";"48";"22";"59";"-";"-";"-";"158";"-";"-";"-";"183";"-";"-";"-";"44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329013";"329013";"39";"5";"2";"1042";"791";"18";"3";"770";"188";"41";"49";"47";"30";"-";"-";"-";"165";"-";"-";"-";"195";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329014";"329014";"39";"5";"2";"687";"490";"9";"0";"481";"97";"17";"24";"24";"28";"-";"-";"-";"121";"-";"-";"-";"136";"-";"-";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330001";"330001";"40";"5";"2";"1367";"1006";"15";"4";"987";"375";"27";"26";"14";"51";"1";"-";"-";"158";"6";"1";"2";"275";"-";"-";"-";"43";"8";"-";"0";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330002";"330002";"40";"5";"2";"955";"744";"10";"0";"734";"177";"20";"34";"27";"38";"0";"-";"-";"105";"1";"0";"0";"267";"-";"-";"-";"51";"10";"-";"1";"2";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330003";"330003";"40";"5";"2";"1275";"980";"4";"2";"974";"242";"80";"34";"22";"68";"4";"-";"-";"122";"3";"0";"0";"349";"-";"-";"-";"29";"19";"-";"2";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330004";"330004";"40";"5";"2";"1458";"1117";"16";"2";"1099";"377";"19";"36";"16";"146";"2";"-";"-";"135";"3";"0";"0";"295";"-";"-";"-";"52";"12";"-";"4";"1";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330005";"330005";"40";"5";"2";"6076";"4535";"61";"9";"4465";"1707";"60";"96";"101";"166";"4";"-";"-";"729";"19";"6";"122";"1071";"-";"-";"-";"265";"107";"-";"6";"5";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330006";"330006";"40";"5";"2";"5759";"3788";"44";"15";"3729";"1518";"39";"64";"74";"169";"1";"-";"-";"766";"15";"12";"69";"633";"-";"-";"-";"312";"46";"-";"9";"2";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330007";"330007";"40";"5";"2";"1910";"1524";"24";"4";"1496";"534";"33";"39";"34";"107";"2";"-";"-";"279";"2";"2";"8";"350";"-";"-";"-";"75";"31";"-";"0";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330008";"330008";"40";"5";"2";"2575";"1992";"20";"2";"1970";"531";"40";"31";"43";"144";"2";"-";"-";"298";"4";"1";"4";"688";"-";"-";"-";"67";"114";"-";"3";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330009";"330009";"40";"5";"2";"5209";"3554";"55";"13";"3486";"1358";"78";"88";"71";"221";"12";"-";"-";"444";"17";"5";"1";"900";"-";"-";"-";"224";"58";"-";"5";"2";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330010";"330010";"40";"5";"2";"1356";"1050";"9";"2";"1039";"287";"19";"17";"41";"43";"0";"-";"-";"162";"6";"0";"0";"379";"-";"-";"-";"82";"2";"-";"1";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330011";"330011";"40";"5";"2";"3081";"2236";"18";"8";"2210";"611";"61";"26";"84";"55";"4";"-";"-";"375";"6";"3";"0";"801";"-";"-";"-";"167";"15";"-";"0";"2";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330012";"330012";"40";"5";"2";"158";"138";"3";"1";"134";"49";"2";"5";"0";"3";"0";"-";"-";"37";"1";"0";"0";"32";"-";"-";"-";"3";"1";"-";"0";"1";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330013";"330013";"40";"5";"2";"1090";"857";"12";"1";"844";"163";"11";"22";"17";"31";"0";"-";"-";"157";"5";"1";"3";"358";"-";"-";"-";"65";"11";"-";"0";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330014";"330014";"40";"5";"2";"525";"401";"5";"0";"396";"102";"8";"6";"15";"16";"0";"-";"-";"47";"0";"2";"0";"169";"-";"-";"-";"26";"4";"-";"1";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330015";"330015";"40";"5";"2";"2310";"1681";"23";"7";"1651";"480";"23";"16";"54";"41";"0";"-";"-";"250";"5";"1";"0";"660";"-";"-";"-";"117";"3";"-";"1";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330016";"330016";"40";"5";"2";"541";"416";"6";"0";"410";"98";"7";"7";"13";"18";"0";"-";"-";"79";"2";"1";"0";"156";"-";"-";"-";"29";"0";"-";"0";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330017";"330017";"40";"5";"2";"135";"116";"3";"0";"113";"36";"0";"1";"8";"0";"0";"-";"-";"29";"0";"0";"0";"25";"-";"-";"-";"14";"0";"-";"0";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330018";"330018";"40";"5";"2";"453";"360";"4";"0";"356";"67";"11";"7";"13";"9";"0";"-";"-";"56";"0";"0";"0";"167";"-";"-";"-";"24";"1";"-";"1";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330019";"330019";"40";"5";"2";"5511";"3194";"50";"15";"3129";"1076";"112";"116";"80";"187";"13";"-";"-";"327";"25";"9";"1";"881";"-";"-";"-";"232";"48";"-";"10";"11";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330020";"330020";"40";"5";"2";"4384";"3125";"50";"11";"3064";"1183";"79";"96";"56";"158";"10";"-";"-";"342";"12";"1";"1";"910";"-";"-";"-";"163";"50";"-";"2";"1";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330021";"330021";"40";"5";"2";"4964";"3728";"31";"6";"3691";"1436";"99";"87";"61";"223";"6";"-";"-";"439";"33";"3";"1";"1090";"-";"-";"-";"136";"56";"-";"10";"7";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330022";"330022";"40";"5";"2";"6355";"4033";"53";"23";"3957";"1631";"91";"97";"91";"235";"7";"-";"-";"436";"25";"4";"1";"1031";"-";"-";"-";"215";"74";"-";"7";"4";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330024";"330024";"40";"5";"2";"1047";"818";"7";"0";"811";"187";"20";"12";"10";"77";"1";"-";"-";"116";"6";"3";"0";"324";"-";"-";"-";"39";"14";"-";"1";"1";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330025";"330025";"40";"5";"2";"1958";"1543";"16";"1";"1526";"471";"34";"36";"20";"113";"3";"-";"-";"227";"4";"0";"1";"517";"-";"-";"-";"63";"30";"-";"2";"1";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330026";"330026";"40";"5";"2";"519";"414";"9";"0";"405";"113";"3";"9";"6";"34";"1";"-";"-";"67";"7";"0";"0";"144";"-";"-";"-";"19";"2";"-";"0";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"336001";"336001";"33";"5";"2";"4408";"3321";"54";"12";"3255";"795";"122";"117";"95";"52";"-";"-";"-";"380";"-";"-";"-";"1340";"-";"-";"-";"187";"167";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"336002";"336002";"33";"5";"2";"5285";"4021";"57";"22";"3942";"884";"165";"202";"115";"90";"-";"-";"-";"579";"-";"-";"-";"1509";"-";"-";"-";"156";"242";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"336003";"336003";"33";"5";"2";"4628";"3346";"58";"12";"3276";"938";"112";"317";"77";"63";"-";"-";"-";"340";"-";"-";"-";"1131";"-";"-";"-";"209";"89";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"336004";"336004";"33";"5";"2";"3029";"2358";"41";"2";"2315";"647";"77";"196";"75";"56";"-";"-";"-";"244";"-";"-";"-";"798";"-";"-";"-";"141";"81";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340001";"340001";"39";"5";"2";"4461";"3135";"46";"12";"3077";"754";"72";"886";"142";"34";"-";"-";"-";"545";"25";"-";"-";"458";"-";"-";"-";"161";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340002";"340002";"39";"5";"2";"1544";"1047";"25";"1";"1021";"265";"18";"237";"49";"13";"-";"-";"-";"220";"10";"-";"-";"136";"-";"-";"-";"73";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340004";"340004";"39";"5";"2";"1466";"1082";"24";"1";"1057";"216";"76";"92";"44";"20";"-";"-";"-";"174";"20";"-";"-";"343";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340005";"340005";"39";"5";"2";"4231";"3269";"50";"10";"3209";"1181";"107";"734";"236";"67";"-";"-";"-";"265";"13";"-";"-";"446";"-";"-";"-";"160";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340006";"340006";"39";"5";"2";"3640";"2972";"44";"6";"2922";"900";"110";"569";"337";"40";"-";"-";"-";"198";"19";"-";"-";"534";"-";"-";"-";"215";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340008";"340008";"39";"5";"2";"3017";"2339";"33";"10";"2296";"724";"75";"426";"130";"44";"-";"-";"-";"235";"26";"-";"-";"544";"-";"-";"-";"92";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340010";"340010";"39";"5";"2";"4307";"3088";"62";"15";"3011";"798";"107";"371";"179";"82";"-";"-";"-";"526";"40";"-";"-";"722";"-";"-";"-";"186";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350001";"350001";"34";"5";"2";"2996";"2354";"26";"9";"2319";"353";"55";"65";"745";"44";"-";"-";"-";"189";"10";"-";"-";"782";"-";"-";"-";"76";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350002";"350002";"34";"5";"2";"1969";"1566";"17";"3";"1546";"238";"56";"53";"474";"36";"-";"-";"-";"148";"13";"-";"-";"492";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350003";"350003";"34";"5";"2";"1250";"1004";"12";"1";"991";"107";"21";"26";"302";"17";"-";"-";"-";"119";"3";"-";"-";"360";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350004";"350004";"34";"5";"2";"1158";"947";"20";"5";"922";"127";"27";"38";"173";"28";"-";"-";"-";"104";"5";"-";"-";"385";"-";"-";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350005";"350005";"34";"5";"2";"961";"748";"8";"3";"737";"46";"26";"28";"196";"22";"-";"-";"-";"54";"4";"-";"-";"322";"-";"-";"-";"39";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350006";"350006";"34";"5";"2";"3375";"2735";"32";"5";"2698";"386";"87";"169";"1136";"84";"-";"-";"-";"177";"6";"-";"-";"520";"-";"-";"-";"133";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350008";"350008";"34";"5";"2";"2246";"1784";"18";"7";"1759";"166";"34";"182";"599";"63";"-";"-";"-";"205";"4";"-";"-";"442";"-";"-";"-";"64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350009";"350009";"34";"5";"2";"2201";"1798";"14";"6";"1778";"124";"40";"74";"649";"177";"-";"-";"-";"154";"3";"-";"-";"505";"-";"-";"-";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350011";"350011";"34";"5";"2";"1967";"1710";"18";"2";"1690";"71";"66";"114";"736";"58";"-";"-";"-";"38";"0";"-";"-";"553";"-";"-";"-";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350012";"350012";"34";"5";"2";"2357";"1865";"27";"7";"1831";"125";"72";"78";"667";"63";"-";"-";"-";"156";"5";"-";"-";"614";"-";"-";"-";"51";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"360001";"360001";"29";"5";"2";"661";"506";"3";"2";"501";"123";"13";"26";"13";"1";"-";"-";"-";"51";"-";"-";"-";"231";"-";"-";"-";"27";"11";"-";"-";"5";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
