"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2005 - Stemmeberettigede";"KV2005 - Afgivne stemmer";"KV2005 - Blanke stemmer";"KV2005 - Andre ugyldige stemmer";"KV2005 - Gyldige stemmer";"KV2005 - A";"KV2005 - B";"KV2005 - C";"KV2005 - F";"KV2005 - I";"KV2005 - J";"KV2005 - K";"KV2005 - G";"KV2005 - M";"KV2005 - O";"KV2005 - N";"KV2005 - U";"KV2005 - S";"KV2005 - H";"KV2005 - Y";"KV2005 - V";"KV2005 - Z";"KV2005 - Ø";"KV2005 - R";"KV2005 - Å";"KV2005 - L";"KV2005 - D";"KV2005 - P";"KV2005 - E";"KV2005 - 1";"KV2005 - 2";"KV2005 - 3";"KV2005 - Æ";"KV2005 - Q";"KV2005 - T";"KV2005 - W"
"223003";"223003";"30";"5";"2";"3424";"2529";"16";"2";"2511";"87";"169";"992";"-";"-";"-";"-";"-";"-";"85";"-";"-";"-";"65";"-";"703";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"395";"-"
"223004";"223004";"30";"5";"2";"341";"263";"1";"0";"262";"22";"19";"81";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"13";"-";"72";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"40";"-"
"223005";"223005";"30";"5";"2";"5036";"3544";"35";"18";"3491";"314";"283";"1207";"-";"-";"-";"-";"-";"-";"223";"-";"-";"-";"109";"-";"817";"-";"-";"-";"-";"-";"101";"-";"-";"-";"-";"-";"-";"-";"437";"-"
"225001";"225001";"32";"5";"2";"1245";"929";"5";"4";"920";"487";"32";"38";"57";"-";"9";"-";"0";"-";"58";"10";"-";"-";"-";"-";"225";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"225002";"225002";"32";"5";"2";"3532";"2718";"19";"13";"2686";"1769";"82";"117";"139";"-";"23";"-";"1";"-";"108";"11";"-";"-";"-";"-";"434";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"225003";"225003";"32";"5";"2";"1061";"794";"5";"2";"787";"430";"18";"31";"35";"-";"31";"-";"1";"-";"115";"8";"-";"-";"-";"-";"91";"-";"-";"-";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"225004";"225004";"32";"5";"2";"1455";"1031";"5";"6";"1020";"642";"12";"63";"75";"-";"3";"-";"0";"-";"61";"15";"-";"-";"-";"-";"148";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"227003";"227003";"30";"5";"2";"901";"693";"3";"4";"686";"120";"30";"66";"26";"-";"-";"-";"-";"5";"40";"-";"-";"-";"3";"-";"384";"-";"12";"-";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"227004";"227004";"30";"5";"2";"3206";"2196";"17";"5";"2174";"710";"196";"191";"179";"-";"-";"-";"-";"56";"115";"-";"-";"-";"3";"-";"664";"-";"54";"-";"4";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"227005";"227005";"30";"5";"2";"3525";"2440";"17";"6";"2417";"625";"164";"364";"119";"-";"-";"-";"-";"108";"123";"-";"-";"-";"1";"-";"821";"-";"52";"-";"0";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"227006";"227006";"30";"5";"2";"3567";"2390";"17";"4";"2369";"623";"124";"284";"71";"-";"-";"-";"-";"165";"203";"-";"-";"-";"0";"-";"867";"-";"24";"-";"2";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"227007";"227007";"30";"5";"2";"2917";"2096";"9";"6";"2081";"674";"131";"175";"144";"-";"-";"-";"-";"50";"152";"-";"-";"-";"1";"-";"725";"-";"25";"-";"1";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"229001";"229001";"32";"5";"2";"5368";"3798";"30";"7";"3761";"1483";"147";"277";"233";"-";"9";"-";"0";"-";"317";"27";"-";"-";"-";"-";"1264";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"231001";"231001";"32";"5";"2";"1538";"1139";"3";"0";"1136";"264";"41";"159";"36";"-";"-";"10";"-";"2";"30";"-";"-";"-";"0";"-";"566";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"-"
"231002";"231002";"32";"5";"2";"1595";"1206";"10";"3";"1193";"287";"30";"267";"27";"-";"-";"6";"-";"0";"32";"-";"-";"-";"0";"-";"531";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-"
"231003";"231003";"32";"5";"2";"935";"735";"7";"2";"726";"171";"10";"241";"15";"-";"-";"6";"-";"0";"32";"-";"-";"-";"0";"-";"238";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-"
"231004";"231004";"32";"5";"2";"432";"316";"0";"2";"314";"36";"7";"91";"15";"-";"-";"3";"-";"0";"14";"-";"-";"-";"0";"-";"143";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-"
"233001";"233001";"31";"5";"2";"2923";"2046";"20";"11";"2015";"508";"117";"153";"127";"-";"2";"-";"0";"-";"159";"5";"-";"-";"-";"-";"942";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"233002";"233002";"31";"5";"2";"3026";"2205";"29";"14";"2162";"546";"109";"148";"106";"-";"0";"-";"2";"-";"166";"1";"-";"-";"-";"-";"1083";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"235001";"235001";"31";"5";"2";"2539";"1999";"13";"0";"1986";"259";"278";"768";"190";"-";"1";"-";"-";"-";"84";"3";"-";"-";"-";"-";"399";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"235002";"235002";"31";"5";"2";"1224";"987";"8";"3";"976";"119";"114";"129";"143";"-";"0";"-";"-";"-";"56";"3";"-";"-";"-";"-";"408";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"235003";"235003";"31";"5";"2";"4280";"3303";"24";"6";"3273";"632";"134";"424";"152";"-";"4";"-";"-";"-";"118";"18";"-";"-";"-";"-";"1782";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"235004";"235004";"31";"5";"2";"461";"376";"3";"1";"372";"52";"40";"78";"40";"-";"0";"-";"-";"-";"26";"2";"-";"-";"-";"-";"134";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"235005";"235005";"31";"5";"2";"1439";"1181";"4";"6";"1171";"201";"67";"350";"110";"-";"4";"-";"-";"-";"52";"1";"-";"-";"-";"-";"381";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"237001";"237001";"31";"5";"2";"6468";"4870";"38";"10";"4822";"1069";"192";"711";"268";"-";"13";"-";"-";"-";"223";"5";"-";"-";"-";"-";"2337";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"237002";"237002";"31";"5";"2";"4833";"3363";"23";"9";"3331";"709";"99";"498";"219";"-";"5";"-";"-";"-";"161";"14";"-";"-";"-";"-";"1622";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"251001";"251001";"35";"6";"2";"2795";"2130";"10";"1";"2119";"732";"37";"56";"43";"-";"-";"9";"-";"-";"117";"-";"-";"-";"-";"-";"1040";"-";"-";"-";"-";"85";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"251002";"251002";"35";"6";"2";"1971";"1442";"12";"2";"1428";"482";"82";"36";"38";"-";"-";"2";"-";"-";"96";"-";"-";"-";"-";"-";"641";"-";"-";"-";"-";"51";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"251003";"251003";"35";"6";"2";"1287";"988";"10";"1";"977";"341";"26";"27";"18";"-";"-";"2";"-";"-";"69";"-";"-";"-";"-";"-";"440";"-";"-";"-";"-";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"251004";"251004";"35";"6";"2";"1146";"875";"7";"2";"866";"306";"34";"37";"27";"-";"-";"6";"-";"-";"55";"-";"-";"-";"-";"-";"378";"-";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"253001";"253001";"34";"6";"2";"1021";"692";"7";"0";"685";"187";"29";"116";"29";"-";"-";"-";"7";"-";"76";"-";"-";"-";"-";"-";"234";"-";"4";"-";"0";"3";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"253002";"253002";"34";"6";"2";"2601";"2009";"2";"7";"2000";"420";"72";"168";"53";"-";"-";"-";"23";"-";"230";"-";"-";"-";"-";"-";"1010";"-";"16";"-";"4";"3";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"253003";"253003";"34";"6";"2";"2012";"1439";"7";"5";"1427";"399";"53";"114";"63";"-";"-";"-";"18";"-";"138";"-";"-";"-";"-";"-";"611";"-";"17";"-";"4";"8";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"253004";"253004";"34";"6";"2";"3851";"2928";"11";"4";"2913";"643";"107";"261";"98";"-";"-";"-";"53";"-";"243";"-";"-";"-";"-";"-";"1469";"-";"27";"-";"2";"6";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"253005";"253005";"34";"6";"2";"4267";"3165";"25";"1";"3139";"725";"139";"329";"140";"-";"-";"-";"27";"-";"301";"-";"-";"-";"-";"-";"1427";"-";"32";"-";"6";"8";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"253006";"253006";"34";"6";"2";"1372";"936";"10";"1";"925";"224";"50";"141";"46";"-";"-";"-";"27";"-";"93";"-";"-";"-";"-";"-";"325";"-";"8";"-";"6";"4";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"253007";"253007";"34";"6";"2";"3989";"2845";"29";"6";"2810";"858";"74";"144";"188";"-";"-";"-";"80";"-";"265";"-";"-";"-";"-";"-";"1159";"-";"24";"-";"7";"5";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-"
"253008";"253008";"34";"6";"2";"2578";"1895";"10";"1";"1884";"484";"88";"143";"60";"-";"-";"-";"21";"-";"218";"-";"-";"-";"-";"-";"854";"-";"10";"-";"3";"2";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"253009";"253009";"34";"6";"2";"3181";"1942";"14";"5";"1923";"633";"105";"134";"91";"-";"-";"-";"15";"-";"301";"-";"-";"-";"-";"-";"596";"-";"36";"-";"7";"2";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"253010";"253010";"34";"6";"2";"4907";"2655";"30";"23";"2602";"1000";"102";"142";"152";"-";"-";"-";"18";"-";"354";"-";"-";"-";"-";"-";"723";"-";"75";"-";"16";"12";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-"
"253011";"253011";"34";"6";"2";"6107";"4200";"24";"7";"4169";"1109";"168";"363";"168";"-";"-";"-";"69";"-";"434";"-";"-";"-";"-";"-";"1762";"-";"55";"-";"18";"11";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-"
"255001";"255001";"33";"6";"2";"2047";"1555";"9";"3";"1543";"482";"73";"114";"128";"-";"-";"6";"-";"-";"99";"1";"-";"-";"-";"-";"592";"-";"47";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"255002";"255002";"33";"6";"2";"426";"312";"3";"1";"308";"55";"10";"8";"10";"-";"-";"0";"-";"-";"17";"0";"-";"-";"-";"-";"204";"-";"4";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"255003";"255003";"33";"6";"2";"4765";"3344";"20";"10";"3314";"949";"159";"485";"151";"-";"-";"6";"-";"-";"264";"0";"-";"-";"-";"-";"1257";"-";"43";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"255004";"255004";"33";"6";"2";"1891";"1440";"10";"6";"1424";"468";"35";"140";"102";"-";"-";"0";"-";"-";"100";"0";"-";"-";"-";"-";"563";"-";"16";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"255005";"255005";"33";"6";"2";"2513";"1910";"10";"1";"1899";"465";"92";"248";"74";"-";"-";"1";"-";"-";"133";"1";"-";"-";"-";"-";"860";"-";"25";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"257001";"257001";"35";"6";"2";"3175";"2455";"14";"8";"2433";"665";"108";"188";"138";"-";"-";"9";"-";"-";"116";"-";"-";"-";"-";"-";"802";"-";"-";"-";"-";"407";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"257002";"257002";"35";"6";"2";"436";"335";"5";"0";"330";"74";"29";"44";"17";"-";"-";"3";"-";"-";"17";"-";"-";"-";"-";"-";"81";"-";"-";"-";"-";"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"257003";"257003";"35";"6";"2";"2217";"1669";"11";"3";"1655";"406";"62";"214";"105";"-";"-";"7";"-";"-";"103";"-";"-";"-";"-";"-";"594";"-";"-";"-";"-";"164";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"259001";"259001";"34";"6";"2";"3172";"2376";"22";"14";"2340";"914";"98";"277";"150";"17";"-";"14";"-";"-";"176";"1";"-";"-";"-";"-";"483";"-";"55";"-";"-";"65";"-";"-";"-";"-";"-";"-";"9";"-";"81";"-"
"259002";"259002";"34";"6";"2";"4737";"3284";"30";"18";"3236";"1507";"94";"237";"152";"22";"-";"9";"-";"-";"261";"0";"-";"-";"-";"-";"785";"-";"61";"-";"-";"60";"-";"-";"-";"-";"-";"-";"13";"-";"35";"-"
"259003";"259003";"34";"6";"2";"708";"546";"3";"4";"539";"244";"24";"45";"15";"19";"-";"1";"-";"-";"35";"1";"-";"-";"-";"-";"136";"-";"6";"-";"-";"7";"-";"-";"-";"-";"-";"-";"0";"-";"6";"-"
"259004";"259004";"34";"6";"2";"1512";"1073";"7";"3";"1063";"373";"27";"65";"58";"12";"-";"1";"-";"-";"138";"0";"-";"-";"-";"-";"302";"-";"17";"-";"-";"30";"-";"-";"-";"-";"-";"-";"2";"-";"38";"-"
"259005";"259005";"34";"6";"2";"3897";"2499";"26";"14";"2459";"1145";"74";"131";"99";"11";"-";"8";"-";"-";"269";"0";"-";"-";"-";"-";"558";"-";"60";"-";"-";"77";"-";"-";"-";"-";"-";"-";"4";"-";"23";"-"
"259006";"259006";"34";"6";"2";"3153";"2158";"24";"5";"2129";"793";"58";"158";"86";"16";"-";"9";"-";"-";"238";"0";"-";"-";"-";"-";"583";"-";"25";"-";"-";"136";"-";"-";"-";"-";"-";"-";"4";"-";"23";"-"
"259007";"259007";"34";"6";"2";"2998";"2039";"17";"7";"2015";"783";"55";"152";"126";"16";"-";"10";"-";"-";"158";"1";"-";"-";"-";"-";"474";"-";"97";"-";"-";"83";"-";"-";"-";"-";"-";"-";"12";"-";"48";"-"
"259008";"259008";"34";"6";"2";"1033";"745";"9";"2";"734";"263";"24";"67";"44";"6";"-";"0";"-";"-";"101";"0";"-";"-";"-";"-";"172";"-";"25";"-";"-";"21";"-";"-";"-";"-";"-";"-";"0";"-";"11";"-"
"259009";"259009";"34";"6";"2";"3858";"2676";"17";"18";"2641";"1140";"90";"167";"192";"28";"-";"8";"-";"-";"212";"1";"-";"-";"-";"-";"600";"-";"74";"-";"-";"83";"-";"-";"-";"-";"-";"-";"4";"-";"42";"-"
"259010";"259010";"34";"6";"2";"3948";"2790";"11";"8";"2771";"1182";"118";"248";"146";"24";"-";"18";"-";"-";"213";"0";"-";"-";"-";"-";"635";"-";"40";"-";"-";"79";"-";"-";"-";"-";"-";"-";"8";"-";"60";"-"
"259011";"259011";"34";"6";"2";"1752";"1149";"13";"8";"1128";"478";"42";"56";"83";"8";"-";"5";"-";"-";"125";"0";"-";"-";"-";"-";"199";"-";"46";"-";"-";"61";"-";"-";"-";"-";"-";"-";"4";"-";"21";"-"
"261001";"261001";"35";"6";"2";"1603";"1295";"5";"2";"1288";"218";"66";"50";"52";"-";"-";"4";"-";"-";"53";"-";"-";"-";"-";"-";"794";"-";"-";"-";"-";"51";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"261002";"261002";"35";"6";"2";"411";"339";"0";"0";"339";"56";"22";"3";"44";"-";"-";"1";"-";"-";"10";"-";"-";"-";"-";"-";"187";"-";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"261003";"261003";"35";"6";"2";"1763";"1508";"11";"4";"1493";"213";"286";"77";"66";"-";"-";"7";"-";"-";"42";"-";"-";"-";"-";"-";"677";"-";"-";"-";"-";"125";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"261004";"261004";"35";"6";"2";"1871";"1410";"13";"4";"1393";"273";"104";"46";"57";"-";"-";"40";"-";"-";"83";"-";"-";"-";"-";"-";"731";"-";"-";"-";"-";"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"261005";"261005";"35";"6";"2";"926";"666";"3";"2";"661";"126";"42";"34";"34";"-";"-";"3";"-";"-";"20";"-";"-";"-";"-";"-";"365";"-";"-";"-";"-";"37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"263001";"263001";"35";"6";"2";"1634";"1338";"8";"2";"1328";"764";"42";"90";"42";"-";"-";"0";"-";"-";"76";"1";"-";"-";"-";"-";"292";"-";"21";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"263002";"263002";"35";"6";"2";"2904";"2314";"7";"5";"2302";"1335";"74";"80";"92";"-";"-";"8";"-";"-";"106";"1";"-";"-";"-";"-";"586";"-";"20";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"263003";"263003";"35";"6";"2";"860";"659";"3";"0";"656";"377";"19";"7";"28";"-";"-";"2";"-";"-";"32";"0";"-";"-";"-";"-";"185";"-";"5";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"263004";"263004";"35";"6";"2";"303";"233";"2";"0";"231";"103";"6";"6";"10";"-";"-";"3";"-";"-";"11";"0";"-";"-";"-";"-";"90";"-";"2";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"263005";"263005";"35";"6";"2";"1194";"973";"6";"2";"965";"466";"36";"32";"41";"-";"-";"0";"-";"-";"44";"1";"-";"-";"-";"-";"330";"-";"14";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265001";"265001";"33";"6";"2";"4607";"3239";"24";"6";"3209";"949";"255";"255";"524";"-";"-";"33";"-";"-";"158";"6";"-";"-";"-";"-";"817";"-";"211";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265002";"265002";"33";"6";"2";"4498";"3394";"30";"3";"3361";"929";"210";"345";"428";"-";"-";"24";"-";"-";"149";"2";"-";"-";"-";"-";"1149";"-";"125";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265003";"265003";"33";"6";"2";"6347";"4351";"43";"10";"4298";"1454";"271";"235";"834";"-";"-";"25";"-";"-";"230";"8";"-";"-";"-";"-";"1003";"-";"233";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265004";"265004";"33";"6";"2";"3762";"2568";"31";"5";"2532";"881";"163";"136";"406";"-";"-";"27";"-";"-";"212";"1";"-";"-";"-";"-";"574";"-";"129";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265005";"265005";"33";"6";"2";"5273";"3493";"49";"7";"3437";"1340";"178";"220";"501";"-";"-";"28";"-";"-";"294";"5";"-";"-";"-";"-";"767";"-";"103";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265006";"265006";"33";"6";"2";"7116";"5204";"26";"12";"5166";"1280";"502";"478";"657";"-";"-";"19";"-";"-";"227";"3";"-";"-";"-";"-";"1753";"-";"242";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265007";"265007";"33";"6";"2";"3281";"2489";"19";"4";"2466";"763";"148";"159";"255";"-";"-";"14";"-";"-";"129";"2";"-";"-";"-";"-";"952";"-";"43";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265008";"265008";"33";"6";"2";"1675";"1288";"18";"2";"1268";"385";"54";"223";"134";"-";"-";"15";"-";"-";"95";"1";"-";"-";"-";"-";"332";"-";"28";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265009";"265009";"33";"6";"2";"880";"647";"11";"1";"635";"221";"33";"51";"128";"-";"-";"0";"-";"-";"54";"0";"-";"-";"-";"-";"141";"-";"6";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265010";"265010";"33";"6";"2";"5207";"3172";"49";"18";"3105";"1234";"157";"157";"587";"-";"-";"20";"-";"-";"277";"6";"-";"-";"-";"-";"551";"-";"107";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"267001";"267001";"35";"6";"2";"3934";"2874";"41";"19";"2814";"718";"105";"282";"205";"242";"-";"23";"-";"-";"276";"17";"-";"-";"-";"-";"858";"-";"69";"-";"-";"12";"-";"-";"-";"-";"-";"-";"7";"-";"0";"-"
"267002";"267002";"35";"6";"2";"2438";"1782";"23";"5";"1754";"480";"98";"155";"61";"153";"-";"8";"-";"-";"164";"0";"-";"-";"-";"-";"579";"-";"27";"-";"-";"12";"-";"-";"-";"-";"-";"-";"1";"-";"16";"-"
"267003";"267003";"35";"6";"2";"999";"729";"7";"1";"721";"153";"34";"46";"45";"38";"-";"4";"-";"-";"96";"0";"-";"-";"-";"-";"292";"-";"6";"-";"-";"4";"-";"-";"-";"-";"-";"-";"2";"-";"1";"-"
"267004";"267004";"35";"6";"2";"2523";"1758";"18";"7";"1733";"414";"45";"94";"69";"177";"-";"4";"-";"-";"215";"1";"-";"-";"-";"-";"681";"-";"14";"-";"-";"17";"-";"-";"-";"-";"-";"-";"0";"-";"2";"-"
"267005";"267005";"35";"6";"2";"1281";"976";"8";"5";"963";"252";"38";"64";"22";"165";"-";"0";"-";"-";"92";"0";"-";"-";"-";"-";"314";"-";"8";"-";"-";"3";"-";"-";"-";"-";"-";"-";"5";"-";"0";"-"
"269001";"269001";"34";"6";"2";"3156";"2295";"9";"3";"2283";"417";"-";"146";"105";"11";"-";"-";"-";"-";"142";"-";"-";"-";"-";"-";"399";"-";"-";"-";"-";"1056";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-"
"269002";"269002";"34";"6";"2";"616";"454";"3";"0";"451";"79";"-";"24";"57";"40";"-";"-";"-";"-";"33";"-";"-";"-";"-";"-";"206";"-";"-";"-";"-";"7";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"269003";"269003";"34";"6";"2";"559";"437";"2";"0";"435";"108";"-";"24";"28";"29";"-";"-";"-";"-";"29";"-";"-";"-";"-";"-";"209";"-";"-";"-";"-";"5";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"269004";"269004";"34";"6";"2";"4369";"2967";"29";"7";"2931";"565";"-";"182";"219";"221";"-";"-";"-";"-";"241";"-";"-";"-";"-";"-";"1465";"-";"-";"-";"-";"3";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-"
"269005";"269005";"34";"6";"2";"6799";"4577";"33";"21";"4523";"919";"-";"244";"362";"449";"-";"-";"-";"-";"383";"-";"-";"-";"-";"-";"2107";"-";"-";"-";"-";"11";"-";"48";"-";"-";"-";"-";"-";"-";"-";"-"
"271001";"271001";"34";"6";"2";"3423";"2377";"29";"5";"2343";"766";"69";"19";"122";"-";"-";"-";"-";"-";"181";"-";"-";"-";"-";"-";"1186";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"271002";"271002";"34";"6";"2";"4602";"3166";"28";"7";"3131";"867";"106";"28";"103";"-";"-";"-";"-";"-";"288";"-";"-";"-";"-";"-";"1739";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"301001";"301001";"37";"7";"2";"507";"375";"4";"1";"370";"58";"37";"3";"78";"6";"1";"-";"-";"-";"27";"-";"-";"-";"-";"-";"130";"-";"8";"-";"0";"22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"301002";"301002";"37";"7";"2";"2093";"1291";"15";"1";"1275";"211";"109";"39";"230";"63";"1";"-";"-";"-";"117";"-";"-";"-";"-";"-";"440";"-";"34";"-";"2";"29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"301003";"301003";"37";"7";"2";"354";"301";"2";"0";"299";"17";"11";"0";"39";"93";"0";"-";"-";"-";"18";"-";"-";"-";"-";"-";"111";"-";"2";"-";"0";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"301004";"301004";"37";"7";"2";"617";"448";"4";"3";"441";"58";"74";"4";"60";"13";"1";"-";"-";"-";"58";"-";"-";"-";"-";"-";"105";"-";"5";"-";"0";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"301005";"301005";"37";"7";"2";"1681";"1140";"12";"1";"1127";"284";"174";"22";"166";"73";"3";"-";"-";"-";"72";"-";"-";"-";"-";"-";"253";"-";"8";"-";"0";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"301006";"301006";"37";"7";"2";"909";"573";"5";"2";"566";"90";"48";"9";"165";"25";"1";"-";"-";"-";"58";"-";"-";"-";"-";"-";"145";"-";"15";"-";"0";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"303001";"303001";"39";"7";"2";"3698";"2550";"17";"4";"2529";"690";"41";"1146";"152";"-";"49";"39";"-";"-";"113";"2";"48";"-";"-";"-";"224";"-";"23";"-";"-";"0";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"303002";"303002";"39";"7";"2";"1392";"888";"14";"2";"872";"212";"10";"263";"38";"-";"188";"5";"-";"-";"59";"0";"1";"-";"-";"-";"88";"-";"7";"-";"-";"0";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"303003";"303003";"39";"7";"2";"579";"398";"5";"0";"393";"99";"13";"122";"26";"-";"7";"5";"-";"-";"40";"1";"2";"-";"-";"-";"73";"-";"5";"-";"-";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"305001";"305001";"37";"7";"2";"3084";"2260";"23";"4";"2233";"1013";"151";"246";"155";"-";"-";"-";"-";"-";"123";"-";"-";"-";"-";"-";"502";"-";"31";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"305002";"305002";"37";"7";"2";"3026";"2122";"22";"1";"2099";"1040";"112";"129";"123";"-";"-";"-";"-";"-";"132";"-";"-";"-";"-";"-";"508";"-";"36";"-";"-";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"305003";"305003";"37";"7";"2";"1987";"1342";"9";"5";"1328";"596";"53";"68";"116";"-";"-";"-";"-";"-";"111";"-";"-";"-";"-";"-";"338";"-";"32";"-";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"305004";"305004";"37";"7";"2";"2623";"1773";"7";"4";"1762";"737";"84";"64";"159";"-";"-";"-";"-";"-";"91";"-";"-";"-";"-";"-";"585";"-";"35";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
