"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"326008";"326008";"38";"5";"2";"2498";"1743";"30";"7";"1706";"445";"64";"27";"66";"21";"-";"-";"6";"-";"-";"272";"0";"-";"687";"-";"-";"74";"-";"13";"-";"29";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"326009";"326009";"38";"5";"2";"3899";"2636";"31";"18";"2587";"687";"63";"133";"78";"30";"-";"-";"10";"-";"-";"388";"13";"-";"916";"-";"-";"191";"-";"37";"-";"37";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"326010";"326010";"38";"5";"2";"1483";"1033";"19";"5";"1009";"214";"23";"19";"45";"9";"-";"-";"3";"-";"-";"118";"0";"-";"409";"-";"-";"119";"-";"37";"-";"12";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"326011";"326011";"38";"5";"2";"1143";"841";"9";"1";"831";"152";"20";"30";"27";"14";"-";"-";"7";"-";"-";"128";"8";"-";"330";"-";"-";"56";"-";"47";"-";"11";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"326012";"326012";"38";"5";"2";"3230";"2227";"29";"5";"2193";"558";"146";"58";"118";"49";"-";"-";"55";"-";"-";"295";"1";"-";"681";"-";"-";"144";"-";"26";"-";"59";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"326013";"326013";"38";"5";"2";"2879";"1845";"13";"6";"1826";"598";"83";"22";"83";"47";"-";"-";"49";"-";"-";"383";"1";"-";"430";"-";"-";"77";"-";"17";"-";"30";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-"
"326014";"326014";"38";"5";"2";"1279";"942";"21";"3";"918";"217";"39";"14";"42";"38";"-";"-";"9";"-";"-";"154";"0";"-";"332";"-";"-";"42";"-";"7";"-";"24";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"326015";"326015";"38";"5";"2";"2737";"1923";"25";"8";"1890";"532";"53";"30";"58";"51";"-";"-";"33";"-";"-";"342";"1";"-";"678";"-";"-";"55";"-";"14";"-";"37";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-"
"326016";"326016";"38";"5";"2";"3488";"2692";"21";"9";"2662";"648";"156";"54";"142";"67";"-";"-";"45";"-";"-";"416";"2";"-";"929";"-";"-";"116";"-";"23";"-";"63";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"326017";"326017";"38";"5";"2";"710";"526";"9";"1";"516";"130";"17";"9";"32";"2";"-";"-";"2";"-";"-";"89";"0";"-";"176";"-";"-";"36";"-";"9";"-";"14";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"326018";"326018";"38";"5";"2";"3418";"2287";"22";"27";"2238";"701";"102";"48";"128";"41";"-";"-";"76";"-";"-";"282";"1";"-";"723";"-";"-";"84";"-";"16";"-";"32";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"329001";"329001";"39";"5";"2";"8862";"6010";"80";"18";"5912";"1608";"281";"601";"253";"140";"-";"-";"-";"-";"-";"897";"-";"-";"1702";"-";"-";"249";"-";"115";"-";"66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329002";"329002";"39";"5";"2";"650";"498";"7";"1";"490";"95";"14";"24";"38";"10";"-";"-";"-";"-";"-";"90";"-";"-";"181";"-";"-";"21";"-";"13";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329003";"329003";"39";"5";"2";"606";"481";"5";"0";"476";"110";"23";"39";"26";"4";"-";"-";"-";"-";"-";"87";"-";"-";"139";"-";"-";"27";"-";"8";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329004";"329004";"39";"5";"2";"4407";"3124";"39";"10";"3075";"775";"120";"382";"100";"69";"-";"-";"-";"-";"-";"546";"-";"-";"896";"-";"-";"92";"-";"43";"-";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329005";"329005";"39";"5";"2";"1049";"793";"14";"4";"775";"128";"30";"64";"60";"45";"-";"-";"-";"-";"-";"148";"-";"-";"169";"-";"-";"47";"-";"75";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329006";"329006";"39";"5";"2";"4907";"3218";"59";"17";"3142";"874";"132";"262";"162";"62";"-";"-";"-";"-";"-";"491";"-";"-";"777";"-";"-";"293";"-";"52";"-";"37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329008";"329008";"39";"5";"2";"1140";"897";"11";"0";"886";"170";"147";"55";"97";"30";"-";"-";"-";"-";"-";"104";"-";"-";"134";"-";"-";"85";"-";"52";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329009";"329009";"39";"5";"2";"1003";"760";"13";"0";"747";"149";"17";"286";"18";"27";"-";"-";"-";"-";"-";"93";"-";"-";"110";"-";"-";"31";"-";"10";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329010";"329010";"39";"5";"2";"1040";"801";"10";"1";"790";"192";"30";"58";"34";"25";"-";"-";"-";"-";"-";"142";"-";"-";"258";"-";"-";"24";"-";"7";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329011";"329011";"39";"5";"2";"559";"419";"8";"0";"411";"92";"7";"28";"27";"23";"-";"-";"-";"-";"-";"69";"-";"-";"125";"-";"-";"25";"-";"11";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329012";"329012";"39";"5";"2";"888";"659";"7";"0";"652";"144";"14";"63";"41";"32";"-";"-";"-";"-";"-";"108";"-";"-";"178";"-";"-";"41";"-";"14";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329013";"329013";"39";"5";"2";"1088";"777";"15";"0";"762";"187";"33";"77";"45";"11";"-";"-";"-";"-";"-";"146";"-";"-";"184";"-";"-";"47";"-";"13";"-";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329014";"329014";"39";"5";"2";"720";"490";"8";"2";"480";"87";"18";"38";"74";"19";"-";"-";"-";"-";"-";"114";"-";"-";"98";"-";"-";"16";"-";"5";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330001";"330001";"40";"5";"2";"1426";"994";"17";"7";"970";"296";"43";"30";"72";"34";"-";"0";"-";"2";"-";"168";"1";"-";"263";"-";"-";"32";"-";"9";"-";"19";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"330002";"330002";"40";"5";"2";"985";"722";"10";"0";"712";"166";"28";"33";"42";"22";"-";"1";"-";"0";"-";"99";"0";"-";"238";"-";"-";"37";"-";"8";"-";"38";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330003";"330003";"40";"5";"2";"1314";"982";"11";"2";"969";"229";"97";"45";"44";"30";"-";"1";"-";"2";"-";"147";"0";"-";"299";"-";"-";"21";"-";"14";"-";"39";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"330004";"330004";"40";"5";"2";"1477";"1155";"20";"3";"1132";"396";"23";"24";"57";"97";"-";"2";"-";"2";"-";"157";"0";"-";"294";"-";"-";"49";"-";"7";"-";"24";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330005";"330005";"40";"5";"2";"6098";"4409";"69";"5";"4335";"1921";"66";"82";"195";"72";"-";"6";"-";"53";"-";"542";"16";"-";"1007";"-";"-";"176";"-";"71";"-";"125";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"330006";"330006";"40";"5";"2";"5940";"3765";"48";"12";"3705";"1653";"58";"50";"276";"76";"-";"7";"-";"99";"-";"480";"10";"-";"623";"-";"-";"194";"-";"68";"-";"109";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"330007";"330007";"40";"5";"2";"1962";"1485";"9";"0";"1476";"576";"28";"38";"55";"58";"-";"4";"-";"15";"-";"221";"3";"-";"363";"-";"-";"65";"-";"15";"-";"34";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"330008";"330008";"40";"5";"2";"2631";"1996";"25";"4";"1967";"556";"26";"40";"72";"71";"-";"3";"-";"7";"-";"346";"3";"-";"719";"-";"-";"44";"-";"13";"-";"67";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330009";"330009";"40";"5";"2";"5491";"3645";"47";"7";"3591";"1347";"100";"77";"247";"78";"-";"15";"-";"0";"-";"427";"7";"-";"951";"-";"-";"190";"-";"48";"-";"104";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330010";"330010";"40";"5";"2";"1344";"1037";"8";"1";"1028";"217";"20";"13";"76";"13";"-";"0";"-";"4";"-";"160";"2";"-";"418";"-";"-";"54";"-";"34";"-";"17";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330011";"330011";"40";"5";"2";"3103";"2208";"36";"4";"2168";"718";"81";"36";"117";"30";"-";"3";"-";"4";"-";"282";"1";"-";"690";"-";"-";"122";"-";"41";"-";"42";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"330012";"330012";"40";"5";"2";"159";"146";"1";"0";"145";"105";"1";"2";"0";"1";"-";"0";"-";"0";"-";"7";"0";"-";"24";"-";"-";"1";"-";"2";"-";"2";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330013";"330013";"40";"5";"2";"1100";"835";"7";"4";"824";"174";"17";"24";"45";"16";"-";"0";"-";"1";"-";"169";"0";"-";"308";"-";"-";"42";"-";"9";"-";"19";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330014";"330014";"40";"5";"2";"536";"380";"1";"0";"379";"103";"11";"6";"24";"15";"-";"1";"-";"0";"-";"48";"0";"-";"137";"-";"-";"18";"-";"6";"-";"10";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330015";"330015";"40";"5";"2";"2294";"1649";"13";"0";"1636";"568";"36";"25";"75";"20";"-";"1";"-";"6";"-";"290";"0";"-";"511";"-";"-";"58";"-";"20";"-";"26";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330016";"330016";"40";"5";"2";"391";"290";"2";"2";"286";"75";"9";"4";"18";"3";"-";"0";"-";"0";"-";"65";"0";"-";"89";"-";"-";"10";"-";"3";"-";"10";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330017";"330017";"40";"5";"2";"150";"111";"0";"0";"111";"69";"0";"1";"3";"0";"-";"0";"-";"0";"-";"13";"0";"-";"12";"-";"-";"12";"-";"1";"-";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330018";"330018";"40";"5";"2";"602";"445";"9";"0";"436";"116";"8";"14";"26";"10";"-";"0";"-";"2";"-";"72";"0";"-";"156";"-";"-";"18";"-";"6";"-";"8";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330019";"330019";"40";"5";"2";"6003";"3503";"99";"15";"3389";"970";"136";"99";"245";"131";"-";"11";"-";"4";"-";"381";"5";"-";"1101";"-";"-";"164";"-";"69";"-";"73";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330020";"330020";"40";"5";"2";"4500";"3174";"47";"9";"3118";"1024";"132";"89";"197";"69";"-";"6";"-";"3";"-";"353";"4";"-";"1037";"-";"-";"105";"-";"30";"-";"69";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330021";"330021";"40";"5";"2";"5196";"3901";"55";"11";"3835";"1355";"120";"71";"190";"100";"-";"2";"-";"3";"-";"513";"12";"-";"1225";"-";"-";"108";"-";"53";"-";"81";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"330022";"330022";"40";"5";"2";"6718";"4245";"64";"13";"4168";"1518";"108";"91";"367";"143";"-";"8";"-";"4";"-";"499";"8";"-";"1071";"-";"-";"197";"-";"56";"-";"93";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"330024";"330024";"40";"5";"2";"1082";"802";"24";"0";"778";"172";"26";"17";"29";"47";"-";"1";"-";"0";"-";"100";"2";"-";"334";"-";"-";"25";"-";"6";"-";"19";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"330025";"330025";"40";"5";"2";"2091";"1639";"20";"1";"1618";"460";"44";"41";"93";"38";"-";"0";"-";"0";"-";"258";"2";"-";"582";"-";"-";"40";"-";"25";"-";"32";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"330026";"330026";"40";"5";"2";"465";"376";"11";"1";"364";"129";"13";"9";"16";"10";"-";"1";"-";"2";"-";"64";"1";"-";"100";"-";"-";"8";"-";"4";"-";"7";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"336001";"336001";"33";"5";"2";"4596";"3229";"49";"6";"3174";"924";"179";"180";"91";"54";"-";"-";"-";"-";"364";"372";"-";"-";"774";"-";"-";"205";"27";"-";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-"
"336002";"336002";"33";"5";"2";"5688";"4204";"57";"26";"4121";"1035";"287";"298";"123";"93";"-";"-";"-";"-";"303";"619";"-";"-";"1077";"-";"-";"196";"39";"-";"-";"-";"-";"-";"-";"51";"-";"-";"-";"-";"-";"-"
"336003";"336003";"33";"5";"2";"4762";"3428";"49";"25";"3354";"960";"165";"464";"81";"104";"-";"-";"-";"-";"470";"332";"-";"-";"424";"-";"-";"229";"119";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-"
"336004";"336004";"33";"5";"2";"3198";"2409";"29";"6";"2374";"641";"136";"253";"46";"84";"-";"-";"-";"-";"482";"240";"-";"-";"260";"-";"-";"178";"50";"-";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-"
"340001";"340001";"39";"5";"2";"4550";"3075";"46";"10";"3019";"957";"53";"795";"93";"59";"0";"10";"-";"26";"5";"513";"12";"-";"267";"-";"-";"89";"-";"51";"-";"89";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340002";"340002";"39";"5";"2";"1588";"985";"19";"1";"965";"253";"9";"326";"28";"14";"1";"16";"-";"6";"0";"172";"7";"-";"49";"-";"-";"51";"-";"13";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340004";"340004";"39";"5";"2";"1515";"1091";"23";"1";"1067";"252";"48";"207";"30";"49";"2";"0";"-";"40";"0";"169";"2";"-";"169";"-";"-";"42";"-";"29";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340005";"340005";"39";"5";"2";"4332";"3260";"34";"17";"3209";"1040";"129";"919";"188";"48";"6";"7";"-";"61";"0";"170";"9";"-";"234";"-";"-";"151";"-";"184";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340006";"340006";"39";"5";"2";"3689";"2990";"36";"2";"2952";"857";"91";"689";"244";"50";"3";"2";"-";"97";"0";"155";"3";"-";"215";"-";"-";"202";"-";"279";"-";"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340008";"340008";"39";"5";"2";"3131";"2356";"34";"4";"2318";"702";"60";"587";"100";"50";"1";"2";"-";"75";"2";"209";"6";"-";"290";"-";"-";"80";"-";"102";"-";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"340010";"340010";"39";"5";"2";"4388";"3000";"63";"10";"2927";"859";"84";"536";"152";"81";"0";"4";"-";"48";"2";"461";"17";"-";"391";"-";"-";"136";"-";"79";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350001";"350001";"34";"5";"2";"3197";"2398";"34";"4";"2360";"723";"53";"189";"287";"41";"-";"-";"-";"5";"3";"192";"-";"-";"717";"-";"-";"78";"13";"38";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350002";"350002";"34";"5";"2";"2008";"1540";"20";"6";"1514";"432";"44";"77";"205";"39";"-";"-";"-";"5";"4";"156";"-";"-";"460";"-";"-";"38";"16";"28";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350003";"350003";"34";"5";"2";"1318";"1008";"11";"6";"991";"246";"16";"70";"192";"10";"-";"-";"-";"2";"6";"85";"-";"-";"286";"-";"-";"33";"14";"16";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350004";"350004";"34";"5";"2";"1158";"874";"19";"1";"854";"187";"19";"67";"109";"25";"-";"-";"-";"4";"29";"81";"-";"-";"253";"-";"-";"26";"26";"18";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350005";"350005";"34";"5";"2";"981";"737";"4";"1";"732";"150";"25";"67";"83";"21";"-";"-";"-";"0";"5";"78";"-";"-";"196";"-";"-";"75";"5";"19";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350006";"350006";"34";"5";"2";"3577";"2859";"27";"2";"2830";"812";"91";"293";"608";"51";"-";"-";"-";"5";"1";"202";"-";"-";"449";"-";"-";"173";"22";"103";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350008";"350008";"34";"5";"2";"2305";"1832";"18";"6";"1808";"311";"22";"209";"417";"47";"-";"-";"-";"0";"2";"165";"-";"-";"411";"-";"-";"53";"122";"35";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350009";"350009";"34";"5";"2";"2238";"1788";"16";"4";"1768";"321";"62";"140";"376";"128";"-";"-";"-";"0";"8";"139";"-";"-";"471";"-";"-";"51";"15";"41";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350011";"350011";"34";"5";"2";"2006";"1718";"18";"2";"1698";"232";"118";"249";"369";"38";"-";"-";"-";"1";"3";"57";"-";"-";"439";"-";"-";"69";"11";"108";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"350012";"350012";"34";"5";"2";"2444";"1870";"20";"4";"1846";"437";"106";"130";"228";"103";"-";"-";"-";"0";"4";"167";"-";"-";"480";"-";"-";"86";"21";"51";"-";"33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"360001";"360001";"29";"5";"2";"655";"472";"6";"2";"464";"149";"11";"6";"8";"2";"-";"-";"1";"14";"0";"58";"2";"-";"125";"5";"-";"14";"22";"2";"-";"10";"35";"-";"-";"-";"-";"-";"-";"-";"0";"-"
"360003";"360003";"29";"5";"2";"2124";"1431";"21";"2";"1408";"566";"10";"17";"47";"4";"-";"-";"8";"0";"2";"106";"8";"-";"343";"17";"-";"51";"55";"10";"-";"23";"136";"-";"-";"-";"-";"-";"-";"-";"5";"-"
"360008";"360008";"29";"5";"2";"830";"557";"6";"3";"548";"162";"3";"18";"20";"1";"-";"-";"1";"1";"2";"74";"1";"-";"80";"19";"-";"24";"39";"6";"-";"6";"90";"-";"-";"-";"-";"-";"-";"-";"1";"-"
"360011";"360011";"29";"5";"2";"1770";"1202";"10";"4";"1188";"460";"11";"18";"36";"7";"-";"-";"2";"2";"3";"132";"1";"-";"208";"19";"-";"58";"75";"15";"-";"12";"124";"-";"-";"-";"-";"-";"-";"-";"5";"-"
"360013";"360013";"29";"5";"2";"5512";"4022";"41";"16";"3965";"2057";"22";"48";"139";"14";"-";"-";"1";"3";"2";"298";"8";"-";"784";"14";"-";"147";"126";"31";"-";"34";"230";"-";"-";"-";"-";"-";"-";"-";"7";"-"
"360014";"360014";"29";"5";"2";"40";"38";"1";"0";"37";"6";"1";"0";"0";"0";"-";"-";"0";"0";"0";"4";"0";"-";"25";"0";"-";"1";"0";"0";"-";"0";"0";"-";"-";"-";"-";"-";"-";"-";"0";"-"
"360019";"360019";"29";"5";"2";"2749";"1883";"27";"7";"1849";"725";"19";"24";"62";"13";"-";"-";"2";"0";"1";"206";"1";"-";"374";"17";"-";"97";"67";"26";"-";"30";"175";"-";"-";"-";"-";"-";"-";"-";"10";"-"
"360020";"360020";"29";"5";"2";"7205";"4769";"94";"28";"4647";"1806";"30";"111";"319";"3";"-";"-";"5";"1";"28";"486";"8";"-";"399";"52";"-";"182";"836";"34";"-";"19";"306";"-";"-";"-";"-";"-";"-";"-";"22";"-"
"360021";"360021";"29";"5";"2";"4386";"3044";"63";"17";"2964";"1083";"8";"75";"216";"8";"-";"-";"2";"1";"7";"264";"3";"-";"359";"26";"-";"103";"519";"25";"-";"33";"212";"-";"-";"-";"-";"-";"-";"-";"20";"-"
"360026";"360026";"29";"5";"2";"443";"294";"4";"1";"289";"114";"3";"2";"18";"1";"-";"-";"0";"0";"0";"41";"0";"-";"45";"5";"-";"23";"7";"5";"-";"2";"23";"-";"-";"-";"-";"-";"-";"-";"0";"-"
"360027";"360027";"29";"5";"2";"400";"317";"5";"1";"311";"70";"3";"7";"46";"1";"-";"-";"0";"0";"0";"37";"0";"-";"44";"3";"-";"16";"57";"14";"-";"5";"8";"-";"-";"-";"-";"-";"-";"-";"0";"-"
"360028";"360028";"29";"5";"2";"119";"97";"2";"1";"94";"17";"0";"8";"12";"0";"-";"-";"0";"1";"0";"7";"1";"-";"30";"0";"-";"5";"2";"3";"-";"0";"8";"-";"-";"-";"-";"-";"-";"-";"0";"-"
"360029";"360029";"29";"5";"2";"1825";"1264";"27";"4";"1233";"495";"11";"30";"61";"4";"-";"-";"1";"2";"0";"155";"4";"-";"198";"19";"-";"68";"89";"11";"-";"7";"75";"-";"-";"-";"-";"-";"-";"-";"3";"-"
"360035";"360035";"29";"5";"2";"2260";"1579";"26";"11";"1542";"484";"10";"23";"66";"3";"-";"-";"1";"0";"1";"177";"5";"-";"331";"28";"-";"65";"120";"10";"-";"10";"198";"-";"-";"-";"-";"-";"-";"-";"10";"-"
"360036";"360036";"29";"5";"2";"3039";"2056";"30";"6";"2020";"703";"17";"50";"100";"6";"-";"-";"8";"2";"0";"232";"28";"-";"415";"14";"-";"73";"178";"15";"-";"19";"148";"-";"-";"-";"-";"-";"-";"-";"12";"-"
"360037";"360037";"29";"5";"2";"1477";"855";"13";"4";"838";"375";"6";"10";"60";"1";"-";"-";"5";"1";"0";"87";"3";"-";"101";"13";"-";"40";"76";"4";"-";"8";"46";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"370001";"370001";"32";"5";"2";"3498";"2384";"39";"6";"2339";"717";"125";"134";"127";"33";"-";"4";"0";"-";"6";"337";"1";"-";"668";"-";"-";"118";"-";"33";"-";"27";"5";"-";"-";"-";"-";"-";"-";"-";"-";"4"
"370002";"370002";"32";"5";"2";"846";"595";"10";"1";"584";"216";"22";"43";"10";"6";"-";"2";"0";"-";"2";"72";"0";"-";"170";"-";"-";"30";"-";"5";"-";"4";"2";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"370003";"370003";"32";"5";"2";"1680";"1143";"27";"2";"1114";"354";"39";"49";"39";"13";"-";"0";"0";"-";"7";"152";"1";"-";"365";"-";"-";"57";"-";"12";"-";"21";"1";"-";"-";"-";"-";"-";"-";"-";"-";"4"
"370004";"370004";"32";"5";"2";"1959";"1541";"26";"1";"1514";"564";"71";"129";"40";"18";"-";"3";"0";"-";"4";"114";"0";"-";"489";"-";"-";"46";"-";"10";"-";"18";"7";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"370005";"370005";"32";"5";"2";"806";"574";"12";"4";"558";"157";"14";"25";"25";"6";"-";"1";"0";"-";"3";"78";"0";"-";"197";"-";"-";"41";"-";"4";"-";"7";"0";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"370006";"370006";"32";"5";"2";"2063";"1489";"15";"2";"1472";"694";"32";"57";"45";"19";"-";"0";"1";"-";"3";"159";"0";"-";"366";"-";"-";"53";"-";"14";"-";"22";"5";"-";"-";"-";"-";"-";"-";"-";"-";"2"
"370007";"370007";"32";"5";"2";"1332";"903";"15";"0";"888";"317";"37";"44";"33";"19";"-";"4";"0";"-";"1";"92";"0";"-";"266";"-";"-";"44";"-";"12";"-";"13";"3";"-";"-";"-";"-";"-";"-";"-";"-";"3"
"370008";"370008";"32";"5";"2";"3834";"2902";"25";"8";"2869";"1147";"195";"191";"107";"49";"-";"4";"49";"-";"40";"280";"0";"-";"641";"-";"-";"91";"-";"19";"-";"45";"7";"-";"-";"-";"-";"-";"-";"-";"-";"4"
"370009";"370009";"32";"5";"2";"1119";"874";"15";"2";"857";"279";"48";"129";"20";"9";"-";"2";"1";"-";"45";"98";"0";"-";"183";"-";"-";"21";"-";"8";"-";"11";"2";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"370010";"370010";"32";"5";"2";"1347";"985";"15";"1";"969";"245";"112";"56";"26";"17";"-";"0";"0";"-";"16";"118";"1";"-";"293";"-";"-";"48";"-";"13";"-";"20";"3";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"370011";"370011";"32";"5";"2";"2565";"1887";"24";"9";"1854";"795";"67";"100";"90";"31";"-";"3";"0";"-";"4";"188";"0";"-";"370";"-";"-";"150";"-";"21";"-";"27";"5";"-";"-";"-";"-";"-";"-";"-";"-";"3"
"370012";"370012";"32";"5";"2";"449";"293";"6";"2";"285";"73";"12";"24";"14";"7";"-";"0";"0";"-";"0";"52";"0";"-";"81";"-";"-";"16";"-";"1";"-";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"370013";"370013";"32";"5";"2";"529";"360";"3";"2";"355";"110";"14";"17";"10";"8";"-";"1";"0";"-";"3";"47";"0";"-";"116";"-";"-";"14";"-";"6";"-";"5";"3";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"370014";"370014";"32";"5";"2";"2611";"1892";"27";"9";"1856";"680";"103";"86";"66";"35";"-";"3";"4";"-";"4";"198";"0";"-";"555";"-";"-";"78";"-";"13";"-";"25";"5";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"370020";"370020";"32";"5";"2";"3821";"2847";"28";"14";"2805";"1107";"249";"185";"102";"58";"-";"5";"1";"-";"1";"202";"2";"-";"717";"-";"-";"113";"-";"22";"-";"25";"14";"-";"-";"-";"-";"-";"-";"-";"-";"2"
"370021";"370021";"32";"5";"2";"3351";"2163";"37";"15";"2111";"849";"151";"147";"93";"58";"-";"0";"0";"-";"3";"142";"2";"-";"476";"-";"-";"123";"-";"31";"-";"23";"12";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"370022";"370022";"32";"5";"2";"4838";"3093";"45";"22";"3026";"1333";"193";"156";"156";"69";"-";"9";"1";"-";"9";"230";"4";"-";"545";"-";"-";"210";"-";"40";"-";"41";"22";"-";"-";"-";"-";"-";"-";"-";"-";"8"
"370023";"370023";"32";"5";"2";"4953";"3503";"32";"8";"3463";"1432";"257";"240";"133";"72";"-";"3";"0";"-";"7";"251";"0";"-";"756";"-";"-";"190";"-";"42";"-";"46";"26";"-";"-";"-";"-";"-";"-";"-";"-";"8"
"370024";"370024";"32";"5";"2";"5215";"3756";"43";"6";"3707";"1653";"331";"195";"134";"38";"-";"1";"2";"-";"11";"309";"2";"-";"753";"-";"-";"166";"-";"33";"-";"44";"28";"-";"-";"-";"-";"-";"-";"-";"-";"7"
