"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2009 - Stemmeberettigede";"KV2009 - Afgivne stemmer";"KV2009 - Blanke stemmer";"KV2009 - Andre ugyldige stemmer";"KV2009 - Gyldige stemmer";"KV2009 - A";"KV2009 - B";"KV2009 - C";"KV2009 - F";"KV2009 - I";"KV2009 - J";"KV2009 - K";"KV2009 - M";"KV2009 - G";"KV2009 - N";"KV2009 - O";"KV2009 - H";"KV2009 - S";"KV2009 - V";"KV2009 - U";"KV2009 - Z";"KV2009 - Ø";"KV2009 - L";"KV2009 - Å";"KV2009 - R";"KV2009 - D";"KV2009 - P";"KV2009 - E";"KV2009 - 1";"KV2009 - 2";"KV2009 - 3";"KV2009 - Æ";"KV2009 - W";"KV2009 - Q";"KV2009 - Y";"KV2009 - T"
"260005";"260005";"24";"3";"1";"3208";"2211";"25";"2";"2184";"765";"52";"157";"284";"3";"-";"-";"-";"-";"8";"383";"-";"-";"492";"-";"-";"-";"-";"-";"-";"-";"-";"39";"-";"-";"-";"-";"-";"-";"-";"1"
"265001";"265001";"36";"5";"2";"4627";"3027";"25";"9";"2993";"728";"170";"370";"902";"8";"-";"-";"-";"-";"-";"161";"-";"-";"483";"-";"-";"160";"10";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265002";"265002";"36";"5";"2";"4375";"3176";"19";"7";"3150";"788";"176";"507";"683";"9";"-";"-";"-";"-";"-";"167";"-";"-";"701";"-";"-";"105";"14";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265003";"265003";"36";"5";"2";"6397";"4128";"41";"24";"4063";"1178";"211";"325";"1357";"9";"-";"-";"-";"-";"-";"218";"-";"-";"557";"-";"-";"187";"14";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265004";"265004";"36";"5";"2";"3731";"2354";"33";"8";"2313";"659";"134";"210";"690";"5";"-";"-";"-";"-";"-";"201";"-";"-";"298";"-";"-";"112";"4";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265005";"265005";"36";"5";"2";"5321";"3217";"31";"14";"3172";"1034";"151";"307";"845";"4";"-";"-";"-";"-";"-";"275";"-";"-";"448";"-";"-";"95";"8";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265006";"265006";"36";"5";"2";"5685";"4231";"42";"8";"4181";"840";"275";"636";"891";"18";"-";"-";"-";"-";"-";"253";"-";"-";"1119";"-";"-";"128";"21";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265007";"265007";"36";"5";"2";"3286";"2458";"13";"4";"2441";"709";"95";"222";"541";"1";"-";"-";"-";"-";"-";"161";"-";"-";"673";"-";"-";"30";"8";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265008";"265008";"36";"5";"2";"1782";"1272";"6";"2";"1264";"328";"47";"301";"237";"4";"-";"-";"-";"-";"-";"102";"-";"-";"220";"-";"-";"22";"1";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265009";"265009";"36";"5";"2";"889";"586";"11";"0";"575";"169";"13";"64";"160";"1";"-";"-";"-";"-";"-";"54";"-";"-";"104";"-";"-";"7";"3";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265010";"265010";"36";"5";"2";"5380";"3010";"39";"11";"2960";"954";"111";"197";"1001";"5";"-";"-";"-";"-";"-";"267";"-";"-";"323";"-";"-";"89";"6";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265011";"265011";"36";"5";"2";"2428";"1740";"15";"5";"1720";"473";"79";"138";"270";"2";"-";"-";"-";"-";"-";"173";"-";"-";"555";"-";"-";"30";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265013";"265013";"36";"5";"2";"4556";"3093";"22";"5";"3066";"788";"103";"360";"355";"5";"-";"-";"-";"-";"-";"270";"-";"-";"1159";"-";"-";"23";"3";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265014";"265014";"36";"5";"2";"1924";"1428";"13";"2";"1413";"468";"43";"116";"195";"2";"-";"-";"-";"-";"-";"140";"-";"-";"432";"-";"-";"16";"1";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265015";"265015";"36";"5";"2";"2789";"2070";"15";"8";"2047";"429";"59";"306";"208";"1";"-";"-";"-";"-";"-";"176";"-";"-";"847";"-";"-";"18";"2";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265016";"265016";"36";"5";"2";"1682";"1272";"15";"2";"1255";"646";"29";"79";"124";"3";"-";"-";"-";"-";"-";"92";"-";"-";"263";"-";"-";"18";"1";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265017";"265017";"36";"5";"2";"3279";"2389";"24";"5";"2360";"1207";"58";"119";"237";"4";"-";"-";"-";"-";"-";"159";"-";"-";"553";"-";"-";"21";"2";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265018";"265018";"36";"5";"2";"832";"591";"3";"0";"588";"328";"17";"21";"49";"0";"-";"-";"-";"-";"-";"49";"-";"-";"113";"-";"-";"11";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265020";"265020";"36";"5";"2";"1183";"878";"6";"1";"871";"374";"19";"42";"88";"1";"-";"-";"-";"-";"-";"55";"-";"-";"275";"-";"-";"16";"0";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265021";"265021";"36";"5";"2";"2290";"1350";"10";"0";"1340";"290";"132";"93";"487";"5";"-";"-";"-";"-";"-";"51";"-";"-";"174";"-";"-";"105";"3";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"269001";"269001";"35";"5";"2";"3208";"2232";"12";"6";"2214";"372";"32";"131";"194";"-";"-";"-";"-";"-";"-";"124";"-";"-";"325";"-";"-";"-";"1025";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"269002";"269002";"35";"5";"2";"616";"450";"6";"2";"442";"58";"14";"26";"51";"-";"-";"-";"-";"-";"-";"41";"-";"-";"216";"-";"-";"-";"4";"-";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"269003";"269003";"35";"5";"2";"567";"433";"4";"1";"428";"88";"7";"15";"49";"-";"-";"-";"-";"-";"-";"27";"-";"-";"218";"-";"-";"-";"9";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"269004";"269004";"35";"5";"2";"4306";"2948";"17";"9";"2922";"560";"48";"207";"293";"-";"-";"-";"-";"-";"-";"257";"-";"-";"1325";"-";"-";"-";"4";"-";"-";"228";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"269005";"269005";"35";"5";"2";"6803";"4481";"35";"11";"4435";"886";"56";"269";"480";"-";"-";"-";"-";"-";"-";"380";"-";"-";"2032";"-";"-";"-";"10";"-";"-";"322";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270001";"270001";"23";"3";"1";"3708";"2497";"17";"3";"2477";"474";"36";"116";"348";"-";"-";"20";"-";"-";"-";"227";"7";"-";"1222";"-";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270002";"270002";"23";"3";"1";"2500";"1652";"14";"3";"1635";"387";"39";"113";"284";"-";"-";"18";"-";"-";"-";"165";"4";"-";"578";"-";"-";"47";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270003";"270003";"23";"3";"1";"419";"320";"2";"0";"318";"51";"7";"24";"42";"-";"-";"4";"-";"-";"-";"31";"0";"-";"143";"-";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270004";"270004";"23";"3";"1";"3657";"2439";"11";"4";"2424";"516";"28";"102";"325";"-";"-";"106";"-";"-";"-";"210";"1";"-";"1093";"-";"-";"43";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270005";"270005";"23";"3";"1";"1713";"1278";"4";"1";"1273";"295";"19";"124";"209";"-";"-";"3";"-";"-";"-";"107";"7";"-";"499";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270006";"270006";"23";"3";"1";"5229";"3684";"28";"8";"3648";"774";"49";"299";"587";"-";"-";"86";"-";"-";"-";"270";"5";"-";"1519";"-";"-";"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270007";"270007";"23";"3";"1";"1242";"847";"7";"0";"840";"188";"12";"54";"129";"-";"-";"6";"-";"-";"-";"81";"1";"-";"347";"-";"-";"22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270008";"270008";"23";"3";"1";"5987";"4044";"39";"12";"3993";"1082";"61";"342";"668";"-";"-";"53";"-";"-";"-";"404";"32";"-";"1309";"-";"-";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270009";"270009";"23";"3";"1";"792";"584";"1";"1";"582";"123";"15";"41";"121";"-";"-";"9";"-";"-";"-";"65";"2";"-";"193";"-";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270010";"270010";"23";"3";"1";"2297";"1607";"21";"2";"1584";"355";"39";"130";"286";"-";"-";"10";"-";"-";"-";"132";"9";"-";"596";"-";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270011";"270011";"23";"3";"1";"2306";"1611";"16";"4";"1591";"399";"30";"158";"278";"-";"-";"18";"-";"-";"-";"198";"14";"-";"454";"-";"-";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"270012";"270012";"23";"3";"1";"1567";"1162";"10";"3";"1149";"335";"68";"164";"209";"-";"-";"7";"-";"-";"-";"68";"8";"-";"228";"-";"-";"62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"306001";"306001";"38";"5";"2";"3242";"2301";"16";"7";"2278";"853";"98";"145";"212";"-";"-";"-";"-";"-";"-";"243";"-";"-";"637";"-";"-";"40";"48";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"306002";"306002";"38";"5";"2";"3061";"2020";"25";"3";"1992";"705";"65";"92";"232";"-";"-";"-";"-";"-";"-";"229";"-";"-";"608";"-";"-";"23";"36";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"306003";"306003";"38";"5";"2";"1986";"1284";"13";"0";"1271";"401";"32";"41";"160";"-";"-";"-";"-";"-";"-";"171";"-";"-";"347";"-";"-";"21";"91";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-"
"306004";"306004";"38";"5";"2";"2601";"1707";"13";"3";"1691";"560";"52";"103";"187";"-";"-";"-";"-";"-";"-";"155";"-";"-";"559";"-";"-";"34";"36";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"306005";"306005";"38";"5";"2";"1128";"801";"9";"0";"792";"248";"15";"15";"93";"-";"-";"-";"-";"-";"-";"129";"-";"-";"259";"-";"-";"14";"18";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"306006";"306006";"38";"5";"2";"2496";"1678";"8";"2";"1668";"473";"66";"65";"139";"-";"-";"-";"-";"-";"-";"193";"-";"-";"604";"-";"-";"19";"107";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"306007";"306007";"38";"5";"2";"4994";"3521";"31";"7";"3483";"1450";"67";"89";"347";"-";"-";"-";"-";"-";"-";"307";"-";"-";"1110";"-";"-";"46";"62";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"306008";"306008";"38";"5";"2";"1355";"1050";"11";"2";"1037";"332";"28";"34";"129";"-";"-";"-";"-";"-";"-";"119";"-";"-";"354";"-";"-";"30";"10";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"306010";"306010";"38";"5";"2";"1221";"863";"9";"0";"854";"218";"19";"28";"144";"-";"-";"-";"-";"-";"-";"75";"-";"-";"273";"-";"-";"40";"55";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"306011";"306011";"38";"5";"2";"2967";"1963";"17";"1";"1945";"570";"66";"34";"217";"-";"-";"-";"-";"-";"-";"241";"-";"-";"717";"-";"-";"33";"61";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-"
"306012";"306012";"38";"5";"2";"579";"408";"3";"0";"405";"104";"18";"15";"61";"-";"-";"-";"-";"-";"-";"60";"-";"-";"131";"-";"-";"4";"12";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"306013";"306013";"38";"5";"2";"884";"594";"10";"2";"582";"138";"18";"11";"60";"-";"-";"-";"-";"-";"-";"59";"-";"-";"156";"-";"-";"18";"121";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"316001";"316001";"37";"5";"2";"6037";"4020";"51";"3";"3966";"1314";"318";"421";"581";"3";"-";"-";"-";"-";"-";"246";"20";"-";"928";"-";"-";"99";"-";"-";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-"
"316002";"316002";"37";"5";"2";"7310";"4274";"47";"14";"4213";"1808";"256";"279";"532";"7";"-";"-";"-";"-";"-";"346";"32";"-";"837";"-";"-";"77";"-";"-";"-";"-";"-";"39";"-";"-";"-";"-";"-";"-";"-";"-"
"316003";"316003";"37";"5";"2";"6408";"4204";"28";"7";"4169";"1428";"453";"416";"459";"4";"-";"-";"-";"-";"-";"281";"25";"-";"1009";"-";"-";"72";"-";"-";"-";"-";"-";"22";"-";"-";"-";"-";"-";"-";"-";"-"
"316004";"316004";"37";"5";"2";"2308";"1709";"17";"0";"1692";"592";"86";"157";"168";"1";"-";"-";"-";"-";"-";"106";"17";"-";"509";"-";"-";"19";"-";"-";"-";"-";"-";"37";"-";"-";"-";"-";"-";"-";"-";"-"
"316005";"316005";"37";"5";"2";"743";"547";"3";"0";"544";"162";"15";"7";"79";"0";"-";"-";"-";"-";"-";"73";"5";"-";"188";"-";"-";"12";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"316006";"316006";"37";"5";"2";"3051";"2243";"20";"4";"2219";"743";"76";"195";"278";"3";"-";"-";"-";"-";"-";"193";"14";"-";"689";"-";"-";"19";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-"
"316007";"316007";"37";"5";"2";"897";"616";"8";"3";"605";"167";"39";"42";"95";"1";"-";"-";"-";"-";"-";"75";"8";"-";"167";"-";"-";"6";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"316008";"316008";"37";"5";"2";"1875";"1362";"12";"4";"1346";"409";"46";"75";"146";"2";"-";"-";"-";"-";"-";"183";"9";"-";"441";"-";"-";"28";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-"
"316009";"316009";"37";"5";"2";"3118";"2064";"21";"7";"2036";"632";"57";"131";"227";"0";"-";"-";"-";"-";"-";"188";"12";"-";"751";"-";"-";"31";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-"
"316010";"316010";"37";"5";"2";"1504";"975";"13";"1";"961";"274";"30";"34";"122";"2";"-";"-";"-";"-";"-";"125";"6";"-";"348";"-";"-";"18";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"316011";"316011";"37";"5";"2";"2736";"1777";"19";"5";"1753";"613";"80";"84";"171";"0";"-";"-";"-";"-";"-";"185";"4";"-";"601";"-";"-";"12";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"316012";"316012";"37";"5";"2";"1299";"886";"11";"6";"869";"259";"36";"47";"57";"0";"-";"-";"-";"-";"-";"119";"1";"-";"327";"-";"-";"17";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-"
"316013";"316013";"37";"5";"2";"1201";"789";"9";"0";"780";"291";"23";"35";"91";"0";"-";"-";"-";"-";"-";"98";"1";"-";"232";"-";"-";"6";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"316014";"316014";"37";"5";"2";"3802";"2635";"26";"10";"2599";"1109";"54";"122";"311";"7";"-";"-";"-";"-";"-";"191";"5";"-";"742";"-";"-";"51";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-"
"316015";"316015";"37";"5";"2";"833";"559";"9";"1";"549";"199";"27";"17";"59";"2";"-";"-";"-";"-";"-";"60";"1";"-";"177";"-";"-";"7";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"316016";"316016";"37";"5";"2";"2344";"1593";"15";"5";"1573";"595";"30";"74";"145";"4";"-";"-";"-";"-";"-";"139";"3";"-";"550";"-";"-";"28";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"316017";"316017";"37";"5";"2";"3583";"2437";"28";"4";"2405";"709";"116";"115";"329";"6";"-";"-";"-";"-";"-";"397";"4";"-";"643";"-";"-";"59";"-";"-";"-";"-";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-"
"316018";"316018";"37";"5";"2";"1390";"962";"15";"4";"943";"201";"52";"48";"199";"2";"-";"-";"-";"-";"-";"169";"4";"-";"225";"-";"-";"32";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-"
"316019";"316019";"37";"5";"2";"1384";"902";"17";"4";"881";"224";"25";"50";"122";"1";"-";"-";"-";"-";"-";"252";"0";"-";"192";"-";"-";"14";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"316020";"316020";"37";"5";"2";"1096";"747";"6";"2";"739";"155";"18";"81";"57";"0";"-";"-";"-";"-";"-";"126";"5";"-";"285";"-";"-";"7";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"320001";"320001";"33";"5";"2";"5310";"3764";"31";"8";"3725";"885";"39";"368";"416";"0";"-";"-";"-";"-";"-";"266";"-";"-";"1635";"-";"-";"43";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-"
"320002";"320002";"33";"5";"2";"6143";"4057";"25";"11";"4021";"995";"51";"213";"518";"6";"-";"-";"-";"-";"-";"340";"-";"-";"1757";"-";"-";"46";"-";"91";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-";"-"
"320003";"320003";"33";"5";"2";"3713";"2473";"31";"9";"2433";"772";"13";"84";"186";"0";"-";"-";"-";"-";"-";"178";"-";"-";"352";"-";"-";"22";"-";"825";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-"
"320004";"320004";"33";"5";"2";"3160";"2131";"16";"1";"2114";"569";"20";"48";"254";"6";"-";"-";"-";"-";"-";"180";"-";"-";"272";"-";"-";"91";"-";"671";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-"
"320005";"320005";"33";"5";"2";"3124";"2043";"26";"3";"2014";"432";"23";"114";"285";"5";"-";"-";"-";"-";"-";"235";"-";"-";"337";"-";"-";"38";"-";"545";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0";"-";"-"
"320006";"320006";"33";"5";"2";"2721";"1851";"24";"4";"1823";"534";"23";"120";"178";"5";"-";"-";"-";"-";"-";"207";"-";"-";"582";"-";"-";"10";"-";"160";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-";"-"
"320007";"320007";"33";"5";"2";"2903";"1971";"24";"3";"1944";"554";"24";"86";"164";"7";"-";"-";"-";"-";"-";"237";"-";"-";"569";"-";"-";"27";"-";"275";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-"
"326001";"326001";"38";"5";"2";"2813";"1651";"10";"7";"1634";"343";"150";"42";"264";"-";"-";"-";"-";"-";"-";"268";"-";"-";"517";"-";"-";"32";"15";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326002";"326002";"38";"5";"2";"321";"282";"0";"0";"282";"11";"47";"3";"62";"-";"-";"-";"-";"-";"-";"14";"-";"-";"139";"-";"-";"2";"4";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326003";"326003";"38";"5";"2";"3412";"2165";"13";"7";"2145";"440";"349";"50";"358";"-";"-";"-";"-";"-";"-";"285";"-";"-";"548";"-";"-";"25";"86";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326004";"326004";"38";"5";"2";"2375";"1555";"13";"3";"1539";"346";"10";"31";"175";"-";"-";"-";"-";"-";"-";"163";"-";"-";"786";"-";"-";"7";"21";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326005";"326005";"38";"5";"2";"1364";"937";"6";"2";"929";"161";"14";"15";"107";"-";"-";"-";"-";"-";"-";"140";"-";"-";"468";"-";"-";"9";"15";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326006";"326006";"38";"5";"2";"499";"399";"4";"1";"394";"40";"7";"3";"37";"-";"-";"-";"-";"-";"-";"37";"-";"-";"260";"-";"-";"8";"2";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326007";"326007";"38";"5";"2";"900";"600";"5";"1";"594";"89";"22";"11";"80";"-";"-";"-";"-";"-";"-";"78";"-";"-";"263";"-";"-";"7";"44";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326008";"326008";"38";"5";"2";"2427";"1526";"26";"9";"1491";"314";"72";"36";"176";"-";"-";"-";"-";"-";"-";"203";"-";"-";"446";"-";"-";"9";"235";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326009";"326009";"38";"5";"2";"2072";"1315";"20";"2";"1293";"367";"33";"49";"151";"-";"-";"-";"-";"-";"-";"149";"-";"-";"454";"-";"-";"29";"59";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326010";"326010";"38";"5";"2";"1443";"909";"6";"2";"901";"147";"23";"24";"145";"-";"-";"-";"-";"-";"-";"99";"-";"-";"294";"-";"-";"20";"149";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326011";"326011";"38";"5";"2";"1845";"1237";"29";"2";"1206";"342";"31";"49";"157";"-";"-";"-";"-";"-";"-";"183";"-";"-";"398";"-";"-";"10";"34";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326012";"326012";"38";"5";"2";"1132";"702";"14";"2";"686";"136";"22";"28";"107";"-";"-";"-";"-";"-";"-";"98";"-";"-";"269";"-";"-";"11";"14";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326013";"326013";"38";"5";"2";"3161";"2024";"17";"7";"2000";"525";"160";"98";"374";"-";"-";"-";"-";"-";"-";"243";"-";"-";"549";"-";"-";"21";"29";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326014";"326014";"38";"5";"2";"2756";"1601";"18";"3";"1580";"496";"75";"48";"341";"-";"-";"-";"-";"-";"-";"255";"-";"-";"315";"-";"-";"8";"39";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326015";"326015";"38";"5";"2";"1321";"863";"12";"1";"850";"201";"65";"29";"125";"-";"-";"-";"-";"-";"-";"124";"-";"-";"275";"-";"-";"7";"21";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326016";"326016";"38";"5";"2";"2643";"1720";"24";"3";"1693";"400";"83";"57";"223";"-";"-";"-";"-";"-";"-";"293";"-";"-";"531";"-";"-";"12";"92";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326017";"326017";"38";"5";"2";"3486";"2507";"22";"2";"2483";"622";"129";"127";"421";"-";"-";"-";"-";"-";"-";"335";"-";"-";"794";"-";"-";"13";"40";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326018";"326018";"38";"5";"2";"719";"511";"2";"0";"509";"112";"27";"21";"98";"-";"-";"-";"-";"-";"-";"95";"-";"-";"138";"-";"-";"6";"12";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326019";"326019";"38";"5";"2";"3430";"2203";"14";"7";"2182";"669";"110";"108";"350";"-";"-";"-";"-";"-";"-";"299";"-";"-";"606";"-";"-";"14";"25";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329001";"329001";"39";"5";"2";"7853";"4893";"48";"18";"4827";"1346";"351";"312";"517";"47";"-";"-";"-";"-";"-";"595";"-";"-";"1531";"0";"-";"128";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329002";"329002";"39";"5";"2";"628";"444";"4";"0";"440";"76";"11";"27";"70";"7";"-";"-";"-";"-";"-";"60";"-";"-";"182";"0";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329003";"329003";"39";"5";"2";"574";"438";"3";"0";"435";"120";"11";"14";"54";"30";"-";"-";"-";"-";"-";"65";"-";"-";"139";"0";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329004";"329004";"39";"5";"2";"3912";"2648";"22";"3";"2623";"820";"104";"168";"252";"20";"-";"-";"-";"-";"-";"434";"-";"-";"788";"0";"-";"37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329005";"329005";"39";"5";"2";"995";"668";"12";"2";"654";"125";"25";"36";"107";"26";"-";"-";"-";"-";"-";"117";"-";"-";"183";"0";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329006";"329006";"39";"5";"2";"4625";"2788";"29";"14";"2745";"910";"130";"110";"339";"16";"-";"-";"-";"-";"-";"356";"-";"-";"754";"0";"-";"130";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329008";"329008";"39";"5";"2";"1079";"826";"9";"6";"811";"178";"41";"34";"174";"33";"-";"-";"-";"-";"-";"79";"-";"-";"179";"3";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329009";"329009";"39";"5";"2";"979";"679";"6";"0";"673";"138";"22";"192";"59";"7";"-";"-";"-";"-";"-";"87";"-";"-";"160";"0";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329010";"329010";"39";"5";"2";"1043";"765";"12";"1";"752";"222";"38";"44";"77";"9";"-";"-";"-";"-";"-";"100";"-";"-";"251";"0";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329011";"329011";"39";"5";"2";"527";"336";"7";"1";"328";"63";"8";"17";"39";"11";"-";"-";"-";"-";"-";"58";"-";"-";"127";"0";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
